Date,Close
2017-01-03,72.51
2017-01-04,72.36
2017-01-05,71.32
2017-01-06,71.6
2017-01-09,71.94
2017-01-10,72.35
2017-01-11,72.62
2017-01-12,72.22
2017-01-13,72.67
2017-01-17,72.28
2017-01-18,73.01
2017-01-19,72.44
2017-01-20,72.88
2017-01-23,72.78
2017-01-24,73.51
2017-01-25,74.54
2017-01-26,74.2
2017-01-27,76.93
2017-01-30,76.28
2017-01-31,74.94
2017-02-01,76.17
2017-02-02,75.23
2017-02-03,75.52
2017-02-06,75.53
2017-02-07,76.31
2017-02-08,77.48
2017-02-09,76.51
2017-02-10,76.53
2017-02-13,77.92
2017-02-14,77.84
2017-02-15,81.6
2017-02-16,81.97
2017-02-17,82.48
2017-02-21,82.82
2017-02-22,82.06
2017-02-23,81.61
2017-02-24,81.68
2017-02-27,82.28
2017-02-28,81.93
2017-03-01,83.76
2017-03-02,83.65
2017-03-03,83.18
2017-03-06,83.85
2017-03-07,83.41
2017-03-08,83.48
2017-03-09,83.17
2017-03-10,82.2
2017-03-13,82.76
2017-03-14,83.68
2017-03-15,83.51
2017-03-16,82.72
2017-03-17,83.26
2017-03-20,82.9
2017-03-21,81.8
2017-03-22,82.12
2017-03-23,81.54
2017-03-24,81.64
2017-03-27,81.4
2017-03-28,82.2
2017-03-29,81.91
2017-03-30,82.2
2017-03-31,81.95
2017-04-03,81.24
2017-04-04,81.24
2017-04-05,80.04
2017-04-06,80.32
2017-04-07,80.01
2017-04-10,79.33
2017-04-11,78.08
2017-04-12,76.87
2017-04-13,76.51
2017-04-17,76.39
2017-04-18,77.41
2017-04-19,76.99
2017-04-20,78.66
2017-04-21,77.63
2017-04-24,79.22
2017-04-25,79.35
2017-04-26,77.98
2017-04-27,77.85
2017-04-28,76.2
2017-05-01,76.22
2017-05-02,75.51
2017-05-03,75.6
2017-05-04,75.66
2017-05-05,75.79
2017-05-08,76.38
2017-05-09,78.5
2017-05-10,79.03
2017-05-11,78.44
2017-05-12,78.63
2017-05-15,80.21
2017-05-16,81.05
2017-05-17,78.42
2017-05-18,80.48
2017-05-19,81.24
2017-05-22,82.09
2017-05-23,81.96
2017-05-24,82.12
2017-05-25,82.34
2017-05-26,82.81
2017-05-30,84.8
2017-05-31,85.76
2017-06-01,82.21
2017-06-02,80.91
2017-06-05,78.75
2017-06-06,80.1
2017-06-07,80.83
2017-06-08,82.44
2017-06-09,78.6
2017-06-12,79.74
2017-06-13,81.23
2017-06-14,80.94
2017-06-15,79.75
2017-06-16,80.04
2017-06-19,80.37
2017-06-20,79.2
2017-06-21,79.98
2017-06-22,81.32
2017-06-23,81.55
2017-06-26,80.57
2017-06-27,78.14
2017-06-28,79.2
2017-06-29,77.74
2017-06-30,77.8
2017-07-03,76.11
2017-07-05,77.74
2017-07-06,77.33
2017-07-07,78.47
2017-07-10,78.73
2017-07-11,79.86
2017-07-12,80.37
2017-07-13,80.27
2017-07-14,81.55
2017-07-17,81.09
2017-07-18,81.14
2017-07-19,80.37
2017-07-20,80.85
2017-07-21,78.96
2017-07-24,78.75
2017-07-25,79.52
2017-07-26,80.72
2017-07-27,79.55
2017-07-28,79.24
2017-07-31,79.01
2017-08-01,78.95
2017-08-02,78.82
2017-08-03,77.94
2017-08-04,77.78
2017-08-07,78.87
2017-08-08,78.97
2017-08-09,77.98
2017-08-10,76.83
2017-08-11,78.04
2017-08-14,79.9
2017-08-15,79.96
2017-08-16,80.06
2017-08-17,77.56
2017-08-18,77.74
2017-08-21,77.7
2017-08-22,79.17
