Date,Close
2017-01-03,11.66
2017-01-04,11.56
2017-01-05,11.41
2017-01-06,11.82
2017-01-09,11.53
2017-01-10,11.33
2017-01-11,11.77
2017-01-12,11.58
2017-01-13,11.72
2017-01-17,11.91
2017-01-18,11.93
2017-01-19,11.73
2017-01-20,11.41
2017-01-23,11.22
2017-01-24,11.37
2017-01-25,11.37
2017-01-26,11.22
2017-01-27,11.4
2017-01-30,11.21
2017-01-31,11.44
2017-02-01,11.24
2017-02-02,11.32
2017-02-03,11.37
2017-02-06,11.29
2017-02-07,11.43
2017-02-08,11.59
2017-02-09,11.47
2017-02-10,11.61
2017-02-13,11.68
2017-02-14,11.49
2017-02-15,11.56
2017-02-16,11.65
2017-02-17,11.46
2017-02-21,11.78
2017-02-22,11.6
2017-02-23,11.75
2017-02-24,11.93
2017-02-27,11.14
2017-02-28,11.52
2017-03-01,11.35
2017-03-02,11.63
2017-03-03,11.55
2017-03-06,11.52
2017-03-07,11.33
2017-03-08,11.07
2017-03-09,11.06
2017-03-10,11.15
2017-03-13,11.02
2017-03-14,11.0
2017-03-15,11.31
2017-03-16,11.3
2017-03-17,11.46
2017-03-20,11.2
2017-03-21,11.3
2017-03-22,11.15
2017-03-23,11.18
2017-03-24,11.23
2017-03-27,11.13
2017-03-28,11.31
2017-03-29,11.25
2017-03-30,11.08
2017-03-31,11.18
2017-04-03,11.19
2017-04-04,11.27
2017-04-05,11.16
2017-04-06,11.16
2017-04-07,11.04
2017-04-10,11.15
2017-04-11,11.31
2017-04-12,11.37
2017-04-13,11.36
2017-04-17,11.43
2017-04-18,11.41
2017-04-19,11.37
2017-04-20,11.42
2017-04-21,11.38
2017-04-24,11.59
2017-04-25,11.62
2017-04-26,11.45
2017-04-27,11.29
2017-04-28,11.31
2017-05-01,11.31
2017-05-02,11.3
2017-05-03,11.19
2017-05-04,11.09
2017-05-05,11.32
2017-05-08,11.31
2017-05-09,11.34
2017-05-10,11.57
2017-05-11,11.47
2017-05-12,11.33
2017-05-15,11.4
2017-05-16,11.32
2017-05-17,11.33
2017-05-18,11.18
2017-05-19,11.2
2017-05-22,11.36
2017-05-23,11.37
2017-05-24,11.75
2017-05-25,11.78
2017-05-26,11.79
2017-05-30,11.7
2017-05-31,11.68
2017-06-01,11.95
2017-06-02,11.91
2017-06-05,11.71
2017-06-06,11.91
2017-06-07,11.57
2017-06-08,11.56
2017-06-09,11.72
2017-06-12,11.75
2017-06-13,11.93
2017-06-14,11.91
2017-06-15,11.92
2017-06-16,11.92
2017-06-19,11.91
2017-06-20,11.9
2017-06-21,11.67
2017-06-22,11.57
2017-06-23,11.56
2017-06-26,11.68
2017-06-27,11.5
2017-06-28,11.33
2017-06-29,11.16
2017-06-30,11.11
2017-07-03,11.01
2017-07-05,10.87
2017-07-06,10.68
2017-07-07,10.76
2017-07-10,10.94
2017-07-11,10.93
2017-07-12,11.1
2017-07-13,11.02
2017-07-14,11.03
2017-07-17,11.12
2017-07-18,11.24
2017-07-19,11.32
2017-07-20,11.37
2017-07-21,11.42
2017-07-24,11.32
2017-07-25,11.24
2017-07-26,11.16
2017-07-27,11.1
2017-07-28,10.98
2017-07-31,11.18
2017-08-01,11.2
2017-08-02,11.05
2017-08-03,11.12
2017-08-04,11.08
2017-08-07,11.1
2017-08-08,11.38
2017-08-09,11.25
2017-08-10,11.38
2017-08-11,11.1
2017-08-14,11.11
2017-08-15,11.1
2017-08-16,11.18
2017-08-17,11.01
2017-08-18,11.07
2017-08-21,11.23
2017-08-22,11.35
2017-08-23,11.35
2017-08-24,11.4
2017-08-25,11.43
2017-08-28,11.19
2017-08-29,11.17
2017-08-30,11.06
2017-08-31,11.04
2017-09-01,11.12
2017-09-05,11.09
2017-09-06,11.11
2017-09-07,11.15
2017-09-08,11.21
2017-09-11,11.39
2017-09-12,11.24
2017-09-13,11.23
2017-09-14,11.26
2017-09-15,11.35
2017-09-18,11.27
2017-09-19,11.33
2017-09-20,11.28
2017-09-21,11.13
2017-09-22,11.11
2017-09-25,11.21
2017-09-26,11.16
2017-09-27,11.13
2017-09-28,11.08
2017-09-29,11.02
2017-10-02,11.09
2017-10-03,11.19
2017-10-04,11.28
2017-10-05,11.29
2017-10-06,11.19
2017-10-09,11.2
2017-10-10,11.25
2017-10-11,11.27
2017-10-12,11.22
2017-10-13,11.25
2017-10-16,11.27
2017-10-17,11.19
2017-10-18,11.13
2017-10-19,11.29
2017-10-20,11.13
2017-10-23,11.13
2017-10-24,10.99
2017-10-25,10.9
2017-10-26,10.86
2017-10-27,10.78
2017-10-30,10.74
2017-10-31,10.63
2017-11-01,10.57
2017-11-02,10.79
2017-11-03,10.49
2017-11-06,10.35
2017-11-07,10.51
2017-11-08,10.51
2017-11-09,10.3
2017-11-10,10.23
2017-11-13,10.82
2017-11-14,10.84
2017-11-15,10.87
2017-11-16,10.77
2017-11-17,10.61
2017-11-20,10.6
2017-11-21,10.63
2017-11-22,10.68
2017-11-24,10.69
2017-11-27,10.74
2017-11-28,10.57
2017-11-29,10.61
2017-11-30,10.58
2017-12-01,10.67
2017-12-04,10.77
2017-12-05,10.72
2017-12-06,10.83
2017-12-07,10.7
2017-12-08,10.76
2017-12-11,10.86
2017-12-12,10.72
2017-12-13,10.65
2017-12-14,10.63
2017-12-15,10.8
2017-12-18,10.95
2017-12-19,10.65
2017-12-20,10.58
2017-12-21,10.62
2017-12-22,10.71
2017-12-26,10.64
2017-12-27,10.67
2017-12-28,10.76
2017-12-29,10.83
2018-01-02,10.88
2018-01-03,10.87
2018-01-04,10.83
2018-01-05,10.87
2018-01-08,10.87
2018-01-09,10.76
2018-01-10,10.78
2018-01-11,10.96
2018-01-12,11.04
2018-01-16,10.68
2018-01-17,10.72
2018-01-18,11.53
2018-01-19,11.75
2018-01-22,11.38
2018-01-23,11.42
2018-01-24,11.16
2018-01-25,11.49
2018-01-26,11.72
2018-01-29,11.81
2018-01-30,11.61
2018-01-31,11.56
2018-02-01,11.51
2018-02-02,11.12
2018-02-05,10.6
2018-02-06,10.58
2018-02-07,10.48
2018-02-08,10.06
2018-02-09,10.2
2018-02-12,10.27
2018-02-13,10.32
2018-02-14,10.27
2018-02-15,10.52
2018-02-16,10.45
2018-02-20,10.4
2018-02-21,10.23
2018-02-22,10.3
2018-02-23,10.49
2018-02-26,10.45
2018-02-27,11.22
2018-02-28,10.87
2018-03-01,10.96
2018-03-02,10.86
2018-03-05,10.98
2018-03-06,10.93
2018-03-07,10.8
2018-03-08,10.84
2018-03-09,10.85
2018-03-12,10.74
2018-03-13,10.67
2018-03-14,10.7
2018-03-15,10.69
2018-03-16,10.84
2018-03-19,10.77
2018-03-20,10.71
2018-03-21,10.8
2018-03-22,10.82
2018-03-23,10.72
2018-03-26,10.84
2018-03-27,10.95
2018-03-28,11.23
2018-03-29,11.37
2018-04-02,11.37
2018-04-03,11.5
2018-04-04,11.39
2018-04-05,11.5
2018-04-06,11.42
2018-04-09,11.39
2018-04-10,11.43
2018-04-11,11.42
2018-04-12,11.29
2018-04-13,11.34
2018-04-16,11.57
2018-04-17,11.74
2018-04-18,11.75
2018-04-19,11.75
2018-04-20,11.62
2018-04-23,11.86
2018-04-24,12.0
2018-04-25,12.03
2018-04-26,12.17
2018-04-27,12.31
2018-04-30,12.24
2018-05-01,12.21
2018-05-02,12.19
2018-05-03,12.3
2018-05-04,12.33
2018-05-07,12.37
2018-05-08,11.73
2018-05-09,12.07
2018-05-10,12.31
2018-05-11,12.29
2018-05-14,12.35
2018-05-15,12.3
2018-05-16,12.28
2018-05-17,12.05
2018-05-18,11.93
2018-05-21,12.06
2018-05-22,12.2
2018-05-23,12.19
2018-05-24,12.39
2018-05-25,12.41
2018-05-29,12.41
2018-05-30,12.67
2018-05-31,12.75
2018-06-01,12.79
2018-06-04,12.93
2018-06-05,12.93
2018-06-06,12.51
2018-06-07,12.72
2018-06-08,12.77
2018-06-11,12.83
2018-06-12,13.04
2018-06-13,13.13
2018-06-14,13.18
2018-06-15,13.07
2018-06-18,13.07
2018-06-19,13.08
2018-06-20,12.93
2018-06-21,12.89
2018-06-22,12.86
2018-06-25,12.87
2018-06-26,13.21
2018-06-27,13.24
2018-06-28,13.51
2018-06-29,13.41
2018-07-02,13.14
2018-07-03,13.01
2018-07-05,12.97
2018-07-06,13.0
2018-07-09,12.63
2018-07-10,12.84
2018-07-11,13.03
2018-07-12,13.1
2018-07-13,13.18
2018-07-16,13.13
2018-07-17,12.85
2018-07-18,12.73
2018-07-19,13.03
2018-07-20,13.03
2018-07-23,13.07
2018-07-24,13.11
2018-07-25,13.4
2018-07-26,13.4
2018-07-27,13.37
2018-07-30,13.3
2018-07-31,13.36
2018-08-01,13.47
2018-08-02,13.55
2018-08-03,13.69
2018-08-06,13.82
2018-08-07,13.63
2018-08-08,13.95
2018-08-09,13.74
2018-08-10,13.56
2018-08-13,13.38
2018-08-14,13.5
2018-08-15,13.49
2018-08-16,13.87
2018-08-17,13.94
2018-08-20,13.96
2018-08-21,13.97
2018-08-22,13.99
2018-08-23,14.01
2018-08-24,14.01
2018-08-27,13.96
2018-08-28,13.91
2018-08-29,14.01
2018-08-30,13.9
2018-08-31,13.46
2018-09-04,13.15
2018-09-05,13.41
2018-09-06,13.28
2018-09-07,13.11
2018-09-10,13.22
