Date,Close
2017-01-03,34.89
2017-01-04,35.21
2017-01-05,34.98
2017-01-06,35.1
2017-01-09,34.76
2017-01-10,34.72
2017-01-11,34.93
2017-01-12,34.78
2017-01-13,34.82
2017-01-17,34.94
2017-01-18,34.99
2017-01-19,34.73
2017-01-20,35.04
2017-01-23,34.67
2017-01-24,34.91
2017-01-25,35.23
2017-01-26,35.28
2017-01-27,35.14
2017-01-30,35.17
2017-01-31,34.99
2017-02-01,33.57
2017-02-02,33.92
2017-02-03,34.31
2017-02-06,34.47
2017-02-07,34.49
2017-02-08,34.82
2017-02-09,34.95
2017-02-10,34.99
2017-02-13,35.49
2017-02-14,35.52
2017-02-15,35.5
2017-02-16,35.6
2017-02-17,35.55
2017-02-21,35.71
2017-02-22,35.58
2017-02-23,35.86
2017-02-24,35.85
2017-02-27,36.17
2017-02-28,36.17
2017-03-01,36.49
2017-03-02,36.1
2017-03-03,36.14
2017-03-06,36.1
2017-03-07,35.98
2017-03-08,35.95
2017-03-09,36.05
2017-03-10,36.01
2017-03-13,36.03
2017-03-14,35.92
2017-03-15,36.17
2017-03-16,36.2
2017-03-17,36.27
2017-03-20,36.12
2017-03-21,35.71
2017-03-22,35.82
2017-03-23,36.0
2017-03-24,35.99
2017-03-27,35.92
2017-03-28,36.16
2017-03-29,35.79
2017-03-30,36.16
2017-03-31,36.21
2017-04-03,36.33
2017-04-04,36.31
2017-04-05,36.1
2017-04-06,36.48
2017-04-07,36.45
2017-04-10,36.78
2017-04-11,36.88
2017-04-12,36.67
2017-04-13,36.5
2017-04-17,36.77
2017-04-18,36.94
2017-04-19,36.78
2017-04-20,37.09
2017-04-21,36.99
2017-04-24,37.33
2017-04-25,37.51
2017-04-26,37.4
2017-04-27,37.53
2017-04-28,37.44
2017-05-01,37.22
2017-05-02,37.51
2017-05-03,37.38
2017-05-04,37.2
2017-05-05,37.17
2017-05-08,37.17
2017-05-09,36.93
2017-05-10,37.22
2017-05-11,36.98
2017-05-12,36.72
2017-05-15,36.87
2017-05-16,36.87
2017-05-17,36.81
2017-05-18,36.86
2017-05-19,36.94
2017-05-22,36.95
2017-05-23,37.07
2017-05-24,36.92
2017-05-25,37.35
2017-05-26,37.42
2017-05-30,37.57
2017-05-31,37.69
2017-06-01,37.97
2017-06-02,37.97
2017-06-05,37.88
2017-06-06,37.4
2017-06-07,37.47
2017-06-08,37.6
2017-06-09,39.0
2017-06-12,38.81
2017-06-13,38.95
2017-06-14,39.05
2017-06-15,38.9
2017-06-16,39.19
2017-06-19,39.63
2017-06-20,39.35
2017-06-21,38.99
2017-06-22,38.66
2017-06-23,38.8
2017-06-26,38.76
2017-06-27,38.89
2017-06-28,39.16
2017-06-29,38.8
2017-06-30,38.84
2017-07-03,39.21
2017-07-05,39.15
2017-07-06,38.77
2017-07-07,38.99
2017-07-10,38.83
2017-07-11,38.82
2017-07-12,38.83
2017-07-13,38.95
2017-07-14,38.94
2017-07-17,38.88
2017-07-18,38.94
2017-07-19,38.95
2017-07-20,38.84
2017-07-21,38.78
2017-07-24,38.81
2017-07-25,39.03
2017-07-26,38.67
2017-07-27,38.56
2017-07-28,39.69
2017-07-31,39.88
2017-08-01,40.45
2017-08-02,40.58
2017-08-03,40.49
2017-08-04,40.58
2017-08-07,40.55
2017-08-08,40.62
2017-08-09,40.89
2017-08-10,40.41
2017-08-11,40.38
2017-08-14,40.63
2017-08-15,40.63
2017-08-16,40.41
2017-08-17,39.92
2017-08-18,39.92
2017-08-21,39.85
2017-08-22,40.09
2017-08-23,40.03
2017-08-24,40.2
2017-08-25,40.46
2017-08-28,40.4
2017-08-29,40.85
2017-08-30,41.03
2017-08-31,41.28
2017-09-01,41.45
2017-09-05,40.76
2017-09-06,40.84
2017-09-07,40.28
2017-09-08,40.59
2017-09-11,41.24
2017-09-12,41.12
2017-09-13,41.02
2017-09-14,41.06
2017-09-15,41.41
2017-09-18,41.58
2017-09-19,41.82
2017-09-20,41.96
2017-09-21,41.82
2017-09-22,41.97
2017-09-25,42.13
2017-09-26,41.77
2017-09-27,41.89
2017-09-28,41.15
2017-09-29,40.7
2017-10-02,40.99
2017-10-03,41.12
2017-10-04,41.06
2017-10-05,41.25
2017-10-06,41.14
2017-10-09,41.29
2017-10-10,41.81
2017-10-11,41.94
2017-10-12,41.97
2017-10-13,42.01
2017-10-16,42.09
2017-10-17,41.88
2017-10-18,41.88
2017-10-19,42.23
2017-10-20,41.93
2017-10-23,42.16
2017-10-24,42.28
2017-10-25,42.04
2017-10-26,41.82
2017-10-27,41.97
2017-10-30,41.92
2017-10-31,41.95
2017-11-01,42.15
2017-11-02,42.21
2017-11-03,41.99
2017-11-06,42.29
2017-11-07,41.91
2017-11-08,42.0
2017-11-09,42.04
2017-11-10,41.72
2017-11-13,42.2
2017-11-14,42.14
2017-11-15,42.22
2017-11-16,42.16
2017-11-17,41.93
2017-11-20,42.34
2017-11-21,42.54
2017-11-22,42.53
2017-11-24,42.5
2017-11-27,42.72
2017-11-28,43.14
2017-11-29,43.6
2017-11-30,43.82
2017-12-01,43.8
2017-12-04,44.07
2017-12-05,43.92
2017-12-06,43.81
2017-12-07,43.97
2017-12-08,44.08
2017-12-11,44.24
2017-12-12,44.38
2017-12-13,44.25
2017-12-14,44.21
2017-12-15,44.63
2017-12-18,44.15
2017-12-19,43.99
2017-12-20,43.68
2017-12-21,43.56
2017-12-22,43.61
2017-12-26,43.82
2017-12-27,43.86
2017-12-28,44.12
2017-12-29,43.89
2018-01-02,43.99
2018-01-03,44.12
2018-01-04,44.57
2018-01-05,44.87
2018-01-08,44.98
2018-01-09,45.0
2018-01-10,45.37
2018-01-11,45.85
2018-01-12,42.47
2018-01-16,43.2
2018-01-17,43.91
2018-01-18,43.22
2018-01-19,43.41
2018-01-22,43.85
2018-01-23,44.04
2018-01-24,44.22
2018-01-25,44.71
2018-01-26,45.5
2018-01-29,44.78
2018-01-30,44.29
2018-01-31,44.1
2018-02-01,44.85
2018-02-02,44.48
2018-02-05,43.11
2018-02-06,42.81
2018-02-07,42.8
2018-02-08,41.63
2018-02-09,42.39
2018-02-12,42.57
2018-02-13,43.04
2018-02-14,43.83
2018-02-15,44.21
2018-02-16,44.83
2018-02-20,44.46
2018-02-21,44.44
2018-02-22,44.27
2018-02-23,44.79
2018-02-26,45.38
2018-02-27,45.0
2018-02-28,44.44
2018-03-01,43.83
2018-03-02,43.76
2018-03-05,44.13
2018-03-06,44.39
2018-03-07,44.39
2018-03-08,45.0
2018-03-09,45.84
2018-03-12,45.42
2018-03-13,45.38
2018-03-14,45.11
2018-03-15,45.01
2018-03-16,45.25
2018-03-19,44.7
2018-03-20,45.43
2018-03-21,45.37
2018-03-22,44.37
2018-03-23,43.35
2018-03-26,44.09
2018-03-27,43.48
2018-03-28,43.55
2018-03-29,43.76
2018-04-02,42.97
2018-04-03,43.69
2018-04-04,44.24
2018-04-05,43.7
2018-04-06,43.37
2018-04-09,43.59
2018-04-10,44.38
2018-04-11,44.19
2018-04-12,44.65
2018-04-13,44.56
2018-04-16,44.77
2018-04-17,45.18
2018-04-18,45.02
2018-04-19,45.23
2018-04-20,45.28
2018-04-23,45.3
2018-04-24,45.17
2018-04-25,45.41
2018-04-26,45.68
2018-04-27,45.89
2018-04-30,45.57
2018-05-01,45.4
2018-05-02,45.05
2018-05-03,44.45
2018-05-04,44.81
2018-05-07,44.59
2018-05-08,44.82
2018-05-09,44.75
2018-05-10,45.35
2018-05-11,45.23
2018-05-14,45.24
2018-05-15,45.1
2018-05-16,45.41
2018-05-17,45.53
2018-05-18,45.39
2018-05-21,45.75
2018-05-22,45.58
2018-05-23,45.31
2018-05-24,45.31
2018-05-25,45.34
2018-05-29,44.57
2018-05-30,45.56
2018-05-31,45.06
2018-06-01,45.4
2018-06-04,45.43
2018-06-05,45.45
2018-06-06,45.7
2018-06-07,45.68
2018-06-08,45.89
2018-06-11,45.75
2018-06-12,45.74
2018-06-13,45.68
2018-06-14,45.68
2018-06-15,45.75
2018-06-18,45.17
2018-06-19,45.0
2018-06-20,44.72
2018-06-21,44.43
2018-06-22,44.19
2018-06-25,44.08
2018-06-26,44.0
2018-06-27,43.41
2018-06-28,43.21
2018-06-29,43.02
2018-07-02,42.89
2018-07-03,42.9
2018-07-05,43.04
2018-07-06,42.91
2018-07-09,43.36
2018-07-10,43.22
2018-07-11,42.49
2018-07-12,42.48
2018-07-13,42.6
2018-07-16,42.78
2018-07-17,42.94
2018-07-18,43.26
2018-07-19,42.89
2018-07-20,43.06
2018-07-23,43.48
2018-07-24,43.68
2018-07-25,43.78
2018-07-26,44.41
2018-07-27,46.31
2018-07-30,46.33
2018-07-31,46.54
2018-08-01,46.73
2018-08-02,46.36
2018-08-03,46.59
2018-08-06,46.64
2018-08-07,46.7
2018-08-08,46.87
2018-08-09,46.76
2018-08-10,46.48
2018-08-13,46.3
2018-08-14,46.51
2018-08-15,46.29
2018-08-16,46.5
2018-08-17,46.76
2018-08-20,46.78
2018-08-21,46.92
2018-08-22,46.6
2018-08-23,46.39
2018-08-24,46.67
2018-08-27,46.97
2018-08-28,46.78
2018-08-29,46.94
2018-08-30,46.51
2018-08-31,46.24
2018-09-04,46.57
2018-09-05,47.08
2018-09-06,46.89
2018-09-07,46.82
2018-09-10,46.77
2018-09-11,46.63
2018-09-12,46.31
2018-09-13,46.7
2018-09-14,47.21
2018-09-17,47.05
2018-09-18,47.26
2018-09-19,47.68
2018-09-20,47.89
2018-09-21,48.04
2018-09-24,47.7
2018-09-25,47.7
2018-09-26,47.04
2018-09-27,47.05
2018-09-28,47.07
2018-10-01,47.16
2018-10-02,47.09
2018-10-03,46.87
2018-10-04,46.6
2018-10-05,46.5
2018-10-08,47.13
2018-10-09,47.41
2018-10-10,46.33
2018-10-11,44.49
2018-10-12,44.05
2018-10-15,43.82
2018-10-16,44.18
2018-10-17,44.72
2018-10-18,44.2
2018-10-19,44.47
2018-10-22,44.28
2018-10-23,44.26
2018-10-24,42.7
2018-10-25,42.19
2018-10-26,41.7
2018-10-29,42.28
2018-10-30,43.14
2018-10-31,43.07
2018-11-01,42.87
2018-11-02,42.9
2018-11-05,43.71
2018-11-06,43.99
2018-11-07,45.06
2018-11-08,45.21
2018-11-09,45.04
2018-11-12,44.44
2018-11-13,44.37
2018-11-14,43.95
2018-11-15,44.27
2018-11-16,44.57
2018-11-19,45.37
2018-11-20,44.29
2018-11-21,44.39
2018-11-23,44.47
2018-11-26,44.61
2018-11-27,44.55
2018-11-28,45.36
2018-11-29,45.4
2018-11-30,45.74
2018-12-03,46.07
2018-12-04,44.29
