Date,Close
2017-01-03,65.12
2017-01-04,65.97
2017-01-05,65.6
2017-01-06,66.81
2017-01-09,66.38
2017-01-10,67.2
2017-01-11,66.95
2017-01-12,66.25
2017-01-13,66.35
2017-01-17,66.06
2017-01-18,66.24
2017-01-19,66.29
2017-01-20,66.54
2017-01-23,65.49
2017-01-24,65.5
2017-01-25,65.72
2017-01-26,66.02
2017-01-27,65.21
2017-01-30,64.89
2017-01-31,64.26
2017-02-01,64.27
2017-02-02,64.12
2017-02-03,64.94
2017-02-06,64.9
2017-02-07,64.88
2017-02-08,64.91
2017-02-09,65.32
2017-02-10,65.61
2017-02-13,66.14
2017-02-14,66.89
2017-02-15,60.85
2017-02-16,62.27
2017-02-17,62.5
2017-02-21,63.41
2017-02-22,63.83
2017-02-23,64.02
2017-02-24,63.63
2017-02-27,64.0
2017-02-28,63.92
2017-03-01,64.63
2017-03-02,63.9
2017-03-03,64.22
2017-03-06,63.78
2017-03-07,63.45
2017-03-08,63.44
2017-03-09,63.21
2017-03-10,63.08
2017-03-13,63.18
2017-03-14,62.88
2017-03-15,63.23
2017-03-16,62.91
2017-03-17,62.42
2017-03-20,62.37
2017-03-21,61.76
2017-03-22,61.24
2017-03-23,61.34
2017-03-24,60.88
2017-03-27,60.93
2017-03-28,61.86
2017-03-29,61.77
2017-03-30,62.57
2017-03-31,62.43
2017-04-03,61.79
2017-04-04,62.18
2017-04-05,61.62
2017-04-06,61.84
2017-04-07,61.34
2017-04-10,61.48
2017-04-11,60.79
2017-04-12,60.17
2017-04-13,59.55
2017-04-17,59.93
2017-04-18,59.5
2017-04-19,58.98
2017-04-20,59.67
2017-04-21,59.13
2017-04-24,59.69
2017-04-25,60.07
2017-04-26,60.16
2017-04-27,61.15
2017-04-28,60.91
2017-05-01,61.61
2017-05-02,61.53
2017-05-03,61.54
2017-05-04,62.67
2017-05-05,62.71
2017-05-08,61.92
2017-05-09,61.82
2017-05-10,61.37
2017-05-11,61.79
2017-05-12,60.99
2017-05-15,61.82
2017-05-16,62.08
2017-05-17,61.56
2017-05-18,61.39
2017-05-19,61.2
2017-05-22,61.38
2017-05-23,62.17
2017-05-24,62.6
2017-05-25,63.12
2017-05-26,63.55
2017-05-30,64.1
2017-05-31,63.63
2017-06-01,63.9
2017-06-02,64.24
2017-06-05,63.83
2017-06-06,63.31
2017-06-07,63.16
2017-06-08,63.66
2017-06-09,64.18
2017-06-12,63.82
2017-06-13,64.23
2017-06-14,64.25
2017-06-15,63.81
2017-06-16,63.79
2017-06-19,63.95
2017-06-20,63.39
2017-06-21,63.22
2017-06-22,63.05
2017-06-23,63.02
2017-06-26,63.18
2017-06-27,63.41
2017-06-28,63.84
2017-06-29,63.5
2017-06-30,62.52
2017-07-03,63.29
2017-07-05,62.78
2017-07-06,63.08
2017-07-07,63.35
2017-07-10,63.07
2017-07-11,62.91
2017-07-12,63.19
2017-07-13,64.13
2017-07-14,64.11
2017-07-17,64.05
2017-07-18,63.87
2017-07-19,64.19
2017-07-20,64.23
2017-07-21,64.2
2017-07-24,64.53
2017-07-25,65.29
2017-07-26,65.19
2017-07-27,65.17
2017-07-28,65.27
2017-07-31,65.45
2017-08-01,65.48
2017-08-02,65.9
2017-08-03,66.06
2017-08-04,65.08
2017-08-07,64.98
2017-08-08,64.57
2017-08-09,64.01
2017-08-10,63.0
2017-08-11,62.65
2017-08-14,62.88
2017-08-15,63.03
2017-08-16,62.97
2017-08-17,61.67
2017-08-18,61.34
2017-08-21,61.29
2017-08-22,61.22
2017-08-23,60.77
2017-08-24,60.23
2017-08-25,60.78
