Date,Close
2017-01-03,31.94
2017-01-04,32.24
2017-01-05,32.1
2017-01-06,32.04
2017-01-09,32.78
2017-01-10,33.13
2017-01-11,33.47
2017-01-12,33.31
2017-01-13,33.79
2017-01-17,33.3
2017-01-18,33.69
2017-01-19,33.75
2017-01-20,33.84
2017-01-23,33.75
2017-01-24,34.03
2017-01-25,34.42
2017-01-26,33.98
2017-01-27,35.04
2017-01-30,34.34
2017-01-31,34.25
2017-02-01,35.03
2017-02-02,34.94
2017-02-03,35.31
2017-02-06,35.18
2017-02-07,35.54
2017-02-08,35.6
2017-02-09,35.41
2017-02-10,35.32
2017-02-13,35.46
2017-02-14,35.23
2017-02-15,35.49
2017-02-16,35.18
2017-02-17,35.67
2017-02-21,36.58
2017-02-22,36.51
2017-02-23,36.16
2017-02-24,36.3
2017-02-27,36.43
2017-02-28,36.22
2017-03-01,36.85
2017-03-02,36.49
2017-03-03,36.87
2017-03-06,36.86
2017-03-07,36.97
2017-03-08,37.19
2017-03-09,37.38
2017-03-10,38.12
2017-03-13,38.44
2017-03-14,38.27
2017-03-15,38.92
2017-03-16,39.05
2017-03-17,39.28
2017-03-20,39.57
2017-03-21,38.58
2017-03-22,38.82
2017-03-23,38.85
2017-03-24,38.97
2017-03-27,38.86
2017-03-28,38.82
2017-03-29,38.87
2017-03-30,38.89
2017-03-31,38.9
2017-04-03,38.89
2017-04-04,39.0
2017-04-05,38.38
2017-04-06,38.58
2017-04-07,38.93
2017-04-10,38.86
2017-04-11,38.2
2017-04-12,37.77
2017-04-13,37.52
2017-04-17,38.02
2017-04-18,38.05
2017-04-19,39.25
2017-04-20,39.89
2017-04-21,39.79
2017-04-24,40.44
2017-04-25,40.79
2017-04-26,40.71
2017-04-27,41.33
2017-04-28,40.61
2017-05-01,41.7
2017-05-02,41.71
2017-05-03,41.55
2017-05-04,41.62
2017-05-05,41.83
2017-05-08,41.54
2017-05-09,42.04
2017-05-10,42.87
2017-05-11,43.48
2017-05-12,43.44
2017-05-15,44.32
2017-05-16,45.07
2017-05-17,42.76
2017-05-18,43.91
2017-05-19,44.08
2017-05-22,44.73
2017-05-23,44.91
2017-05-24,44.63
2017-05-25,45.02
2017-05-26,45.5
2017-05-30,45.56
2017-05-31,45.88
2017-06-01,46.0
2017-06-02,46.8
2017-06-05,46.72
2017-06-06,46.57
2017-06-07,47.26
2017-06-08,47.43
2017-06-09,44.74
2017-06-12,44.34
2017-06-13,44.85
2017-06-14,43.98
2017-06-15,43.16
2017-06-16,43.11
2017-06-19,44.29
2017-06-20,43.36
2017-06-21,43.62
2017-06-22,43.34
2017-06-23,44.09
2017-06-26,43.25
2017-06-27,41.89
2017-06-28,42.69
2017-06-29,41.44
2017-06-30,41.31
2017-07-03,41.01
2017-07-05,42.12
2017-07-06,42.11
2017-07-07,43.54
2017-07-10,44.21
2017-07-11,45.4
2017-07-12,45.28
2017-07-13,45.3
2017-07-14,46.12
2017-07-17,46.15
2017-07-18,46.62
2017-07-19,47.18
2017-07-20,47.25
2017-07-21,46.81
2017-07-24,46.78
2017-07-25,46.4
2017-07-26,47.45
2017-07-27,46.04
2017-07-28,45.25
2017-07-31,44.31
2017-08-01,44.1
2017-08-02,42.73
2017-08-03,42.7
2017-08-04,42.82
2017-08-07,43.96
2017-08-08,43.9
2017-08-09,43.81
2017-08-10,42.03
2017-08-11,43.08
2017-08-14,43.78
2017-08-15,43.88
2017-08-16,44.46
2017-08-17,43.12
2017-08-18,44.3
2017-08-21,43.31
2017-08-22,44.45
2017-08-23,44.02
2017-08-24,43.72
2017-08-25,43.31
2017-08-28,43.63
2017-08-29,44.02
2017-08-30,45.47
2017-08-31,45.12
2017-09-01,45.1
2017-09-05,44.48
2017-09-06,44.73
2017-09-07,45.22
2017-09-08,44.35
2017-09-11,45.58
2017-09-12,45.65
2017-09-13,46.12
2017-09-14,47.05
2017-09-15,47.14
2017-09-18,48.05
2017-09-19,48.26
2017-09-20,47.28
2017-09-21,47.15
2017-09-22,47.77
2017-09-25,46.33
2017-09-26,45.92
2017-09-27,48.84
2017-09-28,50.62
2017-09-29,52.09
2017-10-02,52.08
2017-10-03,51.84
2017-10-04,51.6
2017-10-05,51.43
2017-10-06,52.4
2017-10-09,52.69
2017-10-10,52.59
2017-10-11,53.23
2017-10-12,53.31
2017-10-13,53.94
2017-10-16,55.04
2017-10-17,55.13
2017-10-18,55.34
2017-10-19,55.33
2017-10-20,56.09
2017-10-23,56.37
2017-10-24,56.38
2017-10-25,55.3
2017-10-26,55.93
2017-10-27,56.69
2017-10-30,55.9
2017-10-31,56.43
2017-11-01,55.71
2017-11-02,56.26
2017-11-03,56.55
2017-11-06,56.33
2017-11-07,56.47
2017-11-08,56.92
2017-11-09,55.48
2017-11-10,56.36
2017-11-13,57.03
2017-11-14,56.42
2017-11-15,55.77
2017-11-16,57.84
2017-11-17,56.49
2017-11-20,57.62
2017-11-21,58.8
2017-11-22,57.68
2017-11-24,57.91
2017-11-27,56.94
2017-11-28,57.33
2017-11-29,52.91
2017-11-30,52.77
2017-12-01,51.91
2017-12-04,49.77
2017-12-05,50.08
2017-12-06,51.01
2017-12-07,52.3
2017-12-08,51.43
2017-12-11,51.62
2017-12-12,50.47
2017-12-13,50.76
2017-12-14,51.31
2017-12-15,52.54
2017-12-18,53.4
2017-12-19,52.96
2017-12-20,53.29
2017-12-21,51.89
2017-12-22,52.06
2017-12-26,51.05
2017-12-27,51.68
2017-12-28,51.72
2017-12-29,51.12
2018-01-02,53.04
2018-01-03,53.98
2018-01-04,54.29
2018-01-05,54.6
2018-01-08,55.92
2018-01-09,54.86
2018-01-10,53.3
2018-01-11,53.2
2018-01-12,53.45
2018-01-16,54.5
2018-01-17,57.34
2018-01-18,57.4
2018-01-19,57.4
2018-01-22,57.46
2018-01-23,57.79
2018-01-24,56.88
2018-01-25,55.76
2018-01-26,57.12
2018-01-29,55.33
2018-01-30,53.38
2018-01-31,53.63
2018-02-01,53.28
2018-02-02,50.68
2018-02-05,48.31
2018-02-06,50.25
2018-02-07,48.69
2018-02-08,45.75
2018-02-09,48.08
2018-02-12,49.5
2018-02-13,49.55
2018-02-14,51.96
2018-02-15,53.99
2018-02-16,55.03
2018-02-20,56.66
2018-02-21,56.13
2018-02-22,56.07
2018-02-23,57.01
2018-02-26,58.81
2018-02-27,57.64
2018-02-28,57.59
2018-03-01,57.07
2018-03-02,58.03
2018-03-05,57.63
2018-03-06,59.99
2018-03-07,59.42
2018-03-08,59.37
2018-03-09,61.61
2018-03-12,60.97
2018-03-13,59.69
2018-03-14,60.23
2018-03-15,60.28
2018-03-16,59.44
2018-03-19,58.5
2018-03-20,59.23
2018-03-21,60.78
2018-03-22,58.96
2018-03-23,55.38
2018-03-26,58.47
2018-03-27,55.44
2018-03-28,54.06
2018-03-29,55.61
2018-04-02,52.89
2018-04-03,53.98
2018-04-04,55.56
2018-04-05,54.29
2018-04-06,52.34
2018-04-09,53.02
2018-04-10,54.8
2018-04-11,54.95
2018-04-12,56.43
2018-04-13,56.07
2018-04-16,56.87
2018-04-17,57.86
2018-04-18,54.73
2018-04-19,51.19
2018-04-20,51.09
2018-04-23,50.18
2018-04-24,48.72
2018-04-25,49.14
2018-04-26,50.49
2018-04-27,49.4
2018-04-30,49.67
2018-05-01,50.91
2018-05-02,50.53
2018-05-03,50.71
2018-05-04,52.56
2018-05-07,52.59
2018-05-08,53.45
2018-05-09,54.13
2018-05-10,55.53
2018-05-11,54.84
2018-05-14,55.26
2018-05-15,54.09
2018-05-16,55.17
2018-05-17,53.96
2018-05-18,49.51
2018-05-21,50.0
2018-05-22,50.25
2018-05-23,50.34
2018-05-24,50.77
2018-05-25,50.85
2018-05-29,52.02
2018-05-30,51.59
2018-05-31,50.78
2018-06-01,52.24
2018-06-04,52.29
2018-06-05,52.91
2018-06-06,52.53
2018-06-07,51.25
2018-06-08,51.15
2018-06-11,49.89
2018-06-12,50.86
2018-06-13,50.98
2018-06-14,49.69
2018-06-15,49.31
2018-06-18,48.32
2018-06-19,48.55
2018-06-20,48.58
2018-06-21,48.99
2018-06-22,47.96
2018-06-25,46.71
2018-06-26,46.67
2018-06-27,45.25
2018-06-28,45.29
2018-06-29,46.19
2018-07-02,45.68
2018-07-03,44.8
2018-07-05,45.44
2018-07-06,46.13
2018-07-09,46.52
2018-07-10,46.74
2018-07-11,45.2
2018-07-12,45.68
2018-07-13,46.13
2018-07-16,46.31
2018-07-17,47.3
2018-07-18,48.28
2018-07-19,46.67
2018-07-20,46.76
2018-07-23,46.43
2018-07-24,45.91
2018-07-25,45.96
2018-07-26,47.17
2018-07-27,48.3
2018-07-30,47.91
2018-07-31,48.63
2018-08-01,47.97
2018-08-02,48.11
2018-08-03,48.84
2018-08-06,49.48
2018-08-07,49.63
2018-08-08,50.18
2018-08-09,49.16
2018-08-10,48.13
2018-08-13,48.25
2018-08-14,48.38
2018-08-15,47.51
2018-08-16,47.43
2018-08-17,43.77
2018-08-20,43.53
2018-08-21,43.76
2018-08-22,42.99
2018-08-23,42.79
2018-08-24,42.73
2018-08-27,43.75
2018-08-28,43.4
2018-08-29,43.1
2018-08-30,43.14
2018-08-31,43.02
2018-09-04,42.62
2018-09-05,42.5
2018-09-06,40.27
2018-09-07,39.85
2018-09-10,39.6
2018-09-11,39.18
2018-09-12,38.39
2018-09-13,38.89
2018-09-14,39.1
2018-09-17,38.7
2018-09-18,39.19
2018-09-19,39.04
2018-09-20,39.39
2018-09-21,39.63
2018-09-24,39.1
2018-09-25,38.58
2018-09-26,38.26
2018-09-27,38.35
2018-09-28,38.65
2018-10-01,38.34
2018-10-02,38.9
2018-10-03,38.92
2018-10-04,37.89
2018-10-05,37.24
2018-10-08,36.59
2018-10-09,35.72
2018-10-10,34.43
2018-10-11,32.79
2018-10-12,33.69
2018-10-15,33.43
2018-10-16,34.76
2018-10-17,34.96
2018-10-18,33.92
2018-10-19,34.29
2018-10-22,33.53
2018-10-23,33.52
2018-10-24,31.81
2018-10-25,32.64
2018-10-26,32.36
2018-10-29,31.12
2018-10-30,32.42
2018-10-31,32.88
2018-11-01,35.35
2018-11-02,35.27
2018-11-05,34.32
2018-11-06,34.87
