Date,Close
2017-01-03,37.68
2017-01-04,37.86
2017-01-05,39.02
2017-01-06,39.8
2017-01-09,39.85
2017-01-10,39.79
2017-01-11,39.95
2017-01-12,40.68
2017-01-13,40.86
2017-01-17,40.49
2017-01-18,40.37
2017-01-19,40.45
2017-01-20,40.42
2017-01-23,40.89
2017-01-24,41.12
2017-01-25,41.83
2017-01-26,41.96
2017-01-27,41.79
2017-01-30,41.52
2017-01-31,41.17
2017-02-01,41.62
2017-02-02,42.0
2017-02-03,40.51
2017-02-06,40.38
2017-02-07,40.63
2017-02-08,40.99
2017-02-09,41.07
2017-02-10,41.37
2017-02-13,41.83
2017-02-14,41.82
2017-02-15,42.13
2017-02-16,42.21
2017-02-17,42.25
2017-02-21,42.82
2017-02-22,42.78
2017-02-23,42.61
2017-02-24,42.26
2017-02-27,42.43
2017-02-28,42.25
2017-03-01,42.65
2017-03-02,42.45
2017-03-03,42.49
2017-03-06,42.33
2017-03-07,42.3
2017-03-08,42.53
2017-03-09,42.65
2017-03-10,42.62
2017-03-13,42.73
2017-03-14,42.63
2017-03-15,42.65
2017-03-16,42.67
2017-03-17,42.62
2017-03-20,42.85
2017-03-21,42.16
2017-03-22,42.4
2017-03-23,42.37
2017-03-24,42.28
2017-03-27,42.34
2017-03-28,42.8
2017-03-29,43.72
2017-03-30,43.82
2017-03-31,44.33
2017-04-03,44.58
2017-04-04,45.34
2017-04-05,45.46
2017-04-06,44.91
2017-04-07,44.74
2017-04-10,45.35
2017-04-11,45.12
2017-04-12,44.81
2017-04-13,44.23
2017-04-17,45.1
2017-04-18,45.19
2017-04-19,44.96
2017-04-20,45.1
2017-04-21,44.93
2017-04-24,45.37
2017-04-25,45.38
2017-04-26,45.46
2017-04-27,45.92
2017-04-28,46.25
2017-05-01,47.41
2017-05-02,47.35
2017-05-03,47.05
2017-05-04,46.88
2017-05-05,46.71
2017-05-08,47.45
2017-05-09,47.64
2017-05-10,47.45
2017-05-11,47.38
2017-05-12,48.07
2017-05-15,47.9
2017-05-16,48.3
2017-05-17,47.24
2017-05-18,47.92
2017-05-19,47.99
2017-05-22,48.53
2017-05-23,48.58
2017-05-24,49.02
2017-05-25,49.67
2017-05-26,49.79
2017-05-30,49.83
2017-05-31,49.73
2017-06-01,49.8
2017-06-02,50.34
2017-06-05,50.57
2017-06-06,50.15
2017-06-07,50.5
2017-06-08,50.51
2017-06-09,48.92
2017-06-12,48.25
2017-06-13,49.04
2017-06-14,48.82
2017-06-15,48.21
2017-06-16,49.39
2017-06-19,49.76
2017-06-20,49.63
2017-06-21,50.11
2017-06-22,50.06
2017-06-23,50.19
2017-06-26,49.7
2017-06-27,48.84
2017-06-28,49.52
2017-06-29,48.8
2017-06-30,48.4
2017-07-03,47.68
2017-07-05,48.57
2017-07-06,48.26
2017-07-07,48.94
2017-07-10,49.82
2017-07-11,49.71
2017-07-12,50.33
2017-07-13,50.03
2017-07-14,50.09
2017-07-17,50.5
2017-07-18,51.22
2017-07-19,51.34
2017-07-20,51.44
2017-07-21,51.28
2017-07-24,51.95
2017-07-25,51.99
2017-07-26,52.64
2017-07-27,52.3
2017-07-28,51.0
2017-07-31,49.39
2017-08-01,49.81
2017-08-02,49.79
2017-08-03,49.35
2017-08-04,49.38
2017-08-07,49.61
2017-08-08,49.49
2017-08-09,49.1
2017-08-10,47.85
2017-08-11,48.4
2017-08-14,49.17
2017-08-15,49.14
2017-08-16,48.91
2017-08-17,48.03
2017-08-18,47.92
2017-08-21,47.66
2017-08-22,48.35
2017-08-23,47.9
2017-08-24,47.62
2017-08-25,47.26
2017-08-28,47.3
2017-08-29,47.7
2017-08-30,48.38
2017-08-31,49.03
2017-09-01,48.91
2017-09-05,48.26
2017-09-06,48.39
2017-09-07,48.97
2017-09-08,48.29
2017-09-11,48.9
2017-09-12,49.13
2017-09-13,49.98
2017-09-14,49.61
2017-09-15,49.34
2017-09-18,48.71
2017-09-19,48.49
2017-09-20,48.66
2017-09-21,48.23
2017-09-22,47.76
2017-09-25,46.99
2017-09-26,46.93
2017-09-27,47.54
2017-09-28,47.82
2017-09-29,48.07
2017-10-02,47.96
2017-10-03,47.86
2017-10-04,48.27
2017-10-05,49.04
2017-10-06,49.48
2017-10-09,49.55
2017-10-10,49.36
2017-10-11,49.75
2017-10-12,50.05
2017-10-13,50.15
2017-10-16,50.32
2017-10-17,50.46
2017-10-18,49.85
2017-10-19,49.33
2017-10-20,49.15
2017-10-23,48.31
2017-10-24,48.79
2017-10-25,48.65
2017-10-26,48.62
2017-10-27,55.05
2017-10-30,55.54
2017-10-31,55.26
2017-11-01,55.18
2017-11-02,54.71
2017-11-03,55.58
2017-11-06,56.03
2017-11-07,56.16
2017-11-08,56.64
2017-11-09,56.46
2017-11-10,56.27
2017-11-13,56.46
2017-11-14,56.84
2017-11-15,56.33
2017-11-16,56.86
2017-11-17,56.49
2017-11-20,56.32
2017-11-21,56.97
2017-11-22,57.81
2017-11-24,59.3
2017-11-27,59.79
2017-11-28,59.68
2017-11-29,58.06
2017-11-30,58.84
2017-12-01,58.12
