Date,Close
2017-01-03,16.86
2017-01-04,16.98
2017-01-05,16.89
2017-01-06,17.02
2017-01-09,16.85
2017-01-10,16.95
2017-01-11,16.95
2017-01-12,16.99
2017-01-13,17.03
2017-01-17,16.93
2017-01-18,17.07
2017-01-19,17.05
2017-01-20,17.15
2017-01-23,17.0
2017-01-24,17.19
2017-01-25,16.76
2017-01-26,16.66
2017-01-27,16.73
2017-01-30,16.75
2017-01-31,16.87
2017-02-01,16.65
2017-02-02,16.79
2017-02-03,16.86
2017-02-06,16.77
2017-02-07,16.82
2017-02-08,17.01
2017-02-09,17.07
2017-02-10,17.19
2017-02-13,17.24
2017-02-14,17.28
2017-02-15,17.26
2017-02-16,17.35
2017-02-17,17.36
2017-02-21,17.4
2017-02-22,17.45
2017-02-23,17.49
2017-02-24,17.55
2017-02-27,17.37
2017-02-28,17.3
2017-03-01,17.72
2017-03-02,17.62
2017-03-03,17.62
2017-03-06,17.53
2017-03-07,17.57
2017-03-08,17.6
2017-03-09,17.54
2017-03-10,17.64
2017-03-13,17.85
2017-03-14,17.74
2017-03-15,17.97
2017-03-16,17.86
2017-03-17,17.84
2017-03-20,17.84
2017-03-21,17.6
2017-03-22,17.74
2017-03-23,17.73
2017-03-24,17.74
2017-03-27,17.75
2017-03-28,17.83
2017-03-29,17.83
2017-03-30,17.97
2017-03-31,17.79
2017-04-03,17.57
2017-04-04,17.48
2017-04-05,17.39
2017-04-06,17.48
2017-04-07,17.44
2017-04-10,17.41
2017-04-11,17.43
2017-04-12,17.21
2017-04-13,17.16
2017-04-17,17.38
2017-04-18,17.49
2017-04-19,17.53
2017-04-20,17.7
2017-04-21,17.62
2017-04-24,17.98
2017-04-25,18.05
2017-04-26,17.93
2017-04-27,18.2
2017-04-28,18.08
2017-05-01,17.97
2017-05-02,17.88
2017-05-03,17.82
2017-05-04,17.96
2017-05-05,18.03
2017-05-08,18.13
2017-05-09,18.17
2017-05-10,18.25
2017-05-11,18.16
2017-05-12,18.21
2017-05-15,18.29
2017-05-16,18.43
2017-05-17,18.14
2017-05-18,18.11
2017-05-19,18.23
2017-05-22,18.4
2017-05-23,18.34
2017-05-24,18.48
2017-05-25,18.64
2017-05-26,18.7
2017-05-30,18.72
2017-05-31,18.65
2017-06-01,18.78
2017-06-02,18.89
2017-06-05,18.9
2017-06-06,18.89
2017-06-07,18.98
2017-06-08,19.05
2017-06-09,18.94
2017-06-12,18.86
2017-06-13,18.98
2017-06-14,18.99
2017-06-15,19.01
2017-06-16,18.91
2017-06-19,18.91
2017-06-20,18.74
2017-06-21,18.68
2017-06-22,18.59
2017-06-23,18.77
2017-06-26,18.69
2017-06-27,18.56
2017-06-28,18.78
2017-06-29,18.44
2017-06-30,18.45
2017-07-03,18.27
2017-07-05,18.44
2017-07-06,18.12
2017-07-07,18.35
2017-07-10,18.44
2017-07-11,18.42
2017-07-12,18.65
2017-07-13,18.65
2017-07-14,18.64
2017-07-17,18.71
2017-07-18,18.73
2017-07-19,18.9
2017-07-20,18.92
2017-07-21,18.89
2017-07-24,18.91
2017-07-25,18.96
2017-07-26,18.74
2017-07-27,18.96
2017-07-28,19.03
2017-07-31,19.16
2017-08-01,19.35
2017-08-02,19.46
2017-08-03,19.46
2017-08-04,19.42
2017-08-07,19.5
2017-08-08,19.49
2017-08-09,19.62
2017-08-10,19.44
2017-08-11,19.49
2017-08-14,19.77
2017-08-15,19.73
2017-08-16,19.83
2017-08-17,19.74
2017-08-18,19.61
2017-08-21,19.68
2017-08-22,19.93
2017-08-23,19.85
2017-08-24,19.85
2017-08-25,19.95
