Date,Close
2017-01-03,74.55
2017-01-04,74.97
2017-01-05,74.6
2017-01-06,74.17
2017-01-09,73.21
2017-01-10,73.29
2017-01-11,74.09
2017-01-12,74.51
2017-01-13,74.86
2017-01-17,74.74
2017-01-18,75.24
2017-01-19,74.26
2017-01-20,74.71
2017-01-23,74.39
2017-01-24,75.14
2017-01-25,74.98
2017-01-26,75.7
2017-01-27,75.34
2017-01-30,74.82
2017-01-31,76.18
2017-02-01,74.56
2017-02-02,75.08
2017-02-03,75.88
2017-02-06,75.24
2017-02-07,75.97
2017-02-08,75.48
2017-02-09,75.15
2017-02-10,75.45
2017-02-13,75.63
2017-02-14,75.24
2017-02-15,75.69
2017-02-16,75.9
2017-02-17,76.04
2017-02-21,77.04
2017-02-22,77.25
2017-02-23,77.78
2017-02-24,78.18
2017-02-27,78.27
2017-02-28,78.29
2017-03-01,78.62
2017-03-02,78.84
2017-03-03,78.4
2017-03-06,78.13
2017-03-07,78.01
2017-03-08,76.63
2017-03-09,76.25
2017-03-10,77.83
2017-03-13,78.14
2017-03-14,78.33
2017-03-15,79.95
2017-03-16,79.46
2017-03-17,79.93
2017-03-20,78.67
2017-03-21,79.9
2017-03-22,79.87
2017-03-23,80.15
2017-03-24,80.14
2017-03-27,80.31
2017-03-28,80.4
2017-03-29,79.85
2017-03-30,79.0
2017-03-31,78.99
2017-04-03,78.9
2017-04-04,79.65
2017-04-05,80.03
2017-04-06,80.35
2017-04-07,80.12
2017-04-10,80.24
2017-04-11,80.49
2017-04-12,80.49
2017-04-13,80.15
2017-04-17,81.0
2017-04-18,80.82
2017-04-19,80.06
2017-04-20,79.92
2017-04-21,79.83
2017-04-24,80.01
2017-04-25,80.46
2017-04-26,81.27
2017-04-27,81.4
2017-04-28,81.02
2017-05-01,80.71
2017-05-02,80.72
2017-05-03,80.11
2017-05-04,81.38
2017-05-05,82.17
2017-05-08,81.91
2017-05-09,80.55
2017-05-10,80.89
2017-05-11,80.79
2017-05-12,81.34
2017-05-15,81.36
2017-05-16,80.33
2017-05-17,80.55
2017-05-18,80.36
2017-05-19,81.08
2017-05-22,81.53
2017-05-23,82.09
2017-05-24,82.16
2017-05-25,83.1
2017-05-26,82.85
2017-05-30,83.19
2017-05-31,83.31
2017-06-01,84.42
2017-06-02,84.88
2017-06-05,83.88
2017-06-06,84.1
2017-06-07,83.79
2017-06-08,83.54
2017-06-09,83.64
2017-06-12,83.9
2017-06-13,84.33
2017-06-14,85.09
