Date,Close
2017-01-03,37.88
2017-01-04,38.45
2017-01-05,38.43
2017-01-06,38.6
2017-01-09,37.99
2017-01-10,37.81
2017-01-11,38.35
2017-01-12,38.53
2017-01-13,38.09
2017-01-17,38.24
2017-01-18,38.49
2017-01-19,37.81
2017-01-20,37.49
2017-01-23,37.69
2017-01-24,38.23
2017-01-25,38.38
2017-01-26,38.18
2017-01-27,38.47
2017-01-30,38.24
2017-01-31,38.13
2017-02-01,38.27
2017-02-02,36.66
2017-02-03,36.92
2017-02-06,36.47
2017-02-07,36.31
2017-02-08,37.23
2017-02-09,37.04
2017-02-10,37.17
2017-02-13,36.92
2017-02-14,36.87
2017-02-15,36.56
2017-02-16,36.49
2017-02-17,36.64
2017-02-21,36.85
2017-02-22,36.72
2017-02-23,37.02
2017-02-24,36.53
2017-02-27,36.75
2017-02-28,36.77
2017-03-01,37.5
2017-03-02,36.64
2017-03-03,36.91
2017-03-06,36.37
2017-03-07,36.14
2017-03-08,36.34
2017-03-09,36.67
2017-03-10,36.87
2017-03-13,37.16
2017-03-14,37.03
2017-03-15,37.47
2017-03-16,37.38
2017-03-17,37.56
2017-03-20,37.66
2017-03-21,36.99
2017-03-22,37.18
2017-03-23,37.16
2017-03-24,36.87
2017-03-27,36.87
2017-03-28,37.0
2017-03-29,36.78
2017-03-30,36.81
2017-03-31,37.13
2017-04-03,36.67
2017-04-04,36.7
2017-04-05,36.33
2017-04-06,36.2
2017-04-07,36.12
2017-04-10,36.11
2017-04-11,36.13
2017-04-12,35.87
2017-04-13,35.77
2017-04-17,36.15
2017-04-18,36.14
2017-04-19,36.4
2017-04-20,36.64
2017-04-21,36.84
2017-04-24,37.2
2017-04-25,37.57
2017-04-26,37.59
2017-04-27,38.67
2017-04-28,38.45
2017-05-01,38.46
2017-05-02,38.4
2017-05-03,38.11
2017-05-04,40.24
2017-05-05,40.02
2017-05-08,39.81
2017-05-09,39.82
2017-05-10,40.1
2017-05-11,40.0
2017-05-12,40.18
2017-05-15,40.39
2017-05-16,40.41
2017-05-17,39.98
2017-05-18,39.75
2017-05-19,40.04
2017-05-22,40.18
2017-05-23,40.13
2017-05-24,40.32
2017-05-25,40.72
2017-05-26,40.69
2017-05-30,40.83
2017-05-31,40.9
2017-06-01,41.42
2017-06-02,41.36
2017-06-05,41.2
2017-06-06,40.99
2017-06-07,40.73
2017-06-08,40.51
2017-06-09,40.28
2017-06-12,40.43
2017-06-13,41.21
2017-06-14,41.28
2017-06-15,41.15
2017-06-16,41.16
2017-06-19,41.89
2017-06-20,41.79
2017-06-21,41.78
2017-06-22,41.67
2017-06-23,42.07
2017-06-26,42.29
2017-06-27,42.09
2017-06-28,42.52
2017-06-29,42.03
2017-06-30,42.21
2017-07-03,42.47
2017-07-05,42.58
2017-07-06,42.02
2017-07-07,42.3
2017-07-10,42.16
2017-07-11,41.66
2017-07-12,41.96
2017-07-13,41.72
2017-07-14,42.1
2017-07-17,42.43
2017-07-18,42.42
2017-07-19,42.53
2017-07-20,42.42
2017-07-21,42.92
2017-07-24,42.68
2017-07-25,42.51
2017-07-26,42.41
2017-07-27,42.29
2017-07-28,41.89
2017-07-31,41.9
2017-08-01,41.99
2017-08-02,41.88
2017-08-03,40.61
2017-08-04,40.56
2017-08-07,41.17
2017-08-08,41.09
2017-08-09,40.28
2017-08-10,40.05
2017-08-11,40.16
2017-08-14,40.64
2017-08-15,40.32
2017-08-16,40.82
2017-08-17,40.27
2017-08-18,40.12
2017-08-21,39.59
2017-08-22,39.76
2017-08-23,39.39
2017-08-24,39.21
2017-08-25,39.3
2017-08-28,39.08
2017-08-29,39.06
2017-08-30,39.51
2017-08-31,39.99
2017-09-01,40.15
2017-09-05,39.99
2017-09-06,40.0
2017-09-07,40.26
2017-09-08,40.28
