Date,Close
2017-01-03,44.44
2017-01-04,44.75
2017-01-05,45.05
2017-01-06,45.52
2017-01-09,46.17
2017-01-10,46.51
2017-01-11,46.99
2017-01-12,46.51
2017-01-13,46.45
2017-01-17,46.52
2017-01-18,46.77
2017-01-19,46.57
2017-01-20,46.23
2017-01-23,46.02
2017-01-24,45.85
2017-01-25,46.14
2017-01-26,46.05
2017-01-27,47.08
2017-01-30,46.9
2017-01-31,47.91
2017-02-01,48.1
2017-02-02,48.13
2017-02-03,48.63
2017-02-06,48.35
2017-02-07,48.59
2017-02-08,48.35
2017-02-09,48.93
2017-02-10,49.0
2017-02-13,49.23
2017-02-14,48.96
2017-02-15,49.44
2017-02-16,49.42
2017-02-17,49.73
2017-02-21,49.96
2017-02-22,50.06
2017-02-23,50.39
2017-02-24,50.49
2017-02-27,50.44
2017-02-28,50.92
2017-03-01,51.21
2017-03-02,50.77
2017-03-03,50.91
2017-03-06,50.68
2017-03-07,51.04
2017-03-08,51.36
2017-03-09,52.13
2017-03-10,52.01
2017-03-13,52.3
2017-03-14,51.9
2017-03-15,52.16
2017-03-16,51.43
2017-03-17,51.63
2017-03-20,51.19
2017-03-21,51.4
2017-03-22,51.79
2017-03-23,51.69
2017-03-24,52.02
2017-03-27,51.83
2017-03-28,51.89
2017-03-29,51.98
2017-03-30,52.25
2017-03-31,51.86
2017-04-03,52.29
2017-04-04,52.38
2017-04-05,52.55
2017-04-06,52.53
2017-04-07,52.79
2017-04-10,52.84
2017-04-11,52.97
2017-04-12,53.53
2017-04-13,53.25
2017-04-17,52.82
2017-04-18,52.73
2017-04-19,52.71
2017-04-20,52.89
2017-04-21,52.88
2017-04-24,53.45
2017-04-25,53.21
2017-04-26,55.59
2017-04-27,55.42
2017-04-28,55.68
2017-05-01,55.59
2017-05-02,55.68
2017-05-03,55.91
2017-05-04,55.96
2017-05-05,55.95
2017-05-08,55.7
2017-05-09,56.14
2017-05-10,56.19
2017-05-11,56.35
2017-05-12,56.19
2017-05-15,56.7
2017-05-16,57.58
2017-05-17,56.86
2017-05-18,57.07
2017-05-19,57.21
2017-05-22,57.65
2017-05-23,57.92
2017-05-24,58.34
2017-05-25,59.14
2017-05-26,58.64
2017-05-30,59.35
2017-05-31,59.31
2017-06-01,60.0
2017-06-02,59.72
2017-06-05,59.59
2017-06-06,59.39
2017-06-07,59.6
2017-06-08,59.76
2017-06-09,58.91
2017-06-12,57.15
2017-06-13,57.88
2017-06-14,57.98
2017-06-15,57.93
2017-06-16,57.93
2017-06-19,59.55
2017-06-20,59.88
2017-06-21,60.05
2017-06-22,60.68
2017-06-23,61.38
2017-06-26,60.98
2017-06-27,60.69
2017-06-28,60.87
2017-06-29,60.16
2017-06-30,60.54
2017-07-03,60.24
2017-07-05,60.71
2017-07-06,60.16
2017-07-07,60.72
2017-07-10,60.55
2017-07-11,60.63
2017-07-12,61.28
2017-07-13,61.3
2017-07-14,62.11
2017-07-17,62.2
2017-07-18,62.14
2017-07-19,62.45
2017-07-20,63.04
2017-07-21,62.67
2017-07-24,62.73
2017-07-25,62.09
2017-07-26,61.22
2017-07-27,60.38
2017-07-28,60.73
2017-07-31,60.48
2017-08-01,60.71
2017-08-02,59.5
2017-08-03,59.59
2017-08-04,59.88
2017-08-07,59.73
2017-08-08,59.72
2017-08-09,60.02
2017-08-10,59.71
2017-08-11,59.84
2017-08-14,60.23
2017-08-15,60.8
2017-08-16,61.36
2017-08-17,60.82
2017-08-18,60.87
2017-08-21,61.11
2017-08-22,62.15
2017-08-23,61.45
2017-08-24,61.51
2017-08-25,61.51
2017-08-28,61.64
2017-08-29,61.41
2017-08-30,61.48
2017-08-31,62.04
2017-09-01,62.23
2017-09-05,62.18
2017-09-06,62.53
2017-09-07,62.84
2017-09-08,63.28
2017-09-11,64.28
2017-09-12,64.15
2017-09-13,64.61
2017-09-14,64.32
2017-09-15,63.96
2017-09-18,64.31
2017-09-19,64.02
2017-09-20,64.28
2017-09-21,63.38
2017-09-22,63.51
2017-09-25,62.76
2017-09-26,62.52
2017-09-27,62.46
2017-09-28,62.34
2017-09-29,62.75
2017-10-02,63.16
2017-10-03,62.62
2017-10-04,62.9
2017-10-05,62.71
2017-10-06,62.91
2017-10-09,61.45
2017-10-10,61.71
2017-10-11,62.01
2017-10-12,62.53
2017-10-13,62.82
2017-10-16,63.65
2017-10-17,63.92
2017-10-18,63.84
2017-10-19,63.47
2017-10-20,63.59
2017-10-23,64.12
2017-10-24,64.35
2017-10-25,64.38
2017-10-26,64.93
2017-10-27,65.68
2017-10-30,64.57
2017-10-31,64.47
2017-11-01,64.2
2017-11-02,64.07
2017-11-03,64.9
2017-11-06,64.36
2017-11-07,64.32
2017-11-08,65.01
2017-11-09,65.39
2017-11-10,64.04
2017-11-13,64.41
2017-11-14,64.46
2017-11-15,64.42
2017-11-16,64.99
2017-11-17,63.88
2017-11-20,63.88
2017-11-21,64.25
2017-11-22,64.04
2017-11-24,64.12
2017-11-27,64.74
2017-11-28,66.05
2017-11-29,65.18
2017-11-30,65.53
2017-12-01,65.49
2017-12-04,64.25
2017-12-05,64.02
2017-12-06,63.72
2017-12-07,63.52
2017-12-08,64.05
2017-12-11,64.14
2017-12-12,64.31
2017-12-13,64.72
2017-12-14,64.78
2017-12-15,65.33
2017-12-18,65.45
2017-12-19,65.78
2017-12-20,65.29
2017-12-21,64.53
2017-12-22,64.72
2017-12-26,65.02
2017-12-27,64.78
2017-12-28,64.9
2017-12-29,64.64
2018-01-02,67.17
2018-01-03,68.25
2018-01-04,68.41
2018-01-05,69.18
2018-01-08,69.28
2018-01-09,69.38
2018-01-10,68.43
2018-01-11,68.46
2018-01-12,68.34
2018-01-16,67.67
2018-01-17,68.2
2018-01-18,69.2
2018-01-19,70.01
2018-01-22,70.2
2018-01-23,69.6
2018-01-24,70.14
2018-01-25,71.05
2018-01-26,72.26
2018-01-29,72.05
2018-01-30,71.75
2018-01-31,72.03
2018-02-01,69.95
2018-02-02,68.55
2018-02-05,65.52
2018-02-06,66.67
2018-02-07,65.55
2018-02-08,62.56
2018-02-09,64.31
2018-02-12,65.0
2018-02-13,64.63
2018-02-14,66.03
2018-02-15,66.44
2018-02-16,66.33
2018-02-20,67.04
2018-02-21,67.05
2018-02-22,67.43
2018-02-23,68.36
2018-02-26,69.14
2018-02-27,68.69
2018-02-28,67.79
2018-03-01,66.31
2018-03-02,66.28
2018-03-05,66.85
2018-03-06,67.01
2018-03-07,67.02
2018-03-08,67.82
2018-03-09,68.89
2018-03-12,68.5
2018-03-13,68.09
2018-03-14,67.28
2018-03-15,67.59
2018-03-16,67.89
2018-03-19,66.76
2018-03-20,66.91
2018-03-21,66.46
2018-03-22,65.55
2018-03-23,64.29
2018-03-26,65.49
