Date,Close
2017-01-03,53.81
2017-01-04,54.42
2017-01-05,50.14
2017-01-06,49.49
2017-01-09,49.54
2017-01-10,49.58
2017-01-11,49.52
2017-01-12,49.06
2017-01-13,49.05
2017-01-17,49.41
2017-01-18,50.0
2017-01-19,49.23
2017-01-20,49.57
2017-01-23,49.43
2017-01-24,49.74
2017-01-25,49.99
2017-01-26,49.51
2017-01-27,47.69
2017-01-30,47.45
2017-01-31,48.66
2017-02-01,47.52
2017-02-02,47.91
2017-02-03,48.15
2017-02-06,47.8
2017-02-07,47.1
2017-02-08,47.41
2017-02-09,47.62
2017-02-10,47.62
2017-02-13,46.73
2017-02-14,46.99
2017-02-15,47.05
2017-02-16,46.45
2017-02-17,46.48
2017-02-21,46.63
2017-02-22,46.98
2017-02-23,39.55
2017-02-24,41.21
2017-02-27,42.34
2017-02-28,42.53
2017-03-01,42.69
2017-03-02,43.17
2017-03-03,42.3
2017-03-06,41.57
2017-03-07,40.55
2017-03-08,41.14
2017-03-09,40.46
2017-03-10,40.65
2017-03-13,40.29
2017-03-14,40.52
2017-03-15,40.96
2017-03-16,40.38
2017-03-17,41.36
2017-03-20,40.78
2017-03-21,39.75
2017-03-22,38.68
2017-03-23,38.85
2017-03-24,38.36
2017-03-27,38.54
2017-03-28,38.61
2017-03-29,39.05
2017-03-30,38.4
2017-03-31,38.07
2017-04-03,37.01
2017-04-04,35.37
2017-04-05,34.83
2017-04-06,38.67
2017-04-07,38.17
2017-04-10,38.39
2017-04-11,38.75
2017-04-12,38.64
2017-04-13,38.36
2017-04-17,38.65
2017-04-18,38.61
2017-04-19,39.2
2017-04-20,40.13
2017-04-21,40.28
2017-04-24,40.97
2017-04-25,40.89
2017-04-26,42.03
2017-04-27,42.18
2017-04-28,42.68
2017-05-01,41.95
2017-05-02,42.62
2017-05-03,42.92
2017-05-04,39.96
2017-05-05,41.28
2017-05-08,42.07
2017-05-09,42.75
2017-05-10,43.17
2017-05-11,41.1
2017-05-12,40.05
2017-05-15,40.02
2017-05-16,39.03
2017-05-17,39.12
2017-05-18,40.16
2017-05-19,39.59
2017-05-22,40.69
2017-05-23,40.53
2017-05-24,40.07
2017-05-25,40.63
2017-05-26,40.82
2017-05-30,41.41
2017-05-31,41.7
2017-06-01,42.7
2017-06-02,42.39
2017-06-05,41.92
2017-06-06,40.66
2017-06-07,41.35
2017-06-08,40.78
2017-06-09,42.27
2017-06-12,43.49
2017-06-13,43.33
2017-06-14,42.7
2017-06-15,42.08
2017-06-16,41.67
2017-06-19,41.92
2017-06-20,42.36
2017-06-21,41.61
2017-06-22,42.71
2017-06-23,43.21
2017-06-26,43.41
2017-06-27,43.97
2017-06-28,43.85
2017-06-29,43.8
2017-06-30,43.55
2017-07-03,44.91
2017-07-05,43.73
2017-07-06,37.57
2017-07-07,36.46
2017-07-10,35.68
2017-07-11,35.39
2017-07-12,35.7
2017-07-13,36.68
2017-07-14,36.81
2017-07-17,36.76
2017-07-18,36.09
2017-07-19,36.03
2017-07-20,36.41
2017-07-21,36.32
2017-07-24,35.77
2017-07-25,36.72
2017-07-26,36.38
2017-07-27,37.15
2017-07-28,36.9
2017-07-31,37.49
2017-08-01,37.39
2017-08-02,35.81
2017-08-03,33.62
2017-08-04,34.99
2017-08-07,35.05
2017-08-08,34.49
2017-08-09,34.48
2017-08-10,33.33
2017-08-11,33.04
2017-08-14,32.78
2017-08-15,31.56
2017-08-16,31.96
2017-08-17,30.35
2017-08-18,29.26
2017-08-21,29.33
2017-08-22,29.69
2017-08-23,29.2
2017-08-24,29.3
2017-08-25,29.55
2017-08-28,29.46
2017-08-29,29.51
2017-08-30,29.14
2017-08-31,29.27
2017-09-01,30.27
2017-09-05,29.64
2017-09-06,30.23
2017-09-07,30.19
2017-09-08,29.98
2017-09-11,30.63
2017-09-12,31.81
2017-09-13,32.71
2017-09-14,32.66
2017-09-15,32.76
2017-09-18,32.31
2017-09-19,31.71
2017-09-20,30.09
2017-09-21,29.81
2017-09-22,32.04
2017-09-25,33.05
2017-09-26,34.39
2017-09-27,34.56
2017-09-28,34.38
2017-09-29,33.63
2017-10-02,34.05
2017-10-03,34.53
2017-10-04,33.43
2017-10-05,34.58
2017-10-06,34.69
2017-10-09,34.08
2017-10-10,34.71
2017-10-11,33.82
2017-10-12,33.48
2017-10-13,33.81
2017-10-16,33.36
2017-10-17,33.55
2017-10-18,34.04
2017-10-19,33.94
2017-10-20,35.36
2017-10-23,35.5
2017-10-24,35.91
2017-10-25,35.79
2017-10-26,35.75
2017-10-27,36.13
2017-10-30,34.61
2017-10-31,34.78
2017-11-01,35.24
2017-11-02,38.07
2017-11-03,37.76
2017-11-06,38.45
2017-11-07,37.94
2017-11-08,38.29
2017-11-09,38.99
2017-11-10,40.13
2017-11-13,39.56
2017-11-14,39.82
2017-11-15,39.81
2017-11-16,39.7
2017-11-17,40.8
2017-11-20,40.46
2017-11-21,40.16
2017-11-22,39.44
2017-11-24,39.08
2017-11-27,40.68
2017-11-28,42.28
2017-11-29,42.45
2017-11-30,45.31
2017-12-01,45.14
2017-12-04,46.15
2017-12-05,44.69
2017-12-06,44.62
2017-12-07,44.53
2017-12-08,46.29
2017-12-11,46.87
2017-12-12,47.13
2017-12-13,47.54
2017-12-14,47.34
2017-12-15,46.96
2017-12-18,49.31
2017-12-19,48.77
2017-12-20,48.81
2017-12-21,48.97
2017-12-22,49.59
