Date,Close
2017-01-03,42.76
2017-01-04,43.77
2017-01-05,42.64
2017-01-06,42.77
2017-01-09,43.34
2017-01-10,43.86
2017-01-11,43.42
2017-01-12,44.23
2017-01-13,43.83
2017-01-17,44.88
2017-01-18,44.77
2017-01-19,43.63
2017-01-20,43.36
2017-01-23,43.54
2017-01-24,44.17
2017-01-25,44.67
2017-01-26,45.23
2017-01-27,43.47
2017-01-30,44.22
2017-01-31,44.52
2017-02-01,44.5
2017-02-02,44.31
2017-02-03,44.73
2017-02-06,43.96
2017-02-07,43.53
2017-02-08,43.87
2017-02-09,44.73
2017-02-10,44.68
2017-02-13,43.97
2017-02-14,45.29
2017-02-15,45.92
2017-02-16,45.37
2017-02-17,45.24
2017-02-21,45.98
2017-02-22,45.72
2017-02-23,44.31
2017-02-24,45.56
2017-02-27,46.15
2017-02-28,44.13
2017-03-01,42.14
2017-03-02,44.85
2017-03-03,44.65
2017-03-06,43.89
2017-03-07,44.55
2017-03-08,45.1
2017-03-09,44.84
2017-03-10,44.8
2017-03-13,44.85
2017-03-14,44.37
2017-03-15,44.41
2017-03-16,44.5
2017-03-17,45.74
2017-03-20,45.55
2017-03-21,44.06
2017-03-22,45.02
2017-03-23,44.62
2017-03-24,44.85
2017-03-27,46.2
2017-03-28,46.97
2017-03-29,47.77
2017-03-30,48.59
2017-03-31,49.15
2017-04-03,48.53
2017-04-04,48.65
2017-04-05,47.97
2017-04-06,47.99
2017-04-07,48.22
2017-04-10,48.55
2017-04-11,48.65
2017-04-12,48.36
2017-04-13,48.27
2017-04-17,48.36
2017-04-18,48.52
2017-04-19,49.38
2017-04-20,50.53
2017-04-21,50.64
2017-04-24,51.15
2017-04-25,51.77
2017-04-26,52.25
2017-04-27,52.35
2017-04-28,51.81
2017-05-01,51.46
2017-05-02,51.51
2017-05-03,51.65
2017-05-04,50.87
2017-05-05,51.62
2017-05-08,51.76
2017-05-09,51.82
2017-05-10,52.0
2017-05-11,51.97
2017-05-12,51.11
2017-05-15,51.16
2017-05-16,51.82
2017-05-17,50.61
2017-05-18,50.63
2017-05-19,51.33
2017-05-22,51.75
2017-05-23,51.55
2017-05-24,50.42
2017-05-25,61.25
2017-05-26,58.97
2017-05-30,59.28
2017-05-31,59.39
2017-06-01,60.3
2017-06-02,59.67
2017-06-05,59.52
2017-06-06,58.53
2017-06-07,59.38
2017-06-08,59.11
2017-06-09,58.13
2017-06-12,57.12
2017-06-13,57.85
2017-06-14,57.48
2017-06-15,56.55
2017-06-16,55.65
2017-06-19,55.79
2017-06-20,54.93
2017-06-21,55.17
2017-06-22,55.22
2017-06-23,55.18
2017-06-26,56.29
2017-06-27,56.18
2017-06-28,56.77
2017-06-29,57.26
2017-06-30,57.33
2017-07-03,59.22
2017-07-05,58.15
2017-07-06,57.42
2017-07-07,57.87
2017-07-10,54.23
2017-07-11,53.69
2017-07-12,53.3
2017-07-13,54.66
2017-07-14,55.26
2017-07-17,56.0
2017-07-18,55.79
2017-07-19,56.17
2017-07-20,53.96
2017-07-21,54.14
2017-07-24,54.8
2017-07-25,55.32
2017-07-26,55.57
2017-07-27,57.05
2017-07-28,57.64
2017-07-31,58.34
2017-08-01,59.48
2017-08-02,59.38
2017-08-03,59.69
2017-08-04,60.28
