Date,Close
2017-01-03,40.44
2017-01-04,41.35
2017-01-05,40.73
2017-01-06,40.75
2017-01-09,40.31
2017-01-10,40.4
2017-01-11,40.75
2017-01-12,40.48
2017-01-13,40.5
2017-01-17,39.94
2017-01-18,40.01
2017-01-19,39.86
2017-01-20,40.61
2017-01-23,40.4
2017-01-24,41.16
2017-01-25,41.86
2017-01-26,40.77
2017-01-27,40.32
2017-01-30,40.17
2017-01-31,39.74
2017-02-01,39.99
2017-02-02,39.9
2017-02-03,40.31
2017-02-06,39.99
2017-02-07,40.01
2017-02-08,39.74
2017-02-09,40.48
2017-02-10,40.88
2017-02-13,41.51
2017-02-14,42.1
2017-02-15,42.72
2017-02-16,42.29
2017-02-17,42.53
2017-02-21,43.03
2017-02-22,42.77
2017-02-23,42.94
2017-02-24,42.74
2017-02-27,43.37
2017-02-28,43.04
2017-03-01,43.44
2017-03-02,42.89
2017-03-03,42.68
2017-03-06,42.38
2017-03-07,42.38
2017-03-08,42.56
2017-03-09,42.42
2017-03-10,42.58
2017-03-13,42.57
2017-03-14,42.43
2017-03-15,42.99
2017-03-16,43.91
2017-03-17,42.22
2017-03-20,42.04
2017-03-21,41.35
2017-03-22,41.37
2017-03-23,41.46
2017-03-24,41.26
2017-03-27,41.09
2017-03-28,41.92
2017-03-29,41.41
2017-03-30,42.22
2017-03-31,42.14
2017-04-03,41.75
2017-04-04,41.57
2017-04-05,41.4
2017-04-06,41.96
2017-04-07,41.78
2017-04-10,42.04
2017-04-11,41.01
2017-04-12,40.81
2017-04-13,40.59
2017-04-17,41.37
2017-04-18,41.64
2017-04-19,41.21
2017-04-20,41.62
2017-04-21,41.01
2017-04-24,41.91
2017-04-25,42.04
2017-04-26,42.47
2017-04-27,42.28
2017-04-28,43.11
2017-05-01,42.75
2017-05-02,42.65
2017-05-03,42.73
2017-05-04,42.46
2017-05-05,42.77
2017-05-08,42.98
2017-05-09,43.43
2017-05-10,43.74
2017-05-11,43.32
2017-05-12,43.17
2017-05-15,43.58
2017-05-16,43.42
2017-05-17,42.05
2017-05-18,41.87
