Date,Close
2017-01-03,60.59
2017-01-04,61.41
2017-01-05,60.34
2017-01-06,60.55
2017-01-09,60.22
2017-01-10,60.23
2017-01-11,59.96
2017-01-12,59.23
2017-01-13,59.63
2017-01-17,58.38
2017-01-18,57.39
2017-01-19,56.66
2017-01-20,56.11
2017-01-23,55.68
2017-01-24,56.74
2017-01-25,57.69
2017-01-26,57.36
2017-01-27,57.11
2017-01-30,56.61
2017-01-31,55.83
2017-02-01,56.05
2017-02-02,55.98
2017-02-03,57.76
2017-02-06,57.64
2017-02-07,57.19
2017-02-08,56.32
2017-02-09,57.26
2017-02-10,57.63
2017-02-13,58.95
2017-02-14,59.83
2017-02-15,60.5
2017-02-16,60.38
2017-02-17,60.17
2017-02-21,60.55
2017-02-22,60.62
2017-02-23,60.62
2017-02-24,59.56
2017-02-27,60.02
2017-02-28,59.81
2017-03-01,61.54
2017-03-02,60.63
2017-03-03,61.0
2017-03-06,60.28
2017-03-07,60.5
2017-03-08,61.11
2017-03-09,61.55
2017-03-10,61.49
2017-03-13,61.53
2017-03-14,61.44
2017-03-15,60.84
2017-03-16,61.15
2017-03-17,60.37
2017-03-20,59.59
2017-03-21,58.04
2017-03-22,57.77
2017-03-23,58.05
2017-03-24,58.07
2017-03-27,58.33
2017-03-28,59.42
2017-03-29,59.39
2017-03-30,60.51
2017-03-31,59.82
2017-04-03,59.68
2017-04-04,59.68
2017-04-05,59.59
2017-04-06,59.89
2017-04-07,59.43
2017-04-10,59.28
2017-04-11,59.03
2017-04-12,58.51
2017-04-13,58.04
2017-04-17,58.99
2017-04-18,58.42
2017-04-19,57.73
2017-04-20,58.41
2017-04-21,57.72
2017-04-24,59.44
2017-04-25,60.21
2017-04-26,60.1
2017-04-27,59.39
2017-04-28,59.12
2017-05-01,59.46
2017-05-02,59.71
2017-05-03,60.24
2017-05-04,60.21
2017-05-05,60.24
2017-05-08,60.5
2017-05-09,60.23
2017-05-10,60.37
2017-05-11,60.7
2017-05-12,61.07
2017-05-15,61.42
2017-05-16,62.49
2017-05-17,59.98
2017-05-18,60.08
2017-05-19,61.1
2017-05-22,61.06
2017-05-23,61.71
2017-05-24,62.27
2017-05-25,61.95
2017-05-26,62.07
2017-05-30,61.64
2017-05-31,60.54
2017-06-01,61.08
2017-06-02,61.11
2017-06-05,61.25
2017-06-06,61.01
2017-06-07,61.88
2017-06-08,63.21
2017-06-09,64.45
2017-06-12,64.32
2017-06-13,64.69
2017-06-14,64.72
2017-06-15,64.1
2017-06-16,63.89
2017-06-19,64.48
2017-06-20,63.91
2017-06-21,63.83
2017-06-22,63.62
2017-06-23,63.41
2017-06-26,63.78
2017-06-27,64.23
2017-06-28,65.18
2017-06-29,66.98
2017-06-30,66.88
2017-07-03,68.26
2017-07-05,68.45
2017-07-06,67.63
2017-07-07,67.91
2017-07-10,67.65
2017-07-11,66.82
2017-07-12,66.92
2017-07-13,67.02
2017-07-14,66.72
2017-07-17,66.83
2017-07-18,66.89
2017-07-19,66.7
2017-07-20,66.36
2017-07-21,66.0
2017-07-24,66.1
2017-07-25,68.03
2017-07-26,67.98
2017-07-27,67.6
2017-07-28,67.43
2017-07-31,68.45
2017-08-01,69.6
2017-08-02,69.42
2017-08-03,68.13
2017-08-04,68.98
2017-08-07,69.04
2017-08-08,68.88
2017-08-09,68.43
2017-08-10,67.22
2017-08-11,66.8
