Date,Close
2017-01-03,39.76
2017-01-04,39.09
2017-01-05,38.95
2017-01-06,38.74
2017-01-09,38.44
2017-01-10,38.29
2017-01-11,38.64
2017-01-12,38.51
2017-01-13,38.51
2017-01-17,38.61
2017-01-18,38.72
2017-01-19,38.69
2017-01-20,39.13
2017-01-23,38.89
2017-01-24,39.21
2017-01-25,39.22
2017-01-26,38.95
2017-01-27,38.99
2017-01-30,39.02
2017-01-31,39.09
2017-02-01,38.94
2017-02-02,39.24
2017-02-03,39.37
2017-02-06,39.23
2017-02-07,39.54
2017-02-08,39.52
2017-02-09,39.73
2017-02-10,39.84
2017-02-13,39.76
2017-02-14,39.79
2017-02-15,39.94
2017-02-16,39.93
2017-02-17,39.61
2017-02-21,40.2
2017-02-22,40.48
2017-02-23,40.5
2017-02-24,41.16
2017-02-27,40.89
2017-02-28,41.21
2017-03-01,41.21
2017-03-02,41.07
2017-03-03,41.15
2017-03-06,41.25
2017-03-07,40.75
2017-03-08,40.31
2017-03-09,40.57
2017-03-10,40.91
2017-03-13,41.02
2017-03-14,41.24
2017-03-15,41.5
2017-03-16,41.48
2017-03-17,41.42
2017-03-20,40.82
2017-03-21,40.79
2017-03-22,40.48
2017-03-23,40.35
2017-03-24,40.47
2017-03-27,40.14
2017-03-28,40.2
2017-03-29,40.59
2017-03-30,40.28
2017-03-31,40.34
2017-04-03,40.35
2017-04-04,40.22
2017-04-05,40.4
2017-04-06,40.48
2017-04-07,40.49
2017-04-10,40.57
2017-04-11,40.5
2017-04-12,40.62
2017-04-13,40.32
2017-04-17,40.46
2017-04-18,40.79
2017-04-19,40.48
2017-04-20,40.72
2017-04-21,40.66
2017-04-24,40.93
2017-04-25,39.33
2017-04-26,39.01
2017-04-27,38.81
2017-04-28,38.78
2017-05-01,38.29
2017-05-02,37.95
2017-05-03,37.76
2017-05-04,37.7
2017-05-05,37.74
2017-05-08,37.65
2017-05-09,37.29
2017-05-10,37.6
2017-05-11,37.49
2017-05-12,37.46
2017-05-15,37.85
2017-05-16,37.57
2017-05-17,37.62
2017-05-18,37.68
2017-05-19,37.72
2017-05-22,38.06
2017-05-23,38.38
2017-05-24,38.54
2017-05-25,38.82
2017-05-26,39.03
2017-05-30,38.52
2017-05-31,38.54
2017-06-01,39.95
2017-06-02,39.59
2017-06-05,39.79
2017-06-06,39.44
2017-06-07,39.43
2017-06-08,39.11
2017-06-09,38.76
2017-06-12,38.7
2017-06-13,38.98
2017-06-14,38.96
2017-06-15,39.26
2017-06-16,38.01
2017-06-19,37.52
2017-06-20,37.77
2017-06-21,37.68
2017-06-22,37.09
2017-06-23,37.23
2017-06-26,37.65
2017-06-27,37.0
2017-06-28,37.37
2017-06-29,36.08
2017-06-30,35.76
2017-07-03,35.5
2017-07-05,34.91
2017-07-06,34.13
2017-07-07,33.42
2017-07-10,33.23
2017-07-11,33.07
2017-07-12,33.38
2017-07-13,33.52
2017-07-14,33.58
2017-07-17,33.48
2017-07-18,33.32
2017-07-19,33.85
2017-07-20,33.75
2017-07-21,33.88
2017-07-24,33.84
2017-07-25,34.16
2017-07-26,33.83
2017-07-27,34.35
2017-07-28,34.24
2017-07-31,34.24
2017-08-01,33.83
2017-08-02,34.21
2017-08-03,34.31
2017-08-04,33.98
2017-08-07,34.17
2017-08-08,34.19
2017-08-09,34.39
2017-08-10,34.06
2017-08-11,34.8
2017-08-14,34.89
2017-08-15,34.9
2017-08-16,35.14
2017-08-17,34.72
2017-08-18,34.46
2017-08-21,34.5
2017-08-22,34.51
2017-08-23,34.22
2017-08-24,33.23
2017-08-25,33.14
2017-08-28,32.53
2017-08-29,32.43
2017-08-30,32.74
2017-08-31,32.46
2017-09-01,32.88
2017-09-05,33.69
2017-09-06,34.24
2017-09-07,34.38
2017-09-08,34.5
2017-09-11,34.75
2017-09-12,34.82
2017-09-13,34.73
2017-09-14,34.48
2017-09-15,35.01
2017-09-18,34.89
2017-09-19,34.17
2017-09-20,33.7
2017-09-21,33.42
2017-09-22,33.15
2017-09-25,33.47
2017-09-26,33.36
2017-09-27,33.34
2017-09-28,33.95
2017-09-29,33.74
2017-10-02,33.34
2017-10-03,33.41
2017-10-04,33.96
2017-10-05,34.1
2017-10-06,34.08
2017-10-09,33.46
2017-10-10,33.72
2017-10-11,33.79
2017-10-12,34.59
2017-10-13,34.33
2017-10-16,34.5
2017-10-17,34.21
2017-10-18,34.1
2017-10-19,33.76
2017-10-20,33.91
2017-10-23,34.21
2017-10-24,34.17
2017-10-25,33.93
2017-10-26,33.38
2017-10-27,33.69
2017-10-30,33.53
2017-10-31,34.16
2017-11-01,34.13
2017-11-02,33.86
2017-11-03,33.91
2017-11-06,33.32
2017-11-07,33.76
