Date,Close
2017-01-03,49.4
2017-01-04,47.93
2017-01-05,47.65
2017-01-06,47.55
2017-01-09,47.99
2017-01-10,49.27
2017-01-11,50.51
2017-01-12,51.31
2017-01-13,51.35
2017-01-17,52.54
2017-01-18,52.29
2017-01-19,51.64
2017-01-20,51.87
2017-01-23,50.79
2017-01-24,51.22
2017-01-25,52.27
2017-01-26,52.43
2017-01-27,53.02
2017-01-30,52.94
2017-01-31,53.71
2017-02-01,53.86
2017-02-02,53.62
2017-02-03,53.66
2017-02-06,54.05
2017-02-07,53.6
2017-02-08,52.93
2017-02-09,53.88
2017-02-10,51.5
2017-02-13,52.52
2017-02-14,54.55
2017-02-15,55.07
2017-02-16,55.61
2017-02-17,56.15
2017-02-21,55.27
2017-02-22,55.37
2017-02-23,55.39
2017-02-24,55.61
2017-02-27,55.35
2017-02-28,55.04
2017-03-01,55.45
2017-03-02,55.57
2017-03-03,55.74
2017-03-06,55.08
2017-03-07,54.97
2017-03-08,54.37
2017-03-09,54.77
2017-03-10,55.24
2017-03-13,55.48
2017-03-14,55.09
2017-03-15,55.71
2017-03-16,56.35
2017-03-17,56.61
2017-03-20,56.57
2017-03-21,56.81
2017-03-22,56.4
2017-03-23,56.53
2017-03-24,57.77
2017-03-27,59.29
2017-03-28,59.26
2017-03-29,59.14
2017-03-30,59.17
2017-03-31,58.85
2017-04-03,59.0
2017-04-04,59.15
2017-04-05,59.06
2017-04-06,59.49
2017-04-07,59.6
2017-04-10,59.24
2017-04-11,59.64
2017-04-12,58.77
2017-04-13,58.61
2017-04-17,58.78
2017-04-18,58.31
2017-04-19,58.67
2017-04-20,59.35
2017-04-21,58.97
2017-04-24,59.29
2017-04-25,59.45
2017-04-26,59.53
2017-04-27,60.06
2017-04-28,64.75
2017-05-01,65.27
2017-05-02,65.28
2017-05-03,64.28
2017-05-04,64.12
2017-05-05,64.89
2017-05-08,64.61
2017-05-09,64.85
2017-05-10,64.73
2017-05-11,64.75
2017-05-12,64.36
2017-05-15,64.29
2017-05-16,64.83
2017-05-17,63.66
2017-05-18,63.82
2017-05-19,64.1
2017-05-22,64.58
2017-05-23,64.67
2017-05-24,64.36
2017-05-25,65.1
2017-05-26,64.95
2017-05-30,65.43
2017-05-31,65.35
2017-06-01,66.7
2017-06-02,67.42
2017-06-05,67.91
2017-06-06,68.23
2017-06-07,68.17
2017-06-08,68.11
2017-06-09,66.28
2017-06-12,65.79
2017-06-13,66.47
2017-06-14,65.95
2017-06-15,65.93
2017-06-16,66.04
2017-06-19,67.34
2017-06-20,66.85
2017-06-21,67.15
2017-06-22,67.34
2017-06-23,68.32
