Date,Close
2017-01-03,75.79
2017-01-04,76.07
2017-01-05,75.76
2017-01-06,75.78
2017-01-09,74.5
2017-01-10,74.52
2017-01-11,74.89
2017-01-12,69.91
2017-01-13,70.06
2017-01-17,69.74
2017-01-18,70.54
2017-01-19,69.89
2017-01-20,70.27
2017-01-23,69.73
2017-01-24,70.09
2017-01-25,71.11
2017-01-26,70.68
2017-01-27,70.62
2017-01-30,70.04
2017-01-31,70.58
2017-02-01,70.06
2017-02-02,70.65
2017-02-03,71.43
2017-02-06,70.79
2017-02-07,70.43
2017-02-08,70.34
2017-02-09,70.25
2017-02-10,71.06
2017-02-13,71.75
2017-02-14,72.39
2017-02-15,72.82
2017-02-16,73.09
2017-02-17,72.67
2017-02-21,72.85
2017-02-22,72.93
2017-02-23,73.34
2017-02-24,73.49
2017-02-27,73.06
2017-02-28,72.96
2017-03-01,75.15
2017-03-02,74.3
2017-03-03,73.97
2017-03-06,73.18
2017-03-07,73.17
2017-03-08,72.76
2017-03-09,73.42
2017-03-10,73.97
2017-03-13,73.91
2017-03-14,74.1
2017-03-15,74.95
2017-03-16,74.7
2017-03-17,75.18
2017-03-20,74.22
2017-03-21,72.78
2017-03-22,72.75
2017-03-23,72.74
2017-03-24,71.88
2017-03-27,71.66
2017-03-28,72.5
2017-03-29,71.75
2017-03-30,72.33
2017-03-31,72.27
2017-04-03,71.58
2017-04-04,71.56
2017-04-05,70.81
2017-04-06,70.85
2017-04-07,70.24
2017-04-10,71.24
2017-04-11,71.39
2017-04-12,70.87
2017-04-13,70.46
2017-04-17,71.6
2017-04-18,70.56
2017-04-19,70.04
2017-04-20,70.45
2017-04-21,70.18
2017-04-24,71.46
2017-04-25,71.82
2017-04-26,71.88
2017-04-27,73.04
2017-04-28,72.09
2017-05-01,71.12
2017-05-02,71.06
2017-05-03,71.18
2017-05-04,70.96
2017-05-05,70.83
2017-05-08,69.92
2017-05-09,68.99
2017-05-10,69.21
2017-05-11,69.38
2017-05-12,69.06
2017-05-15,69.62
2017-05-16,69.33
2017-05-17,68.69
2017-05-18,68.98
2017-05-19,69.04
2017-05-22,69.53
2017-05-23,69.57
2017-05-24,69.7
2017-05-25,70.45
2017-05-26,69.91
2017-05-30,69.53
2017-05-31,70.08
2017-06-01,70.93
2017-06-02,70.72
2017-06-05,70.34
2017-06-06,69.48
2017-06-07,69.56
2017-06-08,70.46
2017-06-09,71.78
2017-06-12,73.02
2017-06-13,72.88
2017-06-14,73.05
2017-06-15,73.89
2017-06-16,73.75
2017-06-19,73.1
2017-06-20,72.38
2017-06-21,71.62
2017-06-22,71.46
2017-06-23,71.23
2017-06-26,71.96
2017-06-27,71.92
2017-06-28,72.55
2017-06-29,72.42
2017-06-30,72.45
2017-07-03,73.1
2017-07-05,72.56
2017-07-06,72.2
2017-07-07,72.66
2017-07-10,72.15
2017-07-11,71.84
2017-07-12,71.98
2017-07-13,72.5
2017-07-14,72.69
2017-07-17,72.73
2017-07-18,72.37
2017-07-19,73.31
2017-07-20,74.06
2017-07-21,74.42
2017-07-24,75.26
2017-07-25,75.69
2017-07-26,74.99
2017-07-27,75.16
2017-07-28,75.81
2017-07-31,76.16
2017-08-01,76.49
2017-08-02,77.2
2017-08-03,80.52
2017-08-04,80.3
2017-08-07,79.91
2017-08-08,79.75
2017-08-09,80.33
2017-08-10,79.62
2017-08-11,79.0
2017-08-14,79.53
2017-08-15,79.44
2017-08-16,79.11
2017-08-17,77.65
2017-08-18,77.34
2017-08-21,76.98
2017-08-22,77.47
2017-08-23,76.85
2017-08-24,76.43
2017-08-25,77.46
2017-08-28,77.09
2017-08-29,76.78
2017-08-30,76.83
2017-08-31,76.84
2017-09-01,76.96
2017-09-05,74.77
2017-09-06,75.12
2017-09-07,73.67
2017-09-08,75.77
2017-09-11,76.52
2017-09-12,76.65
2017-09-13,75.94
2017-09-14,75.62
2017-09-15,75.22
2017-09-18,76.08
2017-09-19,76.04
2017-09-20,76.33
2017-09-21,75.58
2017-09-22,75.88
2017-09-25,76.32
2017-09-26,76.17
2017-09-27,76.9
2017-09-28,77.38
2017-09-29,76.57
2017-10-02,77.5
2017-10-03,77.16
2017-10-04,77.38
2017-10-05,77.39
2017-10-06,76.7
2017-10-09,76.36
2017-10-10,77.12
2017-10-11,76.94
2017-10-12,75.93
2017-10-13,76.47
2017-10-16,76.42
2017-10-17,75.93
2017-10-18,76.0
2017-10-19,76.19
2017-10-20,76.46
2017-10-23,76.12
2017-10-24,76.26
2017-10-25,75.75
2017-10-26,76.02
2017-10-27,71.03
2017-10-30,70.41
2017-10-31,70.17
2017-11-01,70.71
2017-11-02,72.56
2017-11-03,72.57
2017-11-06,73.27
2017-11-07,72.87
2017-11-08,72.7
2017-11-09,73.1
2017-11-10,73.4
2017-11-13,73.3
2017-11-14,74.06
2017-11-15,74.11
2017-11-16,73.59
2017-11-17,73.46
2017-11-20,73.43
2017-11-21,73.46
2017-11-22,72.66
2017-11-24,72.51
2017-11-27,73.41
2017-11-28,74.25
2017-11-29,74.87
2017-11-30,74.73
2017-12-01,74.52
2017-12-04,75.37
2017-12-05,74.38
2017-12-06,74.46
2017-12-07,74.16
2017-12-08,74.4
2017-12-11,74.56
2017-12-12,74.52
2017-12-13,73.68
2017-12-14,72.65
2017-12-15,74.28
2017-12-18,74.58
2017-12-19,73.55
2017-12-20,73.45
2017-12-21,73.66
2017-12-22,73.99
2017-12-26,74.27
2017-12-27,74.55
2017-12-28,75.08
2017-12-29,74.97
2018-01-02,73.08
2018-01-03,72.79
2018-01-04,73.62
2018-01-05,74.0
2018-01-08,73.67
2018-01-09,73.21
2018-01-10,72.19
2018-01-11,72.77
2018-01-12,74.03
2018-01-16,74.2
2018-01-17,75.06
2018-01-18,74.86
2018-01-19,75.16
2018-01-22,75.93
2018-01-23,77.01
2018-01-24,77.24
2018-01-25,77.22
2018-01-26,77.51
2018-01-29,76.59
2018-01-30,76.39
2018-01-31,76.9
2018-02-01,77.17
2018-02-02,76.38
2018-02-05,73.39
2018-02-06,72.6
2018-02-07,72.63
2018-02-08,70.34
2018-02-09,72.14
2018-02-12,74.31
2018-02-13,73.97
2018-02-14,75.57
2018-02-15,76.19
2018-02-16,77.19
2018-02-20,75.69
2018-02-21,75.54
2018-02-22,74.92
2018-02-23,75.8
2018-02-26,77.26
2018-02-27,75.88
2018-02-28,74.59
2018-03-01,73.34
2018-03-02,74.61
2018-03-05,75.89
2018-03-06,76.04
2018-03-07,75.72
2018-03-08,75.26
2018-03-09,77.04
2018-03-12,75.24
2018-03-13,75.08
2018-03-14,74.05
2018-03-15,74.3
2018-03-16,75.13
2018-03-19,75.11
2018-03-20,75.4
2018-03-21,75.55
2018-03-22,73.44
2018-03-23,71.61
2018-03-26,73.14
2018-03-27,73.13
2018-03-28,73.86
2018-03-29,74.26
2018-04-02,72.37
2018-04-03,73.49
2018-04-04,73.9
2018-04-05,74.35
2018-04-06,73.0
2018-04-09,72.77
2018-04-10,73.41
2018-04-11,73.41
2018-04-12,73.98
2018-04-13,73.53
2018-04-16,74.74
2018-04-17,74.49
2018-04-18,74.56
2018-04-19,75.04
2018-04-20,75.27
2018-04-23,75.72
2018-04-24,74.95
2018-04-25,74.82
2018-04-26,71.44
2018-04-27,71.45
2018-04-30,70.34
2018-05-01,71.18
2018-05-02,69.71
2018-05-03,69.35
2018-05-04,70.01
2018-05-07,69.8
2018-05-08,70.18
2018-05-09,71.21
2018-05-10,71.89
2018-05-11,71.88
2018-05-14,70.56
2018-05-15,70.89
2018-05-16,70.76
2018-05-17,70.89
2018-05-18,70.73
2018-05-21,71.29
2018-05-22,71.45
2018-05-23,70.88
2018-05-24,70.43
2018-05-25,70.42
2018-05-29,68.51
2018-05-30,70.1
2018-05-31,69.37
2018-06-01,70.18
2018-06-04,70.24
2018-06-05,70.0
2018-06-06,70.39
2018-06-07,70.77
2018-06-08,71.28
2018-06-11,70.53
2018-06-12,70.06
2018-06-13,69.67
2018-06-14,68.92
2018-06-15,68.99
2018-06-18,69.0
2018-06-19,68.76
2018-06-20,68.49
2018-06-21,67.77
2018-06-22,68.34
2018-06-25,68.22
2018-06-26,67.14
2018-06-27,66.33
2018-06-28,67.16
2018-06-29,66.86
2018-07-02,66.98
2018-07-03,67.36
2018-07-05,67.5
2018-07-06,68.34
2018-07-09,69.79
2018-07-10,69.88
2018-07-11,69.79
2018-07-12,69.64
2018-07-13,69.61
2018-07-16,70.54
2018-07-17,70.55
2018-07-18,71.3
2018-07-19,70.26
2018-07-20,70.7
2018-07-23,70.89
2018-07-24,70.74
2018-07-25,71.3
2018-07-26,72.3
2018-07-27,74.44
2018-07-30,75.4
2018-07-31,75.63
2018-08-01,75.25
2018-08-02,75.25
2018-08-03,75.54
2018-08-06,75.96
2018-08-07,75.05
2018-08-08,75.08
2018-08-09,75.0
2018-08-10,74.39
2018-08-13,73.69
2018-08-14,74.31
2018-08-15,74.44
2018-08-16,75.29
2018-08-17,75.75
2018-08-20,76.14
2018-08-21,76.43
2018-08-22,76.02
2018-08-23,76.15
2018-08-24,76.49
2018-08-27,76.85
2018-08-28,76.79
2018-08-29,76.71
2018-08-30,76.32
2018-08-31,76.67
2018-09-04,77.18
2018-09-05,77.45
2018-09-06,77.64
2018-09-07,77.16
2018-09-10,77.03
2018-09-11,76.8
