Date,Close
2017-01-03,7.5
2017-01-04,7.64
2017-01-05,7.84
2017-01-06,7.97
2017-01-09,7.9
2017-01-10,8.29
2017-01-11,8.28
2017-01-12,8.19
2017-01-13,8.22
2017-01-17,8.12
2017-01-18,8.19
2017-01-19,8.18
2017-01-20,8.1
2017-01-23,8.15
2017-01-24,8.36
2017-01-25,8.39
2017-01-26,8.37
2017-01-27,8.33
2017-01-30,8.36
2017-01-31,8.43
2017-02-01,8.4
2017-02-02,8.47
2017-02-03,8.08
2017-02-06,7.91
2017-02-07,7.97
2017-02-08,8.06
2017-02-09,8.31
2017-02-10,8.27
2017-02-13,8.28
2017-02-14,8.39
2017-02-15,8.47
2017-02-16,8.5
2017-02-17,8.55
2017-02-21,8.65
2017-02-22,8.55
2017-02-23,8.45
2017-02-24,8.42
2017-02-27,8.43
2017-02-28,8.37
2017-03-01,8.38
2017-03-02,8.33
2017-03-03,8.32
2017-03-06,8.23
2017-03-07,8.1
2017-03-08,8.13
2017-03-09,8.21
2017-03-10,8.15
2017-03-13,8.12
2017-03-14,8.06
2017-03-15,8.02
2017-03-16,8.02
2017-03-17,8.05
2017-03-20,7.93
2017-03-21,8.15
2017-03-22,8.33
2017-03-23,8.3
2017-03-24,8.28
2017-03-27,8.3
2017-03-28,8.52
2017-03-29,8.69
2017-03-30,8.88
2017-03-31,8.91
2017-04-03,9.06
2017-04-04,8.99
2017-04-05,9.05
2017-04-06,9.01
2017-04-07,8.95
2017-04-10,9.09
2017-04-11,9.06
2017-04-12,9.17
2017-04-13,9.27
2017-04-17,9.4
2017-04-18,9.37
2017-04-19,9.54
2017-04-20,9.57
2017-04-21,9.58
2017-04-24,9.38
2017-04-25,9.44
2017-04-26,9.66
2017-04-27,9.64
2017-04-28,9.49
2017-05-01,9.55
2017-05-02,9.74
2017-05-03,9.6
2017-05-04,9.45
2017-05-05,9.51
2017-05-08,9.42
2017-05-09,9.58
2017-05-10,9.73
2017-05-11,9.77
2017-05-12,9.79
2017-05-15,9.91
2017-05-16,9.92
2017-05-17,9.6
2017-05-18,9.69
2017-05-19,9.7
2017-05-22,9.66
2017-05-23,9.5
2017-05-24,9.58
2017-05-25,9.63
2017-05-26,9.6
2017-05-30,9.51
2017-05-31,9.55
2017-06-01,9.67
2017-06-02,9.56
2017-06-05,9.45
2017-06-06,9.41
2017-06-07,9.24
2017-06-08,9.19
2017-06-09,9.22
2017-06-12,9.23
2017-06-13,9.28
2017-06-14,9.19
2017-06-15,9.11
2017-06-16,9.02
2017-06-19,9.18
2017-06-20,8.51
2017-06-21,8.35
2017-06-22,8.42
2017-06-23,8.31
2017-06-26,8.28
2017-06-27,8.28
2017-06-28,8.34
2017-06-29,8.38
2017-06-30,8.32
2017-07-03,8.35
2017-07-05,8.27
2017-07-06,8.26
2017-07-07,8.28
2017-07-10,8.15
2017-07-11,7.92
2017-07-12,7.94
2017-07-13,8.0
2017-07-14,7.92
2017-07-17,7.84
2017-07-18,7.5
2017-07-19,7.46
2017-07-20,7.12
2017-07-21,6.91
2017-07-24,6.8
2017-07-25,6.97
2017-07-26,6.81
2017-07-27,7.0
2017-07-28,7.01
2017-07-31,6.88
2017-08-01,6.94
2017-08-02,7.02
2017-08-03,6.91
2017-08-04,6.89
2017-08-07,6.79
2017-08-08,6.67
2017-08-09,6.69
2017-08-10,6.45
2017-08-11,6.53
2017-08-14,6.45
2017-08-15,6.46
2017-08-16,6.4
2017-08-17,6.36
2017-08-18,6.22
2017-08-21,6.17
2017-08-22,6.11
2017-08-23,5.94
2017-08-24,6.04
2017-08-25,6.18
2017-08-28,6.24
2017-08-29,6.21
2017-08-30,6.3
2017-08-31,6.33
2017-09-01,6.4
2017-09-05,6.17
2017-09-06,6.36
2017-09-07,6.34
2017-09-08,6.0
2017-09-11,6.1
2017-09-12,6.18
2017-09-13,6.23
2017-09-14,6.21
2017-09-15,6.26
2017-09-18,6.04
2017-09-19,6.07
2017-09-20,6.25
2017-09-21,6.26
2017-09-22,6.29
2017-09-25,6.42
2017-09-26,6.38
2017-09-27,6.28
2017-09-28,6.33
2017-09-29,6.16
2017-10-02,6.04
2017-10-03,6.06
2017-10-04,6.14
2017-10-05,6.21
2017-10-06,6.15
2017-10-09,6.08
2017-10-10,6.22
2017-10-11,6.23
2017-10-12,6.28
2017-10-13,6.53
2017-10-16,6.41
2017-10-17,6.59
2017-10-18,6.36
2017-10-19,6.51
2017-10-20,6.5
2017-10-23,6.41
2017-10-24,6.49
2017-10-25,5.54
2017-10-26,5.63
2017-10-27,5.52
2017-10-30,5.37
2017-10-31,5.44
2017-11-01,5.4
2017-11-02,5.59
2017-11-03,5.47
2017-11-06,5.52
2017-11-07,5.49
2017-11-08,5.48
2017-11-09,5.5
2017-11-10,5.59
2017-11-13,5.55
2017-11-14,5.62
2017-11-15,5.71
2017-11-16,5.67
2017-11-17,5.8
2017-11-20,5.66
2017-11-21,5.59
2017-11-22,5.63
2017-11-24,5.59
2017-11-27,5.49
2017-11-28,5.72
2017-11-29,6.04
2017-11-30,6.09
2017-12-01,6.15
2017-12-04,6.31
2017-12-05,6.31
2017-12-06,6.21
2017-12-07,6.27
2017-12-08,6.32
2017-12-11,6.27
2017-12-12,6.37
2017-12-13,6.39
2017-12-14,6.28
2017-12-15,6.24
2017-12-18,6.27
2017-12-19,6.26
2017-12-20,5.97
2017-12-21,5.85
2017-12-22,5.9
2017-12-26,5.91
2017-12-27,5.91
2017-12-28,5.9
2017-12-29,5.78
2018-01-02,5.86
2018-01-03,6.18
2018-01-04,6.14
2018-01-05,6.28
2018-01-08,6.37
2018-01-09,6.39
