Date,Close
2017-01-03,24.59
2017-01-04,24.81
2017-01-05,24.81
2017-01-06,25.36
2017-01-09,24.88
2017-01-10,24.95
2017-01-11,25.42
2017-01-12,25.33
2017-01-13,25.42
2017-01-17,25.49
2017-01-18,25.68
2017-01-19,25.44
2017-01-20,25.6
2017-01-23,25.44
2017-01-24,25.62
2017-01-25,25.95
2017-01-26,25.99
2017-01-27,26.06
2017-01-30,25.83
2017-01-31,26.21
2017-02-01,25.93
2017-02-02,26.19
2017-02-03,26.3
2017-02-06,26.09
2017-02-07,26.17
2017-02-08,26.42
2017-02-09,26.47
2017-02-10,26.49
2017-02-13,26.67
2017-02-14,26.05
2017-02-15,26.07
2017-02-16,26.37
2017-02-17,26.51
2017-02-21,26.61
2017-02-22,26.57
2017-02-23,26.84
2017-02-24,27.02
2017-02-27,26.79
2017-02-28,27.32
2017-03-01,27.7
2017-03-02,27.77
2017-03-03,27.9
2017-03-06,27.96
2017-03-07,28.0
2017-03-08,27.44
2017-03-09,27.37
2017-03-10,27.71
2017-03-13,27.61
2017-03-14,27.5
2017-03-15,28.09
2017-03-16,27.59
2017-03-17,27.68
2017-03-20,27.45
2017-03-21,27.58
2017-03-22,27.88
2017-03-23,27.75
2017-03-24,27.87
2017-03-27,27.69
2017-03-28,27.69
2017-03-29,27.85
2017-03-30,27.51
2017-03-31,27.57
2017-04-03,27.55
2017-04-04,27.77
2017-04-05,27.84
2017-04-06,27.9
2017-04-07,27.9
2017-04-10,28.0
2017-04-11,27.91
2017-04-12,28.04
2017-04-13,27.94
2017-04-17,28.24
2017-04-18,28.3
2017-04-19,27.97
2017-04-20,27.9
2017-04-21,28.12
2017-04-24,28.32
2017-04-25,28.39
2017-04-26,28.33
2017-04-27,28.64
2017-04-28,28.53
2017-05-01,28.31
2017-05-02,28.19
2017-05-03,28.1
2017-05-04,27.98
2017-05-05,28.05
2017-05-08,27.87
2017-05-09,27.45
2017-05-10,27.54
2017-05-11,27.42
2017-05-12,27.29
2017-05-15,27.42
2017-05-16,27.19
2017-05-17,27.17
2017-05-18,27.21
2017-05-19,27.48
2017-05-22,27.7
2017-05-23,27.75
2017-05-24,27.97
2017-05-25,28.18
2017-05-26,28.33
2017-05-30,28.39
2017-05-31,28.61
2017-06-01,28.93
2017-06-02,28.88
2017-06-05,28.55
2017-06-06,28.5
2017-06-07,28.32
2017-06-08,28.21
2017-06-09,28.24
2017-06-12,28.11
2017-06-13,28.13
2017-06-14,28.37
2017-06-15,28.61
2017-06-16,28.88
2017-06-19,28.71
2017-06-20,28.41
2017-06-21,27.98
2017-06-22,28.09
2017-06-23,28.05
2017-06-26,28.38
2017-06-27,28.18
2017-06-28,27.83
2017-06-29,27.46
2017-06-30,27.38
2017-07-03,27.58
2017-07-05,27.45
2017-07-06,27.28
2017-07-07,27.32
2017-07-10,27.27
2017-07-11,27.16
2017-07-12,27.48
2017-07-13,27.36
2017-07-14,27.62
2017-07-17,27.77
2017-07-18,27.78
2017-07-19,27.63
2017-07-20,28.05
2017-07-21,28.15
2017-07-24,28.17
2017-07-25,27.92
2017-07-26,28.08
2017-07-27,28.13
2017-07-28,28.14
2017-07-31,28.19
2017-08-01,28.25
2017-08-02,28.17
2017-08-03,28.47
2017-08-04,28.54
2017-08-07,28.74
2017-08-08,29.05
2017-08-09,29.06
2017-08-10,29.13
2017-08-11,28.82
2017-08-14,28.8
2017-08-15,28.84
2017-08-16,28.95
2017-08-17,28.77
2017-08-18,29.01
2017-08-21,29.28
2017-08-22,29.51
2017-08-23,29.73
2017-08-24,29.64
2017-08-25,29.73
2017-08-28,29.93
2017-08-29,29.89
2017-08-30,29.66
2017-08-31,29.62
2017-09-01,29.63
2017-09-05,29.62
2017-09-06,29.44
2017-09-07,29.96
2017-09-08,30.01
2017-09-11,30.45
2017-09-12,29.98
2017-09-13,29.94
2017-09-14,30.14
2017-09-15,30.27
2017-09-18,29.98
2017-09-19,29.97
2017-09-20,29.7
2017-09-21,29.49
2017-09-22,29.2
2017-09-25,29.66
2017-09-26,29.64
2017-09-27,29.08
2017-09-28,29.15
2017-09-29,29.21
2017-10-02,28.96
2017-10-03,28.78
2017-10-04,28.99
2017-10-05,29.06
2017-10-06,28.88
2017-10-09,28.73
2017-10-10,29.12
2017-10-11,29.31
2017-10-12,29.72
2017-10-13,29.36
2017-10-16,29.46
2017-10-17,29.53
2017-10-18,29.58
2017-10-19,29.75
2017-10-20,29.7
2017-10-23,29.67
2017-10-24,29.59
2017-10-25,29.38
2017-10-26,29.49
2017-10-27,29.75
2017-10-30,29.47
2017-10-31,29.58
2017-11-01,29.71
2017-11-02,29.74
2017-11-03,29.59
2017-11-06,29.72
2017-11-07,29.95
2017-11-08,29.95
2017-11-09,29.81
2017-11-10,29.41
2017-11-13,29.63
2017-11-14,29.95
2017-11-15,29.35
2017-11-16,29.03
2017-11-17,29.0
2017-11-20,29.12
2017-11-21,29.09
2017-11-22,29.15
2017-11-24,29.03
2017-11-27,29.54
2017-11-28,29.58
2017-11-29,29.67
2017-11-30,30.01
2017-12-01,29.53
2017-12-04,29.36
2017-12-05,28.91
2017-12-06,29.01
