Date,Close
2017-01-03,43.79
2017-01-04,44.54
2017-01-05,44.09
2017-01-06,44.3
2017-01-09,44.52
2017-01-10,45.45
2017-01-11,44.44
2017-01-12,44.35
2017-01-13,44.88
2017-01-17,45.52
2017-01-18,45.75
2017-01-19,45.48
2017-01-20,45.38
2017-01-23,45.17
2017-01-24,45.04
2017-01-25,45.13
2017-01-26,45.28
2017-01-27,45.86
2017-01-30,45.44
2017-01-31,46.15
2017-02-01,46.43
2017-02-02,46.75
2017-02-03,47.03
2017-02-06,46.88
2017-02-07,47.03
2017-02-08,47.24
2017-02-09,47.63
2017-02-10,47.75
2017-02-13,47.81
2017-02-14,47.91
2017-02-15,47.83
2017-02-16,47.63
2017-02-17,48.98
2017-02-21,48.87
2017-02-22,48.74
2017-02-23,49.23
2017-02-24,49.93
2017-02-27,49.74
2017-02-28,49.79
2017-03-01,50.19
2017-03-02,50.29
2017-03-03,48.62
2017-03-06,48.63
2017-03-07,48.37
2017-03-08,48.51
2017-03-09,48.65
2017-03-10,48.58
2017-03-13,48.61
2017-03-14,48.38
2017-03-15,48.67
2017-03-16,48.43
2017-03-17,48.79
2017-03-20,49.06
2017-03-21,48.83
2017-03-22,49.95
2017-03-23,49.92
2017-03-24,49.95
2017-03-27,49.96
2017-03-28,49.76
2017-03-29,49.83
2017-03-30,49.54
2017-03-31,49.97
2017-04-03,49.91
2017-04-04,49.95
2017-04-05,49.33
2017-04-06,49.26
2017-04-07,49.25
2017-04-10,49.26
2017-04-11,49.35
2017-04-12,49.26
2017-04-13,49.07
2017-04-17,49.15
2017-04-18,49.22
2017-04-19,49.56
2017-04-20,50.13
2017-04-21,49.79
2017-04-24,50.38
2017-04-25,50.33
2017-04-26,50.0
2017-04-27,49.84
2017-04-28,50.08
2017-05-01,50.26
2017-05-02,50.53
2017-05-03,50.56
2017-05-04,51.22
2017-05-05,51.43
2017-05-08,51.6
2017-05-09,51.91
2017-05-10,51.83
2017-05-11,51.85
2017-05-12,51.9
2017-05-15,52.47
2017-05-16,52.62
2017-05-17,52.35
2017-05-18,52.6
2017-05-19,53.15
2017-05-22,54.33
2017-05-23,54.27
2017-05-24,54.42
2017-05-25,54.58
2017-05-26,54.37
2017-05-30,54.55
2017-05-31,54.69
2017-06-01,54.95
2017-06-02,59.58
2017-06-05,60.22
2017-06-06,60.4
2017-06-07,60.78
2017-06-08,60.44
2017-06-09,59.36
2017-06-12,59.19
2017-06-13,60.22
2017-06-14,59.75
2017-06-15,59.96
2017-06-16,59.74
2017-06-19,60.53
2017-06-20,60.7
2017-06-21,60.97
2017-06-22,61.26
2017-06-23,61.55
2017-06-26,61.69
2017-06-27,60.81
2017-06-28,60.59
2017-06-29,59.28
2017-06-30,59.86
2017-07-03,59.1
2017-07-05,59.51
2017-07-06,59.05
2017-07-07,60.68
2017-07-10,61.04
2017-07-11,61.13
2017-07-12,61.98
2017-07-13,61.61
2017-07-14,62.59
2017-07-17,62.99
2017-07-18,63.3
2017-07-19,63.72
2017-07-20,63.5
2017-07-21,62.1
