Date,Close
2017-01-03,29.08
2017-01-04,29.33
2017-01-05,29.07
2017-01-06,29.18
2017-01-09,28.87
2017-01-10,28.7
2017-01-11,28.83
2017-01-12,28.6
2017-01-13,28.64
2017-01-17,28.42
2017-01-18,28.49
2017-01-19,28.44
2017-01-20,28.47
2017-01-23,28.46
2017-01-24,28.88
2017-01-25,29.19
2017-01-26,29.35
2017-01-27,29.32
2017-01-30,29.05
2017-01-31,29.03
2017-02-01,28.71
2017-02-02,28.81
2017-02-03,29.03
2017-02-06,28.74
2017-02-07,28.7
2017-02-08,28.59
2017-02-09,28.84
2017-02-10,29.18
2017-02-13,29.25
2017-02-14,29.26
2017-02-15,29.6
2017-02-16,29.88
2017-02-17,29.65
2017-02-21,29.61
2017-02-22,29.7
2017-02-23,29.61
2017-02-24,29.77
2017-02-27,29.78
2017-02-28,29.5
2017-03-01,29.91
2017-03-02,29.64
2017-03-03,29.6
2017-03-06,29.65
2017-03-07,29.57
2017-03-08,29.59
2017-03-09,29.47
2017-03-10,29.76
2017-03-13,29.78
2017-03-14,29.61
2017-03-15,29.87
2017-03-16,29.81
2017-03-17,31.22
2017-03-20,31.08
2017-03-21,30.95
2017-03-22,31.09
2017-03-23,31.49
2017-03-24,31.28
2017-03-27,31.28
2017-03-28,31.55
2017-03-29,31.61
2017-03-30,31.75
2017-03-31,31.64
2017-04-03,31.19
2017-04-04,31.21
2017-04-05,30.94
2017-04-06,30.8
2017-04-07,30.64
2017-04-10,30.67
2017-04-11,30.74
2017-04-12,30.6
2017-04-13,30.42
2017-04-17,30.75
2017-04-18,30.59
2017-04-19,30.66
2017-04-20,30.78
2017-04-21,30.79
2017-04-24,31.36
2017-04-25,31.28
2017-04-26,31.06
2017-04-27,30.99
2017-04-28,30.62
2017-05-01,30.4
2017-05-02,30.45
2017-05-03,30.22
2017-05-04,30.49
2017-05-05,30.75
2017-05-08,30.23
2017-05-09,30.38
2017-05-10,30.36
2017-05-11,30.64
2017-05-12,30.58
2017-05-15,30.59
2017-05-16,30.64
2017-05-17,30.04
2017-05-18,30.15
2017-05-19,30.26
2017-05-22,30.44
2017-05-23,30.6
2017-05-24,31.17
2017-05-25,31.39
2017-05-26,31.29
2017-05-30,31.19
2017-05-31,31.47
2017-06-01,31.73
2017-06-02,32.07
2017-06-05,31.65
2017-06-06,31.16
2017-06-07,31.12
2017-06-08,30.92
2017-06-09,30.93
2017-06-12,31.58
2017-06-13,31.81
2017-06-14,31.99
2017-06-15,31.95
2017-06-16,32.61
2017-06-19,32.84
2017-06-20,32.52
2017-06-21,32.4
2017-06-22,32.29
2017-06-23,32.35
2017-06-26,32.38
2017-06-27,31.46
2017-06-28,31.69
2017-06-29,31.09
2017-06-30,31.51
2017-07-03,31.5
2017-07-05,31.53
2017-07-06,30.93
2017-07-07,31.53
2017-07-10,31.64
2017-07-11,31.46
2017-07-12,31.79
2017-07-13,31.62
2017-07-14,31.61
2017-07-17,31.55
2017-07-18,31.36
2017-07-19,31.52
2017-07-20,31.7
2017-07-21,34.61
2017-07-24,34.55
2017-07-25,34.33
2017-07-26,34.28
2017-07-27,33.96
2017-07-28,33.9
2017-07-31,33.71
2017-08-01,33.88
2017-08-02,33.75
2017-08-03,33.53
2017-08-04,33.75
2017-08-07,33.61
2017-08-08,33.35
2017-08-09,33.33
2017-08-10,32.7
2017-08-11,32.58
2017-08-14,33.24
