Date,Close
2017-01-03,34.3
2017-01-04,34.57
2017-01-05,34.41
2017-01-06,34.2
2017-01-09,34.41
2017-01-10,34.34
2017-01-11,34.69
2017-01-12,34.71
2017-01-13,34.41
2017-01-17,34.13
2017-01-18,34.36
2017-01-19,33.99
2017-01-20,34.16
2017-01-23,34.02
2017-01-24,35.51
2017-01-25,35.85
2017-01-26,36.57
2017-01-27,36.51
2017-01-30,35.81
2017-01-31,35.5
2017-02-01,35.9
2017-02-02,35.64
2017-02-03,35.85
2017-02-06,35.74
2017-02-07,35.6
2017-02-08,35.56
2017-02-09,35.88
2017-02-10,36.43
2017-02-13,36.65
2017-02-14,36.75
2017-02-15,36.38
2017-02-16,36.56
2017-02-17,36.47
2017-02-21,36.45
2017-02-22,37.91
2017-02-23,37.73
2017-02-24,37.84
2017-02-27,37.46
2017-02-28,37.07
2017-03-01,37.78
2017-03-02,37.72
2017-03-03,37.67
2017-03-06,37.82
2017-03-07,37.6
2017-03-08,37.68
2017-03-09,37.83
2017-03-10,38.01
2017-03-13,38.17
2017-03-14,37.92
2017-03-15,38.37
2017-03-16,38.02
2017-03-17,38.13
2017-03-20,38.4
2017-03-21,37.56
2017-03-22,37.38
2017-03-23,38.0
2017-03-24,37.56
2017-03-27,38.12
2017-03-28,38.7
2017-03-29,38.36
2017-03-30,38.21
2017-03-31,37.83
2017-04-03,37.55
2017-04-04,37.63
2017-04-05,37.82
2017-04-06,37.87
2017-04-07,37.62
2017-04-10,37.67
2017-04-11,37.21
2017-04-12,36.87
2017-04-13,36.36
2017-04-17,36.75
2017-04-18,36.61
2017-04-19,36.65
2017-04-20,36.88
2017-04-21,37.01
2017-04-24,37.4
2017-04-25,38.59
2017-04-26,38.3
2017-04-27,37.62
2017-04-28,37.39
2017-05-01,37.23
2017-05-02,37.23
2017-05-03,36.74
2017-05-04,36.57
2017-05-05,37.56
2017-05-08,37.13
2017-05-09,36.82
2017-05-10,36.74
2017-05-11,36.83
2017-05-12,36.94
2017-05-15,37.15
2017-05-16,37.09
2017-05-17,35.85
2017-05-18,36.07
2017-05-19,36.49
2017-05-22,36.31
2017-05-23,36.19
2017-05-24,36.59
2017-05-25,36.11
2017-05-26,36.36
2017-05-30,36.26
2017-05-31,36.89
2017-06-01,37.37
2017-06-02,37.54
2017-06-05,37.64
2017-06-06,37.95
2017-06-07,38.09
2017-06-08,38.09
2017-06-09,38.55
2017-06-12,38.11
2017-06-13,38.86
2017-06-14,38.42
2017-06-15,38.17
2017-06-16,38.34
2017-06-19,38.83
2017-06-20,38.76
2017-06-21,37.92
2017-06-22,38.0
2017-06-23,37.79
2017-06-26,37.85
2017-06-27,37.56
2017-06-28,37.66
2017-06-29,37.34
2017-06-30,37.55
2017-07-03,38.07
2017-07-05,37.76
2017-07-06,37.85
2017-07-07,38.04
2017-07-10,38.41
2017-07-11,38.44
2017-07-12,39.46
2017-07-13,39.06
2017-07-14,39.44
2017-07-17,39.37
2017-07-18,39.15
2017-07-19,39.75
2017-07-20,39.53
2017-07-21,39.38
2017-07-24,39.43
2017-07-25,39.8
2017-07-26,39.55
2017-07-27,39.36
2017-07-28,39.1
2017-07-31,38.25
2017-08-01,38.51
2017-08-02,38.28
2017-08-03,37.77
2017-08-04,38.17
2017-08-07,38.03
2017-08-08,37.75
2017-08-09,37.81
2017-08-10,37.58
2017-08-11,37.67
2017-08-14,37.75
2017-08-15,37.91
2017-08-16,38.07
2017-08-17,37.62
2017-08-18,37.75
2017-08-21,38.02
2017-08-22,38.57
2017-08-23,38.45
2017-08-24,38.31
2017-08-25,38.43
2017-08-28,38.51
2017-08-29,38.24
2017-08-30,38.64
2017-08-31,39.69
2017-09-01,40.0
2017-09-05,38.69
2017-09-06,38.62
2017-09-07,38.51
2017-09-08,38.61
2017-09-11,39.8
2017-09-12,40.8
2017-09-13,41.38
2017-09-14,41.69
2017-09-15,41.59
2017-09-18,41.54
2017-09-19,41.71
2017-09-20,41.92
2017-09-21,41.87
2017-09-22,41.65
2017-09-25,41.88
2017-09-26,41.29
2017-09-27,40.96
2017-09-28,41.12
2017-09-29,41.22
2017-10-02,41.93
2017-10-03,41.89
2017-10-04,41.95
2017-10-05,42.26
2017-10-06,42.41
2017-10-09,42.68
2017-10-10,42.62
2017-10-11,42.64
2017-10-12,42.51
2017-10-13,42.53
2017-10-16,42.23
2017-10-17,42.2
2017-10-18,42.14
2017-10-19,42.21
2017-10-20,42.38
2017-10-23,42.6
2017-10-24,42.79
2017-10-25,42.33
2017-10-26,43.49
2017-10-27,43.19
2017-10-30,42.68
2017-10-31,43.05
2017-11-01,43.66
2017-11-02,42.89
2017-11-03,42.37
2017-11-06,41.82
2017-11-07,42.36
2017-11-08,42.16
2017-11-09,41.82
2017-11-10,41.66
2017-11-13,41.95
2017-11-14,40.83
2017-11-15,41.07
2017-11-16,42.08
2017-11-17,42.12
2017-11-20,42.18
2017-11-21,42.43
2017-11-22,42.03
2017-11-24,42.37
2017-11-27,41.76
2017-11-28,42.33
2017-11-29,42.74
2017-11-30,42.85
2017-12-01,42.28
2017-12-04,42.95
2017-12-05,42.59
2017-12-06,42.32
2017-12-07,42.49
2017-12-08,42.11
2017-12-11,42.16
2017-12-12,42.15
2017-12-13,42.01
2017-12-14,41.87
2017-12-15,41.68
2017-12-18,42.51
2017-12-19,42.52
2017-12-20,42.44
2017-12-21,42.65
2017-12-22,42.93
2017-12-26,42.54
2017-12-27,42.54
2017-12-28,42.58
2017-12-29,42.41
2018-01-02,42.81
2018-01-03,43.49
2018-01-04,44.33
2018-01-05,44.9
2018-01-08,44.75
2018-01-09,44.86
2018-01-10,44.18
2018-01-11,44.79
2018-01-12,44.9
2018-01-16,44.63
2018-01-17,45.11
2018-01-18,45.27
2018-01-19,45.26
2018-01-22,45.36
2018-01-23,45.33
2018-01-24,45.26
2018-01-25,45.64
2018-01-26,45.86
2018-01-29,45.17
2018-01-30,44.73
2018-01-31,45.0
2018-02-01,43.76
2018-02-02,42.21
2018-02-05,40.39
2018-02-06,42.8
2018-02-07,42.03
2018-02-08,40.61
2018-02-09,41.37
2018-02-12,42.77
2018-02-13,42.13
2018-02-14,42.47
2018-02-15,42.78
2018-02-16,42.84
2018-02-20,42.64
2018-02-21,42.25
2018-02-22,42.83
2018-02-23,43.62
2018-02-26,44.1
2018-02-27,43.08
2018-02-28,41.86
2018-03-01,40.94
2018-03-02,40.74
2018-03-05,41.48
2018-03-06,42.15
2018-03-07,41.78
2018-03-08,42.03
2018-03-09,43.0
2018-03-12,42.48
2018-03-13,42.02
2018-03-14,41.08
2018-03-15,40.41
2018-03-16,40.46
2018-03-19,39.63
2018-03-20,39.53
2018-03-21,40.15
2018-03-22,39.07
2018-03-23,37.55
2018-03-26,38.39
2018-03-27,37.89
2018-03-28,37.16
2018-03-29,37.93
2018-04-02,36.94
2018-04-03,37.7
2018-04-04,37.92
2018-04-05,38.96
2018-04-06,37.93
2018-04-09,37.92
2018-04-10,39.23
2018-04-11,38.54
2018-04-12,39.58
2018-04-13,39.4
2018-04-16,39.9
2018-04-17,40.22
2018-04-18,40.52
2018-04-19,39.61
2018-04-20,39.32
2018-04-23,39.06
2018-04-24,37.62
2018-04-25,37.89
2018-04-26,38.13
2018-04-27,38.3
2018-04-30,37.65
2018-05-01,37.55
2018-05-02,37.8
2018-05-03,37.79
2018-05-04,38.38
2018-05-07,38.65
2018-05-08,38.24
2018-05-09,39.31
2018-05-10,39.86
2018-05-11,39.85
2018-05-14,40.21
2018-05-15,39.98
2018-05-16,40.51
2018-05-17,40.58
2018-05-18,40.23
2018-05-21,40.86
2018-05-22,40.17
2018-05-23,39.92
2018-05-24,39.52
2018-05-25,39.13
2018-05-29,38.07
2018-05-30,38.58
2018-05-31,38.17
2018-06-01,39.4
2018-06-04,39.97
2018-06-05,40.42
2018-06-06,41.7
2018-06-07,41.33
2018-06-08,41.38
2018-06-11,41.38
2018-06-12,41.55
2018-06-13,40.83
2018-06-14,40.72
2018-06-15,40.34
2018-06-18,40.36
2018-06-19,39.51
2018-06-20,39.23
2018-06-21,38.87
2018-06-22,39.89
2018-06-25,39.28
2018-06-26,39.48
2018-06-27,39.06
2018-06-28,39.38
2018-06-29,39.25
