Date,Close
2017-01-03,69.83
2017-01-04,70.27
2017-01-05,70.92
2017-01-06,71.29
2017-01-09,71.44
2017-01-10,71.89
2017-01-11,72.11
2017-01-12,72.06
2017-01-13,72.12
2017-01-17,71.72
2017-01-18,71.97
2017-01-19,71.44
2017-01-20,71.38
2017-01-23,70.91
2017-01-24,70.94
2017-01-25,71.83
2017-01-26,71.61
2017-01-27,71.76
2017-01-30,71.23
2017-01-31,74.39
2017-02-01,74.05
2017-02-02,74.19
2017-02-03,74.18
2017-02-06,73.56
2017-02-07,73.64
2017-02-08,73.55
2017-02-09,74.24
2017-02-10,74.44
2017-02-13,74.63
2017-02-14,74.55
2017-02-15,75.0
2017-02-16,74.68
2017-02-17,74.5
2017-02-21,75.12
2017-02-22,75.17
2017-02-23,75.46
2017-02-24,76.3
2017-02-27,76.35
2017-02-28,75.83
2017-03-01,77.35
2017-03-02,76.78
2017-03-03,76.97
2017-03-06,76.31
2017-03-07,76.29
2017-03-08,76.78
2017-03-09,77.39
2017-03-10,77.79
2017-03-13,77.56
2017-03-14,76.99
2017-03-15,77.53
2017-03-16,76.59
2017-03-17,76.82
2017-03-20,76.65
2017-03-21,76.48
2017-03-22,76.51
2017-03-23,76.5
2017-03-24,76.24
2017-03-27,76.27
2017-03-28,76.13
2017-03-29,75.89
2017-03-30,75.98
2017-03-31,75.81
2017-04-03,75.77
2017-04-04,75.58
2017-04-05,76.03
2017-04-06,76.35
2017-04-07,76.29
2017-04-10,76.33
2017-04-11,76.42
2017-04-12,76.01
2017-04-13,76.04
2017-04-17,76.85
2017-04-18,76.71
2017-04-19,76.62
2017-04-20,73.47
2017-04-21,72.42
2017-04-24,73.09
2017-04-25,73.84
2017-04-26,73.55
2017-04-27,73.49
2017-04-28,73.86
2017-05-01,73.69
2017-05-02,73.57
2017-05-03,73.4
2017-05-04,74.53
2017-05-05,74.33
2017-05-08,73.92
2017-05-09,73.72
2017-05-10,73.76
2017-05-11,73.38
2017-05-12,73.43
2017-05-15,73.82
2017-05-16,73.58
2017-05-17,72.6
2017-05-18,72.49
2017-05-19,72.81
2017-05-22,73.49
2017-05-23,74.41
2017-05-24,74.42
2017-05-25,74.91
2017-05-26,74.81
2017-05-30,75.18
2017-05-31,75.29
2017-06-01,76.32
2017-06-02,76.98
2017-06-05,76.7
2017-06-06,75.99
2017-06-07,75.73
2017-06-08,74.95
2017-06-09,74.89
2017-06-12,74.52
2017-06-13,74.61
2017-06-14,74.87
2017-06-15,74.79
2017-06-16,74.88
2017-06-19,75.58
2017-06-20,75.95
2017-06-21,76.66
2017-06-22,76.2
2017-06-23,75.93
2017-06-26,75.76
