Date,Close
2017-01-03,77.73
2017-01-04,77.65
2017-01-05,77.75
2017-01-06,77.49
2017-01-09,76.64
2017-01-10,76.5
2017-01-11,77.1
2017-01-12,77.54
2017-01-13,77.21
2017-01-17,77.46
2017-01-18,77.5
2017-01-19,77.12
2017-01-20,77.33
2017-01-23,77.03
2017-01-24,77.18
2017-01-25,77.08
2017-01-26,77.12
2017-01-27,76.94
2017-01-30,77.12
2017-01-31,78.54
2017-02-01,77.36
2017-02-02,77.79
2017-02-03,77.65
2017-02-06,77.57
2017-02-07,77.75
2017-02-08,78.64
2017-02-09,77.75
2017-02-10,78.1
2017-02-13,78.69
2017-02-14,78.04
2017-02-15,76.78
2017-02-16,78.9
2017-02-17,78.36
2017-02-21,79.09
2017-02-22,79.87
2017-02-23,80.91
2017-02-24,81.96
2017-02-27,81.86
2017-02-28,82.55
2017-03-01,81.93
2017-03-02,82.36
2017-03-03,81.91
2017-03-06,81.87
2017-03-07,81.69
2017-03-08,80.32
2017-03-09,80.05
2017-03-10,80.64
2017-03-13,80.87
2017-03-14,80.87
2017-03-15,82.0
2017-03-16,81.62
2017-03-17,81.84
2017-03-20,81.18
2017-03-21,82.68
2017-03-22,82.76
2017-03-23,82.68
2017-03-24,82.99
2017-03-27,82.79
2017-03-28,82.93
2017-03-29,82.42
2017-03-30,82.04
2017-03-31,82.01
2017-04-03,82.25
2017-04-04,82.37
2017-04-05,82.87
2017-04-06,82.59
2017-04-07,82.26
2017-04-10,82.4
2017-04-11,82.19
2017-04-12,82.78
2017-04-13,82.59
2017-04-17,82.93
2017-04-18,82.86
2017-04-19,82.35
2017-04-20,82.03
2017-04-21,82.21
2017-04-24,82.58
2017-04-25,82.69
2017-04-26,82.6
2017-04-27,82.9
2017-04-28,82.5
2017-05-01,82.07
2017-05-02,82.39
2017-05-03,82.04
2017-05-04,82.59
2017-05-05,82.98
2017-05-08,82.92
2017-05-09,82.11
2017-05-10,82.48
2017-05-11,83.0
2017-05-12,83.48
2017-05-15,83.58
2017-05-16,83.12
2017-05-17,82.78
2017-05-18,83.25
2017-05-19,83.37
2017-05-22,84.1
2017-05-23,84.3
2017-05-24,84.69
2017-05-25,85.14
2017-05-26,85.07
2017-05-30,85.41
2017-05-31,85.68
2017-06-01,86.4
2017-06-02,86.28
2017-06-05,85.83
2017-06-06,85.81
2017-06-07,86.09
2017-06-08,85.38
2017-06-09,85.72
2017-06-12,85.62
2017-06-13,85.95
2017-06-14,86.32
2017-06-15,86.95
2017-06-16,87.14
2017-06-19,86.89
2017-06-20,86.91
2017-06-21,86.57
2017-06-22,86.28
2017-06-23,85.96
2017-06-26,86.7
2017-06-27,85.7
2017-06-28,84.97
2017-06-29,84.03
2017-06-30,83.59
2017-07-03,83.31
2017-07-05,83.29
2017-07-06,83.21
2017-07-07,83.42
2017-07-10,83.19
2017-07-11,83.18
2017-07-12,83.98
2017-07-13,83.37
2017-07-14,83.84
2017-07-17,84.03
2017-07-18,84.19
2017-07-19,84.35
2017-07-20,84.93
2017-07-21,85.2
2017-07-24,84.55
2017-07-25,83.81
2017-07-26,84.45
2017-07-27,85.05
2017-07-28,84.91
2017-07-31,85.12
2017-08-01,85.17
2017-08-02,85.74
2017-08-03,86.51
2017-08-04,86.48
2017-08-07,86.26
2017-08-08,86.6
2017-08-09,86.2
2017-08-10,86.39
2017-08-11,85.7
2017-08-14,86.12
2017-08-15,86.89
2017-08-16,86.31
2017-08-17,85.87
2017-08-18,86.38
2017-08-21,86.58
2017-08-22,86.55
2017-08-23,86.88
2017-08-24,86.77
2017-08-25,87.23
2017-08-28,87.42
2017-08-29,87.5
2017-08-30,87.28
2017-08-31,87.3
2017-09-01,87.09
2017-09-05,87.41
2017-09-06,86.99
2017-09-07,87.34
2017-09-08,87.78
2017-09-11,88.34
2017-09-12,87.28
2017-09-13,86.77
2017-09-14,87.5
2017-09-15,87.3
2017-09-18,86.06
2017-09-19,85.98
2017-09-20,85.2
2017-09-21,85.16
2017-09-22,84.25
2017-09-25,85.14
2017-09-26,84.82
2017-09-27,83.94
2017-09-28,84.26
2017-09-29,83.92
2017-10-02,84.36
2017-10-03,83.85
2017-10-04,84.47
2017-10-05,84.29
2017-10-06,84.64
2017-10-09,84.82
2017-10-10,85.79
2017-10-11,86.39
2017-10-12,86.97
2017-10-13,86.79
2017-10-16,87.13
2017-10-17,87.51
2017-10-18,87.04
2017-10-19,87.85
2017-10-20,87.93
2017-10-23,87.54
2017-10-24,87.99
2017-10-25,87.75
2017-10-26,87.36
2017-10-27,87.95
2017-10-30,88.11
2017-10-31,88.31
2017-11-01,87.86
2017-11-02,88.56
2017-11-03,88.52
2017-11-06,87.87
2017-11-07,89.36
2017-11-08,89.23
2017-11-09,89.63
2017-11-10,88.89
2017-11-13,89.88
2017-11-14,91.09
2017-11-15,90.58
2017-11-16,89.21
2017-11-17,88.52
2017-11-20,88.66
2017-11-21,88.81
2017-11-22,88.63
2017-11-24,88.78
2017-11-27,88.88
2017-11-28,88.98
2017-11-29,89.0
2017-11-30,89.18
