Date,Close
2017-01-03,77.33
2017-01-04,78.7
2017-01-05,78.6
2017-01-06,79.16
2017-01-09,78.24
2017-01-10,77.35
2017-01-11,78.33
2017-01-12,79.14
2017-01-13,78.79
2017-01-17,79.85
2017-01-18,79.27
2017-01-19,78.89
2017-01-20,79.63
2017-01-23,79.65
2017-01-24,80.79
2017-01-25,82.01
2017-01-26,81.96
2017-01-27,80.96
2017-01-30,80.87
2017-01-31,81.21
2017-02-01,79.92
2017-02-02,82.0
2017-02-03,83.02
2017-02-06,82.82
2017-02-07,83.4
2017-02-08,82.49
2017-02-09,82.66
2017-02-10,82.59
2017-02-13,82.59
2017-02-14,83.25
2017-02-15,83.54
2017-02-16,83.27
2017-02-17,85.0
2017-02-21,84.64
2017-02-22,84.2
2017-02-23,84.02
2017-02-24,83.75
2017-02-27,82.97
2017-02-28,82.85
2017-03-01,84.05
2017-03-02,82.92
2017-03-03,82.95
2017-03-06,82.71
2017-03-07,82.77
2017-03-08,82.93
2017-03-09,82.88
2017-03-10,85.78
2017-03-13,85.37
2017-03-14,84.78
2017-03-15,85.33
2017-03-16,85.58
2017-03-17,85.96
2017-03-20,86.51
2017-03-21,86.48
2017-03-22,86.53
2017-03-23,86.52
2017-03-24,86.01
2017-03-27,85.82
2017-03-28,85.61
2017-03-29,85.52
2017-03-30,85.34
2017-03-31,84.79
2017-04-03,83.5
2017-04-04,85.06
2017-04-05,85.24
2017-04-06,84.37
2017-04-07,84.15
2017-04-10,84.72
2017-04-11,84.85
2017-04-12,84.92
2017-04-13,84.94
2017-04-17,85.36
2017-04-18,86.29
2017-04-19,85.62
2017-04-20,86.03
2017-04-21,85.18
2017-04-24,85.99
2017-04-25,87.38
2017-04-26,87.81
2017-04-27,87.42
2017-04-28,87.14
2017-05-01,87.18
2017-05-02,87.48
2017-05-03,91.3
2017-05-04,91.86
2017-05-05,92.86
2017-05-08,92.61
2017-05-09,92.98
2017-05-10,94.08
2017-05-11,92.9
2017-05-12,92.93
2017-05-15,92.61
2017-05-16,91.9
2017-05-17,92.1
2017-05-18,91.38
