Date,Close
2017-01-03,55.08
2017-01-04,55.27
2017-01-05,55.28
2017-01-06,55.26
2017-01-09,54.57
2017-01-10,54.28
2017-01-11,55.06
2017-01-12,55.31
2017-01-13,55.15
2017-01-17,55.72
2017-01-18,55.52
2017-01-19,55.07
2017-01-20,55.0
2017-01-23,54.74
2017-01-24,54.55
2017-01-25,54.3
2017-01-26,54.53
2017-01-27,54.25
2017-01-30,54.43
2017-01-31,55.32
2017-02-01,54.7
2017-02-02,55.35
2017-02-03,55.72
2017-02-06,55.68
2017-02-07,55.78
2017-02-08,56.49
2017-02-09,56.05
2017-02-10,56.42
2017-02-13,56.49
2017-02-14,55.95
2017-02-15,55.76
2017-02-16,56.29
2017-02-17,56.15
2017-02-21,56.84
2017-02-22,57.6
2017-02-23,58.12
2017-02-24,59.03
2017-02-27,58.72
2017-02-28,58.66
2017-03-01,58.19
2017-03-02,58.59
2017-03-03,58.28
2017-03-06,58.35
2017-03-07,58.56
2017-03-08,57.52
2017-03-09,57.38
2017-03-10,57.71
2017-03-13,58.04
2017-03-14,58.33
2017-03-15,59.13
2017-03-16,58.54
2017-03-17,58.93
2017-03-20,58.48
2017-03-21,59.44
2017-03-22,59.71
2017-03-23,59.67
2017-03-24,60.01
2017-03-27,59.55
2017-03-28,59.49
2017-03-29,59.07
2017-03-30,58.62
2017-03-31,58.78
2017-04-03,58.89
2017-04-04,58.86
2017-04-05,59.41
2017-04-06,59.54
2017-04-07,59.4
2017-04-10,59.28
2017-04-11,59.21
2017-04-12,59.88
2017-04-13,59.62
2017-04-17,60.29
2017-04-18,60.14
2017-04-19,59.64
2017-04-20,59.44
2017-04-21,59.8
2017-04-24,60.03
2017-04-25,60.0
2017-04-26,59.74
2017-04-27,59.77
2017-04-28,59.4
2017-05-01,59.14
2017-05-02,59.22
2017-05-03,59.11
2017-05-04,59.49
2017-05-05,59.55
2017-05-08,59.76
2017-05-09,59.35
2017-05-10,59.23
2017-05-11,59.48
2017-05-12,59.88
2017-05-15,60.15
2017-05-16,59.63
2017-05-17,60.19
2017-05-18,60.24
2017-05-19,60.11
2017-05-22,60.74
2017-05-23,61.14
2017-05-24,61.41
2017-05-25,61.84
2017-05-26,61.4
2017-05-30,61.48
2017-05-31,62.07
2017-06-01,62.35
2017-06-02,62.37
2017-06-05,62.29
2017-06-06,62.16
2017-06-07,62.58
2017-06-08,62.11
2017-06-09,62.3
2017-06-12,62.25
2017-06-13,62.16
2017-06-14,62.45
2017-06-15,62.62
2017-06-16,63.24
2017-06-19,62.79
2017-06-20,62.85
2017-06-21,62.72
2017-06-22,62.2
2017-06-23,62.25
2017-06-26,62.66
2017-06-27,61.99
2017-06-28,61.23
2017-06-29,60.7
2017-06-30,60.71
2017-07-03,60.41
2017-07-05,60.07
2017-07-06,59.99
2017-07-07,60.07
2017-07-10,59.91
2017-07-11,59.82
2017-07-12,60.02
2017-07-13,59.9
2017-07-14,60.22
2017-07-17,60.32
2017-07-18,60.44
2017-07-19,60.67
2017-07-20,61.21
2017-07-21,61.54
2017-07-24,60.74
2017-07-25,60.48
2017-07-26,60.94
2017-07-27,60.71
2017-07-28,60.53
2017-07-31,60.79
2017-08-01,60.89
2017-08-02,61.06
2017-08-03,61.88
2017-08-04,61.58
2017-08-07,62.05
2017-08-08,62.31
2017-08-09,61.73
2017-08-10,62.22
2017-08-11,61.86
2017-08-14,62.17
2017-08-15,62.57
2017-08-16,62.8
2017-08-17,62.46
2017-08-18,63.06
2017-08-21,62.97
2017-08-22,62.91
2017-08-23,63.14
2017-08-24,62.97
2017-08-25,63.08
2017-08-28,63.27
2017-08-29,63.29
2017-08-30,63.24
2017-08-31,63.0
2017-09-01,62.57
2017-09-05,62.95
2017-09-06,62.61
2017-09-07,63.2
2017-09-08,63.49
2017-09-11,64.11
2017-09-12,62.64
2017-09-13,62.37
2017-09-14,63.05
2017-09-15,62.86
2017-09-18,61.69
2017-09-19,61.77
2017-09-20,61.48
2017-09-21,61.44
2017-09-22,60.71
2017-09-25,61.47
2017-09-26,61.34
2017-09-27,60.43
2017-09-28,60.57
2017-09-29,60.44
2017-10-02,60.38
2017-10-03,60.21
2017-10-04,60.79
2017-10-05,60.63
2017-10-06,60.38
2017-10-09,60.32
2017-10-10,60.66
2017-10-11,61.3
2017-10-12,61.67
2017-10-13,61.65
2017-10-16,61.2
2017-10-17,61.74
2017-10-18,61.44
2017-10-19,62.06
2017-10-20,62.13
2017-10-23,62.37
2017-10-24,62.42
2017-10-25,62.33
2017-10-26,62.24
2017-10-27,62.79
2017-10-30,62.49
2017-10-31,62.64
2017-11-01,62.68
2017-11-02,63.23
2017-11-03,63.54
2017-11-06,63.7
2017-11-07,64.52
2017-11-08,64.63
2017-11-09,64.68
2017-11-10,64.07
2017-11-13,64.76
2017-11-14,65.81
2017-11-15,65.0
2017-11-16,64.89
2017-11-17,64.21
2017-11-20,63.84
2017-11-21,63.93
2017-11-22,63.81
2017-11-24,64.33
2017-11-27,64.42
2017-11-28,64.56
2017-11-29,64.61
2017-11-30,64.85
2017-12-01,65.43
2017-12-04,65.48
2017-12-05,64.88
2017-12-06,65.11
2017-12-07,64.91
2017-12-08,65.22
2017-12-11,65.7
2017-12-12,64.21
2017-12-13,65.08
2017-12-14,64.78
2017-12-15,64.62
2017-12-18,63.91
2017-12-19,62.59
2017-12-20,62.22
2017-12-21,61.98
2017-12-22,62.37
2017-12-26,61.96
2017-12-27,62.53
2017-12-28,62.95
2017-12-29,63.18
2018-01-02,63.15
2018-01-03,62.59
2018-01-04,61.71
2018-01-05,61.82
2018-01-08,62.25
2018-01-09,61.78
2018-01-10,61.32
2018-01-11,61.52
2018-01-12,61.35
2018-01-16,60.95
2018-01-17,61.65
2018-01-18,60.81
2018-01-19,60.79
2018-01-22,60.76
2018-01-23,61.12
2018-01-24,61.13
2018-01-25,64.57
2018-01-26,64.07
2018-01-29,62.44
2018-01-30,62.56
2018-01-31,63.09
2018-02-01,60.16
2018-02-02,59.35
2018-02-05,58.33
2018-02-06,57.54
2018-02-07,56.89
2018-02-08,56.11
2018-02-09,57.02
2018-02-12,57.53
2018-02-13,57.62
2018-02-14,57.58
2018-02-15,58.57
2018-02-16,59.12
2018-02-20,58.17
2018-02-21,57.36
2018-02-22,57.48
2018-02-23,59.47
2018-02-26,58.82
2018-02-27,57.39
2018-02-28,57.0
2018-03-01,56.55
2018-03-02,57.1
2018-03-05,57.72
2018-03-06,56.68
2018-03-07,56.29
2018-03-08,56.87
2018-03-09,57.24
2018-03-12,57.06
2018-03-13,56.68
2018-03-14,57.19
2018-03-15,57.58
2018-03-16,58.26
2018-03-19,58.04
2018-03-20,57.67
2018-03-21,57.46
2018-03-22,57.51
2018-03-23,56.79
2018-03-26,57.53
2018-03-27,58.59
2018-03-28,58.47
2018-03-29,58.92
2018-04-02,58.67
2018-04-03,59.3
2018-04-04,59.53
2018-04-05,60.01
2018-04-06,59.65
2018-04-09,59.71
2018-04-10,59.31
2018-04-11,59.41
2018-04-12,58.64
2018-04-13,59.03
2018-04-16,59.68
2018-04-17,60.24
2018-04-18,59.9
2018-04-19,59.86
2018-04-20,59.22
2018-04-23,59.21
2018-04-24,59.44
2018-04-25,59.37
2018-04-26,60.02
2018-04-27,60.62
2018-04-30,60.25
2018-05-01,59.75
2018-05-02,59.69
2018-05-03,58.87
2018-05-04,59.04
2018-05-07,58.73
2018-05-08,57.32
2018-05-09,57.0
2018-05-10,57.95
2018-05-11,58.04
2018-05-14,57.53
2018-05-15,57.39
2018-05-16,57.44
2018-05-17,57.1
2018-05-18,57.32
2018-05-21,57.47
2018-05-22,57.78
2018-05-23,56.54
2018-05-24,56.63
2018-05-25,56.26
2018-05-29,56.81
2018-05-30,57.14
2018-05-31,57.08
2018-06-01,55.8
2018-06-04,55.5
2018-06-05,54.99
2018-06-06,53.64
2018-06-07,53.6
2018-06-08,53.56
2018-06-11,52.87
2018-06-12,53.68
2018-06-13,53.43
2018-06-14,53.99
2018-06-15,54.63
2018-06-18,55.09
2018-06-19,55.76
2018-06-20,55.81
2018-06-21,55.7
2018-06-22,56.03
2018-06-25,57.33
2018-06-26,57.55
2018-06-27,57.99
2018-06-28,58.28
2018-06-29,58.61
2018-07-02,59.02
2018-07-03,59.52
2018-07-05,59.72
2018-07-06,60.31
2018-07-09,58.46
2018-07-10,58.72
2018-07-11,59.25
2018-07-12,59.14
2018-07-13,59.14
2018-07-16,59.04
2018-07-17,58.87
2018-07-18,58.52
2018-07-19,59.16
2018-07-20,58.75
2018-07-23,58.46
2018-07-24,58.82
2018-07-25,59.34
2018-07-26,60.36
2018-07-27,60.08
2018-07-30,59.76
2018-07-31,60.72
2018-08-01,59.74
2018-08-02,60.0
2018-08-03,60.93
2018-08-06,61.09
2018-08-07,60.99
2018-08-08,60.95
2018-08-09,61.14
2018-08-10,61.35
2018-08-13,61.75
2018-08-14,61.8
2018-08-15,62.34
2018-08-16,62.99
2018-08-17,63.24
2018-08-20,63.12
2018-08-21,62.81
2018-08-22,62.36
2018-08-23,62.43
2018-08-24,62.76
2018-08-27,62.21
2018-08-28,61.84
2018-08-29,62.18
2018-08-30,62.64
2018-08-31,62.43
2018-09-04,62.42
2018-09-05,63.38
2018-09-06,63.51
2018-09-07,62.81
2018-09-10,63.3
2018-09-11,63.27
2018-09-12,63.21
2018-09-13,63.61
2018-09-14,63.53
2018-09-17,63.77
2018-09-18,63.64
2018-09-19,62.03
2018-09-20,61.77
2018-09-21,62.16
2018-09-24,61.48
2018-09-25,60.68
2018-09-26,60.2
2018-09-27,60.56
2018-09-28,61.44
2018-10-01,61.52
2018-10-02,62.16
2018-10-03,61.09
2018-10-04,61.54
2018-10-05,62.4
2018-10-08,62.83
2018-10-09,63.36
2018-10-10,63.04
2018-10-11,61.68
2018-10-12,61.52
2018-10-15,61.37
2018-10-16,61.96
2018-10-17,62.49
2018-10-18,62.18
2018-10-19,63.33
2018-10-22,63.2
2018-10-23,63.3
2018-10-24,64.87
2018-10-25,63.67
2018-10-26,62.77
2018-10-29,63.93
2018-10-30,64.03
2018-10-31,63.26
2018-11-01,62.69
2018-11-02,62.19
2018-11-05,62.92
2018-11-06,63.47
2018-11-07,64.38
2018-11-08,64.54
2018-11-09,65.14
2018-11-12,65.48
2018-11-13,65.77
2018-11-14,65.43
2018-11-15,66.2
2018-11-16,67.04
2018-11-19,67.38
2018-11-20,67.64
2018-11-21,66.42
2018-11-23,66.82
2018-11-26,66.8
2018-11-27,67.45
2018-11-28,67.43
2018-11-29,67.07
2018-11-30,68.34
2018-12-03,68.74
2018-12-04,68.95
2018-12-06,69.14
2018-12-07,69.46
2018-12-10,69.64
2018-12-11,70.17
2018-12-12,69.45
2018-12-13,70.23
2018-12-14,69.77
2018-12-17,67.25
2018-12-18,67.06
2018-12-19,67.29
2018-12-20,67.17
2018-12-21,66.47
2018-12-24,63.38
2018-12-26,64.24
2018-12-27,64.78
2018-12-28,64.67
2018-12-31,65.04
2019-01-02,63.49
2019-01-03,63.45
2019-01-04,64.09
2019-01-07,63.93
2019-01-08,65.1
2019-01-09,64.75
2019-01-10,66.05
2019-01-11,65.99
2019-01-14,65.58
2019-01-15,66.41
2019-01-16,66.66
2019-01-17,67.28
2019-01-18,67.67
2019-01-22,67.49
2019-01-23,68.3
2019-01-24,68.46
2019-01-25,67.28
2019-01-28,67.11
2019-01-29,67.35
2019-01-30,67.58
2019-01-31,69.41
2019-02-01,69.14
2019-02-04,69.02
2019-02-05,69.31
2019-02-06,69.02
2019-02-07,70.02
2019-02-08,70.05
2019-02-11,70.15
2019-02-12,70.28
2019-02-13,70.06
2019-02-14,70.1
2019-02-15,70.2
2019-02-19,70.4
2019-02-20,70.27
2019-02-21,70.53
2019-02-22,70.3
2019-02-25,69.37
2019-02-26,69.66
2019-02-27,69.66
2019-02-28,69.81
2019-03-01,69.74
2019-03-04,68.97
2019-03-05,68.59
2019-03-06,69.07
2019-03-07,69.39
2019-03-08,69.68
2019-03-11,70.28
2019-03-12,70.51
2019-03-13,70.6
2019-03-14,70.92
2019-03-15,71.73
2019-03-18,71.26
2019-03-19,70.2
2019-03-20,70.22
2019-03-21,70.86
2019-03-22,71.69
2019-03-25,71.77
2019-03-26,71.95
2019-03-27,71.23
2019-03-28,70.34
2019-03-29,70.95
2019-04-01,70.68
2019-04-02,70.73
2019-04-03,70.51
2019-04-04,70.36
2019-04-05,71.08
2019-04-08,70.62
2019-04-09,70.78
2019-04-10,70.31
2019-04-11,70.6
2019-04-12,70.68
2019-04-15,70.78
2019-04-16,70.15
2019-04-17,70.21
2019-04-18,69.96
2019-04-22,69.99
2019-04-23,70.4
2019-04-24,70.86
2019-04-25,70.84
2019-04-26,71.02
2019-04-29,70.58
