Date,Close
2017-01-03,25.09
2017-01-04,25.31
2017-01-05,25.31
2017-01-06,25.73
2017-01-09,25.15
2017-01-10,25.0
2017-01-11,25.24
2017-01-12,25.27
2017-01-13,25.27
2017-01-17,25.58
2017-01-18,25.46
2017-01-19,25.49
2017-01-20,25.53
2017-01-23,25.17
2017-01-24,25.05
2017-01-25,25.21
2017-01-26,25.16
2017-01-27,25.01
2017-01-30,24.99
2017-01-31,25.58
2017-02-01,25.28
2017-02-02,25.54
2017-02-03,25.51
2017-02-06,25.54
2017-02-07,25.68
2017-02-08,25.12
2017-02-09,24.85
2017-02-10,24.97
2017-02-13,25.03
2017-02-14,25.21
2017-02-15,25.11
2017-02-16,25.26
2017-02-17,25.37
2017-02-21,25.61
2017-02-22,25.45
2017-02-23,25.66
2017-02-24,26.51
2017-02-27,26.08
2017-02-28,26.18
2017-03-01,25.72
2017-03-02,25.97
2017-03-03,25.9
2017-03-06,25.72
2017-03-07,25.76
2017-03-08,25.47
2017-03-09,25.51
2017-03-10,25.65
2017-03-13,25.63
2017-03-14,25.41
2017-03-15,25.87
2017-03-16,25.66
2017-03-17,25.68
2017-03-20,25.36
2017-03-21,25.64
2017-03-22,25.88
2017-03-23,25.64
2017-03-24,25.76
2017-03-27,25.56
2017-03-28,25.44
2017-03-29,25.62
2017-03-30,25.46
2017-03-31,25.66
2017-04-03,25.54
2017-04-04,25.77
2017-04-05,25.71
2017-04-06,25.86
2017-04-07,25.65
2017-04-10,25.54
2017-04-11,25.77
2017-04-12,25.81
2017-04-13,25.65
2017-04-17,25.6
2017-04-18,25.51
2017-04-19,25.29
2017-04-20,24.99
2017-04-21,24.98
2017-04-24,25.31
2017-04-25,25.01
2017-04-26,24.89
2017-04-27,24.84
2017-04-28,24.69
2017-05-01,24.48
2017-05-02,24.57
2017-05-03,24.23
2017-05-04,24.28
2017-05-05,24.49
2017-05-08,24.43
2017-05-09,23.95
2017-05-10,24.07
2017-05-11,23.89
2017-05-12,24.34
2017-05-15,24.74
2017-05-16,24.61
2017-05-17,24.85
2017-05-18,25.01
2017-05-19,25.0
2017-05-22,25.34
2017-05-23,25.22
2017-05-24,25.54
2017-05-25,25.69
2017-05-26,25.54
2017-05-30,25.71
2017-05-31,25.89
2017-06-01,26.19
2017-06-02,26.1
2017-06-05,26.12
2017-06-06,26.16
2017-06-07,26.11
2017-06-08,25.96
2017-06-09,26.11
2017-06-12,26.01
2017-06-13,26.06
2017-06-14,26.16
2017-06-15,26.26
2017-06-16,26.44
2017-06-19,26.27
2017-06-20,26.31
2017-06-21,26.15
2017-06-22,26.14
2017-06-23,26.03
2017-06-26,26.53
2017-06-27,26.21
2017-06-28,25.81
2017-06-29,25.56
2017-06-30,25.72
2017-07-03,25.56
2017-07-05,25.33
2017-07-06,25.44
2017-07-07,25.37
2017-07-10,25.5
2017-07-11,25.47
2017-07-12,25.72
2017-07-13,25.47
2017-07-14,25.71
2017-07-17,26.4
2017-07-18,26.5
2017-07-19,26.66
2017-07-20,26.81
2017-07-21,26.73
2017-07-24,26.53
2017-07-25,26.4
2017-07-26,26.87
2017-07-27,27.09
2017-07-28,27.38
2017-07-31,27.34
2017-08-01,27.49
2017-08-02,27.4
2017-08-03,27.41
2017-08-04,27.22
2017-08-07,27.25
2017-08-08,27.25
2017-08-09,26.88
2017-08-10,26.91
2017-08-11,26.74
2017-08-14,26.81
2017-08-15,26.98
2017-08-16,27.19
2017-08-17,26.81
2017-08-18,27.09
2017-08-21,27.07
2017-08-22,27.26
2017-08-23,27.32
2017-08-24,27.34
2017-08-25,27.31
2017-08-28,27.29
2017-08-29,27.25
2017-08-30,26.98
2017-08-31,27.0
2017-09-01,26.77
2017-09-05,26.81
2017-09-06,26.78
2017-09-07,27.12
2017-09-08,27.22
2017-09-11,27.43
2017-09-12,27.01
2017-09-13,26.95
2017-09-14,27.17
2017-09-15,26.82
2017-09-18,26.67
2017-09-19,26.58
2017-09-20,26.32
2017-09-21,26.49
2017-09-22,26.47
2017-09-25,26.81
2017-09-26,26.5
2017-09-27,26.49
2017-09-28,26.67
2017-09-29,26.86
2017-10-02,27.2
2017-10-03,26.98
2017-10-04,27.23
2017-10-05,27.35
2017-10-06,27.2
2017-10-09,27.13
2017-10-10,27.31
2017-10-11,27.42
2017-10-12,27.77
2017-10-13,27.98
2017-10-16,28.29
2017-10-17,28.24
2017-10-18,28.25
2017-10-19,28.36
2017-10-20,28.22
2017-10-23,28.34
2017-10-24,28.49
2017-10-25,28.57
2017-10-26,28.44
2017-10-27,28.7
2017-10-30,28.69
2017-10-31,28.67
2017-11-01,28.63
2017-11-02,29.04
2017-11-03,29.19
2017-11-06,29.01
2017-11-07,29.43
2017-11-08,29.46
2017-11-09,29.34
2017-11-10,29.45
2017-11-13,30.01
2017-11-14,30.23
2017-11-15,29.78
2017-11-16,29.41
2017-11-17,29.42
2017-11-20,29.49
2017-11-21,29.51
2017-11-22,29.59
2017-11-24,29.69
2017-11-27,29.7
2017-11-28,29.92
2017-11-29,29.73
2017-11-30,29.74
2017-12-01,29.83
2017-12-04,29.64
2017-12-05,29.41
2017-12-06,29.32
2017-12-07,29.1
2017-12-08,29.27
2017-12-11,29.89
2017-12-12,29.24
2017-12-13,29.33
2017-12-14,29.1
2017-12-15,29.05
2017-12-18,28.87
2017-12-19,28.25
2017-12-20,27.84
2017-12-21,27.86
2017-12-22,27.82
2017-12-26,27.67
