Date,Close
2017-01-03,53.1
2017-01-04,53.15
2017-01-05,53.03
2017-01-06,53.13
2017-01-09,53.04
2017-01-10,52.87
2017-01-11,53.67
2017-01-12,53.53
2017-01-13,53.87
2017-01-17,53.32
2017-01-18,53.72
2017-01-19,53.32
2017-01-20,53.27
2017-01-23,52.11
2017-01-24,52.5
2017-01-25,52.79
2017-01-26,52.93
2017-01-27,53.22
2017-01-30,52.96
2017-01-31,52.08
2017-02-01,52.29
2017-02-02,52.44
2017-02-03,53.32
2017-02-06,52.92
2017-02-07,53.3
2017-02-08,53.54
2017-02-09,54.09
2017-02-10,54.73
2017-02-13,55.09
2017-02-14,55.21
2017-02-15,56.09
2017-02-16,56.17
2017-02-17,56.5
2017-02-21,56.13
2017-02-22,56.59
2017-02-23,56.01
2017-02-24,56.7
2017-02-27,56.75
2017-02-28,56.38
2017-03-01,57.28
2017-03-02,56.78
2017-03-03,56.5
2017-03-06,56.41
2017-03-07,56.05
2017-03-08,55.9
2017-03-09,55.84
2017-03-10,56.59
2017-03-13,56.78
2017-03-14,56.26
2017-03-15,56.46
2017-03-16,56.1
2017-03-17,56.4
2017-03-20,56.25
2017-03-21,55.58
2017-03-22,55.83
2017-03-23,55.87
2017-03-24,55.82
2017-03-27,55.63
2017-03-28,56.44
2017-03-29,56.33
2017-03-30,56.62
2017-03-31,56.49
2017-04-03,56.03
2017-04-04,56.57
2017-04-05,56.4
2017-04-06,56.47
2017-04-07,55.77
2017-04-10,56.17
2017-04-11,55.97
2017-04-12,55.7
2017-04-13,55.35
2017-04-17,56.02
2017-04-18,55.87
2017-04-19,55.74
2017-04-20,56.21
2017-04-21,56.5
2017-04-24,57.28
2017-04-25,57.3
2017-04-26,56.76
2017-04-27,56.76
2017-04-28,56.09
2017-05-01,55.99
2017-05-02,54.04
2017-05-03,54.08
2017-05-04,54.47
2017-05-05,54.39
2017-05-08,53.68
2017-05-09,53.37
2017-05-10,53.14
2017-05-11,53.26
2017-05-12,53.06
2017-05-15,53.38
2017-05-16,53.08
2017-05-17,52.25
2017-05-18,52.61
2017-05-19,52.75
2017-05-22,53.05
2017-05-23,53.58
2017-05-24,53.4
2017-05-25,53.26
