Date,Close
2017-01-03,46.05
2017-01-04,46.54
2017-01-05,46.11
2017-01-06,46.82
2017-01-09,46.06
2017-01-10,46.29
2017-01-11,46.55
2017-01-12,46.35
2017-01-13,46.38
2017-01-17,46.15
2017-01-18,46.41
2017-01-19,46.88
2017-01-20,47.35
2017-01-23,47.53
2017-01-24,48.51
2017-01-25,48.73
2017-01-26,48.25
2017-01-27,47.86
2017-01-30,47.55
2017-01-31,47.11
2017-02-01,48.11
2017-02-02,47.55
2017-02-03,47.94
2017-02-06,47.74
2017-02-07,47.7
2017-02-08,47.81
2017-02-09,48.1
2017-02-10,48.77
2017-02-13,48.78
2017-02-14,48.59
2017-02-15,49.05
2017-02-16,48.71
2017-02-17,48.76
2017-02-21,49.04
2017-02-22,48.64
2017-02-23,48.77
2017-02-24,49.05
2017-02-27,49.75
2017-02-28,49.42
2017-03-01,50.18
2017-03-02,49.99
2017-03-03,50.18
2017-03-06,49.48
2017-03-07,49.5
2017-03-08,50.17
2017-03-09,50.75
2017-03-10,51.34
2017-03-13,51.36
2017-03-14,51.29
2017-03-15,52.25
2017-03-16,52.2
2017-03-17,52.17
2017-03-20,52.08
2017-03-21,51.05
2017-03-22,51.08
2017-03-23,51.43
2017-03-24,51.6
2017-03-27,51.52
2017-03-28,51.84
2017-03-29,52.05
2017-03-30,52.11
2017-03-31,52.0
2017-04-03,51.81
2017-04-04,51.81
2017-04-05,51.69
2017-04-06,52.86
2017-04-07,52.87
2017-04-10,52.96
2017-04-11,53.04
2017-04-12,52.74
2017-04-13,52.56
2017-04-17,52.92
2017-04-18,53.03
2017-04-19,53.11
2017-04-20,53.26
2017-04-21,53.69
2017-04-24,54.4
2017-04-25,55.49
2017-04-26,56.06
2017-04-27,54.86
2017-04-28,54.47
2017-05-01,54.11
2017-05-02,54.46
2017-05-03,54.0
2017-05-04,54.13
2017-05-05,54.25
2017-05-08,54.21
2017-05-09,54.27
2017-05-10,54.39
2017-05-11,53.9
2017-05-12,53.47
2017-05-15,53.98
2017-05-16,53.75
2017-05-17,53.28
2017-05-18,53.7
2017-05-19,54.1
2017-05-22,53.9
2017-05-23,53.51
2017-05-24,53.94
2017-05-25,53.99
2017-05-26,53.71
2017-05-30,53.75
