Date,Close
2017-01-03,76.98
2017-01-04,78.24
2017-01-05,78.05
2017-01-06,78.89
2017-01-09,78.04
2017-01-10,77.65
2017-01-11,77.39
2017-01-12,77.05
2017-01-13,77.37
2017-01-17,78.7
2017-01-18,79.46
2017-01-19,79.15
2017-01-20,79.79
2017-01-23,80.07
2017-01-24,80.03
2017-01-25,79.88
2017-01-26,79.56
2017-01-27,79.81
2017-01-30,79.6
2017-01-31,79.42
2017-02-01,79.02
2017-02-02,79.06
2017-02-03,79.4
2017-02-06,79.35
2017-02-07,77.3
2017-02-08,79.84
2017-02-09,80.75
2017-02-10,80.46
2017-02-13,80.91
2017-02-14,80.5
2017-02-15,81.41
2017-02-16,81.72
2017-02-17,82.05
2017-02-21,82.17
2017-02-22,82.82
2017-02-23,83.09
2017-02-24,83.84
2017-02-27,82.63
2017-02-28,82.27
2017-03-01,83.02
2017-03-02,82.27
2017-03-03,82.95
2017-03-06,82.7
2017-03-07,82.64
2017-03-08,82.22
2017-03-09,81.98
2017-03-10,82.23
2017-03-13,82.72
2017-03-14,82.46
2017-03-15,82.52
2017-03-16,81.95
2017-03-17,81.83
2017-03-20,81.02
2017-03-21,80.05
2017-03-22,79.9
2017-03-23,79.82
2017-03-24,80.12
2017-03-27,80.41
2017-03-28,80.29
2017-03-29,80.03
2017-03-30,80.05
2017-03-31,79.62
2017-04-03,79.44
2017-04-04,79.13
2017-04-05,79.5
2017-04-06,79.6
2017-04-07,79.87
2017-04-10,80.54
2017-04-11,80.08
2017-04-12,80.52
2017-04-13,80.16
2017-04-17,80.63
2017-04-18,80.75
2017-04-19,80.65
2017-04-20,81.57
2017-04-21,82.53
2017-04-24,83.32
2017-04-25,83.86
2017-04-26,83.88
2017-04-27,84.09
2017-04-28,84.19
2017-05-01,84.42
2017-05-02,83.26
2017-05-03,82.98
2017-05-04,83.52
2017-05-05,83.05
2017-05-08,83.34
2017-05-09,83.15
2017-05-10,83.58
2017-05-11,83.6
2017-05-12,83.11
2017-05-15,83.41
2017-05-16,83.78
2017-05-17,82.85
2017-05-18,82.81
2017-05-19,83.2
2017-05-22,84.03
2017-05-23,83.66
2017-05-24,83.95
2017-05-25,85.36
2017-05-26,85.28
2017-05-30,85.29
2017-05-31,85.87
2017-06-01,86.77
2017-06-02,86.67
2017-06-05,86.55
2017-06-06,86.25
2017-06-07,86.55
2017-06-08,85.29
2017-06-09,84.61
2017-06-12,84.93
2017-06-13,85.74
2017-06-14,85.73
2017-06-15,86.03
2017-06-16,85.19
2017-06-19,85.07
2017-06-20,85.15
2017-06-21,84.99
2017-06-22,84.86
2017-06-23,84.84
2017-06-26,84.9
2017-06-27,85.22
2017-06-28,85.98
2017-06-29,84.81
2017-06-30,85.4
2017-07-03,85.45
2017-07-05,86.11
2017-07-06,85.55
2017-07-07,86.78
2017-07-10,87.3
2017-07-11,87.82
2017-07-12,88.6
2017-07-13,89.25
2017-07-14,89.58
2017-07-17,89.63
2017-07-18,89.85
2017-07-19,89.87
2017-07-20,89.81
2017-07-21,90.0
2017-07-24,90.12
2017-07-25,89.7
2017-07-26,90.69
2017-07-27,91.05
2017-07-28,90.83
2017-07-31,91.22
2017-08-01,91.87
2017-08-02,91.24
2017-08-03,90.41
2017-08-04,90.37
2017-08-07,90.55
2017-08-08,89.99
2017-08-09,89.39
2017-08-10,89.26
2017-08-11,89.22
2017-08-14,90.45
2017-08-15,90.66
2017-08-16,91.45
2017-08-17,89.57
2017-08-18,89.83
2017-08-21,90.86
2017-08-22,91.58
2017-08-23,91.34
2017-08-24,91.25
2017-08-25,91.34
2017-08-28,91.79
2017-08-29,91.94
2017-08-30,92.39
2017-08-31,92.92
2017-09-01,92.34
2017-09-05,92.21
2017-09-06,92.47
2017-09-07,92.53
2017-09-08,92.3
2017-09-11,93.39
2017-09-12,93.33
2017-09-13,92.42
2017-09-14,92.11
2017-09-15,92.01
2017-09-18,93.54
2017-09-19,92.77
2017-09-20,92.8
2017-09-21,92.72
2017-09-22,93.05
2017-09-25,92.83
2017-09-26,92.65
2017-09-27,93.0
2017-09-28,93.34
2017-09-29,93.39
2017-10-02,93.33
2017-10-03,93.4
2017-10-04,93.71
2017-10-05,93.82
2017-10-06,93.91
2017-10-09,94.35
2017-10-10,94.61
2017-10-11,94.64
2017-10-12,94.61
2017-10-13,94.96
2017-10-16,95.21
2017-10-17,94.38
2017-10-18,94.81
2017-10-19,95.15
2017-10-20,95.28
2017-10-23,95.71
2017-10-24,95.27
2017-10-25,95.53
2017-10-26,95.94
2017-10-27,96.62
2017-10-30,96.07
2017-10-31,92.76
2017-11-01,93.11
2017-11-02,93.36
2017-11-03,93.18
2017-11-06,93.13
2017-11-07,90.47
2017-11-08,91.65
2017-11-09,92.52
2017-11-10,92.76
2017-11-13,92.85
2017-11-14,93.43
2017-11-15,93.54
2017-11-16,93.2
2017-11-17,92.06
2017-11-20,91.97
2017-11-21,91.74
2017-11-22,91.59
2017-11-24,92.11
2017-11-27,91.97
2017-11-28,92.72
2017-11-29,92.72
2017-11-30,94.33
2017-12-01,93.75
2017-12-04,93.63
2017-12-05,95.17
2017-12-06,95.3
2017-12-07,95.87
2017-12-08,95.85
2017-12-11,95.71
2017-12-12,94.24
2017-12-13,94.26
2017-12-14,93.6
2017-12-15,94.83
2017-12-18,95.25
2017-12-19,95.0
2017-12-20,95.08
2017-12-21,94.86
2017-12-22,94.32
2017-12-26,94.13
2017-12-27,94.0
2017-12-28,94.28
2017-12-29,94.09
2018-01-02,93.7
2018-01-03,94.25
2018-01-04,94.95
2018-01-05,95.49
2018-01-08,95.73
2018-01-09,96.04
2018-01-10,97.28
2018-01-11,97.78
2018-01-12,97.61
2018-01-16,97.17
2018-01-17,97.6
2018-01-18,97.54
2018-01-19,98.47
2018-01-22,99.19
2018-01-23,99.13
2018-01-24,100.56
2018-01-25,101.5
2018-01-26,102.88
2018-01-29,102.69
2018-01-30,102.66
2018-01-31,102.36
2018-02-01,102.11
2018-02-02,100.81
2018-02-05,97.2
2018-02-06,95.72
2018-02-07,96.77
2018-02-08,92.74
2018-02-09,95.03
2018-02-12,95.15
2018-02-13,96.17
2018-02-14,96.0
2018-02-15,96.56
2018-02-16,97.82
2018-02-20,97.32
2018-02-21,97.15
2018-02-22,98.03
2018-02-23,99.82
2018-02-26,99.92
2018-02-27,98.44
2018-02-28,97.18
2018-03-01,95.96
2018-03-02,96.9
2018-03-05,99.59
2018-03-06,98.71
2018-03-07,98.57
2018-03-08,99.28
2018-03-09,100.77
2018-03-12,101.23
2018-03-13,100.41
2018-03-14,100.32
2018-03-15,100.1
2018-03-16,100.64
2018-03-19,100.05
2018-03-20,100.92
2018-03-21,100.58
2018-03-22,97.52
2018-03-23,94.86
2018-03-26,96.16
2018-03-27,94.68
2018-03-28,95.32
2018-03-29,96.3
2018-04-02,94.71
2018-04-03,95.0
2018-04-04,96.0
2018-04-05,97.46
2018-04-06,95.53
2018-04-09,96.0
2018-04-10,96.83
2018-04-11,96.34
2018-04-12,96.68
2018-04-13,96.23
2018-04-16,97.29
2018-04-17,97.61
2018-04-18,97.53
2018-04-19,97.06
2018-04-20,96.01
2018-04-23,95.7
2018-04-24,94.77
2018-04-25,94.11
2018-04-26,95.0
2018-04-27,94.7
2018-04-30,94.97
2018-05-01,99.66
2018-05-02,98.49
2018-05-03,99.41
2018-05-04,100.66
2018-05-07,102.21
2018-05-08,103.19
2018-05-09,103.91
2018-05-10,104.91
2018-05-11,104.89
2018-05-14,104.7
2018-05-15,104.7
2018-05-16,104.84
2018-05-17,103.82
2018-05-18,104.12
2018-05-21,104.45
2018-05-22,103.5
2018-05-23,103.87
2018-05-24,103.8
2018-05-25,103.46
2018-05-29,102.38
2018-05-30,103.26
2018-05-31,102.22
2018-06-01,103.22
2018-06-04,103.77
2018-06-05,104.76
2018-06-06,106.93
2018-06-07,105.47
2018-06-08,106.14
2018-06-11,105.86
2018-06-12,107.17
2018-06-13,107.1
2018-06-14,107.72
2018-06-15,107.44
2018-06-18,107.27
2018-06-19,107.39
2018-06-20,107.0
2018-06-21,107.39
2018-06-22,107.63
2018-06-25,106.58
2018-06-26,106.1
2018-06-27,104.86
2018-06-28,105.71
2018-06-29,106.03
2018-07-02,106.7
2018-07-03,106.6
2018-07-05,107.54
2018-07-06,108.37
2018-07-09,108.22
2018-07-10,107.64
2018-07-11,107.73
2018-07-12,108.55
2018-07-13,108.13
2018-07-16,107.7
2018-07-17,108.34
2018-07-18,108.97
2018-07-19,108.72
2018-07-20,108.9
2018-07-23,109.34
2018-07-24,108.67
2018-07-25,109.49
2018-07-26,109.13
2018-07-27,107.44
2018-07-30,105.06
2018-07-31,103.13
2018-08-01,102.95
2018-08-02,103.27
2018-08-03,104.22
2018-08-06,104.78
2018-08-07,105.16
2018-08-08,105.87
2018-08-09,106.95
2018-08-10,106.88
2018-08-13,106.14
2018-08-14,106.69
2018-08-15,106.02
2018-08-16,106.34
2018-08-17,107.1
2018-08-20,107.48
2018-08-21,107.58
2018-08-22,108.25
2018-08-23,108.38
2018-08-24,108.87
2018-08-27,107.9
2018-08-28,107.59
2018-08-29,108.06
2018-08-30,107.7
2018-08-31,108.17
2018-09-04,107.87
2018-09-05,106.54
2018-09-06,107.6
2018-09-07,107.45
2018-09-10,108.72
2018-09-11,109.16
2018-09-12,109.5
2018-09-13,110.05
2018-09-14,110.12
2018-09-17,109.43
2018-09-18,109.76
2018-09-19,108.77
2018-09-20,109.79
2018-09-21,110.58
2018-09-24,109.93
2018-09-25,109.81
2018-09-26,109.52
2018-09-27,108.77
2018-09-28,109.07
2018-10-01,107.18
2018-10-02,107.52
2018-10-03,108.01
2018-10-04,107.63
2018-10-05,108.18
2018-10-08,107.29
2018-10-09,107.81
2018-10-10,102.83
2018-10-11,101.17
2018-10-12,102.38
2018-10-15,101.22
2018-10-16,104.82
2018-10-17,104.87
2018-10-18,104.07
2018-10-19,103.75
2018-10-22,103.94
2018-10-23,103.16
2018-10-24,100.7
2018-10-25,102.92
2018-10-26,101.37
2018-10-29,99.13
2018-10-30,103.62
2018-10-31,104.1
2018-11-01,103.95
2018-11-02,103.65
2018-11-05,103.97
2018-11-06,104.67
2018-11-07,107.34
2018-11-08,107.68
2018-11-09,107.47
2018-11-12,105.69
2018-11-13,104.8
2018-11-14,104.51
2018-11-15,106.82
2018-11-16,107.86
2018-11-19,104.34
2018-11-20,102.45
2018-11-21,103.35
2018-11-23,103.26
2018-11-26,104.39
2018-11-27,104.12
2018-11-28,107.95
2018-11-29,105.85
2018-11-30,107.95
2018-12-03,109.12
2018-12-04,106.12
