Date,Close
2017-01-03,53.67
2017-01-04,54.33
2017-01-05,54.31
2017-01-06,54.92
2017-01-09,54.05
2017-01-10,54.12
2017-01-11,54.27
2017-01-12,54.71
2017-01-13,55.15
2017-01-17,55.22
2017-01-18,55.04
2017-01-19,54.67
2017-01-20,54.79
2017-01-23,54.33
2017-01-24,54.26
2017-01-25,54.27
2017-01-26,53.92
2017-01-27,54.05
2017-01-30,54.08
2017-01-31,53.72
2017-02-01,52.69
2017-02-02,52.73
2017-02-03,53.36
2017-02-06,53.42
2017-02-07,53.21
2017-02-08,53.89
2017-02-09,54.74
2017-02-10,54.54
2017-02-13,55.05
2017-02-14,55.07
2017-02-15,55.54
2017-02-16,55.63
2017-02-17,55.99
2017-02-21,56.2
2017-02-22,56.91
2017-02-23,57.45
2017-02-24,58.15
2017-02-27,57.79
2017-02-28,57.7
2017-03-01,58.56
2017-03-02,58.32
2017-03-03,58.75
2017-03-06,58.51
2017-03-07,58.47
2017-03-08,58.72
2017-03-09,58.72
2017-03-10,58.64
2017-03-13,58.95
2017-03-14,58.69
2017-03-15,58.83
2017-03-16,58.63
2017-03-17,58.9
2017-03-20,58.35
2017-03-21,58.08
2017-03-22,57.94
2017-03-23,57.92
2017-03-24,57.97
2017-03-27,57.74
2017-03-28,57.9
2017-03-29,57.96
2017-03-30,57.97
2017-03-31,57.65
2017-04-03,57.82
2017-04-04,57.69
2017-04-05,57.79
2017-04-06,57.83
2017-04-07,57.91
2017-04-10,57.97
2017-04-11,58.13
2017-04-12,57.9
2017-04-13,57.6
2017-04-17,58.22
2017-04-18,58.17
2017-04-19,58.28
2017-04-20,58.9
2017-04-21,59.2
2017-04-24,59.72
2017-04-25,59.81
2017-04-26,59.99
2017-04-27,59.95
2017-04-28,59.57
2017-05-01,59.54
2017-05-02,59.32
2017-05-03,59.23
2017-05-04,60.13
2017-05-05,60.0
2017-05-08,59.92
2017-05-09,59.87
2017-05-10,59.63
2017-05-11,59.93
2017-05-12,59.89
2017-05-15,60.45
2017-05-16,59.88
2017-05-17,59.56
2017-05-18,60.02
2017-05-19,60.34
2017-05-22,61.16
2017-05-23,61.17
2017-05-24,61.38
2017-05-25,62.26
2017-05-26,62.04
2017-05-30,62.26
2017-05-31,62.64
2017-06-01,62.62
2017-06-02,62.86
2017-06-05,62.73
2017-06-06,62.22
2017-06-07,62.55
2017-06-08,61.88
2017-06-09,61.43
2017-06-12,61.59
2017-06-13,62.26
2017-06-14,62.31
2017-06-15,62.74
2017-06-16,62.33
2017-06-19,62.6
2017-06-20,62.31
2017-06-21,62.69
2017-06-22,62.46
2017-06-23,62.4
2017-06-26,62.17
2017-06-27,61.42
2017-06-28,62.03
2017-06-29,60.81
2017-06-30,61.17
2017-07-03,60.65
2017-07-05,61.17
2017-07-06,60.9
2017-07-07,61.38
2017-07-10,61.4
2017-07-11,61.01
2017-07-12,61.72
2017-07-13,61.63
2017-07-14,61.81
2017-07-17,62.63
2017-07-18,62.53
2017-07-19,62.88
2017-07-20,63.12
2017-07-21,63.36
2017-07-24,63.24
2017-07-25,63.2
2017-07-26,63.51
2017-07-27,63.49
2017-07-28,63.12
2017-07-31,64.25
2017-08-01,64.64
2017-08-02,61.99
2017-08-03,61.99
2017-08-04,61.54
2017-08-07,62.04
2017-08-08,61.79
2017-08-09,61.65
2017-08-10,61.24
2017-08-11,61.42
2017-08-14,62.03
2017-08-15,62.35
2017-08-16,62.42
2017-08-17,60.54
2017-08-18,60.18
2017-08-21,60.38
2017-08-22,61.31
2017-08-23,61.08
2017-08-24,60.76
2017-08-25,61.16
2017-08-28,61.42
2017-08-29,61.51
2017-08-30,61.61
2017-08-31,61.86
2017-09-01,61.5
2017-09-05,60.93
2017-09-06,61.21
2017-09-07,61.42
2017-09-08,61.33
2017-09-11,62.16
2017-09-12,62.29
2017-09-13,61.99
2017-09-14,61.78
2017-09-15,62.03
2017-09-18,62.76
2017-09-19,62.58
2017-09-20,62.55
2017-09-21,62.38
2017-09-22,63.12
2017-09-25,63.56
2017-09-26,63.74
2017-09-27,64.18
2017-09-28,64.11
2017-09-29,64.48
2017-10-02,64.43
2017-10-03,64.42
2017-10-04,64.29
2017-10-05,64.46
2017-10-06,63.74
2017-10-09,63.76
2017-10-10,63.94
2017-10-11,63.37
2017-10-12,63.58
2017-10-13,63.54
2017-10-16,63.6
2017-10-17,63.31
2017-10-18,63.54
2017-10-19,63.78
2017-10-20,64.22
2017-10-23,63.99
2017-10-24,63.7
2017-10-25,64.11
2017-10-26,64.47
2017-10-27,65.09
2017-10-30,64.72
2017-10-31,64.71
2017-11-01,62.76
2017-11-02,63.29
2017-11-03,63.51
2017-11-06,63.88
2017-11-07,63.49
2017-11-08,64.41
2017-11-09,64.44
2017-11-10,64.0
2017-11-13,64.08
2017-11-14,64.86
2017-11-15,64.26
2017-11-16,64.77
2017-11-17,64.19
2017-11-20,64.16
