Date,Close
2017-01-03,27.05
2017-01-04,27.42
2017-01-05,26.64
2017-01-06,26.87
2017-01-09,26.76
2017-01-10,27.07
2017-01-11,27.09
2017-01-12,26.91
2017-01-13,27.29
2017-01-17,26.03
2017-01-18,26.33
2017-01-19,25.99
2017-01-20,26.29
2017-01-23,26.5
2017-01-24,26.6
2017-01-25,26.91
2017-01-26,27.11
2017-01-27,26.76
2017-01-30,26.33
2017-01-31,26.1
2017-02-01,26.24
2017-02-02,25.94
2017-02-03,26.52
2017-02-06,26.76
2017-02-07,26.49
2017-02-08,25.89
2017-02-09,26.15
2017-02-10,26.51
2017-02-13,26.74
2017-02-14,27.55
2017-02-15,27.56
2017-02-16,27.6
2017-02-17,27.54
2017-02-21,27.57
2017-02-22,27.5
2017-02-23,27.47
2017-02-24,27.32
2017-02-27,27.57
2017-02-28,27.44
2017-03-01,28.75
2017-03-02,27.74
2017-03-03,27.84
2017-03-06,27.54
2017-03-07,27.37
2017-03-08,27.37
2017-03-09,27.49
2017-03-10,27.16
2017-03-13,26.96
2017-03-14,26.75
2017-03-15,26.45
2017-03-16,26.65
2017-03-17,26.35
2017-03-20,26.19
2017-03-21,24.91
2017-03-22,24.84
2017-03-23,25.06
2017-03-24,24.89
2017-03-27,24.73
2017-03-28,25.24
2017-03-29,25.04
2017-03-30,25.73
2017-03-31,25.4
2017-04-03,25.29
2017-04-04,25.35
2017-04-05,24.9
2017-04-06,25.18
2017-04-07,25.01
2017-04-10,24.8
2017-04-11,24.69
2017-04-12,24.33
2017-04-13,23.93
2017-04-17,24.4
2017-04-18,24.01
2017-04-19,24.21
2017-04-20,24.95
2017-04-21,24.62
2017-04-24,25.33
2017-04-25,25.01
2017-04-26,24.97
2017-04-27,24.65
2017-04-28,24.43
2017-05-01,24.79
2017-05-02,24.46
2017-05-03,24.72
2017-05-04,24.91
2017-05-05,24.8
2017-05-08,24.94
2017-05-09,24.84
2017-05-10,24.63
2017-05-11,24.44
2017-05-12,24.16
2017-05-15,24.64
2017-05-16,24.9
2017-05-17,23.78
2017-05-18,23.82
2017-05-19,24.18
2017-05-22,24.39
2017-05-23,24.74
2017-05-24,24.48
2017-05-25,24.47
2017-05-26,24.26
2017-05-30,24.05
2017-05-31,23.74
2017-06-01,24.03
2017-06-02,23.64
2017-06-05,23.7
2017-06-06,23.62
2017-06-07,23.88
2017-06-08,24.33
2017-06-09,25.06
2017-06-12,25.19
2017-06-13,25.33
2017-06-14,25.58
2017-06-15,25.48
2017-06-16,25.47
2017-06-19,25.59
2017-06-20,25.56
2017-06-21,25.39
2017-06-22,25.14
2017-06-23,24.66
2017-06-26,24.82
2017-06-27,25.09
2017-06-28,25.49
2017-06-29,26.07
2017-06-30,25.96
2017-07-03,26.47
2017-07-05,26.58
2017-07-06,26.46
2017-07-07,26.48
2017-07-10,26.34
2017-07-11,26.19
2017-07-12,26.11
2017-07-13,26.29
2017-07-14,26.08
2017-07-17,26.16
2017-07-18,25.82
2017-07-19,25.8
2017-07-20,25.49
2017-07-21,26.18
2017-07-24,26.43
2017-07-25,26.59
2017-07-26,26.18
2017-07-27,26.14
2017-07-28,26.38
2017-07-31,26.7
2017-08-01,26.92
2017-08-02,26.96
2017-08-03,26.9
2017-08-04,27.18
2017-08-07,27.03
2017-08-08,27.45
2017-08-09,27.14
2017-08-10,26.38
2017-08-11,26.11
2017-08-14,26.68
2017-08-15,27.02
2017-08-16,26.83
2017-08-17,26.26
2017-08-18,26.33
2017-08-21,26.21
2017-08-22,26.62
2017-08-23,26.6
2017-08-24,26.85
2017-08-25,26.67
2017-08-28,26.59
