Date,Close
2017-01-03,6.02
2017-01-04,6.08
2017-01-05,6.17
2017-01-06,6.2
2017-01-09,6.26
2017-01-10,6.39
2017-01-11,6.42
2017-01-12,6.37
2017-01-13,6.46
2017-01-17,6.34
2017-01-18,6.37
2017-01-19,6.47
2017-01-20,6.46
2017-01-23,6.44
2017-01-24,6.53
2017-01-25,6.56
2017-01-26,6.51
2017-01-27,6.56
2017-01-30,6.56
2017-01-31,6.65
2017-02-01,6.62
2017-02-02,6.64
2017-02-03,7.54
2017-02-06,7.57
2017-02-07,7.55
2017-02-08,7.48
2017-02-09,7.6
2017-02-10,7.54
2017-02-13,7.56
2017-02-14,7.55
2017-02-15,7.59
2017-02-16,7.45
2017-02-17,7.49
2017-02-21,7.48
2017-02-22,7.45
2017-02-23,7.45
2017-02-24,7.43
2017-02-27,7.49
2017-02-28,7.47
2017-03-01,7.46
2017-03-02,7.35
2017-03-03,7.26
2017-03-06,7.27
2017-03-07,7.29
2017-03-08,7.45
2017-03-09,7.33
2017-03-10,7.39
2017-03-13,7.39
2017-03-14,7.33
2017-03-15,7.37
2017-03-16,7.46
2017-03-17,7.43
2017-03-20,7.4
2017-03-21,7.22
2017-03-22,7.3
2017-03-23,7.28
2017-03-24,7.26
2017-03-27,7.27
2017-03-28,7.31
2017-03-29,7.66
2017-03-30,7.57
2017-03-31,7.67
2017-04-03,7.65
2017-04-04,7.53
2017-04-05,7.49
2017-04-06,7.45
2017-04-07,7.48
2017-04-10,7.44
2017-04-11,7.52
2017-04-12,7.49
2017-04-13,7.46
2017-04-17,7.61
2017-04-18,7.7
2017-04-19,7.69
2017-04-20,7.7
2017-04-21,7.91
2017-04-24,7.98
2017-04-25,8.05
2017-04-26,7.98
2017-04-27,8.08
2017-04-28,7.8
2017-05-01,7.83
2017-05-02,7.88
2017-05-03,7.84
2017-05-04,7.89
2017-05-05,8.02
2017-05-08,7.96
2017-05-09,7.81
2017-05-10,7.85
2017-05-11,7.81
2017-05-12,7.82
2017-05-15,8.09
2017-05-16,8.19
2017-05-17,7.91
2017-05-18,7.93
2017-05-19,8.01
2017-05-22,8.1
2017-05-23,8.01
2017-05-24,7.96
2017-05-25,7.93
2017-05-26,7.9
2017-05-30,7.83
2017-05-31,7.87
2017-06-01,7.84
2017-06-02,7.81
2017-06-05,7.87
2017-06-06,7.82
2017-06-07,7.84
2017-06-08,7.9
2017-06-09,7.46
2017-06-12,7.49
2017-06-13,7.59
2017-06-14,7.57
2017-06-15,7.53
2017-06-16,7.57
2017-06-19,7.6
2017-06-20,7.49
2017-06-21,7.55
2017-06-22,7.56
2017-06-23,7.66
2017-06-26,7.57
2017-06-27,7.44
2017-06-28,7.55
2017-06-29,7.55
2017-06-30,7.49
2017-07-03,7.43
2017-07-05,7.73
2017-07-06,7.6
2017-07-07,7.7
2017-07-10,7.7
2017-07-11,7.78
2017-07-12,7.9
2017-07-13,8.01
2017-07-14,8.02
2017-07-17,8.05
2017-07-18,8.09
2017-07-19,8.22
2017-07-20,8.14
2017-07-21,8.07
2017-07-24,8.11
2017-07-25,8.14
2017-07-26,8.12
2017-07-27,7.68
2017-07-28,7.49
2017-07-31,7.38
2017-08-01,7.36
2017-08-02,7.27
2017-08-03,7.28
2017-08-04,7.37
2017-08-07,7.37
2017-08-08,7.3
2017-08-09,7.34
2017-08-10,7.22
2017-08-11,7.3
2017-08-14,7.41
2017-08-15,7.36
2017-08-16,7.44
2017-08-17,7.3
2017-08-18,7.33
2017-08-21,7.39
2017-08-22,7.5
2017-08-23,7.42
2017-08-24,7.45
2017-08-25,7.44
2017-08-28,7.45
2017-08-29,7.47
2017-08-30,7.57
2017-08-31,7.64
2017-09-01,7.66
2017-09-05,7.35
2017-09-06,7.48
2017-09-07,7.47
2017-09-08,7.51
2017-09-11,7.65
2017-09-12,7.7
2017-09-13,7.59
2017-09-14,7.61
2017-09-15,7.73
2017-09-18,7.72
2017-09-19,7.71
2017-09-20,7.65
2017-09-21,7.66
2017-09-22,7.67
2017-09-25,7.51
2017-09-26,7.49
2017-09-27,7.54
2017-09-28,7.18
2017-09-29,7.17
2017-10-02,7.27
2017-10-03,7.35
2017-10-04,7.37
2017-10-05,7.66
2017-10-06,7.81
2017-10-09,7.75
2017-10-10,7.69
2017-10-11,7.74
2017-10-12,7.7
2017-10-13,7.82
2017-10-16,7.79
2017-10-17,7.85
2017-10-18,8.06
2017-10-19,8.04
2017-10-20,8.06
2017-10-23,8.03
2017-10-24,8.0
2017-10-25,7.94
2017-10-26,8.02
2017-10-27,7.75
2017-10-30,7.9
2017-10-31,7.88
2017-11-01,7.75
2017-11-02,7.72
2017-11-03,7.8
2017-11-06,7.85
2017-11-07,7.82
2017-11-08,7.98
2017-11-09,7.9
2017-11-10,7.99
2017-11-13,8.07
2017-11-14,8.0
2017-11-15,7.98
2017-11-16,8.05
2017-11-17,8.06
2017-11-20,8.15
2017-11-21,8.26
2017-11-22,8.35
2017-11-24,8.38
2017-11-27,8.37
2017-11-28,8.43
2017-11-29,8.29
