Date,Close
2017-01-03,33.88
2017-01-04,34.21
2017-01-05,34.02
2017-01-06,33.97
2017-01-09,33.88
2017-01-10,33.93
2017-01-11,33.84
2017-01-12,33.84
2017-01-13,34.53
2017-01-17,34.13
2017-01-18,34.14
2017-01-19,34.22
2017-01-20,34.38
2017-01-23,34.12
2017-01-24,34.49
2017-01-25,34.79
2017-01-26,35.12
2017-01-27,35.27
2017-01-30,34.96
2017-01-31,34.88
2017-02-01,34.77
2017-02-02,34.82
2017-02-03,35.33
2017-02-06,35.19
2017-02-07,35.09
2017-02-08,35.43
2017-02-09,35.96
2017-02-10,36.04
2017-02-13,36.28
2017-02-14,36.13
2017-02-15,36.31
2017-02-16,36.19
2017-02-17,36.38
2017-02-21,36.66
2017-02-22,36.38
2017-02-23,36.11
2017-02-24,36.44
2017-02-27,36.35
2017-02-28,36.35
2017-03-01,37.15
2017-03-02,36.97
2017-03-03,37.04
2017-03-06,36.78
2017-03-07,36.7
2017-03-08,36.68
2017-03-09,36.59
2017-03-10,36.77
2017-03-13,37.06
2017-03-14,36.92
2017-03-15,37.65
2017-03-16,37.53
2017-03-17,37.57
2017-03-20,37.21
2017-03-21,36.9
2017-03-22,36.88
2017-03-23,36.91
2017-03-24,37.4
2017-03-27,37.26
2017-03-28,37.58
2017-03-29,37.62
2017-03-30,37.6
2017-03-31,37.98
2017-04-03,37.92
2017-04-04,37.85
2017-04-05,37.99
2017-04-06,38.2
2017-04-07,38.13
2017-04-10,38.47
2017-04-11,38.32
2017-04-12,38.15
2017-04-13,38.04
2017-04-17,38.14
2017-04-18,38.01
2017-04-19,37.84
2017-04-20,38.22
2017-04-21,37.84
2017-04-24,38.74
2017-04-25,39.31
2017-04-26,39.26
2017-04-27,39.3
2017-04-28,39.89
2017-05-01,39.31
2017-05-02,39.21
2017-05-03,39.52
2017-05-04,39.61
2017-05-05,39.82
2017-05-08,39.66
2017-05-09,39.54
2017-05-10,39.46
2017-05-11,39.49
2017-05-12,39.21
2017-05-15,39.24
2017-05-16,39.31
2017-05-17,38.59
2017-05-18,38.57
2017-05-19,39.0
2017-05-22,39.35
2017-05-23,39.48
2017-05-24,39.78
2017-05-25,40.13
2017-05-26,40.05
2017-05-30,39.95
2017-05-31,39.38
2017-06-01,39.72
2017-06-02,39.99
2017-06-05,39.93
2017-06-06,39.85
2017-06-07,39.96
2017-06-08,40.17
2017-06-09,39.79
2017-06-12,39.39
2017-06-13,39.9
2017-06-14,39.7
2017-06-15,39.75
2017-06-16,40.39
2017-06-19,40.86
2017-06-20,40.66
2017-06-21,40.59
2017-06-22,40.42
2017-06-23,40.42
2017-06-26,40.43
2017-06-27,39.96
2017-06-28,40.62
2017-06-29,39.64
2017-06-30,39.95
2017-07-03,39.94
2017-07-05,40.11
2017-07-06,39.94
2017-07-07,40.26
2017-07-10,40.74
2017-07-11,40.34
2017-07-12,40.8
2017-07-13,40.61
2017-07-14,40.71
2017-07-17,40.45
2017-07-18,40.2
2017-07-19,40.34
2017-07-20,40.04
2017-07-21,39.89
2017-07-24,39.91
2017-07-25,39.77
2017-07-26,39.21
2017-07-27,39.46
2017-07-28,40.66
2017-07-31,40.83
2017-08-01,41.12
2017-08-02,41.8
2017-08-03,41.95
2017-08-04,42.36
2017-08-07,42.39
2017-08-08,42.2
2017-08-09,42.14
2017-08-10,41.32
2017-08-11,41.37
2017-08-14,41.78
2017-08-15,41.7
2017-08-16,41.71
2017-08-17,41.09
2017-08-18,41.01
2017-08-21,41.25
2017-08-22,41.53
2017-08-23,41.01
2017-08-24,40.91
2017-08-25,40.79
2017-08-28,40.67
2017-08-29,40.65
2017-08-30,40.86
2017-08-31,40.97
2017-09-01,41.05
2017-09-05,41.05
2017-09-06,40.82
2017-09-07,41.35
2017-09-08,41.92
2017-09-11,42.58
2017-09-12,42.8
2017-09-13,43.32
2017-09-14,43.63
2017-09-15,43.74
2017-09-18,44.34
2017-09-19,44.19
2017-09-20,44.25
2017-09-21,44.1
2017-09-22,44.16
2017-09-25,44.16
2017-09-26,44.05
2017-09-27,44.28
2017-09-28,44.09
2017-09-29,44.64
2017-10-02,45.12
2017-10-03,45.08
2017-10-04,45.35
2017-10-05,45.13
2017-10-06,45.12
2017-10-09,45.34
2017-10-10,45.35
2017-10-11,45.62
2017-10-12,45.97
2017-10-13,45.62
2017-10-16,45.42
2017-10-17,45.08
2017-10-18,45.16
2017-10-19,44.84
2017-10-20,45.41
2017-10-23,45.46
2017-10-24,46.23
2017-10-25,45.7
2017-10-26,46.33
2017-10-27,46.73
2017-10-30,45.69
2017-10-31,45.57
2017-11-01,45.95
2017-11-02,46.23
2017-11-03,46.44
2017-11-06,45.95
2017-11-07,46.33
2017-11-08,45.89
2017-11-09,45.8
2017-11-10,45.81
2017-11-13,45.78
2017-11-14,45.83
2017-11-15,45.31
2017-11-16,45.68
2017-11-17,45.56
2017-11-20,45.91
2017-11-21,45.69
2017-11-22,45.4
2017-11-24,45.49
2017-11-27,45.88
2017-11-28,46.22
2017-11-29,46.3
2017-11-30,47.08
2017-12-01,47.03
2017-12-04,46.81
2017-12-05,46.0
2017-12-06,46.22
2017-12-07,46.41
2017-12-08,46.47
2017-12-11,46.04
2017-12-12,45.73
2017-12-13,45.66
2017-12-14,45.03
2017-12-15,45.44
2017-12-18,45.86
2017-12-19,45.86
2017-12-20,46.03
2017-12-21,45.91
2017-12-22,45.7
2017-12-26,45.79
2017-12-27,45.64
2017-12-28,45.72
2017-12-29,45.62
2018-01-02,45.64
2018-01-03,45.67
2018-01-04,46.82
2018-01-05,46.29
2018-01-08,46.19
2018-01-09,46.53
2018-01-10,46.05
2018-01-11,46.48
2018-01-12,46.96
2018-01-16,46.66
2018-01-17,47.13
2018-01-18,46.96
2018-01-19,47.02
2018-01-22,46.79
2018-01-23,47.33
2018-01-24,47.52
2018-01-25,47.18
2018-01-26,48.29
2018-01-29,48.17
2018-01-30,47.95
2018-01-31,47.94
2018-02-01,47.64
2018-02-02,47.52
2018-02-05,45.19
2018-02-06,45.47
2018-02-07,45.21
2018-02-08,43.6
2018-02-09,45.69
2018-02-12,46.85
2018-02-13,46.75
2018-02-14,46.78
2018-02-15,47.35
2018-02-16,47.71
2018-02-20,47.83
2018-02-21,47.93
2018-02-22,48.36
2018-02-23,48.65
2018-02-26,49.16
2018-02-27,49.04
2018-02-28,48.43
2018-03-01,47.11
2018-03-02,46.66
2018-03-05,46.83
2018-03-06,47.37
2018-03-07,49.16
2018-03-08,49.41
2018-03-09,50.62
2018-03-12,49.52
2018-03-13,49.18
2018-03-14,48.94
2018-03-15,49.25
2018-03-16,49.33
2018-03-19,49.05
2018-03-20,49.29
2018-03-21,49.41
2018-03-22,48.36
2018-03-23,47.94
2018-03-26,49.24
2018-03-27,48.43
2018-03-28,48.34
2018-03-29,48.88
2018-04-02,47.57
2018-04-03,48.12
2018-04-04,48.32
2018-04-05,48.82
2018-04-06,47.12
2018-04-09,46.73
2018-04-10,47.8
2018-04-11,46.95
2018-04-12,47.14
2018-04-13,47.11
2018-04-16,47.46
2018-04-17,48.39
2018-04-18,48.65
2018-04-19,48.41
2018-04-20,48.39
2018-04-23,48.12
2018-04-24,46.07
2018-04-25,45.53
2018-04-26,45.57
2018-04-27,44.97
2018-04-30,44.34
2018-05-01,45.43
2018-05-02,45.1
2018-05-03,45.73
2018-05-04,46.22
2018-05-07,46.38
2018-05-08,46.82
2018-05-09,47.43
2018-05-10,47.64
2018-05-11,47.69
2018-05-14,48.12
2018-05-15,48.08
2018-05-16,48.42
2018-05-17,48.78
2018-05-18,49.11
2018-05-21,48.94
2018-05-22,48.0
2018-05-23,48.04
2018-05-24,48.03
