Date,Close
2017-01-03,62.09
2017-01-04,62.07
2017-01-05,62.25
2017-01-06,61.47
2017-01-09,60.56
2017-01-10,60.45
2017-01-11,60.98
2017-01-12,61.27
2017-01-13,61.08
2017-01-17,61.98
2017-01-18,62.08
2017-01-19,61.65
2017-01-20,62.42
2017-01-23,62.12
2017-01-24,62.67
2017-01-25,63.01
2017-01-26,62.7
2017-01-27,62.72
2017-01-30,62.6
2017-01-31,62.48
2017-02-01,61.37
2017-02-02,61.72
2017-02-03,62.73
2017-02-06,61.44
2017-02-07,61.82
2017-02-08,62.22
2017-02-09,63.06
2017-02-10,62.76
2017-02-13,62.89
2017-02-14,63.09
2017-02-15,63.19
2017-02-16,61.54
2017-02-17,59.23
2017-02-21,61.02
2017-02-22,60.59
2017-02-23,60.78
2017-02-24,61.37
2017-02-27,59.94
2017-02-28,60.37
2017-03-01,60.55
2017-03-02,60.91
2017-03-03,60.73
2017-03-06,60.43
2017-03-07,60.25
2017-03-08,60.07
2017-03-09,60.63
2017-03-10,60.57
2017-03-13,60.52
2017-03-14,60.46
2017-03-15,61.16
2017-03-16,60.81
2017-03-17,60.66
2017-03-20,60.26
2017-03-21,59.76
2017-03-22,58.94
2017-03-23,59.37
2017-03-24,59.16
2017-03-27,58.79
2017-03-28,59.01
2017-03-29,59.44
2017-03-30,59.07
2017-03-31,59.01
2017-04-03,58.55
2017-04-04,58.38
2017-04-05,58.25
2017-04-06,57.69
2017-04-07,57.65
2017-04-10,57.52
2017-04-11,57.42
2017-04-12,57.58
2017-04-13,57.17
2017-04-17,57.6
2017-04-18,58.16
2017-04-19,57.84
2017-04-20,57.88
2017-04-21,57.73
2017-04-24,58.14
2017-04-25,58.24
2017-04-26,57.88
2017-04-27,57.41
2017-04-28,57.51
2017-05-01,56.6
2017-05-02,55.92
2017-05-03,56.05
2017-05-04,57.05
2017-05-05,57.3
2017-05-08,57.4
2017-05-09,56.37
2017-05-10,56.34
2017-05-11,56.26
2017-05-12,56.25
2017-05-15,56.36
2017-05-16,56.09
2017-05-17,56.03
2017-05-18,55.91
2017-05-19,56.23
2017-05-22,56.71
2017-05-23,56.69
2017-05-24,56.91
2017-05-25,56.83
2017-05-26,57.32
2017-05-30,56.57
2017-05-31,56.74
2017-06-01,57.55
2017-06-02,57.55
2017-06-05,57.44
2017-06-06,57.53
2017-06-07,57.7
2017-06-08,57.2
2017-06-09,57.09
2017-06-12,57.24
2017-06-13,58.17
2017-06-14,58.75
2017-06-15,58.83
2017-06-16,57.1
2017-06-19,57.12
2017-06-20,56.74
2017-06-21,56.21
2017-06-22,56.0
2017-06-23,55.94
2017-06-26,56.17
2017-06-27,55.52
2017-06-28,56.42
2017-06-29,54.97
2017-06-30,55.4
2017-07-03,55.18
2017-07-05,54.81
2017-07-06,53.82
2017-07-07,53.63
2017-07-10,53.4
2017-07-11,53.53
2017-07-12,53.44
2017-07-13,53.28
2017-07-14,53.74
2017-07-17,54.15
2017-07-18,53.67
2017-07-19,53.85
2017-07-20,54.17
2017-07-21,54.35
2017-07-24,54.48
2017-07-25,55.12
2017-07-26,55.13
2017-07-27,55.49
2017-07-28,55.33
2017-07-31,55.66
2017-08-01,55.2
2017-08-02,56.07
2017-08-03,56.22
2017-08-04,56.17
2017-08-07,56.38
2017-08-08,55.78
2017-08-09,55.77
