Date,Close
2017-01-03,73.92
2017-01-04,74.65
2017-01-05,74.19
2017-01-06,74.59
2017-01-09,73.91
2017-01-10,74.01
2017-01-11,73.75
2017-01-12,73.4
2017-01-13,73.88
2017-01-17,73.0
2017-01-18,73.81
2017-01-19,73.62
2017-01-20,73.99
2017-01-23,73.59
2017-01-24,74.26
2017-01-25,74.69
2017-01-26,74.86
2017-01-27,74.55
2017-01-30,74.05
2017-01-31,73.54
2017-02-01,73.54
2017-02-02,73.66
2017-02-03,74.25
2017-02-06,74.39
2017-02-07,74.18
2017-02-08,73.83
2017-02-09,74.45
2017-02-10,74.92
2017-02-13,75.86
2017-02-14,76.17
2017-02-15,76.99
2017-02-16,77.42
2017-02-17,77.12
2017-02-21,77.26
2017-02-22,77.51
2017-02-23,77.56
2017-02-24,77.55
2017-02-27,77.47
2017-02-28,77.53
2017-03-01,78.7
2017-03-02,77.88
2017-03-03,78.19
2017-03-06,77.92
2017-03-07,78.03
2017-03-08,77.59
2017-03-09,78.21
2017-03-10,78.34
2017-03-13,78.38
2017-03-14,78.41
2017-03-15,78.63
2017-03-16,78.71
2017-03-17,78.63
2017-03-20,78.42
2017-03-21,76.57
2017-03-22,76.48
2017-03-23,76.56
2017-03-24,76.59
2017-03-27,76.34
2017-03-28,76.92
2017-03-29,76.24
2017-03-30,77.17
2017-03-31,77.04
2017-04-03,76.66
2017-04-04,76.82
2017-04-05,76.03
2017-04-06,76.26
2017-04-07,76.16
2017-04-10,76.09
2017-04-11,76.23
2017-04-12,75.39
2017-04-13,74.48
2017-04-17,75.55
2017-04-18,75.0
2017-04-19,74.76
2017-04-20,76.0
2017-04-21,76.33
2017-04-24,77.28
2017-04-25,77.27
2017-04-26,77.07
2017-04-27,77.43
2017-04-28,76.71
2017-05-01,76.9
2017-05-02,76.76
2017-05-03,76.88
2017-05-04,76.71
2017-05-05,76.83
2017-05-08,76.62
2017-05-09,76.04
2017-05-10,76.12
2017-05-11,75.58
2017-05-12,75.24
2017-05-15,76.02
2017-05-16,75.64
2017-05-17,74.11
2017-05-18,74.57
2017-05-19,74.37
