Date,Close
2017-01-03,24.3
2017-01-04,24.46
2017-01-05,24.31
2017-01-06,24.52
2017-01-09,24.47
2017-01-10,24.49
2017-01-11,24.67
2017-01-12,24.53
2017-01-13,24.84
2017-01-17,24.19
2017-01-18,24.56
2017-01-19,24.42
2017-01-20,24.79
2017-01-23,24.77
2017-01-24,26.18
2017-01-25,26.68
2017-01-26,26.55
2017-01-27,26.68
2017-01-30,26.65
2017-01-31,26.49
2017-02-01,26.21
2017-02-02,26.38
2017-02-03,26.73
2017-02-06,26.71
2017-02-07,26.59
2017-02-08,26.48
2017-02-09,26.8
2017-02-10,26.7
2017-02-13,26.73
2017-02-14,27.24
2017-02-15,27.36
2017-02-16,27.71
2017-02-17,27.65
2017-02-21,27.73
2017-02-22,27.74
2017-02-23,27.56
2017-02-24,27.73
2017-02-27,27.65
2017-02-28,27.61
2017-03-01,28.2
2017-03-02,27.88
2017-03-03,27.88
2017-03-06,27.72
2017-03-07,27.72
2017-03-08,27.62
2017-03-09,27.57
2017-03-10,27.56
2017-03-13,27.71
2017-03-14,26.85
2017-03-15,27.23
2017-03-16,27.28
2017-03-17,27.24
2017-03-20,27.3
2017-03-21,26.87
2017-03-22,27.35
2017-03-23,27.34
2017-03-24,27.41
2017-03-27,27.41
2017-03-28,27.55
2017-03-29,27.48
2017-03-30,27.56
2017-03-31,27.0
2017-04-03,26.84
2017-04-04,26.79
2017-04-05,26.7
2017-04-06,26.78
2017-04-07,26.81
2017-04-10,26.79
2017-04-11,26.85
2017-04-12,26.48
2017-04-13,26.32
2017-04-17,26.54
2017-04-18,26.89
2017-04-19,26.86
2017-04-20,27.11
2017-04-21,27.02
2017-04-24,27.52
2017-04-25,28.54
2017-04-26,28.39
2017-04-27,29.02
2017-04-28,28.85
2017-05-01,29.11
2017-05-02,29.02
2017-05-03,28.76
2017-05-04,28.84
2017-05-05,28.91
2017-05-08,29.12
2017-05-09,29.08
2017-05-10,29.11
2017-05-11,28.8
2017-05-12,29.06
2017-05-15,29.33
2017-05-16,29.6
2017-05-17,28.64
2017-05-18,28.77
2017-05-19,29.05
2017-05-22,29.31
2017-05-23,29.18
2017-05-24,29.17
2017-05-25,29.57
2017-05-26,29.3
2017-05-30,29.32
2017-05-31,29.1
2017-06-01,29.67
2017-06-02,29.69
2017-06-05,29.54
2017-06-06,29.57
2017-06-07,29.49
2017-06-08,29.3
2017-06-09,28.95
2017-06-12,29.06
2017-06-13,29.4
2017-06-14,29.25
2017-06-15,29.39
2017-06-16,29.41
2017-06-19,29.88
2017-06-20,29.67
2017-06-21,29.76
2017-06-22,29.71
2017-06-23,29.99
2017-06-26,30.23
2017-06-27,29.99
2017-06-28,30.5
2017-06-29,30.37
2017-06-30,30.05
2017-07-03,30.13
2017-07-05,30.49
2017-07-06,29.81
2017-07-07,30.28
2017-07-10,30.54
2017-07-11,30.33
2017-07-12,30.85
2017-07-13,30.82
2017-07-14,31.07
2017-07-17,31.32
2017-07-18,31.41
2017-07-19,31.73
2017-07-20,31.71
2017-07-21,31.85
2017-07-24,31.85
2017-07-25,32.13
2017-07-26,30.42
2017-07-27,29.49
2017-07-28,29.25
2017-07-31,29.14
2017-08-01,29.52
2017-08-02,29.77
2017-08-03,29.28
2017-08-04,29.25
2017-08-07,29.24
2017-08-08,29.3
2017-08-09,29.36
2017-08-10,28.57
2017-08-11,28.98
2017-08-14,29.41
2017-08-15,28.49
2017-08-16,28.45
2017-08-17,27.87
2017-08-18,27.88
2017-08-21,28.19
2017-08-22,28.5
2017-08-23,28.48
2017-08-24,28.56
2017-08-25,28.66
2017-08-28,28.76
2017-08-29,28.57
2017-08-30,28.64
2017-08-31,28.76
2017-09-01,28.91
2017-09-05,28.62
2017-09-06,28.58
2017-09-07,28.73
2017-09-08,28.54
2017-09-11,28.92
2017-09-12,29.15
2017-09-13,29.2
2017-09-14,29.25
2017-09-15,29.35
2017-09-18,29.54
2017-09-19,29.91
2017-09-20,30.03
2017-09-21,30.1
2017-09-22,30.05
2017-09-25,30.01
2017-09-26,29.81
2017-09-27,30.04
2017-09-28,29.95
2017-09-29,29.92
2017-10-02,30.16
2017-10-03,30.31
2017-10-04,30.47
2017-10-05,30.45
2017-10-06,30.09
2017-10-09,30.12
2017-10-10,30.03
2017-10-11,29.89
2017-10-12,29.94
2017-10-13,29.74
2017-10-16,29.89
2017-10-17,29.67
2017-10-18,29.92
2017-10-19,30.06
2017-10-20,30.06
2017-10-23,30.01
2017-10-24,31.94
2017-10-25,31.54
2017-10-26,31.7
2017-10-27,31.51
2017-10-30,31.26
2017-10-31,31.31
2017-11-01,31.63
2017-11-02,31.58
2017-11-03,31.67
2017-11-06,31.84
2017-11-07,32.25
2017-11-08,32.22
2017-11-09,31.79
2017-11-10,31.73
2017-11-13,31.66
2017-11-14,31.7
2017-11-15,31.32
2017-11-16,31.65
2017-11-17,31.63
2017-11-20,31.73
2017-11-21,31.93
2017-11-22,31.8
2017-11-24,31.85
2017-11-27,32.05
2017-11-28,32.44
2017-11-29,32.48
2017-11-30,32.39
2017-12-01,31.85
2017-12-04,32.21
2017-12-05,32.24
2017-12-06,31.67
2017-12-07,31.73
2017-12-08,32.35
2017-12-11,32.57
2017-12-12,32.64
2017-12-13,32.29
2017-12-14,31.81
2017-12-15,32.05
2017-12-18,32.32
2017-12-19,32.26
2017-12-20,32.42
2017-12-21,32.3
2017-12-22,32.38
2017-12-26,32.38
2017-12-27,32.35
2017-12-28,32.3
