Date,Close
2017-01-03,35.15
2017-01-04,37.09
2017-01-05,36.39
2017-01-06,35.99
2017-01-09,36.01
2017-01-10,37.35
2017-01-11,37.95
2017-01-12,37.51
2017-01-13,37.34
2017-01-17,37.31
2017-01-18,37.47
2017-01-19,37.3
2017-01-20,37.01
2017-01-23,36.65
2017-01-24,37.0
2017-01-25,38.28
2017-01-26,37.52
2017-01-27,37.01
2017-01-30,36.33
2017-01-31,36.61
2017-02-01,36.14
2017-02-02,35.73
2017-02-03,36.33
2017-02-06,36.83
2017-02-07,35.1
2017-02-08,35.14
2017-02-09,35.08
2017-02-10,35.17
2017-02-13,35.52
2017-02-14,37.24
2017-02-15,37.08
2017-02-16,37.03
2017-02-17,37.22
2017-02-21,37.81
2017-02-22,37.84
2017-02-23,37.25
2017-02-24,36.9
2017-02-27,37.27
2017-02-28,36.84
2017-03-01,37.43
2017-03-02,37.76
2017-03-03,38.23
2017-03-06,37.91
2017-03-07,37.52
2017-03-08,37.27
2017-03-09,36.83
2017-03-10,36.83
2017-03-13,36.87
2017-03-14,36.96
2017-03-15,37.09
2017-03-16,37.08
2017-03-17,36.33
2017-03-20,35.71
2017-03-21,34.55
2017-03-22,34.39
2017-03-23,34.26
2017-03-24,34.56
2017-03-27,34.71
2017-03-28,35.56
2017-03-29,35.54
2017-03-30,35.41
2017-03-31,35.36
2017-04-03,34.17
2017-04-04,34.27
2017-04-05,34.0
2017-04-06,34.16
2017-04-07,33.71
2017-04-10,33.97
2017-04-11,33.92
2017-04-12,33.94
2017-04-13,33.39
2017-04-17,33.9
2017-04-18,33.69
2017-04-19,33.79
2017-04-20,34.1
2017-04-21,33.75
2017-04-24,33.91
2017-04-25,33.99
2017-04-26,34.38
2017-04-27,34.54
2017-04-28,34.64
2017-05-01,34.2
2017-05-02,33.2
2017-05-03,33.48
2017-05-04,33.15
2017-05-05,33.77
2017-05-08,33.97
2017-05-09,34.26
2017-05-10,34.23
2017-05-11,34.11
2017-05-12,33.62
2017-05-15,33.82
2017-05-16,33.42
2017-05-17,32.42
2017-05-18,32.47
2017-05-19,32.72
2017-05-22,32.92
2017-05-23,33.22
2017-05-24,33.2
2017-05-25,32.6
2017-05-26,33.07
2017-05-30,33.53
2017-05-31,33.93
2017-06-01,34.43
2017-06-02,34.45
2017-06-05,34.46
2017-06-06,34.43
2017-06-07,34.34
2017-06-08,34.11
2017-06-09,34.34
2017-06-12,34.68
2017-06-13,34.51
2017-06-14,34.61
2017-06-15,34.6
2017-06-16,34.29
2017-06-19,34.35
2017-06-20,34.4
2017-06-21,34.13
2017-06-22,34.19
2017-06-23,34.2
2017-06-26,34.52
2017-06-27,34.21
2017-06-28,34.58
2017-06-29,34.86
2017-06-30,34.93
2017-07-03,35.57
2017-07-05,35.01
2017-07-06,34.87
2017-07-07,34.94
2017-07-10,35.19
2017-07-11,35.4
2017-07-12,35.5
2017-07-13,35.86
2017-07-14,36.35
2017-07-17,36.38
2017-07-18,36.43
2017-07-19,36.47
2017-07-20,36.41
2017-07-21,36.07
2017-07-24,35.82
2017-07-25,35.57
2017-07-26,35.62
2017-07-27,35.94
2017-07-28,35.77
2017-07-31,35.98
2017-08-01,34.76
2017-08-02,34.82
2017-08-03,34.77
2017-08-04,35.27
2017-08-07,35.3
2017-08-08,35.39
2017-08-09,35.28
2017-08-10,34.88
2017-08-11,34.93
2017-08-14,35.47
2017-08-15,35.54
2017-08-16,35.75
2017-08-17,35.0
2017-08-18,34.83
2017-08-21,34.91
2017-08-22,35.3
2017-08-23,35.49
2017-08-24,35.52
2017-08-25,35.6
2017-08-28,35.51
2017-08-29,35.52
2017-08-30,35.82
2017-08-31,36.54
2017-09-01,37.36
2017-09-05,37.23
2017-09-06,37.67
2017-09-07,36.91
2017-09-08,37.0
2017-09-11,37.35
2017-09-12,37.89
2017-09-13,38.21
2017-09-14,38.79
2017-09-15,38.88
2017-09-18,38.59
2017-09-19,38.7
2017-09-20,38.88
2017-09-21,39.1
2017-09-22,39.42
2017-09-25,40.3
2017-09-26,40.26
2017-09-27,40.58
2017-09-28,40.58
2017-09-29,40.38
2017-10-02,42.15
2017-10-03,43.45
2017-10-04,43.78
2017-10-05,43.85
2017-10-06,44.93
2017-10-09,45.33
2017-10-10,45.21
2017-10-11,45.47
2017-10-12,44.89
2017-10-13,45.88
2017-10-16,45.76
2017-10-17,45.02
2017-10-18,45.12
2017-10-19,45.35
2017-10-20,45.61
2017-10-23,45.15
2017-10-24,46.48
2017-10-25,45.12
2017-10-26,45.25
2017-10-27,44.64
2017-10-30,43.37
2017-10-31,42.98
2017-11-01,43.13
2017-11-02,42.6
2017-11-03,42.34
2017-11-06,42.14
2017-11-07,41.7
2017-11-08,42.11
2017-11-09,42.11
2017-11-10,42.66
2017-11-13,43.57
2017-11-14,43.0
2017-11-15,42.86
2017-11-16,43.6
2017-11-17,43.88
2017-11-20,44.88
2017-11-21,44.97
2017-11-22,44.29
2017-11-24,44.46
2017-11-27,44.17
2017-11-28,44.92
2017-11-29,43.81
2017-11-30,43.09
2017-12-01,42.79
2017-12-04,43.05
2017-12-05,42.8
2017-12-06,42.15
2017-12-07,42.02
2017-12-08,42.02
2017-12-11,41.67
2017-12-12,41.53
2017-12-13,41.4
2017-12-14,40.81
2017-12-15,40.95
2017-12-18,42.15
2017-12-19,42.49
2017-12-20,42.52
2017-12-21,42.16
2017-12-22,42.02
2017-12-26,41.8
2017-12-27,41.31
2017-12-28,41.38
2017-12-29,40.99
2018-01-02,41.8
2018-01-03,42.82
2018-01-04,44.14
2018-01-05,44.01
2018-01-08,44.22
2018-01-09,44.05
2018-01-10,43.0
2018-01-11,44.19
2018-01-12,44.07
2018-01-16,44.19
2018-01-17,44.03
2018-01-18,43.86
2018-01-19,43.15
2018-01-22,43.29
2018-01-23,43.38
2018-01-24,44.16
2018-01-25,43.16
2018-01-26,43.49
2018-01-29,43.02
2018-01-30,42.7
2018-01-31,42.41
2018-02-01,42.43
2018-02-02,41.0
2018-02-05,39.54
2018-02-06,41.86
2018-02-07,42.39
