Date,Close
2017-01-03,41.94
2017-01-04,42.0
2017-01-05,41.12
2017-01-06,40.71
2017-01-09,40.29
2017-01-10,40.78
2017-01-11,40.62
2017-01-12,40.91
2017-01-13,37.99
2017-01-17,37.75
2017-01-18,37.86
2017-01-19,38.36
2017-01-20,38.6
2017-01-23,38.69
2017-01-24,40.05
2017-01-25,40.45
2017-01-26,40.69
2017-01-27,40.31
2017-01-30,39.88
2017-01-31,40.26
2017-02-01,40.25
2017-02-02,40.22
2017-02-03,40.6
2017-02-06,40.55
2017-02-07,41.29
2017-02-08,40.79
2017-02-09,41.79
2017-02-10,42.21
2017-02-13,42.64
2017-02-14,39.8
2017-02-15,40.5
2017-02-16,40.16
2017-02-17,40.45
2017-02-21,40.34
2017-02-22,40.74
2017-02-23,40.07
2017-02-24,39.3
2017-02-27,39.87
2017-02-28,39.04
2017-03-01,39.83
2017-03-02,39.67
2017-03-03,39.47
2017-03-06,39.55
2017-03-07,39.18
2017-03-08,38.66
2017-03-09,38.38
2017-03-10,38.66
2017-03-13,39.17
2017-03-14,37.99
2017-03-15,38.74
2017-03-16,38.52
2017-03-17,38.46
2017-03-20,38.07
2017-03-21,36.79
2017-03-22,37.01
2017-03-23,37.32
2017-03-24,37.31
2017-03-27,37.49
2017-03-28,37.51
2017-03-29,37.4
2017-03-30,37.51
2017-03-31,37.28
2017-04-03,37.03
2017-04-04,36.92
2017-04-05,34.79
2017-04-06,35.77
2017-04-07,35.89
2017-04-10,36.19
2017-04-11,36.61
2017-04-12,35.6
2017-04-13,35.05
2017-04-17,35.75
2017-04-18,35.69
2017-04-19,35.5
2017-04-20,35.97
2017-04-21,35.99
2017-04-24,36.72
2017-04-25,37.13
2017-04-26,37.29
2017-04-27,36.23
2017-04-28,35.17
2017-05-01,35.54
2017-05-02,35.8
2017-05-03,35.3
2017-05-04,35.68
2017-05-05,36.08
2017-05-08,36.02
2017-05-09,36.03
2017-05-10,35.94
2017-05-11,36.02
2017-05-12,35.14
2017-05-15,35.75
2017-05-16,35.64
2017-05-17,35.05
2017-05-18,34.91
2017-05-19,35.22
2017-05-22,35.09
2017-05-23,35.18
2017-05-24,34.93
2017-05-25,34.75
2017-05-26,34.83
2017-05-30,34.52
2017-05-31,34.65
2017-06-01,35.92
2017-06-02,35.95
2017-06-05,35.63
2017-06-06,35.4
2017-06-07,35.33
2017-06-08,35.35
2017-06-09,36.28
2017-06-12,36.03
2017-06-13,36.06
2017-06-14,35.99
2017-06-15,36.0
2017-06-16,35.6
2017-06-19,36.09
2017-06-20,35.65
2017-06-21,35.37
2017-06-22,35.53
2017-06-23,35.9
2017-06-26,35.59
2017-06-27,35.43
2017-06-28,35.75
2017-06-29,36.15
2017-06-30,36.13
2017-07-03,36.59
2017-07-05,36.75
2017-07-06,36.03
2017-07-07,36.14
2017-07-10,36.15
2017-07-11,35.91
2017-07-12,35.95
