Date,Close
2017-01-03,39.31
2017-01-04,39.35
2017-01-05,39.7
2017-01-06,40.31
2017-01-09,40.33
2017-01-10,40.24
2017-01-11,40.4
2017-01-12,40.32
2017-01-13,40.39
2017-01-17,40.23
2017-01-18,40.3
2017-01-19,40.11
2017-01-20,40.25
2017-01-23,40.97
2017-01-24,41.19
2017-01-25,41.78
2017-01-26,41.61
2017-01-27,41.17
2017-01-30,40.12
2017-01-31,39.84
2017-02-01,39.78
2017-02-02,39.93
2017-02-03,40.07
2017-02-06,40.07
2017-02-07,40.35
2017-02-08,40.42
2017-02-09,40.48
2017-02-10,40.68
2017-02-13,40.96
2017-02-14,41.02
2017-02-15,40.95
2017-02-16,41.21
2017-02-17,41.4
2017-02-21,41.58
2017-02-22,41.54
2017-02-23,41.57
2017-02-24,41.43
2017-02-27,41.46
2017-02-28,41.16
2017-03-01,41.76
2017-03-02,41.53
2017-03-03,41.45
2017-03-06,41.39
2017-03-07,41.6
2017-03-08,41.77
2017-03-09,41.93
2017-03-10,42.16
2017-03-13,42.28
2017-03-14,42.28
2017-03-15,42.36
2017-03-16,42.44
2017-03-17,42.61
2017-03-20,42.42
2017-03-21,41.52
2017-03-22,41.48
2017-03-23,40.88
2017-03-24,40.72
2017-03-27,40.98
2017-03-28,41.05
2017-03-29,41.57
2017-03-30,41.58
2017-03-31,41.48
2017-04-03,41.93
2017-04-04,41.73
2017-04-05,41.57
2017-04-06,41.39
2017-04-07,41.23
2017-04-10,41.24
2017-04-11,41.17
2017-04-12,41.22
2017-04-13,41.18
2017-04-17,41.86
2017-04-18,41.84
2017-04-19,41.91
2017-04-20,42.08
2017-04-21,42.16
2017-04-24,43.14
2017-04-25,43.62
2017-04-26,43.59
2017-04-27,43.71
2017-04-28,45.3
2017-05-01,45.63
2017-05-02,45.82
2017-05-03,46.35
2017-05-04,46.58
2017-05-05,46.36
2017-05-08,46.72
2017-05-09,46.61
2017-05-10,46.44
2017-05-11,46.53
2017-05-12,46.61
2017-05-15,46.85
2017-05-16,47.15
2017-05-17,45.98
2017-05-18,46.51
2017-05-19,46.7
2017-05-22,47.09
2017-05-23,47.44
2017-05-24,47.75
2017-05-25,48.48
2017-05-26,48.57
2017-05-30,48.79
2017-05-31,48.24
2017-06-01,48.35
2017-06-02,48.78
2017-06-05,49.18
2017-06-06,48.83
2017-06-07,49.05
2017-06-08,49.17
2017-06-09,47.49
2017-06-12,47.15
2017-06-13,47.67
2017-06-14,47.54
2017-06-15,47.12
2017-06-16,46.99
2017-06-19,47.87
2017-06-20,47.53
2017-06-21,47.97
2017-06-22,47.85
2017-06-23,48.28
2017-06-26,47.61
2017-06-27,46.37
2017-06-28,47.02
2017-06-29,45.89
2017-06-30,45.44
2017-07-03,44.94
2017-07-05,45.59
2017-07-06,45.33
2017-07-07,45.93
2017-07-10,46.44
2017-07-11,46.5
2017-07-12,47.19
2017-07-13,47.36
2017-07-14,47.8
2017-07-17,47.67
2017-07-18,48.27
2017-07-19,48.54
2017-07-20,48.41
2017-07-21,48.65
2017-07-24,49.02
2017-07-25,47.54
2017-07-26,47.39
2017-07-27,46.7
2017-07-28,47.08
2017-07-31,46.53
2017-08-01,46.54
2017-08-02,46.52
2017-08-03,46.18
2017-08-04,46.4
2017-08-07,46.47
2017-08-08,46.34
2017-08-09,46.15
2017-08-10,45.36
2017-08-11,45.72
2017-08-14,46.13
2017-08-15,46.11
2017-08-16,46.35
2017-08-17,45.55
2017-08-18,45.53
2017-08-21,45.33
2017-08-22,46.23
2017-08-23,46.35
2017-08-24,46.06
2017-08-25,45.79
2017-08-28,45.69
2017-08-29,46.06
2017-08-30,46.48
2017-08-31,46.97
2017-09-01,46.87
2017-09-05,46.42
2017-09-06,46.39
2017-09-07,46.8
