Date,Close
2017-01-03,95.63
2017-01-04,97.12
2017-01-05,96.67
2017-01-06,96.16
2017-01-09,96.05
2017-01-10,97.28
2017-01-11,97.48
2017-01-12,98.09
2017-01-13,98.57
2017-01-17,97.56
2017-01-18,99.29
2017-01-19,99.11
2017-01-20,99.74
2017-01-23,96.25
2017-01-24,96.92
2017-01-25,97.81
2017-01-26,97.14
2017-01-27,96.67
2017-01-30,97.08
2017-01-31,96.81
2017-02-01,96.34
2017-02-02,96.62
2017-02-03,97.14
2017-02-06,97.21
2017-02-07,96.97
2017-02-08,99.04
2017-02-09,99.67
2017-02-10,99.78
2017-02-13,99.89
2017-02-14,99.66
2017-02-15,100.12
2017-02-16,99.23
2017-02-17,100.67
2017-02-21,97.67
2017-02-22,95.99
2017-02-23,95.0
2017-02-24,96.25
2017-02-27,96.18
2017-02-28,95.71
2017-03-01,96.57
2017-03-02,95.87
2017-03-03,94.7
2017-03-06,94.18
2017-03-07,93.52
2017-03-08,93.15
2017-03-09,92.95
2017-03-10,93.21
2017-03-13,94.14
2017-03-14,94.06
2017-03-15,93.96
2017-03-16,94.27
2017-03-17,94.9
2017-03-20,94.33
2017-03-21,93.3
2017-03-22,93.47
2017-03-23,93.45
2017-03-24,92.84
2017-03-27,92.76
2017-03-28,93.1
2017-03-29,92.67
2017-03-30,92.34
2017-03-31,92.41
2017-04-03,90.34
2017-04-04,90.03
2017-04-05,90.23
2017-04-06,90.32
2017-04-07,89.86
2017-04-10,89.79
2017-04-11,90.61
2017-04-12,89.42
2017-04-13,88.94
2017-04-17,90.1
2017-04-18,90.14
2017-04-19,91.91
2017-04-20,92.9
2017-04-21,93.11
2017-04-24,93.6
2017-04-25,93.29
2017-04-26,93.13
2017-04-27,93.33
2017-04-28,92.02
2017-05-01,91.34
2017-05-02,92.07
2017-05-03,92.06
2017-05-04,92.25
2017-05-05,92.73
2017-05-08,92.54
2017-05-09,92.83
2017-05-10,92.79
2017-05-11,91.85
2017-05-12,91.44
2017-05-15,91.86
2017-05-16,91.54
2017-05-17,91.13
2017-05-18,91.65
2017-05-19,92.12
2017-05-22,92.46
2017-05-23,90.65
2017-05-24,90.17
2017-05-25,91.36
2017-05-26,93.28
2017-05-30,92.54
2017-05-31,92.62
2017-06-01,94.11
2017-06-02,94.28
2017-06-05,93.78
2017-06-06,92.12
2017-06-07,91.84
2017-06-08,90.89
2017-06-09,91.61
2017-06-12,92.97
2017-06-13,93.86
2017-06-14,94.26
2017-06-15,94.84
2017-06-16,95.61
2017-06-19,93.49
2017-06-20,91.27
2017-06-21,89.89
2017-06-22,89.67
2017-06-23,90.74
2017-06-26,91.16
2017-06-27,90.85
2017-06-28,91.94
2017-06-29,91.12
2017-06-30,92.76
2017-07-03,93.66
2017-07-05,89.16
2017-07-06,86.74
2017-07-07,86.86
2017-07-10,85.1
2017-07-11,84.27
2017-07-12,84.0
2017-07-13,83.7
2017-07-14,83.35
2017-07-17,84.07
2017-07-18,83.01
2017-07-19,82.96
2017-07-20,81.69
2017-07-21,82.71
2017-07-24,81.81
2017-07-25,83.32
2017-07-26,82.81
2017-07-27,84.79
2017-07-28,83.93
2017-07-31,84.93
2017-08-01,84.96
2017-08-02,84.43
2017-08-03,84.11
2017-08-04,83.88
2017-08-07,84.15
2017-08-08,83.45
2017-08-09,83.48
2017-08-10,82.29
2017-08-11,82.81
