Date,Close
2017-01-03,49.19
2017-01-04,49.83
2017-01-05,49.49
2017-01-06,49.04
2017-01-09,48.09
2017-01-10,47.93
2017-01-11,48.26
2017-01-12,48.37
2017-01-13,48.52
2017-01-17,47.94
2017-01-18,47.76
2017-01-19,47.61
2017-01-20,47.87
2017-01-23,48.18
2017-01-24,49.08
2017-01-25,49.75
2017-01-26,49.08
2017-01-27,49.0
2017-01-30,47.35
2017-01-31,48.29
2017-02-01,48.13
2017-02-02,49.8
2017-02-03,49.84
2017-02-06,50.26
2017-02-07,49.53
2017-02-08,48.85
2017-02-09,49.13
2017-02-10,49.78
2017-02-13,50.34
2017-02-14,50.25
2017-02-15,50.82
2017-02-16,50.95
2017-02-17,50.81
2017-02-21,50.45
2017-02-22,54.15
2017-02-23,52.31
2017-02-24,53.03
2017-02-27,52.61
2017-02-28,51.61
2017-03-01,52.34
2017-03-02,51.72
2017-03-03,51.52
2017-03-06,51.76
2017-03-07,51.51
2017-03-08,51.99
2017-03-09,52.11
2017-03-10,52.51
2017-03-13,51.85
2017-03-14,51.42
2017-03-15,51.9
2017-03-16,52.36
2017-03-17,52.36
2017-03-20,52.65
2017-03-21,51.52
2017-03-22,51.21
2017-03-23,51.48
2017-03-24,51.1
2017-03-27,50.77
2017-03-28,51.01
2017-03-29,50.96
2017-03-30,51.09
2017-03-31,51.11
2017-04-03,50.24
2017-04-04,49.99
2017-04-05,49.82
2017-04-06,50.08
2017-04-07,50.37
2017-04-10,50.54
2017-04-11,49.99
2017-04-12,49.29
2017-04-13,48.69
2017-04-17,48.98
2017-04-18,49.26
2017-04-19,49.58
2017-04-20,49.98
2017-04-21,49.95
2017-04-24,50.29
2017-04-25,50.74
2017-04-26,50.57
2017-04-27,51.21
2017-04-28,50.84
2017-05-01,51.83
2017-05-02,51.24
2017-05-03,50.68
2017-05-04,51.42
2017-05-05,52.49
2017-05-08,51.96
2017-05-09,52.01
2017-05-10,52.62
2017-05-11,52.36
2017-05-12,52.15
2017-05-15,52.39
2017-05-16,52.6
2017-05-17,51.1
2017-05-18,51.0
2017-05-19,51.22
2017-05-22,52.03
2017-05-23,51.68
2017-05-24,51.49
2017-05-25,52.08
2017-05-26,52.4
2017-05-30,52.11
2017-05-31,52.04
2017-06-01,52.74
2017-06-02,52.95
2017-06-05,53.58
2017-06-06,52.84
2017-06-07,51.9
2017-06-08,51.89
2017-06-09,51.89
2017-06-12,51.91
2017-06-13,51.61
2017-06-14,51.72
2017-06-15,51.7
2017-06-16,51.34
2017-06-19,51.79
2017-06-20,51.36
2017-06-21,51.17
2017-06-22,51.39
2017-06-23,51.28
2017-06-26,51.3
2017-06-27,50.57
2017-06-28,50.95
2017-06-29,50.94
2017-06-30,51.03
2017-07-03,51.82
2017-07-05,52.07
2017-07-06,50.98
2017-07-07,51.17
2017-07-10,50.26
2017-07-11,50.3
2017-07-12,50.3
2017-07-13,50.24
2017-07-14,50.3
2017-07-17,50.6
2017-07-18,50.21
2017-07-19,51.66
2017-07-20,51.33
2017-07-21,51.59
2017-07-24,51.68
2017-07-25,52.56
2017-07-26,52.25
2017-07-27,51.88
2017-07-28,51.32
2017-07-31,50.19
2017-08-01,49.99
2017-08-02,52.22
2017-08-03,51.82
2017-08-04,51.88
2017-08-07,52.1
2017-08-08,51.76
2017-08-09,52.28
2017-08-10,51.29
2017-08-11,51.21
2017-08-14,51.8
2017-08-15,51.4
2017-08-16,51.88
2017-08-17,51.2
2017-08-18,51.17
2017-08-21,50.98
2017-08-22,51.7
2017-08-23,52.04
2017-08-24,52.18
2017-08-25,52.53
2017-08-28,52.05
2017-08-29,51.49
2017-08-30,51.73
2017-08-31,51.5
2017-09-01,51.82
2017-09-05,51.46
2017-09-06,52.11
2017-09-07,51.96
2017-09-08,52.26
2017-09-11,52.15
2017-09-12,52.01
2017-09-13,52.54
2017-09-14,52.31
2017-09-15,52.48
2017-09-18,52.49
2017-09-19,51.94
2017-09-20,52.18
2017-09-21,52.0
2017-09-22,52.41
2017-09-25,53.2
2017-09-26,53.68
2017-09-27,54.03
2017-09-28,54.04
2017-09-29,53.97
2017-10-02,54.16
2017-10-03,54.42
2017-10-04,54.77
2017-10-05,54.79
2017-10-06,53.83
2017-10-09,53.92
2017-10-10,54.26
2017-10-11,54.38
2017-10-12,54.7
2017-10-13,55.17
2017-10-16,55.15
2017-10-17,55.2
2017-10-18,55.08
2017-10-19,55.45
2017-10-20,55.8
2017-10-23,55.8
2017-10-24,56.41
2017-10-25,56.55
2017-10-26,56.47
2017-10-27,56.29
2017-10-30,56.49
2017-10-31,56.61
2017-11-01,59.8
2017-11-02,58.86
2017-11-03,59.55
2017-11-06,59.3
2017-11-07,59.21
2017-11-08,59.65
2017-11-09,59.72
2017-11-10,60.83
2017-11-13,60.58
2017-11-14,60.75
2017-11-15,60.29
2017-11-16,60.75
2017-11-17,61.45
2017-11-20,61.52
2017-11-21,62.49
2017-11-22,61.53
2017-11-24,61.79
2017-11-27,61.7
2017-11-28,62.92
2017-11-29,62.4
2017-11-30,62.08
2017-12-01,61.23
2017-12-04,60.85
2017-12-05,61.52
2017-12-06,61.46
2017-12-07,61.27
2017-12-08,62.27
2017-12-11,61.96
2017-12-12,61.13
2017-12-13,60.83
2017-12-14,59.46
2017-12-15,58.36
2017-12-18,58.63
2017-12-19,58.58
2017-12-20,58.8
2017-12-21,59.17
2017-12-22,59.18
2017-12-26,59.27
2017-12-27,59.46
2017-12-28,59.77
2017-12-29,59.57
2018-01-02,59.54
2018-01-03,60.27
2018-01-04,60.27
2018-01-05,59.74
2018-01-08,60.34
2018-01-09,59.85
2018-01-10,60.47
2018-01-11,61.42
2018-01-12,61.96
2018-01-16,61.45
2018-01-17,63.04
2018-01-18,63.24
2018-01-19,63.87
2018-01-22,64.04
2018-01-23,64.52
2018-01-24,64.21
2018-01-25,63.75
2018-01-26,64.58
2018-01-29,63.71
2018-01-30,63.07
2018-01-31,62.94
2018-02-01,62.68
2018-02-02,62.41
2018-02-05,60.79
2018-02-06,62.31
2018-02-07,63.08
2018-02-08,61.13
2018-02-09,61.22
2018-02-12,61.97
2018-02-13,62.43
2018-02-14,64.0
2018-02-15,64.87
2018-02-16,65.21
2018-02-20,64.86
2018-02-21,61.87
2018-02-22,60.39
2018-02-23,60.35
2018-02-26,60.65
2018-02-27,60.22
2018-02-28,59.24
2018-03-01,58.86
2018-03-02,59.42
2018-03-05,59.6
2018-03-06,59.81
2018-03-07,59.99
2018-03-08,59.89
2018-03-09,60.99
2018-03-12,61.01
2018-03-13,61.15
2018-03-14,60.26
2018-03-15,59.68
2018-03-16,60.11
2018-03-19,59.84
2018-03-20,59.99
2018-03-21,59.51
2018-03-22,58.34
2018-03-23,57.68
2018-03-26,58.69
2018-03-27,58.14
2018-03-28,58.21
2018-03-29,58.93
2018-04-02,58.06
2018-04-03,58.8
2018-04-04,59.33
2018-04-05,59.65
2018-04-06,58.42
2018-04-09,58.51
2018-04-10,59.37
2018-04-11,59.29
2018-04-12,59.3
2018-04-13,59.03
2018-04-16,59.43
2018-04-17,59.92
2018-04-18,59.98
2018-04-19,59.23
2018-04-20,58.94
2018-04-23,58.09
2018-04-24,57.66
2018-04-25,57.83
2018-04-26,58.96
2018-04-27,59.26
2018-04-30,58.67
2018-05-01,58.99
2018-05-02,61.95
2018-05-03,60.35
2018-05-04,59.89
2018-05-07,59.37
2018-05-08,59.58
2018-05-09,59.41
2018-05-10,59.19
2018-05-11,59.29
2018-05-14,59.39
2018-05-15,59.23
2018-05-16,59.69
2018-05-17,59.74
2018-05-18,59.76
2018-05-21,60.41
2018-05-22,60.47
2018-05-23,60.28
2018-05-24,60.53
2018-05-25,60.56
2018-05-29,60.44
2018-05-30,60.9
2018-05-31,60.09
2018-06-01,61.39
2018-06-04,61.01
2018-06-05,61.69
2018-06-06,61.89
2018-06-07,61.43
2018-06-08,61.85
2018-06-11,62.26
2018-06-12,62.37
2018-06-13,62.24
2018-06-14,61.94
2018-06-15,61.24
2018-06-18,61.26
2018-06-19,60.93
2018-06-20,61.44
2018-06-21,60.12
2018-06-22,60.23
2018-06-25,59.71
2018-06-26,60.25
2018-06-27,59.98
2018-06-28,60.96
2018-06-29,61.0
2018-07-02,60.92
2018-07-03,60.62
2018-07-05,60.58
2018-07-06,61.35
2018-07-09,62.39
2018-07-10,63.3
2018-07-11,62.28
2018-07-12,63.07
2018-07-13,63.23
2018-07-16,63.44
2018-07-17,64.06
2018-07-18,64.05
2018-07-19,65.03
2018-07-20,64.55
2018-07-23,63.87
2018-07-24,63.48
2018-07-25,63.41
2018-07-26,63.61
2018-07-27,62.93
2018-07-30,61.9
2018-07-31,62.45
2018-08-01,64.5
2018-08-02,64.53
2018-08-03,64.91
2018-08-06,64.55
2018-08-07,64.84
2018-08-08,64.43
2018-08-09,64.67
2018-08-10,63.83
2018-08-13,63.54
2018-08-14,64.18
2018-08-15,63.64
2018-08-16,64.46
2018-08-17,65.35
2018-08-20,64.7
2018-08-21,64.94
2018-08-22,64.97
2018-08-23,65.0
2018-08-24,64.74
2018-08-27,65.72
2018-08-28,66.38
2018-08-29,68.11
2018-08-30,67.72
2018-08-31,68.14
2018-09-04,67.99
2018-09-05,68.72
2018-09-06,69.03
2018-09-07,67.92
2018-09-10,68.03
2018-09-11,68.4
2018-09-12,68.45
2018-09-13,68.61
2018-09-14,68.72
2018-09-17,68.34
2018-09-18,68.98
2018-09-19,69.19
2018-09-20,69.71
2018-09-21,70.04
2018-09-24,69.68
2018-09-25,69.62
2018-09-26,69.57
2018-09-27,69.59
2018-09-28,70.05
2018-10-01,69.85
2018-10-02,69.46
2018-10-03,69.4
2018-10-04,69.14
2018-10-05,68.6
2018-10-08,67.85
2018-10-09,67.23
2018-10-10,64.6
2018-10-11,62.97
2018-10-12,62.59
2018-10-15,62.18
2018-10-16,63.13
2018-10-17,63.05
2018-10-18,62.29
2018-10-19,61.97
2018-10-22,62.61
2018-10-23,62.56
2018-10-24,61.49
2018-10-25,62.15
2018-10-26,61.56
2018-10-29,61.77
2018-10-30,63.05
2018-10-31,66.16
2018-11-01,67.42
2018-11-02,66.15
2018-11-05,64.85
2018-11-06,64.56
2018-11-07,65.74
2018-11-08,66.58
2018-11-09,66.11
2018-11-12,65.65
2018-11-13,64.98
2018-11-14,64.21
2018-11-15,65.22
2018-11-16,65.48
2018-11-19,64.84
2018-11-20,64.38
2018-11-21,65.12
2018-11-23,64.99
2018-11-26,65.87
2018-11-27,65.36
2018-11-28,66.38
2018-11-29,65.98
2018-11-30,66.66
