Date,Close
2017-01-03,79.8
2017-01-04,80.94
2017-01-05,83.71
2017-01-06,82.87
2017-01-09,82.6
2017-01-10,82.86
2017-01-11,82.48
2017-01-12,83.45
2017-01-13,83.86
2017-01-17,85.17
2017-01-18,84.55
2017-01-19,83.77
2017-01-20,83.99
2017-01-23,83.92
2017-01-24,85.45
2017-01-25,86.76
2017-01-26,81.51
2017-01-27,82.59
2017-01-30,83.37
2017-01-31,82.51
2017-02-01,82.13
2017-02-02,82.44
2017-02-03,82.63
2017-02-06,94.31
2017-02-07,94.98
2017-02-08,96.62
2017-02-09,97.74
2017-02-10,97.63
2017-02-13,98.13
2017-02-14,97.8
2017-02-15,97.84
2017-02-16,97.64
2017-02-17,98.5
2017-02-21,98.88
2017-02-22,98.82
2017-02-23,97.05
2017-02-24,97.78
2017-02-27,97.53
2017-02-28,96.87
2017-03-01,97.93
2017-03-02,97.53
2017-03-03,97.75
2017-03-06,97.04
2017-03-07,97.2
2017-03-08,97.38
2017-03-09,97.35
2017-03-10,97.47
2017-03-13,97.69
2017-03-14,98.18
2017-03-15,99.51
2017-03-16,99.24
2017-03-17,100.25
2017-03-20,100.55
2017-03-21,98.76
2017-03-22,98.78
2017-03-23,99.93
2017-03-24,99.97
2017-03-27,99.05
2017-03-28,99.4
2017-03-29,99.65
2017-03-30,99.58
2017-03-31,99.82
2017-04-03,99.59
2017-04-04,97.85
2017-04-05,96.56
2017-04-06,96.43
2017-04-07,95.75
2017-04-10,95.78
2017-04-11,96.29
2017-04-12,96.46
2017-04-13,95.5
2017-04-17,95.83
2017-04-18,95.69
2017-04-19,95.51
2017-04-20,96.01
2017-04-21,96.03
2017-04-24,101.7
2017-04-25,101.57
2017-04-26,101.04
2017-04-27,100.52
2017-04-28,99.11
2017-05-01,98.78
2017-05-02,99.67
2017-05-03,99.08
2017-05-04,99.37
2017-05-05,100.2
2017-05-08,99.75
2017-05-09,101.19
2017-05-10,101.82
2017-05-11,101.38
2017-05-12,101.37
2017-05-15,101.29
2017-05-16,101.02
2017-05-17,99.47
2017-05-18,99.53
2017-05-19,101.05
2017-05-22,101.26
2017-05-23,100.98
2017-05-24,103.96
2017-05-25,104.17
2017-05-26,104.21
2017-05-30,104.24
2017-05-31,105.26
2017-06-01,105.97
2017-06-02,107.16
2017-06-05,107.8
2017-06-06,108.0
2017-06-07,108.4
2017-06-08,108.51
2017-06-09,107.9
2017-06-12,108.44
2017-06-13,110.1
2017-06-14,109.31
2017-06-15,108.99
2017-06-16,109.64
2017-06-19,111.3
2017-06-20,111.38
2017-06-21,111.22
2017-06-22,110.47
2017-06-23,111.91
2017-06-26,111.84
2017-06-27,110.42
2017-06-28,110.82
2017-06-29,110.06
2017-06-30,111.51
2017-07-03,110.74
2017-07-05,112.0
2017-07-06,111.12
2017-07-07,111.93
2017-07-10,112.13
2017-07-11,112.3
2017-07-12,112.97
2017-07-13,111.74
2017-07-14,113.14
2017-07-17,112.84
2017-07-18,113.4
2017-07-19,114.04
2017-07-20,114.9
2017-07-21,115.95
2017-07-24,105.0
2017-07-25,106.32
2017-07-26,106.1
2017-07-27,106.64
2017-07-28,105.74
2017-07-31,105.88
2017-08-01,105.95
2017-08-02,104.77
2017-08-03,103.94
2017-08-04,103.49
2017-08-07,103.02
2017-08-08,101.43
2017-08-09,100.0
2017-08-10,97.82
2017-08-11,97.55
2017-08-14,98.24
2017-08-15,98.33
2017-08-16,98.96
2017-08-17,97.16
2017-08-18,95.51
2017-08-21,94.84
2017-08-22,94.55
2017-08-23,93.92
2017-08-24,95.05
2017-08-25,95.2
2017-08-28,94.63
2017-08-29,94.83
2017-08-30,95.28
2017-08-31,98.25
2017-09-01,98.34
2017-09-05,95.52
2017-09-06,93.66
2017-09-07,92.67
2017-09-08,94.09
2017-09-11,95.8
2017-09-12,94.92
2017-09-13,95.96
2017-09-14,95.07
2017-09-15,94.84
2017-09-18,93.24
2017-09-19,94.99
2017-09-20,95.52
2017-09-21,94.84
2017-09-22,96.14
2017-09-25,96.6
2017-09-26,97.42
2017-09-27,97.16
2017-09-28,97.01
2017-09-29,97.67
2017-10-02,97.65
2017-10-03,97.57
2017-10-04,97.68
2017-10-05,96.58
