Date,Close
2017-01-03,14.85
2017-01-04,15.08
2017-01-05,15.07
2017-01-06,15.0
2017-01-09,14.68
2017-01-10,14.69
2017-01-11,14.94
2017-01-12,14.79
2017-01-13,14.77
2017-01-17,14.58
2017-01-18,14.58
2017-01-19,14.86
2017-01-20,14.73
2017-01-23,14.67
2017-01-24,15.17
2017-01-25,15.19
2017-01-26,14.79
2017-01-27,14.8
2017-01-30,14.84
2017-01-31,15.05
2017-02-01,14.99
2017-02-02,15.21
2017-02-03,15.27
2017-02-06,15.26
2017-02-07,15.43
2017-02-08,15.51
2017-02-09,15.64
2017-02-10,15.72
2017-02-13,16.04
2017-02-14,16.06
2017-02-15,15.98
2017-02-16,15.92
2017-02-17,15.95
2017-02-21,16.13
2017-02-22,16.2
2017-02-23,17.6
2017-02-24,17.65
2017-02-27,17.65
2017-02-28,17.37
2017-03-01,17.62
2017-03-02,17.32
2017-03-03,17.35
2017-03-06,17.3
2017-03-07,17.27
2017-03-08,17.32
2017-03-09,17.36
2017-03-10,17.39
2017-03-13,17.49
2017-03-14,17.47
2017-03-15,17.57
2017-03-16,17.65
2017-03-17,17.56
2017-03-20,17.56
2017-03-21,17.15
2017-03-22,17.23
2017-03-23,17.21
2017-03-24,17.23
2017-03-27,17.2
2017-03-28,17.26
2017-03-29,17.26
2017-03-30,17.65
2017-03-31,17.88
2017-04-03,17.59
2017-04-04,17.72
2017-04-05,17.69
2017-04-06,17.56
2017-04-07,17.37
2017-04-10,17.36
2017-04-11,17.54
2017-04-12,18.02
2017-04-13,18.2
2017-04-17,18.2
2017-04-18,18.22
2017-04-19,18.38
2017-04-20,18.52
2017-04-21,18.29
2017-04-24,18.54
2017-04-25,18.61
2017-04-26,18.63
2017-04-27,18.77
2017-04-28,18.82
2017-05-01,18.93
2017-05-02,18.9
2017-05-03,18.81
2017-05-04,18.79
2017-05-05,18.91
2017-05-08,19.31
2017-05-09,19.24
2017-05-10,19.36
2017-05-11,19.26
2017-05-12,19.3
2017-05-15,19.36
2017-05-16,19.47
2017-05-17,18.96
2017-05-18,18.78
2017-05-19,19.0
2017-05-22,19.11
2017-05-23,18.96
2017-05-24,19.01
2017-05-25,18.37
2017-05-26,18.47
2017-05-30,18.94
2017-05-31,18.76
2017-06-01,18.95
2017-06-02,18.98
2017-06-05,18.8
2017-06-06,18.26
2017-06-07,18.24
2017-06-08,18.28
2017-06-09,17.8
2017-06-12,17.76
2017-06-13,17.74
2017-06-14,17.4
2017-06-15,17.27
2017-06-16,17.35
2017-06-19,17.69
2017-06-20,17.83
2017-06-21,17.71
2017-06-22,17.71
2017-06-23,17.8
2017-06-26,18.16
2017-06-27,17.77
2017-06-28,18.03
2017-06-29,17.57
2017-06-30,17.48
2017-07-03,17.56
2017-07-05,17.65
2017-07-06,17.19
2017-07-07,17.35
2017-07-10,17.87
2017-07-11,17.94
2017-07-12,18.04
2017-07-13,18.08
2017-07-14,18.42
2017-07-17,18.47
2017-07-18,18.39
2017-07-19,18.7
2017-07-20,18.94
2017-07-21,19.15
2017-07-24,19.24
2017-07-25,19.41
2017-07-26,19.26
2017-07-27,19.21
2017-07-28,19.17
2017-07-31,19.1
2017-08-01,19.14
2017-08-02,19.1
2017-08-03,19.36
2017-08-04,19.37
2017-08-07,19.32
2017-08-08,19.32
2017-08-09,19.32
2017-08-10,18.9
2017-08-11,18.9
2017-08-14,19.1
2017-08-15,19.04
2017-08-16,18.97
2017-08-17,18.64
2017-08-18,18.51
2017-08-21,18.57
2017-08-22,19.02
2017-08-23,18.86
2017-08-24,19.41
2017-08-25,19.31
2017-08-28,19.18
2017-08-29,19.21
2017-08-30,19.17
2017-08-31,19.08
2017-09-01,19.36
2017-09-05,19.24
2017-09-06,19.37
2017-09-07,19.28
2017-09-08,19.12
2017-09-11,19.32
2017-09-12,19.48
2017-09-13,19.28
2017-09-14,19.46
2017-09-15,19.47
2017-09-18,19.59
2017-09-19,19.49
2017-09-20,19.6
2017-09-21,19.77
2017-09-22,19.94
2017-09-25,19.85
2017-09-26,19.88
2017-09-27,19.87
2017-09-28,19.97
2017-09-29,19.96
2017-10-02,20.12
2017-10-03,20.09
2017-10-04,20.26
2017-10-05,20.35
2017-10-06,20.58
2017-10-09,20.57
2017-10-10,20.57
2017-10-11,20.41
2017-10-12,20.4
2017-10-13,21.71
2017-10-16,21.79
2017-10-17,21.55
2017-10-18,21.72
2017-10-19,21.96
2017-10-20,22.02
2017-10-23,22.12
2017-10-24,21.95
2017-10-25,21.67
2017-10-26,21.52
2017-10-27,21.5
2017-10-30,21.39
2017-10-31,21.55
2017-11-01,21.47
2017-11-02,21.44
2017-11-03,21.47
2017-11-06,21.44
2017-11-07,21.38
2017-11-08,21.42
2017-11-09,21.34
2017-11-10,21.23
2017-11-13,21.17
2017-11-14,21.36
2017-11-15,21.36
2017-11-16,21.57
2017-11-17,21.75
2017-11-20,22.12
2017-11-21,22.46
2017-11-22,21.34
2017-11-24,21.24
2017-11-27,21.25
2017-11-28,21.66
2017-11-29,21.43
2017-11-30,21.45
2017-12-01,21.41
2017-12-04,21.08
2017-12-05,21.07
2017-12-06,21.02
2017-12-07,20.97
2017-12-08,21.07
2017-12-11,21.3
2017-12-12,20.98
2017-12-13,20.85
2017-12-14,20.74
2017-12-15,20.92
2017-12-18,21.29
2017-12-19,21.42
2017-12-20,21.46
2017-12-21,21.25
2017-12-22,21.26
2017-12-26,21.23
2017-12-27,21.27
2017-12-28,21.15
2017-12-29,21.01
2018-01-02,21.32
2018-01-03,21.37
2018-01-04,21.53
2018-01-05,21.75
2018-01-08,21.84
2018-01-09,21.81
2018-01-10,22.05
2018-01-11,22.41
2018-01-12,22.92
2018-01-16,22.88
2018-01-17,23.46
2018-01-18,23.29
2018-01-19,23.7
2018-01-22,23.85
2018-01-23,23.81
2018-01-24,23.66
2018-01-25,23.32
2018-01-26,23.91
2018-01-29,23.81
2018-01-30,23.44
2018-01-31,23.32
2018-02-01,23.3
2018-02-02,22.48
2018-02-05,21.29
2018-02-06,21.43
2018-02-07,21.21
2018-02-08,19.92
2018-02-09,20.11
2018-02-12,20.41
2018-02-13,20.58
2018-02-14,21.29
2018-02-15,21.45
2018-02-16,21.4
2018-02-20,21.39
2018-02-21,21.17
2018-02-22,21.39
2018-02-23,22.13
2018-02-26,23.46
2018-02-27,23.52
2018-02-28,23.39
2018-03-01,23.35
2018-03-02,23.57
2018-03-05,23.69
2018-03-06,23.95
2018-03-07,24.04
2018-03-08,23.95
2018-03-09,24.65
2018-03-12,23.83
2018-03-13,23.62
2018-03-14,23.48
2018-03-15,23.48
2018-03-16,23.51
2018-03-19,23.2
2018-03-20,23.28
2018-03-21,23.28
2018-03-22,22.47
2018-03-23,21.85
2018-03-26,22.2
2018-03-27,21.77
2018-03-28,21.69
2018-03-29,21.92
2018-04-02,21.14
2018-04-03,21.32
2018-04-04,21.54
2018-04-05,21.55
2018-04-06,20.78
2018-04-09,20.89
2018-04-10,21.75
2018-04-11,21.59
2018-04-12,21.94
2018-04-13,21.77
2018-04-16,21.85
2018-04-17,22.05
2018-04-18,22.03
2018-04-19,21.66
2018-04-20,21.53
2018-04-23,21.38
2018-04-24,21.2
2018-04-25,21.31
2018-04-26,21.48
2018-04-27,21.61
2018-04-30,21.49
2018-05-01,21.82
2018-05-02,21.55
2018-05-03,21.32
2018-05-04,21.68
2018-05-07,21.79
2018-05-08,21.96
2018-05-09,22.58
2018-05-10,22.75
2018-05-11,22.71
2018-05-14,22.57
2018-05-15,22.04
2018-05-16,22.23
2018-05-17,22.3
2018-05-18,22.14
2018-05-21,22.09
2018-05-22,22.07
2018-05-23,21.9
2018-05-24,21.92
2018-05-25,21.91
2018-05-29,21.3
2018-05-30,22.16
2018-05-31,22.03
2018-06-01,22.68
2018-06-04,22.74
2018-06-05,23.42
2018-06-06,23.51
2018-06-07,23.55
2018-06-08,23.71
2018-06-11,24.01
2018-06-12,23.62
2018-06-13,23.54
2018-06-14,23.8
2018-06-15,23.59
2018-06-18,23.65
2018-06-19,23.52
2018-06-20,23.3
2018-06-21,23.5
2018-06-22,23.8
2018-06-25,23.09
2018-06-26,23.05
2018-06-27,22.81
2018-06-28,22.67
2018-06-29,22.69
2018-07-02,22.86
2018-07-03,22.59
2018-07-05,22.75
2018-07-06,23.01
2018-07-09,23.37
2018-07-10,23.87
2018-07-11,23.06
2018-07-12,23.53
2018-07-13,23.71
2018-07-16,23.57
2018-07-17,23.59
2018-07-18,23.53
2018-07-19,23.19
2018-07-20,22.94
2018-07-23,23.04
2018-07-24,22.99
2018-07-25,23.29
2018-07-26,23.45
2018-07-27,23.23
2018-07-30,23.1
2018-07-31,23.08
2018-08-01,23.01
2018-08-02,23.21
2018-08-03,23.34
2018-08-06,23.74
2018-08-07,23.99
2018-08-08,24.14
2018-08-09,24.08
2018-08-10,23.99
2018-08-13,23.8
2018-08-14,24.15
2018-08-15,24.03
2018-08-16,24.14
2018-08-17,24.54
2018-08-20,24.54
2018-08-21,24.49
2018-08-22,24.49
2018-08-23,24.63
2018-08-24,24.15
2018-08-27,24.33
2018-08-28,24.49
2018-08-29,25.08
2018-08-30,24.73
2018-08-31,24.65
2018-09-04,24.81
2018-09-05,24.68
2018-09-06,24.68
2018-09-07,24.71
2018-09-10,24.65
2018-09-11,24.68
2018-09-12,24.6
2018-09-13,25.01
2018-09-14,25.04
2018-09-17,25.01
2018-09-18,25.16
2018-09-19,25.26
2018-09-20,25.69
2018-09-21,25.83
2018-09-24,25.87
2018-09-25,25.56
