Date,Close
2017-01-03,197.61
2017-01-04,197.78
2017-01-05,200.73
2017-01-06,201.73
2017-01-09,202.99
2017-01-10,200.95
2017-01-11,203.48
2017-01-12,205.25
2017-01-13,202.92
2017-01-17,204.04
2017-01-18,206.11
2017-01-19,206.0
2017-01-20,200.53
2017-01-23,205.02
2017-01-24,199.94
2017-01-25,201.74
2017-01-26,200.13
2017-01-27,201.66
2017-01-30,199.26
2017-01-31,198.5
2017-02-01,198.48
2017-02-02,199.39
2017-02-03,198.24
2017-02-06,196.47
2017-02-07,195.24
2017-02-08,199.64
2017-02-09,207.03
2017-02-10,205.43
2017-02-13,206.7
2017-02-14,205.97
2017-02-15,205.32
2017-02-16,208.74
2017-02-17,204.6
2017-02-21,205.34
2017-02-22,205.7
2017-02-23,205.01
2017-02-24,207.28
2017-02-27,208.75
2017-02-28,211.25
2017-03-01,213.99
2017-03-02,212.57
2017-03-03,213.97
2017-03-06,212.74
2017-03-07,217.95
2017-03-08,217.45
2017-03-09,217.79
2017-03-10,217.93
2017-03-13,219.18
2017-03-14,218.0
2017-03-15,219.08
2017-03-16,219.25
2017-03-17,218.9
2017-03-20,215.4
2017-03-21,213.55
2017-03-22,213.33
2017-03-23,209.91
2017-03-24,207.27
2017-03-27,203.48
2017-03-28,206.63
2017-03-29,206.03
2017-03-30,206.87
2017-03-31,206.14
2017-04-03,209.77
2017-04-04,211.05
2017-04-05,210.07
2017-04-06,212.6
2017-04-07,210.75
2017-04-10,212.58
2017-04-11,212.9
2017-04-12,212.99
2017-04-13,211.8
2017-04-17,212.77
2017-04-18,211.7
2017-04-19,213.11
2017-04-20,214.24
2017-04-21,213.67
2017-04-24,213.76
2017-04-25,217.97
2017-04-26,219.35
2017-04-27,218.67
2017-04-28,221.98
2017-05-01,223.37
2017-05-02,225.6
2017-05-03,224.02
2017-05-04,228.85
2017-05-05,229.76
2017-05-08,229.25
2017-05-09,230.59
2017-05-10,230.8
2017-05-11,230.73
2017-05-12,231.99
2017-05-15,231.11
2017-05-16,226.2
2017-05-17,224.92
2017-05-18,228.81
2017-05-19,227.89
2017-05-22,230.3
2017-05-23,229.28
2017-05-24,231.61
2017-05-25,232.23
2017-05-26,232.25
2017-05-30,230.37
2017-05-31,232.26
2017-06-01,235.0
2017-06-02,234.21
2017-06-05,232.76
2017-06-06,233.5
2017-06-07,233.75
2017-06-08,230.26
2017-06-09,229.69
2017-06-12,228.1
2017-06-13,231.95
2017-06-14,231.71
2017-06-15,232.41
2017-06-16,234.46
2017-06-19,235.49
2017-06-20,232.97
2017-06-21,236.21
2017-06-22,237.0
2017-06-23,238.42
2017-06-26,234.75
2017-06-27,237.07
2017-06-28,239.76
2017-06-29,239.34
2017-06-30,240.62
2017-07-03,238.95
2017-07-05,242.32
2017-07-06,238.46
2017-07-07,238.23
2017-07-10,239.04
2017-07-11,239.04
2017-07-12,239.22
2017-07-13,238.06
2017-07-14,239.09
2017-07-17,237.56
2017-07-18,235.06
2017-07-19,236.23
2017-07-20,235.83
2017-07-21,235.92
2017-07-24,235.5
2017-07-25,234.91
2017-07-26,233.5
2017-07-27,232.6
2017-07-28,233.08
2017-07-31,231.2
2017-08-01,230.77
2017-08-02,241.09
2017-08-03,248.84
2017-08-04,245.93
2017-08-07,249.62
2017-08-08,250.22
2017-08-09,254.96
2017-08-10,251.67
2017-08-11,249.99
2017-08-14,250.25
2017-08-15,246.83
2017-08-16,247.36
2017-08-17,247.66
2017-08-18,247.28
2017-08-21,249.36
2017-08-22,253.28
2017-08-23,251.99
2017-08-24,251.85
2017-08-25,253.0
2017-08-28,255.07
2017-08-29,255.67
2017-08-30,254.24
2017-08-31,257.62
2017-09-01,258.75
2017-09-05,257.55
2017-09-06,256.88
2017-09-07,256.53
2017-09-08,256.56
2017-09-11,257.21
2017-09-12,255.1
2017-09-13,251.54
2017-09-14,250.65
2017-09-15,249.28
2017-09-18,248.45
2017-09-19,240.04
2017-09-20,239.68
2017-09-21,238.64
2017-09-22,239.09
2017-09-25,237.21
2017-09-26,239.21
2017-09-27,238.87
2017-09-28,242.75
2017-09-29,243.63
2017-10-02,245.0
2017-10-03,247.39
2017-10-04,246.51
2017-10-05,245.36
2017-10-06,246.9
2017-10-09,240.41
2017-10-10,240.49
2017-10-11,240.38
2017-10-12,241.44
2017-10-13,237.73
2017-10-16,237.17
2017-10-17,240.43
2017-10-18,241.31
2017-10-19,242.69
