Date,Close
2017-01-03,56.22
2017-01-04,57.21
2017-01-05,56.97
2017-01-06,57.34
2017-01-09,57.02
2017-01-10,56.77
2017-01-11,56.84
2017-01-12,56.72
2017-01-13,56.83
2017-01-17,56.46
2017-01-18,57.31
2017-01-19,56.96
2017-01-20,57.4
2017-01-23,56.84
2017-01-24,57.46
2017-01-25,57.96
2017-01-26,58.17
2017-01-27,57.88
2017-01-30,57.94
2017-01-31,58.36
2017-02-01,58.35
2017-02-02,58.39
2017-02-03,58.54
2017-02-06,58.51
2017-02-07,59.93
2017-02-08,57.04
2017-02-09,57.58
2017-02-10,57.65
2017-02-13,59.03
2017-02-14,58.65
2017-02-15,59.01
2017-02-16,58.65
2017-02-17,58.4
2017-02-21,57.96
2017-02-22,57.73
2017-02-23,58.11
2017-02-24,58.3
2017-02-27,57.7
2017-02-28,57.13
2017-03-01,58.93
2017-03-02,58.52
2017-03-03,58.74
2017-03-06,59.02
2017-03-07,58.63
2017-03-08,59.39
2017-03-09,60.06
2017-03-10,60.26
2017-03-13,60.4
2017-03-14,60.21
2017-03-15,60.4
2017-03-16,61.55
2017-03-17,61.4
2017-03-20,61.0
2017-03-21,60.03
2017-03-22,59.8
2017-03-23,59.87
2017-03-24,59.85
2017-03-27,59.4
2017-03-28,59.83
2017-03-29,59.3
2017-03-30,60.03
2017-03-31,59.87
2017-04-03,59.32
2017-04-04,59.41
2017-04-05,59.97
2017-04-06,60.24
2017-04-07,60.78
2017-04-10,60.4
2017-04-11,60.29
2017-04-12,59.83
2017-04-13,59.42
2017-04-17,60.1
2017-04-18,60.27
2017-04-19,59.95
2017-04-20,60.63
2017-04-21,60.41
2017-04-24,60.58
2017-04-25,60.97
2017-04-26,61.1
2017-04-27,60.21
2017-04-28,60.2
2017-05-01,60.4
2017-05-02,60.62
2017-05-03,60.33
2017-05-04,60.87
2017-05-05,60.46
2017-05-08,59.09
2017-05-09,58.91
2017-05-10,59.0
2017-05-11,59.07
2017-05-12,58.79
2017-05-15,59.29
2017-05-16,59.0
2017-05-17,58.07
2017-05-18,58.59
2017-05-19,59.32
2017-05-22,59.46
2017-05-23,59.87
2017-05-24,59.94
2017-05-25,60.44
2017-05-26,60.35
2017-05-30,60.16
2017-05-31,60.19
2017-06-01,60.34
2017-06-02,60.32
2017-06-05,61.7
2017-06-06,61.55
2017-06-07,63.62
2017-06-08,63.79
2017-06-09,63.97
2017-06-12,64.43
2017-06-13,64.46
2017-06-14,64.67
2017-06-15,64.61
2017-06-16,64.57
2017-06-19,64.77
2017-06-20,64.52
2017-06-21,64.29
2017-06-22,64.15
2017-06-23,64.28
2017-06-26,64.35
2017-06-27,65.38
2017-06-28,66.14
2017-06-29,65.84
2017-06-30,65.92
2017-07-03,66.68
2017-07-05,66.18
2017-07-06,65.97
2017-07-07,65.92
2017-07-10,65.5
2017-07-11,65.42
2017-07-12,65.87
2017-07-13,66.88
2017-07-14,65.55
2017-07-17,65.82
2017-07-18,65.72
2017-07-19,65.72
2017-07-20,65.84
2017-07-21,66.58
2017-07-24,66.75
2017-07-25,66.38
2017-07-26,66.34
2017-07-27,66.13
2017-07-28,66.37
2017-07-31,66.71
2017-08-01,67.28
2017-08-02,67.02
2017-08-03,65.15
2017-08-04,64.82
2017-08-07,64.37
2017-08-08,64.55
2017-08-09,65.73
2017-08-10,65.16
2017-08-11,65.01
2017-08-14,65.39
2017-08-15,65.86
2017-08-16,66.06
2017-08-17,65.15
2017-08-18,64.59
2017-08-21,64.55
2017-08-22,65.5
2017-08-23,65.02
2017-08-24,64.7
2017-08-25,65.41
2017-08-28,65.3
2017-08-29,64.82
2017-08-30,64.83
2017-08-31,64.67
2017-09-01,65.1
2017-09-05,64.95
2017-09-06,65.77
2017-09-07,64.3
2017-09-08,65.34
2017-09-11,65.71
2017-09-12,66.38
2017-09-13,66.22
2017-09-14,66.18
2017-09-15,65.38
2017-09-18,65.65
2017-09-19,66.32
2017-09-20,66.67
2017-09-21,66.83
2017-09-22,67.05
2017-09-25,67.22
2017-09-26,66.99
2017-09-27,68.13
2017-09-28,68.54
2017-09-29,68.7
2017-10-02,69.33
2017-10-03,69.88
2017-10-04,70.46
2017-10-05,70.96
2017-10-06,69.03
2017-10-09,69.46
2017-10-10,69.68
2017-10-11,70.09
2017-10-12,69.91
2017-10-13,69.39
2017-10-16,68.4
2017-10-17,68.17
2017-10-18,68.2
2017-10-19,66.85
2017-10-20,66.12
2017-10-23,65.69
2017-10-24,65.24
2017-10-25,65.91
2017-10-26,65.61
2017-10-27,65.48
2017-10-30,65.26
2017-10-31,66.1
2017-11-01,66.22
2017-11-02,68.67
2017-11-03,66.24
2017-11-06,66.2
2017-11-07,65.58
2017-11-08,65.99
2017-11-09,66.2
2017-11-10,66.27
2017-11-13,67.08
2017-11-14,67.3
2017-11-15,66.53
2017-11-16,66.08
2017-11-17,66.59
2017-11-20,68.08
2017-11-21,68.28
2017-11-22,67.66
2017-11-24,67.83
2017-11-27,68.1
2017-11-28,69.35
2017-11-29,69.8
2017-11-30,71.45
2017-12-01,72.07
2017-12-04,71.83
2017-12-05,70.95
2017-12-06,70.74
2017-12-07,70.39
2017-12-08,70.93
2017-12-11,70.81
2017-12-12,71.2
2017-12-13,70.48
2017-12-14,70.32
2017-12-15,70.49
2017-12-18,71.21
2017-12-19,71.07
2017-12-20,70.02
2017-12-21,70.11
2017-12-22,70.25
2017-12-26,70.04
2017-12-27,70.27
2017-12-28,70.52
2017-12-29,70.56
2018-01-02,69.85
2018-01-03,70.91
2018-01-04,72.25
2018-01-05,72.85
2018-01-08,73.12
2018-01-09,74.05
2018-01-10,74.46
2018-01-11,74.38
2018-01-12,74.78
2018-01-16,74.58
2018-01-17,74.8
2018-01-18,75.27
2018-01-19,75.6
2018-01-22,75.83
2018-01-23,75.79
2018-01-24,75.42
2018-01-25,74.94
2018-01-26,75.57
2018-01-29,74.51
2018-01-30,73.55
2018-01-31,73.84
2018-02-01,74.8
2018-02-02,73.98
2018-02-05,71.5
2018-02-06,72.27
2018-02-07,70.72
2018-02-08,67.0
2018-02-09,68.45
2018-02-12,68.6
2018-02-13,69.12
2018-02-14,71.07
2018-02-15,72.55
2018-02-16,71.73
2018-02-20,72.86
2018-02-21,72.86
2018-02-22,71.55
2018-02-23,72.48
2018-02-26,73.54
2018-02-27,73.43
2018-02-28,73.08
2018-03-01,72.06
2018-03-02,72.54
2018-03-05,72.68
2018-03-06,73.34
2018-03-07,73.24
2018-03-08,74.3
2018-03-09,75.73
2018-03-12,75.67
2018-03-13,75.06
2018-03-14,74.31
2018-03-15,74.26
2018-03-16,74.53
2018-03-19,74.06
2018-03-20,74.41
2018-03-21,74.02
2018-03-22,71.73
2018-03-23,70.32
2018-03-26,73.0
2018-03-27,71.8
2018-03-28,71.45
2018-03-29,72.52
2018-04-02,71.1
2018-04-03,72.65
2018-04-04,72.39
2018-04-05,72.53
2018-04-06,70.62
2018-04-09,70.89
2018-04-10,72.47
2018-04-11,71.39
2018-04-12,72.46
2018-04-13,72.54
2018-04-16,73.18
2018-04-17,73.43
2018-04-18,74.32
2018-04-19,74.62
2018-04-20,74.37
2018-04-23,73.92
2018-04-24,73.03
2018-04-25,73.21
2018-04-26,72.96
2018-04-27,72.72
2018-04-30,72.46
2018-05-01,72.34
2018-05-02,72.38
2018-05-03,70.14
2018-05-04,70.25
2018-05-07,70.57
2018-05-08,70.07
2018-05-09,71.87
2018-05-10,71.38
2018-05-11,71.42
2018-05-14,71.72
2018-05-15,71.9
2018-05-16,72.27
2018-05-17,72.4
2018-05-18,71.55
2018-05-21,72.36
2018-05-22,71.75
2018-05-23,71.27
2018-05-24,71.27
2018-05-25,70.86
2018-05-29,69.82
2018-05-30,71.66
2018-05-31,70.89
2018-06-01,72.11
2018-06-04,72.51
2018-06-05,73.78
2018-06-06,75.98
2018-06-07,75.49
2018-06-08,75.66
2018-06-11,75.33
2018-06-12,75.44
2018-06-13,74.87
2018-06-14,74.52
2018-06-15,74.36
2018-06-18,74.41
2018-06-19,74.27
2018-06-20,74.61
2018-06-21,74.93
2018-06-22,74.8
2018-06-25,74.3
2018-06-26,74.57
2018-06-27,73.53
2018-06-28,73.84
2018-06-29,73.55
2018-07-02,73.73
2018-07-03,72.59
2018-07-05,72.7
2018-07-06,73.1
2018-07-09,74.58
2018-07-10,74.44
2018-07-11,74.64
2018-07-12,74.76
2018-07-13,74.7
2018-07-16,75.19
2018-07-17,75.61
2018-07-18,76.77
2018-07-19,75.76
2018-07-20,75.81
2018-07-23,76.59
2018-07-24,76.44
2018-07-25,76.79
2018-07-26,77.05
2018-07-27,76.3
2018-07-30,74.29
2018-07-31,73.91
2018-08-01,73.67
2018-08-02,72.89
2018-08-03,72.81
2018-08-06,72.58
2018-08-07,73.72
2018-08-08,73.22
2018-08-09,73.23
2018-08-10,73.27
2018-08-13,72.97
2018-08-14,73.5
2018-08-15,73.13
2018-08-16,73.28
2018-08-17,74.05
2018-08-20,74.14
2018-08-21,73.14
2018-08-22,73.4
2018-08-23,73.0
2018-08-24,73.19
2018-08-27,74.14
2018-08-28,74.65
2018-08-29,75.65
2018-08-30,75.75
2018-08-31,76.23
2018-09-04,77.34
2018-09-05,76.71
2018-09-06,77.38
2018-09-07,77.84
2018-09-10,78.0
2018-09-11,78.11
2018-09-12,76.33
2018-09-13,77.36
2018-09-14,77.97
2018-09-17,77.52
2018-09-18,78.18
2018-09-19,77.58
2018-09-20,77.68
2018-09-21,77.82
2018-09-24,77.63
2018-09-25,76.37
2018-09-26,75.18
2018-09-27,74.99
2018-09-28,74.89
2018-10-01,75.25
2018-10-02,74.86
2018-10-03,74.86
2018-10-04,75.91
2018-10-05,76.02
2018-10-08,75.38
2018-10-09,76.04
2018-10-10,74.13
2018-10-11,72.49
2018-10-12,73.3
2018-10-15,72.68
2018-10-16,74.93
2018-10-17,73.57
2018-10-18,73.53
2018-10-19,74.29
2018-10-22,73.81
2018-10-23,74.35
