Date,Close
2017-01-03,102.32
2017-01-04,102.84
2017-01-05,104.81
2017-01-06,108.305
2017-01-09,118.525
2017-01-10,119.3
2017-01-11,115.29
2017-01-12,117.55
2017-01-13,117.75
2017-01-17,113.64
2017-01-18,115.09
2017-01-19,117.53
2017-01-20,117.22
2017-01-23,117.42
2017-01-24,118.3
2017-01-25,120.91
2017-01-26,120.64
2017-01-27,121.72
2017-01-30,118.23
2017-01-31,121.21
2017-02-01,124.27
2017-02-02,120.92
2017-02-03,120.34
2017-02-06,119.68
2017-02-07,118.18
2017-02-08,122.73
2017-02-09,122.96
2017-02-10,121.7
2017-02-13,121.15
2017-02-14,123.32
2017-02-15,120.94
2017-02-16,120.18
2017-02-17,120.49
2017-02-21,122.36
2017-02-22,121.36
2017-02-23,121.95
2017-02-24,131.21
2017-02-27,134.02
2017-02-28,133.1
2017-03-01,133.22
2017-03-02,132.8
2017-03-03,136.91
2017-03-06,134.38
2017-03-07,133.39
2017-03-08,136.0
2017-03-09,138.02
2017-03-10,149.24
2017-03-13,151.03
2017-03-14,150.96
2017-03-15,152.66
2017-03-16,148.44
2017-03-17,147.96
2017-03-20,148.52
2017-03-21,140.73
2017-03-22,141.28
2017-03-23,138.97
2017-03-24,139.64
2017-03-27,139.89
2017-03-28,139.48
2017-03-29,139.28
2017-03-30,137.77
2017-03-31,133.67
2017-04-03,138.52
2017-04-04,141.55
2017-04-05,138.43
2017-04-06,135.5
2017-04-07,140.11
2017-04-10,136.88
2017-04-11,136.07
2017-04-12,138.27
2017-04-13,140.84
2017-04-17,126.07
2017-04-18,125.9
2017-04-19,124.54
2017-04-20,123.11
2017-04-21,123.01
2017-04-24,123.91
2017-04-25,124.39
2017-04-26,123.08
2017-04-27,124.17
2017-04-28,124.28
2017-05-01,124.0
2017-05-02,123.71
2017-05-03,123.21
2017-05-04,125.0
2017-05-05,122.41
2017-05-08,117.79
2017-05-09,119.73
2017-05-10,118.22
2017-05-11,116.43
2017-05-12,115.19
2017-05-15,117.35
2017-05-16,117.76
2017-05-17,120.49
2017-05-18,128.8
2017-05-19,131.43
2017-05-22,134.43
2017-05-23,136.16
2017-05-24,138.1
2017-05-25,138.41
2017-05-26,134.38
2017-05-30,130.49
2017-05-31,129.33
2017-06-01,129.28
2017-06-02,131.5
2017-06-05,124.03
2017-06-06,122.27
2017-06-07,119.15
2017-06-08,119.75
2017-06-09,119.04
2017-06-12,116.44
2017-06-13,118.52
2017-06-14,120.09
2017-06-15,120.37
2017-06-16,118.05
2017-06-19,122.28
2017-06-20,124.58
2017-06-21,133.99
2017-06-22,135.63
2017-06-23,136.28
2017-06-26,134.67
2017-06-27,130.31
2017-06-28,134.33
2017-06-29,128.78
2017-06-30,125.91
2017-07-03,125.87
2017-07-05,128.34
2017-07-06,127.22
2017-07-07,130.84
2017-07-10,129.56
2017-07-11,131.92
2017-07-12,133.22
2017-07-13,133.42
2017-07-14,134.27
2017-07-17,130.62
2017-07-18,130.85
2017-07-19,130.45
2017-07-20,133.79
2017-07-21,134.22
2017-07-24,138.27
2017-07-25,133.56
2017-07-26,137.19
2017-07-27,132.72
2017-07-28,135.74
2017-07-31,133.29
2017-08-01,128.76
2017-08-02,125.71
2017-08-03,125.98
2017-08-04,128.7
2017-08-07,132.0
2017-08-08,130.7
2017-08-09,130.08
2017-08-10,122.12
2017-08-11,124.1
2017-08-14,126.28
2017-08-15,126.37
2017-08-16,124.34
2017-08-17,121.74
2017-08-18,121.19
2017-08-21,120.89
2017-08-22,123.86
2017-08-23,123.65
2017-08-24,123.82
2017-08-25,121.76
2017-08-28,123.54
2017-08-29,124.97
2017-08-30,138.27
2017-08-31,137.41
2017-09-01,138.03
2017-09-05,135.34
2017-09-06,135.86
2017-09-07,134.34
2017-09-08,129.46
2017-09-11,124.95
2017-09-12,123.15
2017-09-13,123.59
2017-09-14,119.76
2017-09-15,119.15
2017-09-18,118.4
2017-09-19,117.09
2017-09-20,114.87
2017-09-21,115.05
2017-09-22,110.85
2017-09-25,109.69
2017-09-26,109.15
2017-09-27,110.31
2017-09-28,113.14
2017-09-29,116.74
2017-10-02,115.19
2017-10-03,112.8
2017-10-04,113.83
2017-10-05,113.57
2017-10-06,114.7
2017-10-09,113.99
2017-10-10,114.77
2017-10-11,111.62
2017-10-12,112.73
2017-10-13,114.31
2017-10-16,116.6
2017-10-17,115.64
2017-10-18,115.14
2017-10-19,114.27
2017-10-20,114.19
2017-10-23,113.48
2017-10-24,114.04
2017-10-25,114.55
2017-10-26,115.56
2017-10-27,116.27
2017-10-30,114.24
2017-10-31,113.25
2017-11-01,107.96
2017-11-02,106.51
2017-11-03,105.08
2017-11-06,105.43
2017-11-07,108.14
2017-11-08,104.98
2017-11-09,102.99
2017-11-10,104.76
2017-11-13,107.21
2017-11-14,105.12
2017-11-15,105.24
2017-11-16,106.48
2017-11-17,105.47
2017-11-20,98.95
2017-11-21,98.95
2017-11-22,99.0
2017-11-24,98.78
2017-11-27,97.86
2017-11-28,95.83
2017-11-29,95.96
2017-11-30,98.99
2017-12-01,97.94
2017-12-04,93.68
2017-12-05,93.71
2017-12-06,93.79
