Date,Close
2017-01-03,48.1
2017-01-04,48.62
2017-01-05,48.44
2017-01-06,47.96
2017-01-09,46.93
2017-01-10,47.39
2017-01-11,47.4
2017-01-12,47.47
2017-01-13,48.11
2017-01-17,47.16
2017-01-18,47.99
2017-01-19,47.65
2017-01-20,47.46
2017-01-23,47.25
2017-01-24,49.73
2017-01-25,51.18
2017-01-26,50.64
2017-01-27,49.93
2017-01-30,49.12
2017-01-31,48.43
2017-02-01,48.67
2017-02-02,48.55
2017-02-03,48.98
2017-02-06,48.95
2017-02-07,48.64
2017-02-08,46.84
2017-02-09,46.72
2017-02-10,47.48
2017-02-13,47.52
2017-02-14,47.59
2017-02-15,48.24
2017-02-16,48.83
2017-02-17,47.65
2017-02-21,48.13
2017-02-22,46.98
2017-02-23,46.4
2017-02-24,46.35
2017-02-27,47.19
2017-02-28,46.66
2017-03-01,47.59
2017-03-02,46.98
2017-03-03,46.72
2017-03-06,46.67
2017-03-07,46.74
2017-03-08,46.88
2017-03-09,46.21
2017-03-10,46.67
2017-03-13,46.68
2017-03-14,45.95
2017-03-15,46.59
2017-03-16,46.21
2017-03-17,45.87
2017-03-20,45.87
2017-03-21,45.1
2017-03-22,45.31
2017-03-23,45.29
2017-03-24,44.77
2017-03-27,44.42
2017-03-28,44.82
2017-03-29,45.58
2017-03-30,45.77
2017-03-31,45.72
2017-04-03,45.22
2017-04-04,45.22
2017-04-05,44.92
2017-04-06,45.15
2017-04-07,45.09
2017-04-10,45.44
2017-04-11,45.17
2017-04-12,43.93
2017-04-13,43.81
2017-04-17,44.21
2017-04-18,44.37
2017-04-19,44.57
2017-04-20,44.4
2017-04-21,44.29
2017-04-24,45.21
2017-04-25,45.58
2017-04-26,45.82
2017-04-27,46.09
2017-04-28,45.43
2017-05-01,45.1
2017-05-02,45.62
2017-05-03,45.15
2017-05-04,45.31
2017-05-05,45.21
2017-05-08,45.25
2017-05-09,46.25
2017-05-10,45.13
2017-05-11,45.13
2017-05-12,43.63
2017-05-15,43.69
2017-05-16,43.51
