Date,Close
2017-01-03,42.43
2017-01-04,42.49
2017-01-05,41.94
2017-01-06,42.79
2017-01-09,42.6
2017-01-10,43.61
2017-01-11,44.08
2017-01-12,43.79
2017-01-13,43.66
2017-01-17,43.11
2017-01-18,43.09
2017-01-19,42.87
2017-01-20,42.9
2017-01-23,43.24
2017-01-24,43.95
2017-01-25,44.19
2017-01-26,44.3
2017-01-27,43.73
2017-01-30,43.77
2017-01-31,43.98
2017-02-01,42.5
2017-02-02,42.3
2017-02-03,42.66
2017-02-06,42.3
2017-02-07,41.23
2017-02-08,41.01
2017-02-09,41.31
2017-02-10,41.85
2017-02-13,41.75
2017-02-14,41.49
2017-02-15,41.62
2017-02-16,41.68
2017-02-17,41.91
2017-02-21,42.63
2017-02-22,42.17
2017-02-23,41.49
2017-02-24,41.82
2017-02-27,42.24
2017-02-28,41.94
2017-03-01,42.68
2017-03-02,42.27
2017-03-03,42.06
2017-03-06,41.76
2017-03-07,41.47
2017-03-08,41.14
2017-03-09,40.82
2017-03-10,41.23
2017-03-13,41.24
2017-03-14,40.89
2017-03-15,41.93
2017-03-16,41.77
2017-03-17,41.97
2017-03-20,42.27
2017-03-21,41.38
2017-03-22,41.81
2017-03-23,41.5
2017-03-24,41.22
2017-03-27,41.36
2017-03-28,41.74
2017-03-29,42.25
2017-03-30,42.14
2017-03-31,42.12
2017-04-03,41.17
2017-04-04,41.3
2017-04-05,40.98
2017-04-06,41.18
2017-04-07,40.99
2017-04-10,41.12
2017-04-11,41.22
2017-04-12,40.9
2017-04-13,40.6
2017-04-17,41.09
2017-04-18,41.35
2017-04-19,41.28
2017-04-20,41.73
2017-04-21,42.04
2017-04-24,42.91
2017-04-25,43.2
2017-04-26,43.05
2017-04-27,42.16
2017-04-28,41.57
2017-05-01,41.51
2017-05-02,41.46
2017-05-03,41.61
2017-05-04,41.47
2017-05-05,41.97
2017-05-08,42.02
2017-05-09,42.01
2017-05-10,42.41
2017-05-11,41.91
2017-05-12,42.04
2017-05-15,42.45
2017-05-16,42.07
2017-05-17,41.33
2017-05-18,41.77
2017-05-19,42.6
2017-05-22,42.64
2017-05-23,41.98
2017-05-24,42.02
2017-05-25,42.16
2017-05-26,42.03
2017-05-30,41.98
2017-05-31,41.76
2017-06-01,42.18
2017-06-02,42.25
2017-06-05,42.04
2017-06-06,41.26
2017-06-07,41.16
2017-06-08,41.27
2017-06-09,42.07
2017-06-12,41.47
2017-06-13,41.92
2017-06-14,41.86
2017-06-15,41.94
2017-06-16,41.86
2017-06-19,42.54
2017-06-20,42.01
2017-06-21,41.45
2017-06-22,41.82
2017-06-23,41.82
2017-06-26,42.31
2017-06-27,42.15
2017-06-28,42.88
2017-06-29,42.55
2017-06-30,43.36
2017-07-03,43.25
2017-07-05,43.57
2017-07-06,43.05
2017-07-07,43.16
2017-07-10,43.38
2017-07-11,43.08
2017-07-12,43.4
2017-07-13,43.55
2017-07-14,43.87
2017-07-17,44.09
2017-07-18,44.0
