Date,Close
2017-01-03,68.85
2017-01-04,68.67
2017-01-05,68.6
2017-01-06,68.62
2017-01-09,67.68
2017-01-10,67.24
2017-01-11,67.44
2017-01-12,67.48
2017-01-13,66.98
2017-01-17,67.59
2017-01-18,67.54
2017-01-19,67.35
2017-01-20,67.76
2017-01-23,67.83
2017-01-24,68.13
2017-01-25,67.85
2017-01-26,67.64
2017-01-27,68.5
2017-01-30,68.19
2017-01-31,68.23
2017-02-01,67.47
2017-02-02,68.28
2017-02-03,68.84
2017-02-06,67.87
2017-02-07,68.36
2017-02-08,68.96
2017-02-09,71.73
2017-02-10,71.31
2017-02-13,70.96
2017-02-14,71.24
2017-02-15,71.35
2017-02-16,70.1
2017-02-17,68.4
2017-02-21,70.13
2017-02-22,69.9
2017-02-23,70.19
2017-02-24,70.59
2017-02-27,69.32
2017-02-28,69.5
2017-03-01,70.22
2017-03-02,70.39
2017-03-03,69.88
2017-03-06,69.64
2017-03-07,69.57
2017-03-08,69.3
2017-03-09,69.53
2017-03-10,69.61
2017-03-13,69.58
2017-03-14,69.65
2017-03-15,70.14
2017-03-16,70.15
2017-03-17,70.48
2017-03-20,70.36
2017-03-21,69.06
2017-03-22,68.23
2017-03-23,68.6
2017-03-24,68.5
2017-03-27,68.09
2017-03-28,68.18
2017-03-29,68.57
2017-03-30,68.07
2017-03-31,68.13
2017-04-03,67.91
2017-04-04,67.81
2017-04-05,68.26
2017-04-06,67.94
2017-04-07,68.11
2017-04-10,67.81
2017-04-11,67.7
2017-04-12,67.87
2017-04-13,67.51
2017-04-17,67.85
2017-04-18,68.48
2017-04-19,68.18
2017-04-20,68.3
2017-04-21,67.95
2017-04-24,68.28
2017-04-25,67.89
2017-04-26,67.08
2017-04-27,66.58
2017-04-28,66.62
2017-05-01,65.82
2017-05-02,64.77
2017-05-03,64.69
2017-05-04,66.06
2017-05-05,66.33
2017-05-08,68.22
2017-05-09,66.48
2017-05-10,66.67
2017-05-11,66.33
2017-05-12,66.46
2017-05-15,66.64
2017-05-16,66.01
2017-05-17,66.18
2017-05-18,65.76
2017-05-19,66.65
2017-05-22,66.91
2017-05-23,67.19
2017-05-24,68.05
2017-05-25,68.2
2017-05-26,68.14
2017-05-30,67.26
2017-05-31,67.18
2017-06-01,68.44
2017-06-02,68.47
2017-06-05,68.45
2017-06-06,68.35
2017-06-07,68.62
2017-06-08,67.79
2017-06-09,68.18
2017-06-12,68.57
2017-06-13,68.78
2017-06-14,68.96
2017-06-15,68.59
2017-06-16,67.45
2017-06-19,67.33
2017-06-20,66.71
2017-06-21,66.13
2017-06-22,66.07
2017-06-23,66.21
2017-06-26,66.61
2017-06-27,65.06
2017-06-28,65.24
2017-06-29,64.45
2017-06-30,65.18
2017-07-03,64.52
2017-07-05,63.52
2017-07-06,62.45
2017-07-07,62.42
2017-07-10,61.81
2017-07-11,61.31
2017-07-12,61.69
2017-07-13,61.95
2017-07-14,62.29
2017-07-17,62.63
2017-07-18,62.17
2017-07-19,62.26
2017-07-20,62.63
2017-07-21,63.07
2017-07-24,62.71
2017-07-25,63.4
2017-07-26,63.16
2017-07-27,63.51
2017-07-28,63.48
2017-07-31,63.81
2017-08-01,63.3
2017-08-02,63.28
2017-08-03,66.02
2017-08-04,65.33
2017-08-07,65.79
2017-08-08,64.95
2017-08-09,64.78
2017-08-10,64.51
2017-08-11,64.57
2017-08-14,65.55
2017-08-15,65.5
2017-08-16,65.75
2017-08-17,65.78
2017-08-18,65.64
2017-08-21,65.87
2017-08-22,65.68
2017-08-23,65.6
2017-08-24,63.72
2017-08-25,63.53
2017-08-28,62.66
2017-08-29,62.21
2017-08-30,61.98
2017-08-31,61.42
2017-09-01,61.41
2017-09-05,62.31
2017-09-06,63.66
2017-09-07,63.57
2017-09-08,64.23
2017-09-11,64.53
2017-09-12,64.27
2017-09-13,63.79
2017-09-14,63.45
2017-09-15,64.11
2017-09-18,64.38
2017-09-19,61.81
2017-09-20,60.73
2017-09-21,59.98
2017-09-22,59.45
2017-09-25,60.08
2017-09-26,59.51
2017-09-27,59.15
2017-09-28,58.94
2017-09-29,58.52
2017-10-02,58.85
2017-10-03,58.2
2017-10-04,58.57
2017-10-05,58.83
2017-10-06,58.55
2017-10-09,57.28
2017-10-10,57.68
2017-10-11,57.47
2017-10-12,58.54
2017-10-13,58.14
2017-10-16,58.09
2017-10-17,57.93
2017-10-18,57.98
2017-10-19,57.89
2017-10-20,57.66
2017-10-23,57.69
2017-10-24,57.43
2017-10-25,56.75
2017-10-26,56.82
2017-10-27,56.54
2017-10-30,55.24
2017-10-31,58.67
2017-11-01,59.12
2017-11-02,58.53
2017-11-03,58.14
2017-11-06,56.49
2017-11-07,57.09
2017-11-08,58.95
2017-11-09,59.38
2017-11-10,60.71
2017-11-13,59.83
2017-11-14,61.16
2017-11-15,59.81
2017-11-16,61.25
2017-11-17,61.33
2017-11-20,61.52
2017-11-21,60.38
2017-11-22,60.72
2017-11-24,60.93
2017-11-27,61.06
2017-11-28,61.87
2017-11-29,62.68
2017-11-30,62.08
2017-12-01,61.92
2017-12-04,63.37
2017-12-05,63.78
2017-12-06,63.93
2017-12-07,63.12
2017-12-08,62.43
2017-12-11,62.45
2017-12-12,61.88
2017-12-13,61.77
2017-12-14,61.04
2017-12-15,60.98
2017-12-18,61.59
2017-12-19,61.43
2017-12-20,62.75
2017-12-21,63.48
2017-12-22,63.9
2017-12-26,63.95
2017-12-27,64.08
2017-12-28,63.83
2017-12-29,63.79
2018-01-02,63.78
2018-01-03,63.48
2018-01-04,64.49
2018-01-05,64.69
2018-01-08,64.9
2018-01-09,64.54
2018-01-10,62.89
2018-01-11,61.91
2018-01-12,60.7
2018-01-16,61.87
2018-01-17,62.41
2018-01-18,61.74
2018-01-19,62.51
2018-01-22,63.03
2018-01-23,62.8
2018-01-24,63.15
2018-01-25,63.72
2018-01-26,64.12
2018-01-29,63.58
2018-01-30,63.75
2018-01-31,63.91
2018-02-01,64.11
2018-02-02,61.41
2018-02-05,60.18
2018-02-06,61.14
2018-02-07,60.25
2018-02-08,61.91
2018-02-09,63.18
2018-02-12,62.93
2018-02-13,63.33
2018-02-14,63.56
2018-02-15,65.51
2018-02-16,65.36
2018-02-20,65.38
2018-02-21,64.1
2018-02-22,64.05
2018-02-23,64.31
2018-02-26,64.7
2018-02-27,62.99
2018-02-28,62.12
2018-03-01,62.78
2018-03-02,63.51
2018-03-05,64.93
2018-03-06,65.59
2018-03-07,65.03
2018-03-08,65.35
2018-03-09,65.92
2018-03-12,65.52
2018-03-13,65.35
2018-03-14,64.74
2018-03-15,62.86
2018-03-16,62.34
2018-03-19,62.33
2018-03-20,62.23
2018-03-21,59.75
2018-03-22,59.46
2018-03-23,59.07
2018-03-26,60.18
2018-03-27,60.41
2018-03-28,59.96
2018-03-29,61.0
2018-04-02,59.23
2018-04-03,59.46
2018-04-04,60.93
2018-04-05,60.58
2018-04-06,60.28
2018-04-09,60.5
2018-04-10,59.7
2018-04-11,59.44
2018-04-12,58.75
2018-04-13,59.17
2018-04-16,59.89
2018-04-17,59.86
2018-04-18,59.5
2018-04-19,58.36
2018-04-20,56.55
2018-04-23,56.79
2018-04-24,56.73
2018-04-25,57.19
2018-04-26,56.39
2018-04-27,56.52
2018-04-30,55.27
2018-05-01,55.13
2018-05-02,53.16
2018-05-03,54.56
2018-05-04,56.11
2018-05-07,56.76
2018-05-08,56.58
2018-05-09,56.61
2018-05-10,57.28
2018-05-11,57.6
2018-05-14,57.85
2018-05-15,57.47
2018-05-16,57.7
2018-05-17,57.41
2018-05-18,56.48
2018-05-21,57.02
2018-05-22,57.73
2018-05-23,58.39
2018-05-24,59.59
2018-05-25,61.21
2018-05-29,60.6
2018-05-30,61.9
2018-05-31,60.42
2018-06-01,59.89
2018-06-04,60.63
2018-06-05,59.37
2018-06-06,59.03
2018-06-07,58.42
2018-06-08,59.78
2018-06-11,61.41
2018-06-12,61.66
2018-06-13,61.71
2018-06-14,62.49
2018-06-15,62.92
2018-06-18,62.17
2018-06-19,62.48
2018-06-20,62.58
2018-06-21,62.72
2018-06-22,63.24
2018-06-25,64.79
2018-06-26,64.46
2018-06-27,64.91
2018-06-28,65.37
2018-06-29,65.56
2018-07-02,65.32
2018-07-03,65.06
2018-07-05,67.13
2018-07-06,67.4
2018-07-09,66.12
2018-07-10,66.28
2018-07-11,65.99
2018-07-12,66.32
2018-07-13,66.78
2018-07-16,66.24
2018-07-17,66.29
2018-07-18,64.71
2018-07-19,65.31
2018-07-20,65.87
2018-07-23,65.55
2018-07-24,65.85
2018-07-25,66.48
2018-07-26,66.51
2018-07-27,67.0
2018-07-30,66.93
2018-07-31,66.65
2018-08-01,65.15
2018-08-02,65.57
2018-08-03,67.7
2018-08-06,67.75
2018-08-07,67.47
2018-08-08,66.63
2018-08-09,66.9
2018-08-10,66.98
2018-08-13,66.63
2018-08-14,67.1
2018-08-15,67.65
2018-08-16,68.22
2018-08-17,69.09
2018-08-20,69.17
2018-08-21,67.77
2018-08-22,67.69
2018-08-23,67.66
2018-08-24,67.98
2018-08-27,67.58
2018-08-28,67.06
2018-08-29,67.38
2018-08-30,67.33
2018-08-31,67.36
2018-09-04,67.48
2018-09-05,68.22
2018-09-06,69.11
2018-09-07,69.52
2018-09-10,69.46
