Date,Close
2017-01-03,79.41
2017-01-04,79.13
2017-01-05,78.42
2017-01-06,79.13
2017-01-09,79.59
2017-01-10,79.33
2017-01-11,80.27
2017-01-12,80.1
2017-01-13,81.44
2017-01-17,80.0
2017-01-18,81.63
2017-01-19,81.15
2017-01-20,81.56
2017-01-23,82.1
2017-01-24,82.8
2017-01-25,84.67
2017-01-26,83.25
2017-01-27,86.16
2017-01-30,86.25
2017-01-31,85.11
2017-02-01,86.04
2017-02-02,87.36
2017-02-03,87.59
2017-02-06,87.0
2017-02-07,87.66
2017-02-08,86.87
2017-02-09,86.74
2017-02-10,86.64
2017-02-13,87.22
2017-02-14,86.99
2017-02-15,87.68
2017-02-16,88.53
2017-02-17,88.46
2017-02-21,90.45
2017-02-22,90.27
2017-02-23,89.9
2017-02-24,90.29
2017-02-27,90.22
2017-02-28,90.12
2017-03-01,91.44
2017-03-02,90.73
2017-03-03,90.42
2017-03-06,90.82
2017-03-07,91.04
2017-03-08,91.55
2017-03-09,91.79
2017-03-10,93.2
2017-03-13,92.86
2017-03-14,92.87
2017-03-15,93.61
2017-03-16,94.2
2017-03-17,94.69
2017-03-20,95.12
2017-03-21,94.19
2017-03-22,95.57
2017-03-23,95.23
2017-03-24,95.72
2017-03-27,95.8
2017-03-28,95.65
2017-03-29,95.45
2017-03-30,95.64
2017-03-31,95.07
2017-04-03,95.97
2017-04-04,96.46
2017-04-05,95.73
2017-04-06,96.17
2017-04-07,96.54
2017-04-10,96.33
2017-04-11,95.5
2017-04-12,95.21
2017-04-13,95.33
2017-04-17,95.5
2017-04-18,94.6
2017-04-19,97.59
2017-04-20,98.51
2017-04-21,98.37
2017-04-24,100.83
2017-04-25,101.71
2017-04-26,100.8
2017-04-27,103.59
2017-04-28,98.22
2017-05-01,99.17
2017-05-02,99.72
2017-05-03,99.45
2017-05-04,100.81
2017-05-05,100.94
2017-05-08,100.5
2017-05-09,100.81
2017-05-10,100.76
2017-05-11,100.26
2017-05-12,100.04
2017-05-15,101.25
