Date,Close
2017-01-03,21.61
2017-01-04,21.72
2017-01-05,21.69
2017-01-06,21.81
2017-01-09,21.64
2017-01-10,21.57
2017-01-11,21.94
2017-01-12,22.19
2017-01-13,22.42
2017-01-17,22.55
2017-01-18,22.44
2017-01-19,22.47
2017-01-20,22.49
2017-01-23,22.14
2017-01-24,22.62
2017-01-25,22.6
2017-01-26,22.42
2017-01-27,22.38
2017-01-30,21.98
2017-01-31,22.34
2017-02-01,22.23
2017-02-02,22.65
2017-02-03,22.94
2017-02-06,22.5
2017-02-07,22.12
2017-02-08,22.41
2017-02-09,22.38
2017-02-10,22.48
2017-02-13,22.55
2017-02-14,22.54
2017-02-15,22.27
2017-02-16,21.79
2017-02-17,21.77
2017-02-21,21.99
2017-02-22,21.51
2017-02-23,21.54
2017-02-24,21.24
2017-02-27,21.4
2017-02-28,21.31
2017-03-01,21.77
2017-03-02,21.85
2017-03-03,21.75
2017-03-06,21.76
2017-03-07,21.63
2017-03-08,21.29
2017-03-09,21.27
2017-03-10,21.5
2017-03-13,21.51
2017-03-14,21.04
2017-03-15,21.66
2017-03-16,21.56
2017-03-17,21.28
2017-03-20,21.19
2017-03-21,20.94
2017-03-22,20.98
2017-03-23,21.15
2017-03-24,21.15
2017-03-27,21.03
2017-03-28,21.42
2017-03-29,21.41
2017-03-30,21.43
2017-03-31,21.74
2017-04-03,21.59
2017-04-04,21.64
2017-04-05,21.47
2017-04-06,21.75
2017-04-07,21.56
2017-04-10,21.75
2017-04-11,21.61
2017-04-12,21.66
2017-04-13,21.39
2017-04-17,21.37
2017-04-18,21.16
2017-04-19,20.98
2017-04-20,20.72
2017-04-21,20.27
2017-04-24,20.63
2017-04-25,20.9
2017-04-26,20.92
2017-04-27,20.62
2017-04-28,20.63
2017-05-01,20.54
2017-05-02,20.45
2017-05-03,20.28
2017-05-04,19.76
2017-05-05,20.19
2017-05-08,20.15
2017-05-09,19.9
2017-05-10,20.19
2017-05-11,20.11
2017-05-12,19.91
2017-05-15,19.9
2017-05-16,19.8
2017-05-17,19.5
2017-05-18,19.45
2017-05-19,19.52
2017-05-22,19.51
2017-05-23,19.52
2017-05-24,19.37
2017-05-25,19.42
2017-05-26,19.25
2017-05-30,18.42
2017-05-31,18.76
2017-06-01,18.99
2017-06-02,18.95
2017-06-05,18.96
2017-06-06,18.8
2017-06-07,18.68
2017-06-08,18.76
2017-06-09,19.08
2017-06-12,19.13
2017-06-13,19.23
2017-06-14,18.96
2017-06-15,18.81
2017-06-16,19.19
2017-06-19,19.06
2017-06-20,18.52
2017-06-21,18.51
2017-06-22,18.58
2017-06-23,18.79
2017-06-26,18.88
2017-06-27,18.91
2017-06-28,19.02
2017-06-29,19.04
2017-06-30,19.16
2017-07-03,19.52
2017-07-05,19.31
2017-07-06,19.13
2017-07-07,19.17
2017-07-10,19.08
2017-07-11,19.22
2017-07-12,19.41
2017-07-13,19.33
2017-07-14,19.54
2017-07-17,19.55
2017-07-18,19.5
2017-07-19,19.67
2017-07-20,20.56
2017-07-21,20.69
2017-07-24,20.33
2017-07-25,20.25
2017-07-26,20.34
2017-07-27,20.47
2017-07-28,20.4
2017-07-31,20.43
2017-08-01,20.35
2017-08-02,20.33
2017-08-03,20.23
2017-08-04,20.2
2017-08-07,20.15
2017-08-08,19.75
2017-08-09,19.75
2017-08-10,19.39
2017-08-11,19.07
2017-08-14,19.03
2017-08-15,18.85
2017-08-16,18.71
2017-08-17,18.4
2017-08-18,18.55
2017-08-21,18.55
2017-08-22,18.79
2017-08-23,19.01
2017-08-24,19.05
2017-08-25,19.17
2017-08-28,19.01
2017-08-29,19.02
2017-08-30,19.07
2017-08-31,19.33
2017-09-01,19.36
2017-09-05,19.35
2017-09-06,19.33
2017-09-07,19.14
2017-09-08,19.14
2017-09-11,19.44
2017-09-12,19.36
2017-09-13,19.44
2017-09-14,19.34
2017-09-15,19.36
2017-09-18,19.39
2017-09-19,19.56
2017-09-20,19.77
2017-09-21,19.32
2017-09-22,19.27
2017-09-25,19.69
2017-09-26,19.52
2017-09-27,19.33
2017-09-28,19.31
2017-09-29,19.18
2017-10-02,19.1
2017-10-03,18.85
2017-10-04,18.82
2017-10-05,19.1
2017-10-06,19.02
2017-10-09,19.03
2017-10-10,18.95
2017-10-11,19.05
2017-10-12,18.88
2017-10-13,18.76
2017-10-16,18.81
2017-10-17,18.68
2017-10-18,18.58
2017-10-19,18.65
2017-10-20,18.42
2017-10-23,18.12
2017-10-24,18.27
2017-10-25,17.96
2017-10-26,18.0
2017-10-27,18.03
2017-10-30,18.1
2017-10-31,18.11
2017-11-01,18.13
2017-11-02,17.8
2017-11-03,17.74
2017-11-06,18.08
2017-11-07,18.04
2017-11-08,18.0
2017-11-09,17.91
2017-11-10,17.67
2017-11-13,17.46
2017-11-14,17.43
2017-11-15,17.03
2017-11-16,16.83
2017-11-17,17.01
2017-11-20,17.06
2017-11-21,16.87
2017-11-22,17.1
2017-11-24,17.19
2017-11-27,16.96
2017-11-28,17.03
2017-11-29,16.76
2017-11-30,17.23
2017-12-01,17.41
2017-12-04,17.25
2017-12-05,17.14
2017-12-06,17.11
2017-12-07,17.36
2017-12-08,17.79
2017-12-11,17.96
2017-12-12,17.75
2017-12-13,17.85
2017-12-14,17.84
2017-12-15,17.93
2017-12-18,18.0
2017-12-19,17.92
2017-12-20,17.76
2017-12-21,18.07
2017-12-22,18.05
2017-12-26,18.11
2017-12-27,18.12
2017-12-28,18.31
2017-12-29,18.07
2018-01-02,18.8
2018-01-03,18.96
2018-01-04,19.01
2018-01-05,18.95
2018-01-08,18.86
2018-01-09,18.94
2018-01-10,18.88
2018-01-11,19.2
2018-01-12,19.52
2018-01-16,19.39
2018-01-17,19.57
2018-01-18,19.01
2018-01-19,19.01
2018-01-22,19.63
2018-01-23,19.45
2018-01-24,19.14
2018-01-25,18.82
2018-01-26,18.77
2018-01-29,18.71
2018-01-30,18.23
2018-01-31,17.98
2018-02-01,18.06
2018-02-02,17.5
2018-02-05,16.81
2018-02-06,17.33
2018-02-07,17.29
2018-02-08,16.8
2018-02-09,17.24
2018-02-12,17.3
2018-02-13,17.39
2018-02-14,17.45
2018-02-15,17.31
2018-02-16,17.06
2018-02-20,17.0
2018-02-21,16.75
2018-02-22,16.66
2018-02-23,17.01
2018-02-26,16.92
2018-02-27,16.64
2018-02-28,16.2
2018-03-01,16.21
2018-03-02,16.1
2018-03-05,16.21
2018-03-06,16.11
2018-03-07,16.05
2018-03-08,16.01
2018-03-09,16.33
2018-03-12,16.55
2018-03-13,16.5
2018-03-14,16.42
2018-03-15,16.31
2018-03-16,16.41
2018-03-19,16.0
2018-03-20,15.61
2018-03-21,15.91
2018-03-22,15.36
2018-03-23,15.01
2018-03-26,15.13
2018-03-27,15.09
2018-03-28,14.81
2018-03-29,15.06
2018-04-02,14.9
2018-04-03,15.01
2018-04-04,15.16
2018-04-05,15.5
2018-04-06,15.17
2018-04-09,15.1
2018-04-10,15.61
2018-04-11,15.35
2018-04-12,15.34
2018-04-13,15.33
2018-04-16,15.68
2018-04-17,16.02
2018-04-18,16.17
2018-04-19,16.54
2018-04-20,16.47
2018-04-23,16.44
2018-04-24,16.27
2018-04-25,16.26
2018-04-26,16.22
2018-04-27,15.95
2018-04-30,15.82
2018-05-01,16.02
2018-05-02,16.16
2018-05-03,15.82
2018-05-04,16.11
2018-05-07,16.21
2018-05-08,16.07
2018-05-09,16.45
2018-05-10,16.5
2018-05-11,16.51
2018-05-14,16.64
2018-05-15,16.44
2018-05-16,16.4
2018-05-17,16.3
2018-05-18,16.07
2018-05-21,15.98
2018-05-22,15.94
2018-05-23,16.19
2018-05-24,15.88
2018-05-25,15.89
2018-05-29,16.04
2018-05-30,16.56
2018-05-31,16.68
2018-06-01,16.9
2018-06-04,16.94
