Date,Close
2017-01-03,64.82
2017-01-04,66.76
2017-01-05,66.38
2017-01-06,65.4
2017-01-09,65.19
2017-01-10,65.68
2017-01-11,66.89
2017-01-12,66.81
2017-01-13,67.17
2017-01-17,66.47
2017-01-18,65.68
2017-01-19,66.47
2017-01-20,66.65
2017-01-23,67.13
2017-01-24,68.21
2017-01-25,68.2
2017-01-26,67.67
2017-01-27,67.46
2017-01-30,66.89
2017-01-31,66.71
2017-02-01,65.19
2017-02-02,65.0
2017-02-03,65.69
2017-02-06,65.11
2017-02-07,65.83
2017-02-08,66.76
2017-02-09,67.44
2017-02-10,67.54
2017-02-13,67.5
2017-02-14,68.22
2017-02-15,68.6
2017-02-16,68.28
2017-02-17,67.02
2017-02-21,68.25
2017-02-22,67.55
2017-02-23,66.07
2017-02-24,65.83
2017-02-27,66.07
2017-02-28,64.54
2017-03-01,65.18
2017-03-02,65.03
2017-03-03,64.87
2017-03-06,63.9
2017-03-07,63.81
2017-03-08,64.61
2017-03-09,63.77
2017-03-10,64.2
2017-03-13,63.39
2017-03-14,62.98
2017-03-15,63.51
2017-03-16,63.54
2017-03-17,61.69
2017-03-20,61.17
2017-03-21,59.47
2017-03-22,60.07
2017-03-23,60.04
2017-03-24,59.6
2017-03-27,58.87
2017-03-28,59.76
2017-03-29,60.05
2017-03-30,60.06
2017-03-31,59.22
2017-04-03,56.67
2017-04-04,55.82
2017-04-05,56.66
2017-04-06,58.0
2017-04-07,56.5
2017-04-10,57.11
2017-04-11,57.24
2017-04-12,56.24
2017-04-13,55.37
2017-04-17,56.13
2017-04-18,55.61
2017-04-19,57.17
2017-04-20,58.8
2017-04-21,58.31
2017-04-24,59.69
2017-04-25,58.74
2017-04-26,59.96
2017-04-27,60.08
2017-04-28,58.5
2017-05-01,58.15
2017-05-02,57.88
2017-05-03,58.52
2017-05-04,58.71
2017-05-05,59.71
2017-05-08,60.28
2017-05-09,60.28
2017-05-10,59.93
2017-05-11,59.28
2017-05-12,59.39
2017-05-15,61.14
2017-05-16,61.66
2017-05-17,60.02
2017-05-18,63.71
2017-05-19,64.75
2017-05-22,65.03
2017-05-23,64.49
2017-05-24,64.51
2017-05-25,64.69
2017-05-26,64.72
2017-05-30,63.54
2017-05-31,62.83
2017-06-01,63.93
2017-06-02,63.6
2017-06-05,62.59
2017-06-06,61.64
2017-06-07,62.47
2017-06-08,60.76
2017-06-09,59.61
2017-06-12,60.8
2017-06-13,61.63
2017-06-14,61.83
2017-06-15,61.55
2017-06-16,60.69
2017-06-19,61.65
2017-06-20,59.26
2017-06-21,59.74
2017-06-22,62.5
2017-06-23,61.71
2017-06-26,63.38
2017-06-27,63.1
2017-06-28,62.09
2017-06-29,62.26
2017-06-30,63.06
2017-07-03,63.74
2017-07-05,63.37
2017-07-06,63.51
2017-07-07,63.95
2017-07-10,64.2
2017-07-11,63.67
2017-07-12,64.2
2017-07-13,65.03
2017-07-14,64.42
2017-07-17,65.03
2017-07-18,64.74
2017-07-19,64.83
2017-07-20,64.38
2017-07-21,66.09
2017-07-24,65.7
2017-07-25,66.18
2017-07-26,66.73
2017-07-27,66.48
2017-07-28,66.79
2017-07-31,66.25
2017-08-01,66.65
2017-08-02,65.72
2017-08-03,65.54
2017-08-04,65.72
2017-08-07,65.83
2017-08-08,64.87
2017-08-09,65.23
2017-08-10,63.93
2017-08-11,64.42
2017-08-14,64.92
2017-08-15,64.46
2017-08-16,64.82
2017-08-17,63.97
2017-08-18,63.97
2017-08-21,64.14
2017-08-22,63.85
2017-08-23,64.05
2017-08-24,63.73
2017-08-25,64.39
2017-08-28,63.48
2017-08-29,63.56
2017-08-30,65.99
2017-08-31,67.15
2017-09-01,68.12
2017-09-05,69.02
2017-09-06,69.08
2017-09-07,68.34
2017-09-08,68.47
2017-09-11,68.5
2017-09-12,68.35
2017-09-13,69.09
2017-09-14,69.46
2017-09-15,68.08
2017-09-18,68.34
2017-09-19,68.46
2017-09-20,68.67
2017-09-21,68.84
2017-09-22,74.19
2017-09-25,74.29
2017-09-26,73.59
2017-09-27,75.35
2017-09-28,75.93
2017-09-29,75.81
2017-10-02,76.59
2017-10-03,76.33
2017-10-04,76.45
2017-10-05,76.37
2017-10-06,76.81
2017-10-09,76.18
2017-10-10,76.23
2017-10-11,76.06
2017-10-12,75.7
2017-10-13,75.44
2017-10-16,75.46
2017-10-17,75.37
2017-10-18,75.26
2017-10-19,74.84
2017-10-20,75.14
2017-10-23,74.39
2017-10-24,74.78
2017-10-25,74.17
2017-10-26,74.86
2017-10-27,74.36
2017-10-30,74.95
2017-10-31,75.1
2017-11-01,74.46
2017-11-02,75.98
2017-11-03,75.19
2017-11-06,74.91
2017-11-07,73.42
2017-11-08,73.44
2017-11-09,72.18
