Date,Close
2017-01-03,253.31
2017-01-04,253.99
2017-01-05,255.98
2017-01-06,257.85
2017-01-09,257.81
2017-01-10,256.17
2017-01-11,255.13
2017-01-12,252.62
2017-01-13,254.53
2017-01-17,254.12
2017-01-18,254.07
2017-01-19,257.03
2017-01-20,257.73
2017-01-23,257.48
2017-01-24,252.91
2017-01-25,251.0
2017-01-26,254.97
2017-01-27,253.5
2017-01-30,252.83
2017-01-31,251.33
2017-02-01,250.9
2017-02-02,251.97
2017-02-03,254.46
2017-02-06,255.31
2017-02-07,256.37
2017-02-08,256.74
2017-02-09,258.2
2017-02-10,260.55
2017-02-13,262.35
2017-02-14,262.56
2017-02-15,263.46
2017-02-16,265.33
2017-02-17,265.35
2017-02-21,265.66
2017-02-22,265.92
2017-02-23,264.85
2017-02-24,266.0
2017-02-27,269.36
2017-02-28,266.58
2017-03-01,268.38
2017-03-02,266.99
2017-03-03,267.76
2017-03-06,267.72
2017-03-07,269.04
2017-03-08,267.72
2017-03-09,268.68
2017-03-10,268.66
2017-03-13,269.19
2017-03-14,268.0
2017-03-15,269.44
2017-03-16,267.94
2017-03-17,271.98
2017-03-20,272.03
2017-03-21,269.0
2017-03-22,269.42
2017-03-23,269.5
2017-03-24,267.42
2017-03-27,267.16
2017-03-28,269.12
2017-03-29,268.24
2017-03-30,270.54
2017-03-31,267.6
2017-04-03,268.68
2017-04-04,269.56
2017-04-05,266.98
2017-04-06,267.11
2017-04-07,270.23
2017-04-10,269.03
2017-04-11,270.27
2017-04-12,268.51
2017-04-13,268.0
2017-04-17,269.88
2017-04-18,268.78
2017-04-19,269.63
2017-04-20,271.85
2017-04-21,273.09
2017-04-24,276.21
2017-04-25,270.02
2017-04-26,270.35
2017-04-27,271.14
2017-04-28,269.45
2017-05-01,268.43
2017-05-02,269.49
2017-05-03,269.6
2017-05-04,270.51
2017-05-05,273.03
2017-05-08,272.5
2017-05-09,273.87
2017-05-10,271.74
2017-05-11,272.09
2017-05-12,271.26
2017-05-15,272.35
2017-05-16,271.65
2017-05-17,269.24
2017-05-18,267.32
2017-05-19,272.79
2017-05-22,277.03
2017-05-23,278.36
2017-05-24,280.05
2017-05-25,282.06
2017-05-26,283.65
2017-05-30,280.09
2017-05-31,281.13
2017-06-01,280.96
2017-06-02,281.76
2017-06-05,280.13
2017-06-06,276.88
2017-06-07,277.38
2017-06-08,277.62
2017-06-09,277.0
2017-06-12,276.89
2017-06-13,278.36
2017-06-14,280.3
2017-06-15,280.93
2017-06-16,281.11
2017-06-19,282.3
2017-06-20,282.89
2017-06-21,282.99
2017-06-22,280.43
2017-06-23,280.64
2017-06-26,279.7
2017-06-27,277.83
2017-06-28,280.02
2017-06-29,276.73
2017-06-30,277.61
2017-07-03,278.92
2017-07-05,282.4
2017-07-06,280.96
2017-07-07,285.2
2017-07-10,285.57
2017-07-11,286.42
2017-07-12,286.36
2017-07-13,286.76
2017-07-14,288.13
2017-07-17,288.49
2017-07-18,286.79
2017-07-19,290.67
2017-07-20,289.67
2017-07-21,289.12
2017-07-24,290.28
2017-07-25,289.83
2017-07-26,289.85
2017-07-27,288.13
2017-07-28,290.41
2017-07-31,292.13
2017-08-01,292.65
2017-08-02,294.7
2017-08-03,295.82
2017-08-04,297.0
2017-08-07,297.15
2017-08-08,300.1
2017-08-09,305.22
2017-08-10,303.25
2017-08-11,303.75
2017-08-14,307.58
2017-08-15,306.2
2017-08-16,305.8
