Date,Close
2017-01-03,10.73
2017-01-04,10.73
2017-01-05,10.71
2017-01-06,10.76
2017-01-09,10.89
2017-01-10,10.85
2017-01-11,10.9
2017-01-12,10.82
2017-01-13,11.05
2017-01-17,10.91
2017-01-18,11.12
2017-01-19,11.08
2017-01-20,11.24
2017-01-23,11.28
2017-01-24,11.46
2017-01-25,11.69
2017-01-26,11.43
2017-01-27,11.82
2017-01-30,11.6
2017-01-31,11.49
2017-02-01,11.77
2017-02-02,11.72
2017-02-03,11.77
2017-02-06,11.72
2017-02-07,11.7
2017-02-08,11.59
2017-02-09,11.6
2017-02-10,11.6
2017-02-13,11.63
2017-02-14,11.56
2017-02-15,11.62
2017-02-16,11.46
2017-02-17,11.49
2017-02-21,11.78
2017-02-22,11.86
2017-02-23,11.77
2017-02-24,11.88
2017-02-27,11.93
2017-02-28,11.85
2017-03-01,11.97
2017-03-02,11.85
2017-03-03,11.86
2017-03-06,11.84
2017-03-07,11.74
2017-03-08,11.77
2017-03-09,11.76
2017-03-10,12.06
2017-03-13,12.24
2017-03-14,12.24
2017-03-15,12.42
2017-03-16,12.6
2017-03-17,12.65
2017-03-20,12.69
2017-03-21,12.43
2017-03-22,12.54
2017-03-23,12.54
2017-03-24,12.75
2017-03-27,12.78
2017-03-28,12.78
2017-03-29,12.79
2017-03-30,12.87
2017-03-31,12.84
2017-04-03,12.84
2017-04-04,12.89
2017-04-05,12.78
2017-04-06,12.89
2017-04-07,12.93
2017-04-10,12.88
2017-04-11,12.72
2017-04-12,12.62
2017-04-13,12.52
2017-04-17,12.73
2017-04-18,12.74
2017-04-19,13.62
2017-04-20,13.94
2017-04-21,14.0
2017-04-24,14.25
2017-04-25,14.58
2017-04-26,14.55
2017-04-27,14.7
2017-04-28,14.49
2017-05-01,14.92
2017-05-02,14.93
2017-05-03,15.01
2017-05-04,15.06
2017-05-05,15.03
2017-05-08,14.91
2017-05-09,15.05
2017-05-10,14.92
2017-05-11,14.99
2017-05-12,14.96
2017-05-15,15.13
2017-05-16,15.26
2017-05-17,14.73
2017-05-18,14.98
2017-05-19,15.24
2017-05-22,15.29
2017-05-23,15.34
2017-05-24,15.29
2017-05-25,15.39
2017-05-26,15.51
2017-05-30,15.69
2017-05-31,15.52
2017-06-01,15.64
2017-06-02,15.87
2017-06-05,16.03
2017-06-06,16.1
2017-06-07,16.23
2017-06-08,16.5
2017-06-09,15.78
2017-06-12,15.45
2017-06-13,15.51
2017-06-14,15.28
2017-06-15,14.85
2017-06-16,14.82
2017-06-19,15.1
2017-06-20,15.01
2017-06-21,15.09
2017-06-22,15.0
2017-06-23,15.18
2017-06-26,14.9
2017-06-27,14.46
2017-06-28,14.78
2017-06-29,14.24
2017-06-30,14.14
2017-07-03,13.93
2017-07-05,14.25
2017-07-06,14.39
2017-07-07,14.81
2017-07-10,15.08
2017-07-11,15.37
2017-07-12,15.46
2017-07-13,15.49
2017-07-14,15.73
2017-07-17,15.7
2017-07-18,15.94
2017-07-19,16.42
2017-07-20,16.48
2017-07-21,16.35
2017-07-24,16.41
2017-07-25,16.45
2017-07-26,16.83
2017-07-27,16.48
2017-07-28,16.16
2017-07-31,15.95
2017-08-01,15.75
2017-08-02,15.16
2017-08-03,14.89
2017-08-04,15.01
2017-08-07,15.58
2017-08-08,15.58
2017-08-09,15.52
2017-08-10,14.94
2017-08-11,15.43
2017-08-14,15.86
2017-08-15,16.02
2017-08-16,16.32
2017-08-17,15.85
2017-08-18,16.05
2017-08-21,15.84
2017-08-22,16.38
2017-08-23,16.17
2017-08-24,15.88
2017-08-25,15.79
2017-08-28,16.07
2017-08-29,16.23
2017-08-30,16.5
2017-08-31,16.6
2017-09-01,16.69
2017-09-05,16.41
2017-09-06,16.5
2017-09-07,16.86
2017-09-08,16.58
2017-09-11,17.0
2017-09-12,17.17
2017-09-13,17.15
2017-09-14,17.26
2017-09-15,17.3
2017-09-18,17.73
2017-09-19,17.71
2017-09-20,17.3
2017-09-21,17.23
2017-09-22,17.67
2017-09-25,17.02
2017-09-26,16.94
2017-09-27,17.94
2017-09-28,18.18
2017-09-29,18.5
2017-10-02,18.6
2017-10-03,18.49
2017-10-04,18.5
2017-10-05,18.28
2017-10-06,18.48
2017-10-09,18.47
2017-10-10,18.49
2017-10-11,18.62
2017-10-12,18.7
2017-10-13,18.99
2017-10-16,19.24
2017-10-17,19.45
2017-10-18,20.05
2017-10-19,20.1
2017-10-20,20.53
2017-10-23,20.59
2017-10-24,20.58
2017-10-25,20.31
2017-10-26,20.68
2017-10-27,20.8
2017-10-30,20.62
2017-10-31,20.86
2017-11-01,20.29
2017-11-02,20.68
2017-11-03,20.71
2017-11-06,20.67
2017-11-07,20.92
2017-11-08,21.12
2017-11-09,20.63
2017-11-10,20.74
2017-11-13,20.92
2017-11-14,20.86
2017-11-15,20.79
2017-11-16,21.32
2017-11-17,21.05
2017-11-20,21.51
2017-11-21,21.89
2017-11-22,21.52
2017-11-24,21.68
2017-11-27,21.09
2017-11-28,21.31
2017-11-29,19.46
2017-11-30,19.23
2017-12-01,18.78
2017-12-04,18.07
2017-12-05,18.05
2017-12-06,18.42
2017-12-07,18.92
2017-12-08,18.65
2017-12-11,18.56
2017-12-12,18.16
2017-12-13,18.13
2017-12-14,18.21
2017-12-15,18.63
2017-12-18,18.91
2017-12-19,18.61
2017-12-20,18.88
2017-12-21,18.56
2017-12-22,18.67
2017-12-26,18.43
2017-12-27,18.54
2017-12-28,18.55
2017-12-29,18.41
2018-01-02,18.93
2018-01-03,19.25
2018-01-04,19.34
2018-01-05,19.64
2018-01-08,19.79
2018-01-09,19.76
2018-01-10,19.17
2018-01-11,18.91
2018-01-12,18.85
2018-01-16,19.04
2018-01-17,20.51
2018-01-18,20.55
2018-01-19,20.75
2018-01-22,20.92
2018-01-23,21.51
2018-01-24,20.97
2018-01-25,19.93
2018-01-26,20.26
2018-01-29,19.6
2018-01-30,19.11
2018-01-31,19.15
2018-02-01,18.91
2018-02-02,17.91
2018-02-05,17.04
2018-02-06,17.83
2018-02-07,17.16
2018-02-08,16.22
2018-02-09,16.59
2018-02-12,17.3
2018-02-13,17.26
2018-02-14,18.3
2018-02-15,18.57
2018-02-16,18.79
2018-02-20,19.34
2018-02-21,18.92
2018-02-22,18.84
2018-02-23,19.31
2018-02-26,19.84
2018-02-27,19.35
2018-02-28,19.19
2018-03-01,19.01
2018-03-02,19.45
2018-03-05,19.87
2018-03-06,20.79
2018-03-07,21.17
2018-03-08,21.27
2018-03-09,22.5
2018-03-12,22.87
2018-03-13,22.4
2018-03-14,22.26
2018-03-15,22.31
2018-03-16,22.19
2018-03-19,21.76
2018-03-20,21.91
2018-03-21,22.43
2018-03-22,21.48
2018-03-23,20.26
2018-03-26,21.5
2018-03-27,20.26
2018-03-28,19.62
2018-03-29,20.32
2018-04-02,19.39
2018-04-03,19.8
2018-04-04,20.17
