Date,Close
2017-01-03,49.98
2017-01-04,51.3
2017-01-05,50.47
2017-01-06,49.93
2017-01-09,50.3
2017-01-10,51.34
2017-01-11,51.68
2017-01-12,51.01
2017-01-13,51.15
2017-01-17,50.24
2017-01-18,50.38
2017-01-19,50.07
2017-01-20,51.09
2017-01-23,49.94
2017-01-24,49.65
2017-01-25,49.46
2017-01-26,53.92
2017-01-27,52.7
2017-01-30,52.35
2017-01-31,52.31
2017-02-01,52.73
2017-02-02,52.86
2017-02-03,52.88
2017-02-06,53.07
2017-02-07,53.04
2017-02-08,52.92
2017-02-09,54.52
2017-02-10,54.71
2017-02-13,55.73
2017-02-14,55.31
2017-02-15,57.29
2017-02-16,56.34
2017-02-17,57.32
2017-02-21,57.86
2017-02-22,57.91
2017-02-23,57.26
2017-02-24,58.54
2017-02-27,58.43
2017-02-28,57.8
2017-03-01,58.88
2017-03-02,57.57
2017-03-03,58.86
2017-03-06,57.56
2017-03-07,56.83
2017-03-08,56.68
2017-03-09,56.36
2017-03-10,55.88
2017-03-13,54.49
2017-03-14,52.88
2017-03-15,54.29
2017-03-16,54.15
2017-03-17,53.18
2017-03-20,53.45
2017-03-21,51.88
2017-03-22,52.46
2017-03-23,52.37
2017-03-24,52.61
2017-03-27,52.88
2017-03-28,54.19
2017-03-29,53.48
2017-03-30,53.83
2017-03-31,53.76
2017-04-03,54.0
2017-04-04,53.07
2017-04-05,53.35
2017-04-06,53.38
2017-04-07,54.54
2017-04-10,54.22
2017-04-11,55.06
2017-04-12,55.51
2017-04-13,54.31
2017-04-17,54.72
2017-04-18,54.42
2017-04-19,54.65
2017-04-20,55.95
2017-04-21,55.63
2017-04-24,56.49
2017-04-25,57.09
2017-04-26,56.94
2017-04-27,55.75
2017-04-28,56.22
2017-05-01,56.28
2017-05-02,58.33
2017-05-03,58.16
2017-05-04,58.34
2017-05-05,58.4
2017-05-08,57.48
2017-05-09,58.28
2017-05-10,58.37
2017-05-11,58.09
2017-05-12,57.22
2017-05-15,58.03
2017-05-16,58.27
2017-05-17,57.04
2017-05-18,57.29
2017-05-19,58.04
2017-05-22,58.92
2017-05-23,59.64
2017-05-24,59.58
2017-05-25,60.92
2017-05-26,60.67
2017-05-30,59.48
2017-05-31,60.09
2017-06-01,60.3
2017-06-02,60.36
2017-06-05,60.99
2017-06-06,60.1
2017-06-07,59.96
2017-06-08,59.16
2017-06-09,59.46
2017-06-12,58.99
2017-06-13,59.21
2017-06-14,59.53
2017-06-15,60.11
2017-06-16,60.29
2017-06-19,60.92
2017-06-20,60.33
2017-06-21,61.03
2017-06-22,61.52
2017-06-23,61.92
2017-06-26,61.75
2017-06-27,61.51
2017-06-28,62.01
2017-06-29,61.81
2017-06-30,62.14
2017-07-03,62.07
2017-07-05,63.16
2017-07-06,63.36
2017-07-07,64.24
2017-07-10,63.13
2017-07-11,61.81
2017-07-12,62.08
2017-07-13,62.02
2017-07-14,61.93
2017-07-17,62.14
2017-07-18,61.57
2017-07-19,61.41
2017-07-20,60.4
2017-07-21,60.28
2017-07-24,59.81
2017-07-25,58.82
2017-07-26,59.52
2017-07-27,56.57
2017-07-28,56.56
2017-07-31,55.51
2017-08-01,55.72
2017-08-02,55.7
2017-08-03,56.11
2017-08-04,56.58
2017-08-07,55.37
2017-08-08,54.81
2017-08-09,54.69
2017-08-10,54.01
2017-08-11,54.14
2017-08-14,54.72
2017-08-15,55.2
2017-08-16,55.31
2017-08-17,53.15
2017-08-18,53.17
2017-08-21,53.54
2017-08-22,53.43
2017-08-23,51.72
2017-08-24,50.71
2017-08-25,52.68
2017-08-28,51.75
2017-08-29,51.46
2017-08-30,51.52
2017-08-31,52.14
2017-09-01,52.19
2017-09-05,51.14
2017-09-06,51.67
2017-09-07,52.21
2017-09-08,52.87
2017-09-11,53.6
2017-09-12,53.95
2017-09-13,54.66
2017-09-14,54.35
2017-09-15,54.72
2017-09-18,54.09
2017-09-19,53.54
2017-09-20,54.25
2017-09-21,54.63
2017-09-22,54.93
2017-09-25,55.12
2017-09-26,55.72
2017-09-27,55.88
2017-09-28,56.17
2017-09-29,55.98
2017-10-02,55.99
2017-10-03,58.51
2017-10-04,58.38
2017-10-05,58.29
2017-10-06,58.44
2017-10-09,57.66
2017-10-10,58.01
2017-10-11,58.55
2017-10-12,58.81
2017-10-13,59.12
2017-10-16,58.88
2017-10-17,58.73
2017-10-18,58.83
2017-10-19,58.63
2017-10-20,59.37
2017-10-23,58.76
2017-10-24,58.8
2017-10-25,57.16
2017-10-26,55.11
2017-10-27,54.11
2017-10-30,54.73
2017-10-31,53.86
2017-11-01,53.99
2017-11-02,53.99
2017-11-03,54.14
2017-11-06,54.52
2017-11-07,53.87
2017-11-08,54.01
2017-11-09,53.46
2017-11-10,53.49
2017-11-13,53.25
2017-11-14,53.75
2017-11-15,54.63
2017-11-16,55.27
2017-11-17,54.71
2017-11-20,54.65
2017-11-21,55.43
2017-11-22,55.09
2017-11-24,55.14
2017-11-27,54.6
2017-11-28,56.17
2017-11-29,58.88
2017-11-30,60.67
2017-12-01,59.92
2017-12-04,62.03
2017-12-05,61.72
2017-12-06,61.12
2017-12-07,63.02
2017-12-08,63.33
2017-12-11,63.32
2017-12-12,63.43
2017-12-13,63.14
2017-12-14,63.85
2017-12-15,64.7
2017-12-18,65.7
2017-12-19,65.92
2017-12-20,66.09
2017-12-21,66.03
2017-12-22,65.97
2017-12-26,65.98
2017-12-27,65.96
2017-12-28,65.87
2017-12-29,65.45
2018-01-02,66.29
2018-01-03,64.91
2018-01-04,64.7
2018-01-05,64.32
2018-01-08,64.0
2018-01-09,62.38
2018-01-10,62.96
2018-01-11,64.84
2018-01-12,65.36
2018-01-16,65.47
2018-01-17,66.07
2018-01-18,65.06
2018-01-19,65.05
2018-01-22,64.89
2018-01-23,65.26
2018-01-24,62.21
2018-01-25,60.19
2018-01-26,60.82
2018-01-29,60.36
2018-01-30,59.83
2018-01-31,60.8
2018-02-01,60.31
2018-02-02,58.71
2018-02-05,56.99
2018-02-06,58.14
2018-02-07,57.89
2018-02-08,55.63
2018-02-09,55.5
2018-02-12,56.81
2018-02-13,57.16
2018-02-14,57.73
2018-02-15,58.18
2018-02-16,58.27
2018-02-20,57.73
2018-02-21,58.03
2018-02-22,57.32
2018-02-23,57.99
2018-02-26,59.5
2018-02-27,58.48
2018-02-28,57.84
2018-03-01,58.01
2018-03-02,57.81
2018-03-05,58.38
2018-03-06,58.25
2018-03-07,57.57
2018-03-08,58.37
2018-03-09,59.7
2018-03-12,59.76
2018-03-13,60.33
2018-03-14,59.62
2018-03-15,59.94
2018-03-16,60.9
2018-03-19,60.6
2018-03-20,60.69
2018-03-21,57.78
2018-03-22,57.0
2018-03-23,56.72
2018-03-26,57.59
2018-03-27,56.69
2018-03-28,56.25
2018-03-29,57.28
2018-04-02,54.34
2018-04-03,55.97
2018-04-04,56.36
2018-04-05,56.86
2018-04-06,55.29
2018-04-09,54.85
2018-04-10,54.13
2018-04-11,53.5
2018-04-12,54.94
2018-04-13,55.07
2018-04-16,54.89
2018-04-17,54.27
2018-04-18,55.82
2018-04-19,54.8
2018-04-20,54.77
2018-04-23,54.98
2018-04-24,53.88
2018-04-25,53.83
2018-04-26,53.3
2018-04-27,53.53
2018-04-30,52.83
2018-05-01,52.94
2018-05-02,52.21
2018-05-03,52.24
2018-05-04,52.78
2018-05-07,52.0
2018-05-08,52.33
2018-05-09,51.56
2018-05-10,51.94
2018-05-11,52.46
2018-05-14,52.2
2018-05-15,51.7
2018-05-16,53.01
2018-05-17,52.47
2018-05-18,52.19
2018-05-21,52.22
2018-05-22,50.85
2018-05-23,50.32
2018-05-24,51.21
2018-05-25,52.86
2018-05-29,51.49
2018-05-30,51.33
2018-05-31,51.08
2018-06-01,50.96
2018-06-04,51.65
2018-06-05,50.9
2018-06-06,50.75
2018-06-07,50.64
2018-06-08,50.48
2018-06-11,50.98
2018-06-12,50.97
2018-06-13,51.35
2018-06-14,51.94
2018-06-15,52.18
2018-06-18,52.37
2018-06-19,51.71
2018-06-20,52.0
2018-06-21,53.15
2018-06-22,51.91
2018-06-25,51.28
2018-06-26,51.17
2018-06-27,50.37
2018-06-28,50.7
2018-06-29,50.88
2018-07-02,51.54
2018-07-03,51.52
2018-07-05,51.86
2018-07-06,52.74
2018-07-09,53.26
2018-07-10,53.0
2018-07-11,52.53
2018-07-12,52.77
2018-07-13,53.09
2018-07-16,53.08
2018-07-17,53.22
2018-07-18,53.9
2018-07-19,53.78
2018-07-20,53.43
2018-07-23,53.56
2018-07-24,51.91
2018-07-25,52.29
2018-07-26,56.7
2018-07-27,58.38
2018-07-30,57.9
2018-07-31,58.16
2018-08-01,56.52
2018-08-02,56.69
2018-08-03,57.41
2018-08-06,57.79
2018-08-07,58.09
2018-08-08,58.82
2018-08-09,58.99
2018-08-10,58.99
2018-08-13,58.84
2018-08-14,59.09
2018-08-15,60.33
2018-08-16,59.52
2018-08-17,59.68
2018-08-20,61.63
2018-08-21,61.0
2018-08-22,60.61
2018-08-23,61.01
2018-08-24,60.99
2018-08-27,60.91
2018-08-28,61.33
2018-08-29,61.22
2018-08-30,60.82
2018-08-31,61.3
2018-09-04,61.99
2018-09-05,61.4
2018-09-06,61.03
2018-09-07,61.9
2018-09-10,62.51
2018-09-11,62.98
2018-09-12,61.37
2018-09-13,62.36
2018-09-14,62.43
2018-09-17,63.1
2018-09-18,63.05
2018-09-19,63.11
2018-09-20,62.5
2018-09-21,63.77
2018-09-24,62.06
2018-09-25,61.65
2018-09-26,62.09
2018-09-27,62.71
2018-09-28,62.45
2018-10-01,61.7
2018-10-02,61.18
2018-10-03,61.68
2018-10-04,61.58
2018-10-05,61.05
2018-10-08,60.62
2018-10-09,59.49
2018-10-10,57.33
2018-10-11,57.03
2018-10-12,57.38
2018-10-15,57.68
2018-10-16,58.94
2018-10-17,59.2
2018-10-18,57.96
2018-10-19,58.13
2018-10-22,57.87
2018-10-23,57.48
2018-10-24,54.59
2018-10-25,49.91
2018-10-26,49.58
2018-10-29,47.91
2018-10-30,49.15
2018-10-31,49.1
2018-11-01,50.95
2018-11-02,51.82
2018-11-05,51.42
2018-11-06,51.86
2018-11-07,52.88
2018-11-08,52.72
2018-11-09,52.49
2018-11-12,51.89
2018-11-13,52.73
2018-11-14,52.48
2018-11-15,53.23
2018-11-16,52.58
2018-11-19,52.39
2018-11-20,51.57
2018-11-21,52.25
2018-11-23,52.68
2018-11-26,52.76
2018-11-27,52.79
2018-11-28,53.08
2018-11-29,53.23
2018-11-30,54.61
2018-12-03,54.37
2018-12-04,52.8
2018-12-06,53.6
2018-12-07,51.36
2018-12-10,51.14
2018-12-11,51.08
2018-12-12,50.9
2018-12-13,50.34
2018-12-14,50.09
2018-12-17,49.39
2018-12-18,49.6
2018-12-19,48.78
2018-12-20,47.07
2018-12-21,45.95
2018-12-24,44.4
2018-12-26,46.72
2018-12-27,46.8
2018-12-28,46.76
2018-12-31,46.48
2019-01-02,47.14
2019-01-03,45.61
2019-01-04,47.86
2019-01-07,47.87
2019-01-08,47.54
2019-01-09,49.08
2019-01-10,48.99
2019-01-11,48.52
2019-01-14,48.76
2019-01-15,49.61
2019-01-16,49.78
2019-01-17,50.59
2019-01-18,51.57
2019-01-22,50.54
2019-01-23,51.02
2019-01-24,54.21
2019-01-25,54.98
2019-01-28,55.52
2019-01-29,56.37
2019-01-30,57.49
2019-01-31,56.76
2019-02-01,57.13
2019-02-04,58.29
2019-02-05,57.88
2019-02-06,57.61
2019-02-07,57.48
2019-02-08,57.65
2019-02-11,58.28
2019-02-12,57.7
2019-02-13,58.0
2019-02-14,58.0
2019-02-15,57.7
2019-02-19,57.67
2019-02-20,54.41
2019-02-21,54.31
2019-02-22,53.62
2019-02-25,53.96
2019-02-26,53.69
2019-02-27,53.85
2019-02-28,56.04
2019-03-01,54.34
2019-03-04,53.83
2019-03-05,53.39
2019-03-06,53.06
2019-03-07,52.43
2019-03-08,51.77
2019-03-11,51.61
2019-03-12,50.4
2019-03-13,50.61
2019-03-14,51.16
2019-03-15,51.37
2019-03-18,51.08
2019-03-19,50.74
2019-03-20,49.7
2019-03-21,50.74
2019-03-22,49.32
2019-03-25,48.69
2019-03-26,48.75
2019-03-27,49.83
2019-03-28,50.45
2019-03-29,51.91
2019-04-01,52.41
2019-04-02,52.71
2019-04-03,52.89
2019-04-04,53.18
2019-04-05,53.25
2019-04-08,51.94
2019-04-09,51.89
2019-04-10,52.62
2019-04-11,53.0
2019-04-12,53.13
2019-04-15,52.29
2019-04-16,52.78
2019-04-17,52.76
2019-04-18,52.18
2019-04-22,51.71
2019-04-23,52.79
2019-04-24,52.93
2019-04-25,53.35
2019-04-26,52.98
2019-04-29,53.83
2019-04-30,54.23
2019-05-01,53.9
2019-05-02,53.37
2019-05-03,53.62
2019-05-06,53.48
2019-05-07,52.21
2019-05-08,52.41
2019-05-09,52.46
2019-05-10,52.74
2019-05-13,51.04
2019-05-14,51.65
2019-05-15,52.01
2019-05-16,52.59
2019-05-17,52.24
2019-05-20,52.01
2019-05-21,53.37
2019-05-22,52.57
2019-05-23,50.96
2019-05-24,51.15
2019-05-28,50.03
2019-05-29,49.56
2019-05-30,49.39
2019-05-31,47.6
2019-06-03,47.79
2019-06-04,48.95
2019-06-05,50.22
2019-06-06,49.98
2019-06-07,50.37
2019-06-10,50.3
2019-06-11,50.58
2019-06-12,50.81
2019-06-13,52.38
2019-06-14,51.82
2019-06-17,51.18
2019-06-18,51.7
2019-06-19,51.51
2019-06-20,51.52
2019-06-21,51.25
2019-06-24,51.22
2019-06-25,51.0
2019-06-26,50.7
2019-06-27,50.74
2019-06-28,50.78
2019-07-01,51.54
2019-07-02,51.43
2019-07-03,51.89
2019-07-05,51.88
2019-07-08,52.08
2019-07-09,51.69
2019-07-10,51.86
2019-07-11,51.84
2019-07-12,52.51
2019-07-15,52.26
2019-07-16,53.28
2019-07-17,52.3
2019-07-18,52.44
2019-07-19,52.02
2019-07-22,52.68
2019-07-23,54.12
2019-07-24,54.72
2019-07-25,54.91
2019-07-26,53.25
2019-07-29,52.88
2019-07-30,52.55
2019-07-31,51.53
2019-08-01,50.96
2019-08-02,50.62
2019-08-05,48.96
2019-08-06,49.71
2019-08-07,49.93
2019-08-08,50.49
2019-08-09,50.45
2019-08-12,50.05
2019-08-13,49.92
2019-08-14,48.76
2019-08-15,48.21
2019-08-16,49.79
2019-08-19,50.64
2019-08-20,50.02
2019-08-21,50.59
2019-08-22,51.19
2019-08-23,50.56
2019-08-26,50.69
2019-08-27,50.49
2019-08-28,51.16
2019-08-29,52.3
2019-08-30,52.32
2019-09-03,51.38
2019-09-04,52.1
2019-09-05,52.52
2019-09-06,52.14
2019-09-09,53.08
2019-09-10,53.38
2019-09-11,54.71
2019-09-12,54.98
2019-09-13,55.79
2019-09-16,55.81
2019-09-17,55.73
2019-09-18,56.23
2019-09-19,55.08
2019-09-20,54.49
2019-09-23,54.48
2019-09-24,54.73
2019-09-25,54.82
2019-09-26,54.58
2019-09-27,54.34
2019-09-30,54.01
2019-10-01,53.37
2019-10-02,52.04
2019-10-03,52.26
2019-10-04,52.79
2019-10-07,53.04
2019-10-08,53.03
2019-10-09,53.49
2019-10-10,53.67
2019-10-11,53.92
2019-10-14,54.03
2019-10-15,54.16
2019-10-16,53.67
2019-10-17,53.86
2019-10-18,53.48
2019-10-21,53.23
2019-10-22,52.92
2019-10-23,53.24
2019-10-24,56.29
2019-10-25,56.74
2019-10-28,57.64
2019-10-29,57.21
2019-10-30,57.04
2019-10-31,56.13
2019-11-01,56.26
2019-11-04,56.98
2019-11-05,57.88
2019-11-06,57.86
2019-11-07,58.24
2019-11-08,58.18
2019-11-11,58.26
2019-11-12,57.85
2019-11-13,57.59
2019-11-14,57.63
2019-11-15,57.79
2019-11-18,57.78
2019-11-19,57.55
2019-11-20,56.83
2019-11-21,56.59
2019-11-22,57.01
2019-11-25,57.56
2019-11-26,57.59
2019-11-27,57.75
2019-11-29,57.64
2019-12-02,56.72
2019-12-03,55.93
2019-12-04,55.78
2019-12-05,55.53
2019-12-06,55.94
2019-12-09,55.47
2019-12-10,54.91
2019-12-11,54.0
2019-12-12,54.49
2019-12-13,54.15
2019-12-16,54.35
2019-12-17,54.18
2019-12-18,53.6
2019-12-19,54.08
2019-12-20,54.63
2019-12-23,55.25
2019-12-24,54.94
2019-12-26,54.9
2019-12-27,54.32
2019-12-30,54.08
2019-12-31,53.98
2020-01-02,54.84
2020-01-03,54.35
2020-01-06,54.13
2020-01-07,54.29
2020-01-08,54.37
2020-01-09,54.3
2020-01-10,53.94
2020-01-13,53.99
2020-01-14,54.49
2020-01-15,55.03
2020-01-16,55.3
2020-01-17,55.01
2020-01-21,53.54
2020-01-22,53.48
2020-01-23,55.4
2020-01-24,56.55
2020-01-27,56.25
2020-01-28,57.6
2020-01-29,56.89
2020-01-30,55.83
2020-01-31,54.98
2020-02-03,55.22
2020-02-04,55.68
2020-02-05,56.95
2020-02-06,57.72
2020-02-07,57.26
2020-02-10,57.42
2020-02-11,57.93
2020-02-12,58.48
2020-02-13,58.54
2020-02-14,57.97
2020-02-18,57.6
2020-02-19,57.11
2020-02-20,56.94
2020-02-21,56.53
2020-02-24,54.11
2020-02-25,49.66
2020-02-26,48.9
2020-02-27,46.63
2020-02-28,46.19
2020-03-02,46.95
2020-03-03,45.21
2020-03-04,46.93
2020-03-05,45.25
2020-03-06,45.73
2020-03-09,43.62
2020-03-10,45.56
2020-03-11,42.49
2020-03-12,36.07
2020-03-13,41.28
2020-03-16,37.52
2020-03-17,38.25
2020-03-18,35.15
2020-03-19,30.86
2020-03-20,31.94
2020-03-23,33.73
2020-03-24,37.66
2020-03-25,39.4
2020-03-26,41.23
2020-03-27,36.38
2020-03-30,35.1
2020-03-31,35.61
2020-04-01,32.04
2020-04-02,31.5
2020-04-03,30.54
2020-04-06,30.7
2020-04-07,32.77
2020-04-08,34.3
2020-04-09,36.47
2020-04-13,34.26
2020-04-14,34.78
2020-04-15,32.82
2020-04-16,30.68
2020-04-17,31.19
2020-04-20,31.06
2020-04-21,30.11
2020-04-22,29.71
2020-04-23,30.14
2020-04-24,29.33
2020-04-27,29.11
2020-04-28,29.69
2020-04-29,30.97
2020-04-30,31.25
2020-05-01,29.23
2020-05-04,27.56
2020-05-05,26.42
2020-05-06,24.93
