Date,Close
2017-01-03,22.77
2017-01-04,23.01
2017-01-05,23.09
2017-01-06,22.81
2017-01-09,22.2
2017-01-10,21.75
2017-01-11,22.0
2017-01-12,21.56
2017-01-13,22.25
2017-01-17,21.97
2017-01-18,21.73
2017-01-19,21.67
2017-01-20,21.75
2017-01-23,21.76
2017-01-24,21.86
2017-01-25,21.57
2017-01-26,21.33
2017-01-27,21.15
2017-01-30,21.22
2017-01-31,21.3
2017-02-01,20.91
2017-02-02,20.91
2017-02-03,21.32
2017-02-06,21.37
2017-02-07,21.54
2017-02-08,21.83
2017-02-09,21.89
2017-02-10,22.0
2017-02-13,21.71
2017-02-14,21.69
2017-02-15,21.67
2017-02-16,21.73
2017-02-17,21.82
2017-02-21,22.0
2017-02-22,21.97
2017-02-23,21.96
2017-02-24,21.78
2017-02-27,21.05
2017-02-28,20.72
2017-03-01,21.0
2017-03-02,23.68
2017-03-03,24.02
2017-03-06,23.49
2017-03-07,23.35
2017-03-08,23.68
2017-03-09,23.5
2017-03-10,23.41
2017-03-13,23.22
2017-03-14,23.14
2017-03-15,23.55
2017-03-16,23.44
2017-03-17,23.24
2017-03-20,23.4
2017-03-21,23.34
2017-03-22,23.57
2017-03-23,23.28
2017-03-24,23.47
2017-03-27,23.45
2017-03-28,23.5
2017-03-29,23.62
2017-03-30,23.13
2017-03-31,23.08
2017-04-03,22.88
2017-04-04,23.01
2017-04-05,22.97
2017-04-06,22.88
2017-04-07,22.92
2017-04-10,22.91
2017-04-11,22.68
2017-04-12,22.7
2017-04-13,22.45
2017-04-17,22.5
2017-04-18,22.66
2017-04-19,22.55
2017-04-20,22.87
2017-04-21,22.7
2017-04-24,22.74
2017-04-25,22.68
2017-04-26,22.56
2017-04-27,22.65
2017-04-28,22.69
2017-05-01,22.28
2017-05-02,22.34
2017-05-03,22.47
2017-05-04,22.97
2017-05-05,23.73
2017-05-08,24.24
2017-05-09,24.0
2017-05-10,23.92
2017-05-11,23.94
2017-05-12,23.81
2017-05-15,23.73
2017-05-16,23.41
2017-05-17,23.4
2017-05-18,23.41
2017-05-19,23.84
2017-05-22,24.17
2017-05-23,24.72
2017-05-24,24.95
2017-05-25,25.38
2017-05-26,25.45
2017-05-30,25.36
2017-05-31,25.28
2017-06-01,25.49
2017-06-02,25.64
2017-06-05,25.56
2017-06-06,25.38
2017-06-07,25.42
2017-06-08,25.24
2017-06-09,25.03
2017-06-12,25.32
2017-06-13,25.28
2017-06-14,25.38
2017-06-15,25.65
2017-06-16,25.16
2017-06-19,25.43
2017-06-20,25.42
2017-06-21,25.59
2017-06-22,25.42
2017-06-23,26.0
2017-06-26,25.76
2017-06-27,25.15
2017-06-28,25.53
2017-06-29,24.96
2017-06-30,24.84
2017-07-03,24.86
2017-07-05,24.75
2017-07-06,25.17
2017-07-07,25.35
2017-07-10,25.25
2017-07-11,24.99
2017-07-12,25.21
2017-07-13,25.41
2017-07-14,25.83
2017-07-17,25.77
2017-07-18,25.92
2017-07-19,26.12
2017-07-20,26.18
2017-07-21,26.29
2017-07-24,26.37
2017-07-25,26.7
2017-07-26,26.79
2017-07-27,27.01
2017-07-28,26.71
2017-07-31,26.38
2017-08-01,26.56
2017-08-02,26.52
