Date,Close
2017-01-03,57.35
2017-01-04,57.34
2017-01-05,57.32
2017-01-06,57.47
2017-01-09,58.26
2017-01-10,57.14
2017-01-11,58.77
2017-01-12,59.32
2017-01-13,59.44
2017-01-17,58.62
2017-01-18,58.33
2017-01-19,57.53
2017-01-20,59.62
2017-01-23,58.94
2017-01-24,58.37
2017-01-25,58.24
2017-01-26,58.36
2017-01-27,58.88
2017-01-30,58.58
2017-01-31,59.11
2017-02-01,59.21
2017-02-02,61.2
2017-02-03,61.3
2017-02-06,61.92
2017-02-07,61.22
2017-02-08,61.33
2017-02-09,61.4
2017-02-10,61.17
2017-02-13,61.76
2017-02-14,62.61
2017-02-15,62.13
2017-02-16,62.23
2017-02-17,62.35
2017-02-21,62.44
2017-02-22,62.26
2017-02-23,62.79
2017-02-24,63.09
2017-02-27,62.79
2017-02-28,62.81
2017-03-01,63.13
2017-03-02,63.01
2017-03-03,63.49
2017-03-06,63.38
2017-03-07,62.89
2017-03-08,62.74
2017-03-09,62.83
2017-03-10,62.55
2017-03-13,61.17
2017-03-14,61.22
2017-03-15,61.69
2017-03-16,61.2
2017-03-17,60.93
2017-03-20,61.13
2017-03-21,60.94
2017-03-22,60.55
2017-03-23,60.34
2017-03-24,60.24
2017-03-27,60.25
2017-03-28,60.4
2017-03-29,60.68
2017-03-30,60.5
2017-03-31,60.59
2017-04-03,60.52
2017-04-04,60.71
2017-04-05,60.62
2017-04-06,60.3
2017-04-07,60.2
2017-04-10,59.64
2017-04-11,59.67
2017-04-12,60.12
2017-04-13,59.7
2017-04-17,59.88
2017-04-18,59.38
2017-04-19,59.73
2017-04-20,59.64
2017-04-21,59.01
2017-04-24,59.25
2017-04-25,59.4
2017-04-26,59.79
2017-04-27,59.67
2017-04-28,59.43
2017-05-01,59.48
2017-05-02,59.79
2017-05-03,60.67
2017-05-04,60.43
2017-05-05,61.0
2017-05-08,61.04
2017-05-09,60.35
2017-05-10,60.97
2017-05-11,61.44
2017-05-12,60.62
2017-05-15,60.56
2017-05-16,60.83
2017-05-17,60.07
2017-05-18,60.92
2017-05-19,60.82
2017-05-22,61.06
2017-05-23,61.55
2017-05-24,61.91
2017-05-25,62.02
2017-05-26,61.9
2017-05-30,61.86
2017-05-31,62.08
2017-06-01,62.23
2017-06-02,62.43
2017-06-05,62.05
2017-06-06,61.66
2017-06-07,61.08
2017-06-08,60.26
2017-06-09,61.4
2017-06-12,61.4
2017-06-13,60.33
2017-06-14,60.42
2017-06-15,60.25
2017-06-16,60.04
2017-06-19,60.72
2017-06-20,61.53
2017-06-21,62.42
2017-06-22,62.95
2017-06-23,63.09
2017-06-26,62.86
2017-06-27,62.49
2017-06-28,62.13
2017-06-29,61.35
2017-06-30,61.11
2017-07-03,61.28
2017-07-05,61.18
2017-07-06,60.17
2017-07-07,60.22
2017-07-10,59.91
2017-07-11,59.44
2017-07-12,59.86
2017-07-13,59.97
2017-07-14,60.13
2017-07-17,59.7
2017-07-18,59.51
2017-07-19,59.71
2017-07-20,60.01
2017-07-21,59.72
2017-07-24,59.66
2017-07-25,59.46
2017-07-26,58.93
2017-07-27,60.73
2017-07-28,61.13
