Date,Close
2017-01-03,42.79
2017-01-04,44.77
2017-01-05,44.55
2017-01-06,44.25
2017-01-09,44.39
2017-01-10,45.22
2017-01-11,45.75
2017-01-12,45.35
2017-01-13,44.95
2017-01-17,44.74
2017-01-18,45.67
2017-01-19,45.62
2017-01-20,45.63
2017-01-23,46.0
2017-01-24,46.84
2017-01-25,48.09
2017-01-26,49.33
2017-01-27,49.02
2017-01-30,48.03
2017-01-31,47.0
2017-02-01,48.08
2017-02-02,47.66
2017-02-03,47.74
2017-02-06,47.52
2017-02-07,47.7
2017-02-08,47.86
2017-02-09,48.06
2017-02-10,47.8
2017-02-13,47.87
2017-02-14,47.77
2017-02-15,47.92
2017-02-16,47.63
2017-02-17,47.69
2017-02-21,48.2
2017-02-22,51.64
2017-02-23,50.68
2017-02-24,50.02
2017-02-27,50.77
2017-02-28,50.7
2017-03-01,51.05
2017-03-02,50.98
2017-03-03,50.11
2017-03-06,49.76
2017-03-07,49.42
2017-03-08,49.52
2017-03-09,49.92
2017-03-10,51.1
2017-03-13,51.32
2017-03-14,50.96
2017-03-15,51.41
2017-03-16,51.43
2017-03-17,51.31
2017-03-20,51.1
2017-03-21,50.0
2017-03-22,50.97
2017-03-23,51.11
2017-03-24,50.48
2017-03-27,51.02
2017-03-28,51.3
2017-03-29,50.86
2017-03-30,51.24
2017-03-31,50.73
2017-04-03,50.19
2017-04-04,49.76
2017-04-05,49.78
2017-04-06,49.91
2017-04-07,48.31
2017-04-10,48.54
2017-04-11,47.47
2017-04-12,47.85
2017-04-13,48.03
2017-04-17,48.96
2017-04-18,48.82
2017-04-19,49.21
2017-04-20,50.14
2017-04-21,50.13
2017-04-24,50.35
2017-04-25,51.08
2017-04-26,52.76
2017-04-27,52.68
2017-04-28,53.93
2017-05-01,54.9
2017-05-02,55.06
2017-05-03,54.9
2017-05-04,54.84
2017-05-05,55.49
2017-05-08,55.1
2017-05-09,55.78
2017-05-10,54.07
2017-05-11,52.95
2017-05-12,51.5
2017-05-15,51.5
2017-05-16,50.31
2017-05-17,48.07
2017-05-18,49.12
2017-05-19,49.34
2017-05-22,50.51
2017-05-23,49.58
2017-05-24,49.64
2017-05-25,50.68
2017-05-26,50.84
2017-05-30,50.07
