Date,Close
2017-01-03,22.23
2017-01-04,22.57
2017-01-05,22.55
2017-01-06,22.82
2017-01-09,22.59
2017-01-10,22.4
2017-01-11,22.57
2017-01-12,22.47
2017-01-13,22.57
2017-01-17,22.33
2017-01-18,22.42
2017-01-19,22.35
2017-01-20,22.45
2017-01-23,22.44
2017-01-24,22.65
2017-01-25,22.78
2017-01-26,22.94
2017-01-27,22.79
2017-01-30,22.73
2017-01-31,23.51
2017-02-01,23.58
2017-02-02,23.56
2017-02-03,23.45
2017-02-06,23.25
2017-02-07,23.12
2017-02-08,22.96
2017-02-09,23.03
2017-02-10,23.26
2017-02-13,23.57
2017-02-14,23.59
2017-02-15,23.75
2017-02-16,23.78
2017-02-17,23.84
2017-02-21,23.79
2017-02-22,23.75
2017-02-23,23.82
2017-02-24,23.82
2017-02-27,23.72
2017-02-28,23.7
2017-03-01,24.06
2017-03-02,23.75
2017-03-03,23.7
2017-03-06,23.79
2017-03-07,23.64
2017-03-08,23.58
2017-03-09,23.69
2017-03-10,23.65
2017-03-13,23.59
2017-03-14,23.57
2017-03-15,23.61
2017-03-16,23.72
2017-03-17,23.63
2017-03-20,23.59
2017-03-21,23.25
2017-03-22,23.23
2017-03-23,23.24
2017-03-24,23.28
2017-03-27,23.0
2017-03-28,23.05
2017-03-29,22.89
2017-03-30,23.13
2017-03-31,23.15
2017-04-03,22.97
2017-04-04,22.88
2017-04-05,23.03
2017-04-06,23.04
2017-04-07,23.07
2017-04-10,23.12
2017-04-11,23.0
2017-04-12,22.89
2017-04-13,22.7
2017-04-17,23.03
2017-04-18,23.03
2017-04-19,23.06
2017-04-20,23.37
2017-04-21,23.3
2017-04-24,23.48
2017-04-25,23.51
2017-04-26,23.18
2017-04-27,22.89
2017-04-28,22.96
2017-05-01,22.81
2017-05-02,22.79
2017-05-03,22.6
2017-05-04,22.65
2017-05-05,22.64
2017-05-08,22.34
2017-05-09,22.25
2017-05-10,22.25
2017-05-11,22.4
2017-05-12,22.52
2017-05-15,22.59
2017-05-16,22.46
2017-05-17,22.24
2017-05-18,22.25
2017-05-19,22.48
2017-05-22,22.64
2017-05-23,22.64
2017-05-24,22.56
2017-05-25,22.73
2017-05-26,22.53
2017-05-30,22.47
2017-05-31,22.55
2017-06-01,22.62
2017-06-02,22.5
2017-06-05,22.62
2017-06-06,22.75
2017-06-07,23.2
2017-06-08,23.4
2017-06-09,23.51
2017-06-12,23.47
2017-06-13,23.83
2017-06-14,23.68
2017-06-15,23.65
2017-06-16,23.72
2017-06-19,23.71
2017-06-20,23.42
2017-06-21,23.25
2017-06-22,23.18
2017-06-23,23.29
2017-06-26,23.43
2017-06-27,23.56
2017-06-28,23.88
2017-06-29,23.85
2017-06-30,23.83
2017-07-03,23.88
2017-07-05,23.89
2017-07-06,23.75
2017-07-07,23.88
2017-07-10,23.78
2017-07-11,23.73
2017-07-12,23.78
2017-07-13,23.85
2017-07-14,23.69
2017-07-17,23.83
2017-07-18,23.9
2017-07-19,23.94
2017-07-20,24.01
2017-07-21,24.25
2017-07-24,24.21
2017-07-25,24.25
2017-07-26,24.82
2017-07-27,24.78
2017-07-28,24.79
2017-07-31,24.79
2017-08-01,24.93
2017-08-02,24.89
2017-08-03,25.03
2017-08-04,25.04
2017-08-07,25.0
2017-08-08,25.08
2017-08-09,25.42
2017-08-10,25.31
2017-08-11,25.17
2017-08-14,25.6
2017-08-15,25.67
2017-08-16,25.71
2017-08-17,25.43
2017-08-18,24.97
2017-08-21,25.1
2017-08-22,25.48
2017-08-23,25.23
2017-08-24,24.98
2017-08-25,25.25
2017-08-28,25.21
2017-08-29,25.07
2017-08-30,25.03
2017-08-31,25.13
2017-09-01,25.12
2017-09-05,24.79
2017-09-06,24.73
2017-09-07,24.57
2017-09-08,24.78
2017-09-11,24.72
2017-09-12,25.01
2017-09-13,24.91
2017-09-14,24.9
2017-09-15,24.92
2017-09-18,25.03
2017-09-19,25.44
2017-09-20,25.58
2017-09-21,25.37
2017-09-22,25.47
2017-09-25,25.71
2017-09-26,25.46
2017-09-27,25.71
2017-09-28,25.88
2017-09-29,25.86
2017-10-02,25.93
2017-10-03,25.92
2017-10-04,25.86
2017-10-05,25.88
2017-10-06,24.63
2017-10-09,24.83
2017-10-10,24.85
2017-10-11,25.21
2017-10-12,24.97
2017-10-13,24.78
2017-10-16,24.7
2017-10-17,24.9
2017-10-18,24.87
2017-10-19,24.31
2017-10-20,24.31
2017-10-23,24.5
2017-10-24,24.48
2017-10-25,24.15
2017-10-26,24.1
2017-10-27,24.11
2017-10-30,24.13
2017-10-31,24.22
2017-11-01,24.14
2017-11-02,24.39
2017-11-03,24.13
2017-11-06,23.99
2017-11-07,24.01
2017-11-08,24.25
2017-11-09,24.58
2017-11-10,24.52
2017-11-13,25.14
2017-11-14,25.32
2017-11-15,25.31
2017-11-16,25.32
2017-11-17,25.32
2017-11-20,25.63
2017-11-21,25.75
2017-11-22,25.72
2017-11-24,25.75
2017-11-27,25.74
2017-11-28,26.11
2017-11-29,26.19
2017-11-30,26.39
2017-12-01,26.42
2017-12-04,26.31
2017-12-05,26.17
2017-12-06,26.11
2017-12-07,25.93
2017-12-08,26.26
2017-12-11,26.41
2017-12-12,26.42
2017-12-13,26.07
2017-12-14,25.82
2017-12-15,25.84
2017-12-18,25.66
2017-12-19,25.37
2017-12-20,25.02
2017-12-21,25.13
2017-12-22,25.36
2017-12-26,25.38
2017-12-27,25.45
2017-12-28,25.56
2017-12-29,25.61
2018-01-02,25.58
2018-01-03,25.89
2018-01-04,26.23
2018-01-05,26.4
2018-01-08,26.65
2018-01-09,26.72
2018-01-10,27.08
2018-01-11,26.82
2018-01-12,27.14
2018-01-16,26.81
2018-01-17,26.82
2018-01-18,26.61
2018-01-19,26.69
2018-01-22,26.88
2018-01-23,26.74
2018-01-24,27.06
2018-01-25,27.06
2018-01-26,27.12
2018-01-29,27.21
2018-01-30,27.28
2018-01-31,26.97
2018-02-01,27.12
2018-02-02,26.78
2018-02-05,25.82
2018-02-06,25.91
2018-02-07,25.76
2018-02-08,25.07
2018-02-09,25.37
2018-02-12,25.85
2018-02-13,26.17
2018-02-14,26.59
2018-02-15,26.79
2018-02-16,26.34
2018-02-20,26.27
2018-02-21,26.37
2018-02-22,26.07
2018-02-23,26.83
2018-02-26,27.22
2018-02-27,27.23
2018-02-28,26.92
2018-03-01,26.53
2018-03-02,26.86
2018-03-05,27.26
2018-03-06,27.97
2018-03-07,27.98
2018-03-08,28.29
2018-03-09,28.84
2018-03-12,28.63
2018-03-13,28.42
2018-03-14,28.12
2018-03-15,28.03
2018-03-16,27.99
2018-03-19,27.87
2018-03-20,28.05
2018-03-21,28.07
2018-03-22,27.34
2018-03-23,26.91
2018-03-26,27.83
2018-03-27,27.31
2018-03-28,27.83
2018-03-29,28.74
2018-04-02,28.51
2018-04-03,28.88
2018-04-04,28.74
2018-04-05,28.77
2018-04-06,28.4
2018-04-09,28.43
2018-04-10,28.65
2018-04-11,28.58
2018-04-12,28.87
2018-04-13,28.64
2018-04-16,28.66
2018-04-17,28.63
2018-04-18,28.55
2018-04-19,28.98
2018-04-20,29.14
2018-04-23,28.98
2018-04-24,28.75
2018-04-25,29.26
2018-04-26,29.39
2018-04-27,29.6
2018-04-30,29.44
2018-05-01,29.67
2018-05-02,29.3
2018-05-03,28.67
2018-05-04,29.23
2018-05-07,29.55
2018-05-08,29.45
2018-05-09,30.03
2018-05-10,30.12
2018-05-11,30.18
2018-05-14,30.13
2018-05-15,29.98
2018-05-16,30.08
2018-05-17,30.19
2018-05-18,30.02
2018-05-21,30.4
2018-05-22,30.5
2018-05-23,30.63
2018-05-24,30.87
2018-05-25,30.93
2018-05-29,30.73
2018-05-30,31.15
2018-05-31,30.62
2018-06-01,30.7
2018-06-04,31.04
2018-06-05,31.1
2018-06-06,31.62
2018-06-07,31.74
2018-06-08,31.71
2018-06-11,31.7
2018-06-12,31.77
2018-06-13,31.77
2018-06-14,31.59
2018-06-15,31.64
2018-06-18,31.4
2018-06-19,31.33
2018-06-20,31.3
2018-06-21,31.38
2018-06-22,31.2
2018-06-25,30.62
2018-06-26,30.55
2018-06-27,30.37
2018-06-28,30.52
2018-06-29,30.42
2018-07-02,30.56
2018-07-03,30.05
2018-07-05,30.11
2018-07-06,30.04
2018-07-09,30.39
2018-07-10,30.25
2018-07-11,30.46
2018-07-12,31.12
2018-07-13,31.04
2018-07-16,31.3
2018-07-17,31.48
2018-07-18,31.86
2018-07-19,31.67
2018-07-20,31.67
2018-07-23,31.84
2018-07-24,31.74
2018-07-25,31.37
2018-07-26,31.35
2018-07-27,31.89
2018-07-30,30.84
2018-07-31,30.47
2018-08-01,30.46
2018-08-02,30.58
2018-08-03,30.5
2018-08-06,30.65
2018-08-07,31.12
2018-08-08,30.99
2018-08-09,30.94
2018-08-10,30.71
2018-08-13,30.67
2018-08-14,30.85
2018-08-15,30.7
2018-08-16,30.9
2018-08-17,31.01
2018-08-20,31.05
2018-08-21,30.84
2018-08-22,30.95
2018-08-23,31.1
2018-08-24,31.58
2018-08-27,31.67
2018-08-28,31.7
2018-08-29,31.62
2018-08-30,31.5
2018-08-31,31.81
2018-09-04,32.25
2018-09-05,31.5
2018-09-06,31.03
2018-09-07,31.05
2018-09-10,31.13
2018-09-11,31.25
2018-09-12,30.51
2018-09-13,30.62
2018-09-14,30.24
2018-09-17,29.71
2018-09-18,30.03
2018-09-19,29.99
2018-09-20,29.95
2018-09-21,30.18
2018-09-24,29.96
2018-09-25,29.23
2018-09-26,28.64
2018-09-27,28.82
2018-09-28,28.6
2018-10-01,29.04
2018-10-02,28.64
2018-10-03,28.59
2018-10-04,28.61
2018-10-05,28.51
2018-10-08,28.31
2018-10-09,28.15
2018-10-10,27.32
2018-10-11,26.55
2018-10-12,26.67
2018-10-15,26.67
2018-10-16,27.31
2018-10-17,26.88
2018-10-18,26.65
2018-10-19,26.91
2018-10-22,27.0
2018-10-23,27.22
2018-10-24,27.16
2018-10-25,27.86
2018-10-26,27.84
2018-10-29,28.03
2018-10-30,28.61
2018-10-31,28.9
2018-11-01,29.0
2018-11-02,29.0
2018-11-05,29.59
2018-11-06,29.87
2018-11-07,30.25
2018-11-08,30.45
2018-11-09,30.13
2018-11-12,29.53
2018-11-13,29.55
2018-11-14,28.63
2018-11-15,29.36
2018-11-16,29.58
2018-11-19,29.66
2018-11-20,29.14
2018-11-21,29.09
2018-11-23,29.29
2018-11-26,29.81
2018-11-27,29.82
2018-11-28,29.98
2018-11-29,30.13
2018-11-30,30.44
2018-12-03,30.88
2018-12-04,30.13
2018-12-06,29.96
2018-12-07,29.12
2018-12-10,29.03
2018-12-11,29.1
2018-12-12,29.16
2018-12-13,29.01
2018-12-14,28.85
2018-12-17,28.42
2018-12-18,27.91
2018-12-19,27.67
2018-12-20,27.0
2018-12-21,26.5
2018-12-24,25.58
2018-12-26,26.42
2018-12-27,26.9
2018-12-28,26.84
2018-12-31,27.19
2019-01-02,27.0
2019-01-03,26.27
2019-01-04,27.32
2019-01-07,26.6
2019-01-08,26.53
2019-01-09,26.66
2019-01-10,26.85
2019-01-11,26.9
2019-01-14,26.84
2019-01-15,27.01
2019-01-16,27.65
2019-01-17,27.48
2019-01-18,27.71
2019-01-22,27.8
2019-01-23,28.24
2019-01-24,28.33
2019-01-25,28.56
2019-01-28,28.69
2019-01-29,28.6
2019-01-30,28.9
2019-01-31,29.35
2019-02-01,29.13
2019-02-04,28.99
2019-02-05,28.94
2019-02-06,28.98
2019-02-07,28.94
2019-02-08,29.02
2019-02-11,28.9
2019-02-12,29.19
2019-02-13,29.33
2019-02-14,29.05
2019-02-15,29.25
2019-02-19,29.27
2019-02-20,29.36
2019-02-21,29.36
2019-02-22,29.68
2019-02-25,30.05
2019-02-26,30.37
2019-02-27,30.27
2019-02-28,30.52
2019-03-01,30.66
2019-03-04,30.05
2019-03-05,29.58
2019-03-06,29.22
2019-03-07,28.66
2019-03-08,27.81
2019-03-11,28.01
2019-03-12,27.94
2019-03-13,28.35
2019-03-14,28.0
2019-03-15,27.85
2019-03-18,28.08
2019-03-19,28.05
2019-03-20,27.79
2019-03-21,28.12
2019-03-22,27.96
2019-03-25,28.3
2019-03-26,28.61
2019-03-27,28.7
2019-03-28,28.91
2019-03-29,29.16
2019-04-01,29.47
2019-04-02,29.67
2019-04-03,29.77
2019-04-04,29.73
2019-04-05,29.53
2019-04-08,29.59
2019-04-09,29.23
2019-04-10,29.17
2019-04-11,29.01
2019-04-12,29.27
2019-04-15,29.49
2019-04-16,29.92
2019-04-17,30.07
2019-04-18,30.0
2019-04-22,29.91
2019-04-23,29.88
2019-04-24,29.73
2019-04-25,29.81
2019-04-26,29.95
2019-04-29,30.48
2019-04-30,30.73
2019-05-01,30.77
2019-05-02,30.75
2019-05-03,30.71
2019-05-06,30.91
2019-05-07,30.3
2019-05-08,30.33
2019-05-09,30.39
2019-05-10,30.84
2019-05-13,30.3
2019-05-14,30.39
2019-05-15,30.25
2019-05-16,30.31
2019-05-17,30.1
2019-05-20,30.09
2019-05-21,30.43
2019-05-22,30.12
2019-05-23,30.01
2019-05-24,30.01
2019-05-28,29.99
2019-05-29,30.11
2019-05-30,30.22
2019-05-31,30.21
2019-06-03,30.24
2019-06-04,30.92
2019-06-05,32.06
2019-06-06,31.96
2019-06-07,32.05
2019-06-10,32.22
2019-06-11,31.75
2019-06-12,31.82
2019-06-13,31.81
2019-06-14,31.9
2019-06-17,31.72
2019-06-18,31.97
2019-06-19,32.17
2019-06-20,32.58
2019-06-21,32.76
2019-06-24,32.29
2019-06-25,32.67
2019-06-26,31.54
2019-06-27,32.06
2019-06-28,32.06
2019-07-01,32.38
2019-07-02,33.22
2019-07-03,33.81
2019-07-05,33.68
2019-07-08,33.61
2019-07-09,33.87
2019-07-10,34.34
2019-07-11,34.67
2019-07-12,34.76
2019-07-15,34.74
2019-07-16,34.43
2019-07-17,34.21
2019-07-18,34.38
2019-07-19,33.91
2019-07-22,33.93
2019-07-23,33.62
2019-07-24,32.74
2019-07-25,32.54
2019-07-26,32.69
2019-07-29,32.22
2019-07-30,32.27
2019-07-31,32.12
2019-08-01,32.55
2019-08-02,32.65
2019-08-05,31.45
2019-08-06,31.95
2019-08-07,32.04
2019-08-08,32.75
2019-08-09,32.85
2019-08-12,32.19
2019-08-13,32.64
2019-08-14,31.77
2019-08-15,32.33
2019-08-16,32.51
2019-08-19,33.14
2019-08-20,32.97
2019-08-21,33.11
2019-08-22,33.38
2019-08-23,32.51
2019-08-26,32.89
2019-08-27,32.76
2019-08-28,32.84
2019-08-29,33.26
2019-08-30,33.28
2019-09-03,33.18
2019-09-04,33.3
2019-09-05,34.01
2019-09-06,34.75
2019-09-09,34.28
2019-09-10,32.72
2019-09-11,32.73
2019-09-12,33.0
2019-09-13,33.17
2019-09-16,33.09
2019-09-17,34.24
2019-09-18,34.21
2019-09-19,33.89
2019-09-20,33.56
2019-09-23,33.42
2019-09-24,33.79
2019-09-25,34.25
2019-09-26,33.94
2019-09-27,33.36
2019-09-30,33.12
2019-10-01,32.86
2019-10-02,31.91
2019-10-03,32.38
2019-10-04,33.08
2019-10-07,33.0
2019-10-08,32.36
2019-10-09,32.44
2019-10-10,32.85
2019-10-11,33.1
2019-10-14,32.78
2019-10-15,32.64
2019-10-16,32.69
2019-10-17,32.78
2019-10-18,32.87
2019-10-21,32.72
2019-10-22,32.62
2019-10-23,33.77
2019-10-24,33.66
2019-10-25,32.81
2019-10-28,32.91
2019-10-29,32.88
2019-10-30,33.35
2019-10-31,33.26
2019-11-01,33.08
2019-11-04,32.86
2019-11-05,32.81
2019-11-06,33.31
2019-11-07,33.51
2019-11-08,33.55
2019-11-11,34.18
2019-11-12,34.15
2019-11-13,34.42
2019-11-14,34.42
2019-11-15,34.53
2019-11-18,34.87
2019-11-19,35.02
2019-11-20,35.23
2019-11-21,34.91
2019-11-22,34.79
2019-11-25,34.88
2019-11-26,34.94
