Date,Close
2017-01-03,12.3
2017-01-04,13.03
2017-01-05,13.28
2017-01-06,13.36
2017-01-09,13.47
2017-01-10,13.62
2017-01-11,14.1
2017-01-12,14.38
2017-01-13,14.6
2017-01-17,15.34
2017-01-18,15.26
2017-01-19,15.56
2017-01-20,16.11
2017-01-23,16.21
2017-01-24,16.37
2017-01-25,16.44
2017-01-26,16.46
2017-01-27,16.45
2017-01-30,16.26
2017-01-31,16.54
2017-02-01,16.34
2017-02-02,16.71
2017-02-03,17.08
2017-02-06,16.7
2017-02-07,16.27
2017-02-08,16.36
2017-02-09,16.42
2017-02-10,16.66
2017-02-13,16.75
2017-02-14,16.79
2017-02-15,17.49
2017-02-16,17.11
2017-02-17,17.1
2017-02-21,17.12
2017-02-22,16.83
2017-02-23,17.04
2017-02-24,17.46
2017-02-27,16.77
2017-02-28,16.56
2017-03-01,16.85
2017-03-02,17.03
2017-03-03,17.3
2017-03-06,17.36
2017-03-07,17.1
2017-03-08,17.17
2017-03-09,17.86
2017-03-10,17.86
2017-03-13,17.33
2017-03-14,17.01
2017-03-15,17.46
2017-03-16,17.89
2017-03-17,18.06
2017-03-20,18.33
2017-03-21,18.24
2017-03-22,18.01
2017-03-23,18.14
2017-03-24,18.16
2017-03-27,18.18
2017-03-28,18.11
2017-03-29,18.73
2017-03-30,18.37
2017-03-31,18.7
2017-04-03,18.73
2017-04-04,18.88
2017-04-05,18.69
2017-04-06,18.9
2017-04-07,18.51
2017-04-10,18.76
2017-04-11,18.71
2017-04-12,18.73
2017-04-13,18.39
2017-04-17,18.45
2017-04-18,18.44
2017-04-19,17.88
2017-04-20,17.24
2017-04-21,17.07
2017-04-24,17.3
2017-04-25,17.01
2017-04-26,17.28
2017-04-27,16.84
2017-04-28,16.9
2017-05-01,16.67
2017-05-02,15.77
2017-05-03,14.98
2017-05-04,14.6
2017-05-05,15.03
2017-05-08,14.79
2017-05-09,14.72
2017-05-10,15.13
2017-05-11,15.27
2017-05-12,15.07
2017-05-15,15.08
2017-05-16,14.92
2017-05-17,15.05
2017-05-18,15.24
2017-05-19,15.71
2017-05-22,15.96
2017-05-23,15.88
2017-05-24,16.76
2017-05-25,16.45
2017-05-26,16.47
2017-05-30,16.21
2017-05-31,16.06
2017-06-01,16.76
2017-06-02,16.92
2017-06-05,16.7
2017-06-06,16.78
2017-06-07,16.4
2017-06-08,16.4
2017-06-09,16.69
2017-06-12,16.71
2017-06-13,16.94
2017-06-14,16.47
2017-06-15,16.61
2017-06-16,16.91
2017-06-19,16.95
2017-06-20,16.76
2017-06-21,16.78
2017-06-22,17.23
2017-06-23,17.39
2017-06-26,17.64
2017-06-27,17.21
2017-06-28,17.32
2017-06-29,17.02
2017-06-30,17.22
2017-07-03,17.17
2017-07-05,16.8
2017-07-06,16.36
2017-07-07,16.24
2017-07-10,16.12
2017-07-11,16.3
2017-07-12,21.09
2017-07-13,22.2
2017-07-14,23.24
2017-07-17,22.92
2017-07-18,23.42
2017-07-19,24.0
2017-07-20,24.11
2017-07-21,24.49
2017-07-24,25.28
2017-07-25,25.01
2017-07-26,24.67
2017-07-27,24.61
2017-07-28,25.17
2017-07-31,24.62
2017-08-01,24.53
2017-08-02,24.47
2017-08-03,23.98
2017-08-04,24.45
2017-08-07,24.5
2017-08-08,24.25
2017-08-09,24.33
2017-08-10,24.39
2017-08-11,24.67
2017-08-14,25.47
2017-08-15,25.47
2017-08-16,25.67
2017-08-17,25.25
2017-08-18,25.77
2017-08-21,25.72
2017-08-22,25.86
2017-08-23,25.61
2017-08-24,25.43
2017-08-25,24.58
2017-08-28,24.57
2017-08-29,24.95
2017-08-30,24.85
2017-08-31,24.91
2017-09-01,24.81
2017-09-05,24.4
2017-09-06,23.94
2017-09-07,24.13
2017-09-08,23.92
2017-09-11,23.88
2017-09-12,23.88
2017-09-13,23.56
2017-09-14,23.1
2017-09-15,22.93
2017-09-18,23.84
2017-09-19,24.62
2017-09-20,24.14
2017-09-21,24.19
2017-09-22,23.94
2017-09-25,23.39
2017-09-26,24.1
2017-09-27,24.9
2017-09-28,24.9
2017-09-29,25.59
2017-10-02,25.58
2017-10-03,25.89
2017-10-04,25.77
2017-10-05,25.57
2017-10-06,25.49
2017-10-09,25.74
2017-10-10,25.69
2017-10-11,25.47
2017-10-12,25.68
2017-10-13,26.06
2017-10-16,26.62
2017-10-17,26.0
2017-10-18,25.95
2017-10-19,25.54
2017-10-20,25.4
2017-10-23,24.89
2017-10-24,25.11
2017-10-25,24.92
2017-10-26,24.77
2017-10-27,25.34
2017-10-30,25.01
2017-10-31,25.0
2017-11-01,24.84
2017-11-02,25.97
2017-11-03,27.62
2017-11-06,28.25
2017-11-07,28.42
2017-11-08,28.02
2017-11-09,27.82
2017-11-10,28.35
