Date,Close
2017-01-03,2.55
2017-01-04,2.61
2017-01-05,2.54
2017-01-06,2.58
2017-01-09,2.68
2017-01-10,2.66
2017-01-11,2.63
2017-01-12,2.59
2017-01-13,2.59
2017-01-17,2.53
2017-01-18,2.57
2017-01-19,2.63
2017-01-20,2.6
2017-01-23,2.63
2017-01-24,2.68
2017-01-25,2.69
2017-01-26,2.74
2017-01-27,2.79
2017-01-30,2.75
2017-01-31,2.73
2017-02-01,2.85
2017-02-02,2.88
2017-02-03,2.86
2017-02-06,2.93
2017-02-07,2.98
2017-02-08,2.97
2017-02-09,2.91
2017-02-10,2.84
2017-02-13,2.71
2017-02-14,2.72
2017-02-15,2.73
2017-02-16,2.68
2017-02-17,2.68
2017-02-21,2.78
2017-02-22,2.77
2017-02-23,2.51
2017-02-24,2.54
2017-02-27,2.61
2017-02-28,2.54
2017-03-01,2.57
2017-03-02,2.48
2017-03-03,2.46
2017-03-06,2.44
2017-03-07,2.47
2017-03-08,2.46
2017-03-09,2.46
2017-03-10,2.48
2017-03-13,2.55
2017-03-14,2.54
2017-03-15,2.56
2017-03-16,2.6
2017-03-17,2.65
2017-03-20,2.74
2017-03-21,2.65
2017-03-22,2.7
2017-03-23,2.68
2017-03-24,2.69
2017-03-27,2.71
2017-03-28,2.69
2017-03-29,2.68
2017-03-30,2.74
2017-03-31,2.72
2017-04-03,2.71
2017-04-04,2.52
2017-04-05,2.5
2017-04-06,2.52
2017-04-07,2.51
2017-04-10,2.44
2017-04-11,2.45
2017-04-12,2.43
2017-04-13,2.39
2017-04-17,2.48
2017-04-18,2.48
2017-04-19,2.49
2017-04-20,2.53
2017-04-21,2.54
2017-04-24,2.57
2017-04-25,2.62
2017-04-26,2.6
2017-04-27,2.64
2017-04-28,2.61
2017-05-01,2.67
2017-05-02,2.59
2017-05-03,2.61
2017-05-04,2.6
2017-05-05,2.6
2017-05-08,2.57
2017-05-09,2.57
2017-05-10,3.03
2017-05-11,3.16
2017-05-12,3.2
2017-05-15,3.36
2017-05-16,3.42
2017-05-17,3.19
2017-05-18,3.33
2017-05-19,3.4
2017-05-22,3.47
2017-05-23,3.43
2017-05-24,3.46
2017-05-25,3.46
2017-05-26,3.55
2017-05-30,3.62
2017-05-31,3.61
2017-06-01,3.61
2017-06-02,3.59
2017-06-05,3.7
2017-06-06,3.68
2017-06-07,3.73
2017-06-08,4.0
2017-06-09,3.74
2017-06-12,3.75
2017-06-13,3.79
2017-06-14,3.79
2017-06-15,3.81
2017-06-16,3.79
2017-06-19,3.93
2017-06-20,3.93
2017-06-21,3.99
2017-06-22,3.96
2017-06-23,3.85
2017-06-26,3.8
2017-06-27,3.66
2017-06-28,3.79
2017-06-29,3.67
2017-06-30,3.61
2017-07-03,3.48
2017-07-05,3.58
2017-07-06,3.59
2017-07-07,3.67
2017-07-10,3.84
2017-07-11,3.9
2017-07-12,4.06
2017-07-13,4.02
2017-07-14,4.12
2017-07-17,4.11
2017-07-18,4.15
2017-07-19,4.13
2017-07-20,4.19
2017-07-21,4.2
2017-07-24,4.15
2017-07-25,4.13
2017-07-26,4.18
2017-07-27,4.04
2017-07-28,4.11
2017-07-31,4.06
2017-08-01,4.11
2017-08-02,4.11
2017-08-03,4.16
2017-08-04,4.18
2017-08-07,4.31
2017-08-08,4.26
2017-08-09,4.3
2017-08-10,4.12
2017-08-11,3.9
2017-08-14,4.21
2017-08-15,4.17
2017-08-16,4.13
2017-08-17,4.04
2017-08-18,4.04
2017-08-21,3.98
2017-08-22,4.06
2017-08-23,4.14
2017-08-24,4.13
2017-08-25,4.1
2017-08-28,4.12
2017-08-29,4.12
2017-08-30,4.14
2017-08-31,4.24
2017-09-01,4.26
2017-09-05,4.15
2017-09-06,4.15
2017-09-07,4.16
2017-09-08,4.09
2017-09-11,4.22
2017-09-12,4.24
2017-09-13,4.26
2017-09-14,4.24
2017-09-15,4.5
2017-09-18,4.69
2017-09-19,4.68
2017-09-20,4.65
2017-09-21,4.52
2017-09-22,4.47
2017-09-25,4.28
2017-09-26,4.3
2017-09-27,4.39
2017-09-28,4.39
2017-09-29,4.47
2017-10-02,4.47
2017-10-03,4.48
2017-10-04,4.52
2017-10-05,4.52
2017-10-06,4.53
2017-10-09,4.63
2017-10-10,4.72
2017-10-11,4.77
2017-10-12,4.78
2017-10-13,4.86
2017-10-16,4.95
2017-10-17,4.94
2017-10-18,4.94
2017-10-19,4.95
2017-10-20,4.92
2017-10-23,4.92
2017-10-24,4.97
2017-10-25,4.84
2017-10-26,4.89
2017-10-27,5.05
2017-10-30,5.1
2017-10-31,5.17
2017-11-01,5.18
2017-11-02,5.15
2017-11-03,5.22
2017-11-06,5.24
2017-11-07,5.3
2017-11-08,5.23
2017-11-09,5.13
2017-11-10,5.4
2017-11-13,5.32
2017-11-14,5.35
2017-11-15,5.25
2017-11-16,5.29
2017-11-17,5.28
2017-11-20,5.35
2017-11-21,5.4
2017-11-22,5.37
2017-11-24,5.42
2017-11-27,5.35
2017-11-28,5.27
2017-11-29,4.91
2017-11-30,5.02
2017-12-01,4.94
2017-12-04,4.67
2017-12-05,4.69
2017-12-06,4.73
2017-12-07,4.8
2017-12-08,4.79
2017-12-11,4.87
2017-12-12,4.77
2017-12-13,4.65
2017-12-14,4.66
2017-12-15,4.79
2017-12-18,4.95
2017-12-19,4.9
2017-12-20,4.92
2017-12-21,4.9
2017-12-22,4.88
2017-12-26,4.94
2017-12-27,4.93
2017-12-28,4.93
2017-12-29,4.84
2018-01-02,4.98
2018-01-03,5.31
2018-01-04,5.34
2018-01-05,5.39
2018-01-08,5.55
2018-01-09,5.55
2018-01-10,5.59
2018-01-11,5.6
2018-01-12,5.57
2018-01-16,5.5
2018-01-17,5.62
2018-01-18,5.61
2018-01-19,5.75
2018-01-22,5.84
2018-01-23,5.97
2018-01-24,5.9
2018-01-25,5.91
2018-01-26,6.08
2018-01-29,6.17
2018-01-30,6.07
2018-01-31,6.15
2018-02-01,6.01
2018-02-02,5.84
2018-02-05,5.34
2018-02-06,5.64
2018-02-07,5.72
2018-02-08,5.44
2018-02-09,5.8
2018-02-12,5.7
2018-02-13,5.82
2018-02-14,6.04
2018-02-15,6.16
