Date,Close
2017-01-03,44.92
2017-01-04,46.51
2017-01-05,46.68
2017-01-06,46.86
2017-01-09,46.94
2017-01-10,46.97
2017-01-11,46.88
2017-01-12,47.12
2017-01-13,47.0
2017-01-17,47.71
2017-01-18,47.55
2017-01-19,45.97
2017-01-20,46.08
2017-01-23,46.42
2017-01-24,47.18
2017-01-25,46.92
2017-01-26,46.35
2017-01-27,46.13
2017-01-30,46.28
2017-01-31,47.33
2017-02-01,47.45
2017-02-02,47.81
2017-02-03,46.89
2017-02-06,44.23
2017-02-07,45.52
2017-02-08,46.17
2017-02-09,46.33
2017-02-10,46.99
2017-02-13,47.06
2017-02-14,47.53
2017-02-15,47.27
2017-02-16,46.88
2017-02-17,46.64
2017-02-21,46.49
2017-02-22,47.25
2017-02-23,46.99
2017-02-24,48.67
2017-02-27,49.49
2017-02-28,49.03
2017-03-01,49.6
2017-03-02,49.33
2017-03-03,49.34
2017-03-06,48.98
2017-03-07,48.53
2017-03-08,48.75
2017-03-09,48.44
2017-03-10,48.67
2017-03-13,48.55
2017-03-14,47.94
2017-03-15,48.96
2017-03-16,48.41
2017-03-17,48.42
2017-03-20,48.57
2017-03-21,48.48
2017-03-22,48.09
2017-03-23,47.89
2017-03-24,47.67
2017-03-27,47.71
2017-03-28,47.7
2017-03-29,47.73
2017-03-30,47.36
2017-03-31,47.17
2017-04-03,46.98
2017-04-04,46.18
2017-04-05,45.9
2017-04-06,46.1
2017-04-07,46.22
2017-04-10,46.77
2017-04-11,46.27
2017-04-12,46.17
2017-04-13,46.02
2017-04-17,46.47
2017-04-18,46.27
2017-04-19,46.31
2017-04-20,47.1
2017-04-21,47.35
2017-04-24,48.0
2017-04-25,48.52
2017-04-26,49.06
2017-04-27,48.65
2017-04-28,47.74
2017-05-01,46.0
2017-05-02,45.97
2017-05-03,45.48
2017-05-04,45.85
2017-05-05,46.39
2017-05-08,51.93
2017-05-09,52.88
2017-05-10,53.08
2017-05-11,53.46
2017-05-12,52.69
2017-05-15,53.0
2017-05-16,53.07
2017-05-17,52.17
2017-05-18,51.87
2017-05-19,52.8
2017-05-22,52.79
2017-05-23,52.84
2017-05-24,52.81
2017-05-25,53.28
2017-05-26,53.19
2017-05-30,53.34
2017-05-31,52.95
2017-06-01,53.01
2017-06-02,53.35
2017-06-05,53.09
2017-06-06,52.73
2017-06-07,52.95
2017-06-08,53.03
2017-06-09,53.24
2017-06-12,52.75
2017-06-13,53.78
2017-06-14,54.78
2017-06-15,54.59
2017-06-16,54.85
2017-06-19,54.54
2017-06-20,53.35
2017-06-21,52.57
2017-06-22,52.19
2017-06-23,53.1
2017-06-26,53.34
2017-06-27,53.1
2017-06-28,53.37
2017-06-29,53.02
2017-06-30,53.62
2017-07-03,53.45
2017-07-05,53.7
2017-07-06,53.05
2017-07-07,53.27
2017-07-10,53.4
2017-07-11,52.98
2017-07-12,53.02
2017-07-13,53.45
2017-07-14,53.81
2017-07-17,53.9
2017-07-18,53.85
2017-07-19,53.76
2017-07-20,53.1
2017-07-21,52.9
2017-07-24,52.6
2017-07-25,52.95
2017-07-26,52.75
2017-07-27,52.14
2017-07-28,52.07
2017-07-31,52.72
2017-08-01,52.67
2017-08-02,52.46
2017-08-03,52.56
2017-08-04,50.69
2017-08-07,51.31
2017-08-08,50.76
2017-08-09,50.74
2017-08-10,50.2
2017-08-11,50.0
2017-08-14,50.1
2017-08-15,50.21
2017-08-16,50.74
2017-08-17,50.15
2017-08-18,49.66
2017-08-21,48.47
2017-08-22,48.76
2017-08-23,48.69
2017-08-24,48.15
2017-08-25,48.12
2017-08-28,48.18
2017-08-29,47.59
2017-08-30,47.5
2017-08-31,48.28
2017-09-01,48.91
2017-09-05,48.72
2017-09-06,47.03
2017-09-07,44.76
2017-09-08,44.04
2017-09-11,44.02
2017-09-12,44.35
2017-09-13,44.22
2017-09-14,43.27
2017-09-15,43.2
2017-09-18,42.99
2017-09-19,42.67
2017-09-20,42.4
2017-09-21,41.48
2017-09-22,41.39
2017-09-25,40.96
2017-09-26,41.24
2017-09-27,41.58
2017-09-28,41.95
2017-09-29,42.67
2017-10-02,42.93
2017-10-03,43.1
2017-10-04,43.27
2017-10-05,43.8
2017-10-06,43.9
2017-10-09,43.0
2017-10-10,42.69
2017-10-11,43.17
2017-10-12,42.78
2017-10-13,43.1
2017-10-16,42.75
2017-10-17,41.94
2017-10-18,41.21
2017-10-19,40.59
2017-10-20,40.37
2017-10-23,40.16
2017-10-24,40.39
2017-10-25,40.28
2017-10-26,40.4
2017-10-27,40.0
2017-10-30,40.46
2017-10-31,40.78
2017-11-01,41.0
2017-11-02,30.01
2017-11-03,30.77
2017-11-06,30.82
2017-11-07,30.65
2017-11-08,31.41
2017-11-09,30.1
2017-11-10,29.3
2017-11-13,28.47
2017-11-14,28.04
2017-11-15,28.01
2017-11-16,28.18
2017-11-17,28.56
2017-11-20,28.82
2017-11-21,27.97
2017-11-22,28.2
2017-11-24,28.37
2017-11-27,29.79
2017-11-28,30.78
2017-11-29,30.51
2017-11-30,30.97
2017-12-01,31.51
2017-12-04,31.81
2017-12-05,31.78
2017-12-06,31.79
2017-12-07,30.81
2017-12-08,30.96
2017-12-11,30.92
2017-12-12,31.16
2017-12-13,31.4
2017-12-14,30.48
2017-12-15,30.59
2017-12-18,30.84
2017-12-19,30.81
2017-12-20,30.21
2017-12-21,30.75
2017-12-22,30.67
2017-12-26,30.92
2017-12-27,30.73
2017-12-28,31.03
2017-12-29,30.9
2018-01-02,31.64
2018-01-03,31.83
2018-01-04,32.06
2018-01-05,31.98
2018-01-08,32.08
2018-01-09,31.91
2018-01-10,31.15
2018-01-11,31.91
2018-01-12,32.26
2018-01-16,31.75
2018-01-17,31.78
2018-01-18,31.29
2018-01-19,31.22
2018-01-22,31.54
2018-01-23,31.65
2018-01-24,31.23
2018-01-25,24.81
2018-01-26,25.33
2018-01-29,25.36
2018-01-30,25.73
2018-01-31,26.44
2018-02-01,27.4
2018-02-02,27.98
2018-02-05,26.12
2018-02-06,28.75
2018-02-07,29.46
2018-02-08,27.91
2018-02-09,27.61
2018-02-12,27.3
2018-02-13,26.6
2018-02-14,27.2
2018-02-15,27.64
2018-02-16,28.23
2018-02-20,27.39
2018-02-21,26.83
2018-02-22,26.71
2018-02-23,26.8
2018-02-26,27.82
2018-02-27,26.96
2018-02-28,25.69
2018-03-01,26.5
2018-03-02,26.59
2018-03-05,28.09
2018-03-06,27.89
2018-03-07,27.2
2018-03-08,27.67
2018-03-09,27.32
2018-03-12,28.99
2018-03-13,28.6
2018-03-14,28.43
2018-03-15,28.89
2018-03-16,28.66
2018-03-19,26.79
2018-03-20,27.2
2018-03-21,26.81
2018-03-22,25.84
2018-03-23,25.35
2018-03-26,26.06
2018-03-27,25.19
2018-03-28,25.28
2018-03-29,25.48
2018-04-02,24.73
2018-04-03,24.9
2018-04-04,25.67
2018-04-05,26.22
2018-04-06,25.79
2018-04-09,25.52
2018-04-10,25.83
2018-04-11,25.92
2018-04-12,25.76
2018-04-13,25.72
2018-04-16,26.25
2018-04-17,27.37
2018-04-18,27.23
2018-04-19,26.68
2018-04-20,26.44
2018-04-23,26.47
2018-04-24,26.77
2018-04-25,27.18
2018-04-26,26.96
2018-04-27,27.74
2018-04-30,27.63
2018-05-01,27.05
2018-05-02,26.85
2018-05-03,26.69
2018-05-04,27.65
2018-05-07,27.58
2018-05-08,27.31
2018-05-09,26.96
2018-05-10,27.42
2018-05-11,27.06
2018-05-14,27.11
2018-05-15,26.34
2018-05-16,26.5
2018-05-17,27.02
2018-05-18,26.32
2018-05-21,26.39
2018-05-22,26.23
2018-05-23,25.88
2018-05-24,25.11
2018-05-25,25.26
2018-05-29,24.83
2018-05-30,24.78
2018-05-31,23.58
2018-06-01,23.12
2018-06-04,23.22
2018-06-05,23.58
2018-06-06,24.1
2018-06-07,24.47
2018-06-08,24.68
2018-06-11,25.59
2018-06-12,26.32
2018-06-13,26.04
2018-06-14,26.39
2018-06-15,26.05
2018-06-18,25.92
2018-06-19,26.26
2018-06-20,26.3
2018-06-21,25.78
2018-06-22,26.21
2018-06-25,26.02
2018-06-26,26.22
2018-06-27,25.96
2018-06-28,25.71
2018-06-29,25.79
2018-07-02,26.27
2018-07-03,26.26
2018-07-05,27.15
2018-07-06,27.42
2018-07-09,27.84
2018-07-10,27.64
2018-07-11,27.4
2018-07-12,27.52
2018-07-13,27.8
2018-07-16,27.77
2018-07-17,27.63
2018-07-18,26.86
2018-07-19,26.77
2018-07-20,26.15
2018-07-23,26.46
2018-07-24,26.45
2018-07-25,25.89
2018-07-26,26.19
2018-07-27,26.03
2018-07-30,26.21
2018-07-31,26.19
2018-08-01,26.18
2018-08-02,26.52
2018-08-03,26.57
2018-08-06,22.76
2018-08-07,21.68
2018-08-08,20.79
2018-08-09,20.88
2018-08-10,20.82
2018-08-13,20.45
2018-08-14,20.65
2018-08-15,20.89
2018-08-16,21.31
2018-08-17,21.5
2018-08-20,21.75
2018-08-21,21.8
2018-08-22,21.65
2018-08-23,21.71
2018-08-24,21.68
2018-08-27,22.33
2018-08-28,22.46
2018-08-29,22.5
2018-08-30,21.86
2018-08-31,21.72
2018-09-04,21.37
2018-09-05,21.87
2018-09-06,21.27
2018-09-07,21.37
2018-09-10,21.61
2018-09-11,21.46
2018-09-12,21.73
2018-09-13,21.98
2018-09-14,21.7
2018-09-17,21.56
2018-09-18,21.52
2018-09-19,21.64
2018-09-20,22.0
2018-09-21,21.84
2018-09-24,20.45
2018-09-25,20.58
2018-09-26,20.54
2018-09-27,20.45
2018-09-28,20.3
2018-10-01,20.43
2018-10-02,20.41
2018-10-03,20.42
2018-10-04,19.97
2018-10-05,18.82
2018-10-08,19.31
2018-10-09,18.72
2018-10-10,18.07
2018-10-11,17.67
2018-10-12,17.52
2018-10-15,17.43
2018-10-16,18.0
2018-10-17,17.75
2018-10-18,16.61
2018-10-19,16.95
2018-10-22,16.32
2018-10-23,16.43
2018-10-24,15.94
2018-10-25,16.4
2018-10-26,15.63
2018-10-29,15.4
2018-10-30,15.96
2018-10-31,15.88
2018-11-01,16.55
2018-11-02,18.99
2018-11-05,19.97
2018-11-06,19.95
2018-11-07,20.17
2018-11-08,20.21
2018-11-09,19.9
2018-11-12,20.24
2018-11-13,20.53
2018-11-14,20.61
2018-11-15,21.38
2018-11-16,21.68
2018-11-19,21.42
2018-11-20,21.6
2018-11-21,21.77
2018-11-23,21.74
2018-11-26,23.52
2018-11-27,23.41
2018-11-28,23.58
2018-11-29,23.8
2018-11-30,23.4
2018-12-03,24.17
2018-12-04,23.54
2018-12-06,22.97
2018-12-07,22.68
2018-12-10,22.86
2018-12-11,23.41
2018-12-12,23.56
2018-12-13,22.78
2018-12-14,22.08
2018-12-17,21.5
2018-12-18,21.41
2018-12-19,20.4
2018-12-20,20.03
2018-12-21,18.86
2018-12-24,17.95
2018-12-26,18.91
2018-12-27,18.4
2018-12-28,18.38
2018-12-31,18.59
2019-01-02,18.66
2019-01-03,18.27
2019-01-04,19.16
2019-01-07,19.5
2019-01-08,19.7
2019-01-09,19.73
2019-01-10,20.55
2019-01-11,20.4
2019-01-14,20.3
2019-01-15,20.79
2019-01-16,20.55
2019-01-17,20.73
2019-01-18,21.09
