Date,Close
2017-01-03,55.67
2017-01-04,56.5
2017-01-05,58.03
2017-01-06,57.95
2017-01-09,57.52
2017-01-10,56.83
2017-01-11,56.68
2017-01-12,57.69
2017-01-13,57.2
2017-01-17,58.23
2017-01-18,57.89
2017-01-19,57.31
2017-01-20,57.8
2017-01-23,58.35
2017-01-24,57.89
2017-01-25,57.73
2017-01-26,57.92
2017-01-27,57.56
2017-01-30,57.42
2017-01-31,57.74
2017-02-01,56.47
2017-02-02,57.54
2017-02-03,57.93
2017-02-06,57.93
2017-02-07,58.25
2017-02-08,58.59
2017-02-09,58.66
2017-02-10,59.34
2017-02-13,59.67
2017-02-14,58.86
2017-02-15,58.41
2017-02-16,58.66
2017-02-17,58.88
2017-02-21,59.57
2017-02-22,59.21
2017-02-23,60.87
2017-02-24,61.19
2017-02-27,61.14
2017-02-28,59.34
2017-03-01,58.68
2017-03-02,58.65
2017-03-03,58.43
2017-03-06,57.78
2017-03-07,57.95
2017-03-08,55.88
2017-03-09,55.34
2017-03-10,55.58
2017-03-13,55.99
2017-03-14,55.91
2017-03-15,57.36
2017-03-16,57.19
2017-03-17,57.97
2017-03-20,57.58
2017-03-21,58.14
2017-03-22,58.04
2017-03-23,57.79
2017-03-24,57.58
2017-03-27,57.2
2017-03-28,57.03
2017-03-29,57.2
2017-03-30,57.07
2017-03-31,57.65
2017-04-03,57.82
2017-04-04,57.83
2017-04-05,57.86
2017-04-06,58.27
2017-04-07,58.35
2017-04-10,58.83
2017-04-11,59.47
2017-04-12,59.44
2017-04-13,59.51
2017-04-17,59.86
2017-04-18,60.1
2017-04-19,60.02
2017-04-20,60.11
2017-04-21,59.8
2017-04-24,58.18
2017-04-25,57.94
2017-04-26,57.34
2017-04-27,57.57
2017-04-28,56.5
2017-05-01,56.96
2017-05-02,57.17
2017-05-03,56.0
2017-05-04,54.02
2017-05-05,54.83
2017-05-08,53.92
2017-05-09,53.22
2017-05-10,53.82
2017-05-11,52.72
2017-05-12,53.0
2017-05-15,52.58
2017-05-16,51.53
2017-05-17,52.06
2017-05-18,52.12
2017-05-19,52.49
2017-05-22,52.42
2017-05-23,52.43
2017-05-24,52.93
2017-05-25,53.41
2017-05-26,53.44
2017-05-30,53.26
2017-05-31,53.19
2017-06-01,53.78
2017-06-02,54.79
2017-06-05,53.62
2017-06-06,53.67
2017-06-07,53.86
2017-06-08,53.15
2017-06-09,53.56
2017-06-12,54.36
2017-06-13,54.5
2017-06-14,55.15
2017-06-15,55.11
2017-06-16,54.88
2017-06-19,54.44
2017-06-20,54.39
2017-06-21,53.67
2017-06-22,53.09
2017-06-23,53.53
2017-06-26,54.69
2017-06-27,54.22
2017-06-28,55.01
2017-06-29,54.01
2017-06-30,53.44
2017-07-03,54.28
2017-07-05,53.46
2017-07-06,52.42
2017-07-07,52.96
2017-07-10,51.91
2017-07-11,52.19
2017-07-12,52.94
2017-07-13,53.39
2017-07-14,54.47
2017-07-17,54.69
2017-07-18,54.79
2017-07-19,55.35
2017-07-20,55.51
2017-07-21,55.5
2017-07-24,55.36
2017-07-25,55.61
2017-07-26,56.09
2017-07-27,56.12
2017-07-28,55.39
2017-07-31,55.26
2017-08-01,55.91
2017-08-02,55.29
2017-08-03,55.24
2017-08-04,55.63
2017-08-07,55.63
2017-08-08,55.49
2017-08-09,55.66
2017-08-10,55.22
